상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-06-03,01관,"10:00,  보스 베이비(디지털더빙),  5,000원","12:10,  대립군(디지털),  5,000원","14:50,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","17:30,  원더 우먼(3D 디지털),  8,000원","20:20,  노무현입니다(디지털),  5,000원","22:40,  대립군(디지털),  5,000원",,,,,,,,,58
2017-06-03,02관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:30,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","14:20,  노무현입니다(디지털),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:40,  겟 아웃(디지털),  5,000원",,,,,,,,,43
2017-06-04,01관,"10:00,  대립군(디지털),  5,000원","12:40,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","14:40,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","17:30,  노무현입니다(디지털),  5,000원","20:00,  원더 우먼(3D 디지털),  8,000원",,,,,,,,,,58
2017-06-04,02관,"10:30,  겟 아웃(디지털),  5,000원","13:10,  원더 우먼(디지털),  5,000원","16:00,  보스 베이비(디지털더빙),  5,000원","18:20,  대립군(디지털),  5,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,,,,,,,,,43
2017-06-05,01관,"10:30,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","12:50,  대립군(디지털),  5,000원","16:00,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","19:00,  노무현입니다(디지털),  5,000원","21:20,  원더 우먼(3D 디지털),  8,000원",,,,,,,,,,58
2017-06-05,02관,"10:30,  겟 아웃(디지털),  5,000원","13:10,  원더 우먼(디지털),  5,000원","16:10,  보스 베이비(디지털더빙),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:10,  대립군(디지털),  5,000원",,,,,,,,,,43
2017-06-06,01관,"10:30,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","12:20,  보스 베이비(디지털더빙),  5,000원","14:40,  대립군(디지털),  5,000원","17:20,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","20:10,  원더 우먼(3D 디지털),  8,000원","23:00,  미이라(3D 디지털),  8,000원",,,,,,,,,58
2017-06-06,02관,"10:00,  원더 우먼(디지털),  5,000원","12:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","15:20,  노무현입니다(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","20:00,  노무현입니다(디지털),  5,000원","22:20,  대립군(디지털),  5,000원",,,,,,,,,43
2017-06-07,01관,"10:30,  파워배틀 와치카: 와치가면의 역습(디지털)","12:20,  보스 베이비(디지털더빙),  5,000원","14:40,  대립군(디지털),  5,000원","17:20,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","20:10,  원더 우먼(3D 디지털),  8,000원","23:00,  미이라(3D 디지털),  8,000원",,,,,,,,,58
2017-06-07,02관,"10:00,  원더 우먼(디지털),  5,000원","12:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","15:20,  노무현입니다(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","20:00,  노무현입니다(디지털),  5,000원","22:20,  대립군(디지털),  5,000원",,,,,,,,,43
2017-06-08,01관,"10:00,  파워배틀 와치카: 와치가면의 역습(디지털)","11:50,  대립군(디지털),  5,000원","14:40,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털)","17:20,  원더 우먼(3D 디지털)","20:10,  미이라(3D 디지털),  8,000원","22:30,  악녀(디지털),  5,000원",,,,,,,,,58
2017-06-08,02관,"10:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:50,  보스 베이비(디지털더빙),  5,000원","14:50,  악녀(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","19:50,  노무현입니다(디지털),  5,000원","22:10,  원더 우먼(디지털),  5,000원",,,,,,,,,43
2017-06-09,01관,"10:00,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","11:50,  원더 우먼(디지털)","14:40,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","17:20,  원더 우먼(3D 디지털)","20:10,  미이라(3D 디지털),  8,000원","22:30,  악녀(디지털),  5,000원",,,,,,,,,58
2017-06-09,02관,"10:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:50,  보스 베이비(디지털더빙),  5,000원","14:50,  악녀(디지털),  5,000원","17:30,  미이라(디지털),  5,000원","19:50,  노무현입니다(디지털),  5,000원","22:10,  대립군(디지털),  5,000원",,,,,,,,,43
2017-06-10,01관,"10:30,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","12:20,  보스 베이비(디지털더빙),  5,000원","14:40,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","17:20,  미이라(3D 디지털),  8,000원","19:40,  원더 우먼(디지털),  5,000원","22:30,  악녀(디지털),  5,000원",,,,,,,,,58
2017-06-10,02관,"10:00,  악녀(디지털),  5,000원","12:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","15:20,  보스 베이비(디지털더빙),  5,000원","17:40,  노무현입니다(디지털),  5,000원","20:00,  미이라(디지털),  5,000원","22:20,  대립군(디지털),  5,000원",,,,,,,,,43
2017-06-11,01관,"10:30,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","12:20,  보스 베이비(디지털더빙),  5,000원","14:40,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","17:20,  미이라(3D 디지털),  8,000원","19:40,  원더 우먼(디지털),  5,000원","22:30,  악녀(디지털),  5,000원",,,,,,,,,58
2017-06-11,02관,"10:00,  악녀(디지털),  5,000원","12:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","15:20,  보스 베이비(디지털더빙),  5,000원","17:40,  노무현입니다(디지털),  5,000원","20:00,  미이라(디지털),  5,000원","22:20,  대립군(디지털),  5,000원",,,,,,,,,43
2017-06-12,01관,"10:30,  보스 베이비(디지털더빙)","13:10,  노무현입니다(디지털),  5,000원","16:10,  대립군(디지털)","18:40,  미이라(3D 디지털),  8,000원","21:00,  원더 우먼(디지털)",,,,,,,,,,58
2017-06-12,02관,"10:00,  악녀(디지털)","13:00,  파워배틀 와치카: 와치가면의 역습(디지털)","16:00,  미이라(디지털),  5,000원","19:00,  노무현입니다(디지털),  5,000원","21:20,  악녀(디지털),  5,000원",,,,,,,,,,43
2017-06-13,01관,"10:30,  보스 베이비(디지털더빙)","13:10,  노무현입니다(디지털),  5,000원","16:10,  대립군(디지털),  5,000원","18:40,  미이라(3D 디지털),  8,000원","21:00,  원더 우먼(디지털),  5,000원",,,,,,,,,,58
2017-06-13,02관,"10:00,  악녀(디지털),  5,000원","13:00,  파워배틀 와치카: 와치가면의 역습(디지털)","16:00,  미이라(디지털),  5,000원","19:00,  노무현입니다(디지털),  5,000원","21:20,  악녀(디지털),  5,000원",,,,,,,,,,43
2017-06-14,01관,"10:30,  보스 베이비(디지털더빙),  5,000원","13:10,  노무현입니다(디지털),  5,000원","16:10,  대립군(디지털),  5,000원","18:40,  미이라(3D 디지털),  8,000원","21:00,  원더 우먼(디지털),  5,000원",,,,,,,,,,58
2017-06-14,02관,"10:00,  악녀(디지털),  5,000원","13:00,  파워배틀 와치카: 와치가면의 역습(디지털)","16:00,  미이라(디지털),  5,000원","19:00,  노무현입니다(디지털),  5,000원","21:20,  악녀(디지털),  5,000원",,,,,,,,,,43
2017-06-15,01관,,,,"14:20,  대립군(디지털),  5,000원","18:10,  노무현입니다(디지털),  5,000원","20:40,  미이라(3D 디지털),  8,000원",,,,,,,,,58
2017-06-15,02관,"10:30,  청춘 합창단 - 또 하나의 꿈(디지털),  5,000원","12:30,  꼬마돼지 베이브의 대모험(디지털더빙),  5,000원","14:20,  나의 붉은고래(디지털)","16:30,  미이라(디지털),  5,000원","18:50,  하루(디지털),  5,000원","21:00,  악녀(디지털),  5,000원",,,,,,,,,43
