상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2017-08-23,04관,,"13:10,  택시운전사(디지털),  10,000원","16:00,  도라에몽 : 스탠 바이 미(디지털더빙)",,,,,,,,,190
2017-08-23,05관,,"11:30,  청년경찰(디지털)","13:50,  청년경찰(디지털),  10,000원","16:10,  청년경찰(디지털),  10,000원",,,,,,,,168
2017-08-23,6관(MX관),,"12:20,  브이아이피(디지털),  9,000원","15:00,  브이아이피(디지털),  9,000원",,,,,,,,,218
2017-08-23,07관,,"12:30,  공범자들(디지털),  10,000원","14:50,  다크타워: 희망의 탑(디지털),  10,000원","17:00,  제인 도(디지털),  10,000원",,,,,,,,152
2017-08-23,08관,,"13:00,  석조저택 살인사건(디지털)","15:30,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙)",,,,,,,,,25
2017-08-23,09관,,"11:40,  빅풋 주니어(디지털더빙),  10,000원","13:45,  슈퍼배드 3(디지털더빙),  10,000원","15:50,  슈퍼배드 3(디지털더빙),  10,000원",,,,,,,,29
2017-08-24,01관,"10:30,  택시운전사(디지털),  6,000원","13:20,  택시운전사(디지털),  10,000원","16:10,  택시운전사(디지털),  10,000원","19:00,  택시운전사(디지털),  10,000원","22:00,  택시운전사(디지털),  10,000원",,,,,,,178
2017-08-24,02관,"10:40,  장산범(디지털),  6,000원","12:50,  올 아이즈 온 미(디지털),  8,000원","15:40,  장산범(디지털),  10,000원","17:50,  브이아이피(디지털),  10,000원","20:30,  브이아이피(디지털),  10,000원","23:10,  브이아이피(디지털),  8,000원",,,,,,118
2017-08-24,03관,"10:50,  혹성탈출: 종의 전쟁(디지털),  6,000원","13:40,  혹성탈출: 종의 전쟁(디지털),  10,000원","16:30,  혹성탈출: 종의 전쟁(디지털),  10,000원","19:30,  혹성탈출: 종의 전쟁(디지털),  10,000원","22:20,  혹성탈출: 종의 전쟁(디지털),  10,000원",,,,,,,136
2017-08-24,04관,"11:30,  택시운전사(디지털),  10,000원","14:20,  택시운전사(디지털),  10,000원","17:15,  택시운전사(디지털),  10,000원","20:05,  택시운전사(디지털),  10,000원","23:00,  택시운전사(디지털),  8,000원",,,,,,,190
2017-08-24,05관,"10:30,  청년경찰(디지털),  6,000원","12:50,  청년경찰(디지털),  10,000원","15:10,  청년경찰(디지털),  10,000원","17:30,  청년경찰(디지털),  10,000원","19:50,  청년경찰(디지털),  10,000원","22:10,  청년경찰(디지털),  10,000원",,,,,,168
2017-08-24,6관(MX관),"10:40,  브이아이피(디지털),  6,000원","13:20,  브이아이피(디지털),  9,000원","16:00,  브이아이피(디지털),  9,000원","18:40,  브이아이피(디지털),  9,000원","21:20,  브이아이피(디지털),  9,000원","24:00,  브이아이피(디지털),  8,000원",,,,,,218
2017-08-24,07관,"10:30,  제인 도(디지털),  6,000원","12:30,  다크타워: 희망의 탑(디지털),  10,000원","14:40,  제인 도(디지털),  10,000원","16:40,  다크타워: 희망의 탑(디지털),  10,000원","18:45,  제인 도(디지털),  10,000원","20:45,  다크타워: 희망의 탑(디지털),  10,000원","22:50,  제인 도(디지털)",,,,,152
2017-08-24,08관,"11:00,  극장판 도라에몽: 진구의 남극 꽁꽁 대모험(디지털더빙),  10,000원","13:20,  극장판 위 베어 베어스: 곰 브라더스(디지털더빙),  6,000원","14:55,  극장판 위 베어 베어스: 곰 브라더스(디지털더빙),  10,000원","16:30,  극장판 위 베어 베어스: 곰 브라더스(디지털더빙),  10,000원","18:05,  택시운전사(디지털),  6,000원","21:00,  택시운전사(디지털),  10,000원","23:50,  택시운전사(디지털),  8,000원",,,,,25
2017-08-24,09관,"10:35,  빅풋 주니어(디지털더빙),  6,000원","12:40,  슈퍼배드 3(디지털더빙),  10,000원","14:40,  빅풋 주니어(디지털더빙),  8,000원","16:45,  빅풋 주니어(디지털더빙),  6,000원","18:50,  청년경찰(디지털),  10,000원","21:10,  청년경찰(디지털),  10,000원","23:35,  청년경찰(디지털),  8,000원",,,,,29
