상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-10-14,내린,"10:45,  안시성(디지털),  6,000원","13:45,  베놈(디지털),  6,000원","16:05,  베놈(디지털),  7,000원","18:30,  베놈(디지털),  7,000원",,,56
2018-10-15,하늘,"11:35,  암수살인(디지털),  6,000원","14:30,  암수살인(디지털),  7,000원","17:05,  암수살인(디지털)","19:40,  암수살인(디지털),  6,000원",,,43
2018-10-15,내린,"10:45,  안시성(디지털)","13:45,  베놈(디지털)","16:05,  베놈(디지털),  6,000원","18:30,  베놈(디지털),  7,000원",,,56
2018-10-16,하늘,"11:35,  암수살인(디지털),  6,000원","14:30,  암수살인(디지털),  6,000원","17:05,  암수살인(디지털),  6,000원","19:40,  암수살인(디지털),  7,000원",,,43
2018-10-16,내린,"10:45,  안시성(디지털),  6,000원","13:45,  베놈(디지털),  7,000원","16:05,  베놈(디지털),  6,000원","18:30,  베놈(디지털),  6,000원",,,56
2018-10-17,하늘,"11:35,  암수살인(디지털),  6,000원","14:30,  암수살인(디지털),  6,000원","17:05,  암수살인(디지털),  6,000원","19:40,  암수살인(디지털),  9,000원",,,43
2018-10-17,내린,"10:45,  안시성(디지털),  6,000원","13:45,  베놈(디지털),  6,000원","16:05,  베놈(디지털),  6,000원","18:30,  베놈(디지털),  6,000원",,,56
2018-10-18,하늘,"11:40,  암수살인(디지털),  6,000원","14:15,  암수살인(디지털),  6,000원","16:45,  베놈(디지털),  6,000원","19:40,  암수살인(디지털),  6,000원",,,43
2018-10-18,내린,"10:40,  베놈(디지털)","13:00,  퍼스트맨(디지털),  6,000원","15:55,  퍼스트맨(디지털),  6,000원","18:50,  퍼스트맨(디지털),  6,000원",,,56
2018-10-19,하늘,"10:40,  베놈(디지털),  6,000원","13:00,  암수살인(디지털),  4,000원","15:40,  베놈(디지털),  6,000원","18:45,  암수살인(디지털),  6,000원",,,43
2018-10-19,내린,"11:00,  퍼스트맨(디지털),  0원","13:50,  퍼스트맨(디지털),  7,000원","16:40,  퍼스트맨(디지털),  6,000원","19:30,  퍼스트맨(디지털),  6,000원",,,56
2018-10-20,하늘,"10:40,  베놈(디지털),  6,000원","13:00,  암수살인(디지털),  6,000원","15:40,  베놈(디지털),  7,000원","18:45,  암수살인(디지털),  7,000원",,,43
2018-10-20,내린,"11:00,  퍼스트맨(디지털),  6,000원","13:50,  퍼스트맨(디지털),  6,000원","16:40,  퍼스트맨(디지털),  6,000원","19:30,  퍼스트맨(디지털),  6,000원",,,56
2018-10-21,하늘,"10:40,  베놈(디지털),  6,000원","13:00,  암수살인(디지털),  7,000원","15:40,  베놈(디지털),  5,000원","18:45,  암수살인(디지털),  7,000원",,,43
2018-10-21,내린,"11:00,  퍼스트맨(디지털),  8,000원","13:50,  퍼스트맨(디지털),  7,000원","16:40,  퍼스트맨(디지털),  6,000원","19:30,  퍼스트맨(디지털),  6,000원",,,56
2018-10-22,하늘,"10:40,  베놈(디지털),  6,000원","13:00,  암수살인(디지털),  6,000원","15:40,  베놈(디지털),  6,000원","18:45,  암수살인(디지털)",,,43
2018-10-22,내린,"11:00,  퍼스트맨(디지털)","13:50,  퍼스트맨(디지털),  6,000원","16:40,  퍼스트맨(디지털)","19:30,  퍼스트맨(디지털)",,,56
2018-10-23,하늘,"10:40,  베놈(디지털)","13:00,  암수살인(디지털),  6,000원","15:40,  베놈(디지털),  6,000원","18:45,  암수살인(디지털)",,,43
2018-10-23,내린,"11:00,  퍼스트맨(디지털)","13:50,  퍼스트맨(디지털),  6,000원","16:40,  퍼스트맨(디지털)","19:30,  퍼스트맨(디지털),  6,000원",,,56
2018-10-24,하늘,"10:40,  암수살인(디지털),  6,000원","13:00,  암수살인(디지털),  7,000원","15:35,  암수살인(디지털),  6,000원","18:45,  암수살인(디지털),  6,000원",,,43
2018-10-24,내린,"11:00,  퍼스트맨(디지털)","13:50,  퍼스트맨(디지털)","16:40,  퍼스트맨(디지털),  7,000원","19:30,  퍼스트맨(디지털),  6,000원",,,56
2018-10-25,하늘,"11:40,  암수살인(디지털),  6,000원","14:25,  암수살인(디지털),  6,000원","17:00,  암수살인(디지털),  6,000원","19:20,  퍼스트맨(디지털),  6,000원",,,43
2018-10-25,내린,"10:45,  창궐(디지털),  6,000원","13:35,  창궐(디지털),  6,000원","16:20,  창궐(디지털),  6,000원","19:00,  창궐(디지털),  7,000원",,,56
2018-10-26,하늘,"10:40,  암수살인(디지털),  6,000원","13:00,  암수살인(디지털),  7,000원","15:30,  암수살인(디지털),  6,000원","18:45,  퍼스트맨(디지털),  6,000원",,,43
2018-10-26,내린,"11:30,  창궐(디지털),  6,000원","13:55,  창궐(디지털),  6,000원","16:35,  창궐(디지털),  6,000원","19:30,  창궐(디지털),  7,000원",,,56
2018-10-27,하늘,"10:10,  윌리(디지털더빙),  6,000원","12:05,  퍼스트맨(디지털),  6,000원","14:45,  윌리(디지털더빙),  6,000원","17:00,  암수살인(디지털),  6,000원","19:15,  암수살인(디지털),  7,000원",,43
2018-10-27,내린,"11:30,  창궐(디지털),  10,000원","13:55,  창궐(디지털),  6,000원","16:35,  창궐(디지털),  6,000원","19:30,  창궐(디지털),  6,000원",,,56
2018-10-28,하늘,"10:10,  윌리(디지털더빙)","12:05,  퍼스트맨(디지털),  6,000원","14:45,  윌리(디지털더빙),  6,000원","17:00,  암수살인(디지털),  6,000원","19:15,  암수살인(디지털),  6,000원",,43
2018-10-28,내린,"11:30,  창궐(디지털),  8,000원","13:55,  창궐(디지털),  7,000원","16:35,  창궐(디지털),  7,000원","19:30,  창궐(디지털),  7,000원",,,56
2018-10-29,하늘,"10:40,  윌리(디지털더빙)","12:50,  퍼스트맨(디지털),  6,000원","15:40,  암수살인(디지털)","18:45,  암수살인(디지털)",,,43
2018-10-29,내린,"11:30,  창궐(디지털),  6,000원","14:00,  창궐(디지털),  7,000원","17:00,  창궐(디지털),  6,000원","19:30,  창궐(디지털),  6,000원",,,56
2018-10-30,하늘,"10:40,  윌리(디지털더빙)","12:50,  퍼스트맨(디지털),  6,000원","15:40,  암수살인(디지털)","18:45,  암수살인(디지털),  6,000원",,,43
2018-10-30,내린,"11:30,  창궐(디지털),  6,000원","14:00,  창궐(디지털),  7,000원","17:00,  창궐(디지털),  6,000원","19:30,  창궐(디지털),  6,000원",,,56
2018-10-31,하늘,"10:40,  윌리(디지털더빙)","13:00,  벽 속에 숨은 마법시계(디지털),  6,000원","15:40,  벽 속에 숨은 마법시계(디지털),  10,000원","18:45,  완벽한 타인(디지털),  5,000원",,,43
2018-10-31,내린,"11:40,  창궐(디지털),  6,000원","14:15,  완벽한 타인(디지털),  7,000원","17:00,  창궐(디지털)","19:30,  창궐(디지털),  7,000원",,,56
2018-11-01,하늘,"10:40,  윌리(디지털더빙),  6,000원","13:00,  벽 속에 숨은 마법시계(디지털),  6,000원","15:40,  벽 속에 숨은 마법시계(디지털)","18:45,  완벽한 타인(디지털),  7,000원",,,43
2018-11-01,내린,"11:40,  창궐(디지털),  6,000원","14:15,  완벽한 타인(디지털),  7,000원","17:00,  완벽한 타인(디지털),  6,000원","19:30,  창궐(디지털),  6,000원",,,56
2018-11-02,하늘,"10:40,  윌리(디지털더빙)","13:00,  벽 속에 숨은 마법시계(디지털),  6,000원","15:40,  벽 속에 숨은 마법시계(디지털),  7,000원","18:45,  완벽한 타인(디지털),  7,000원",,,43
2018-11-02,내린,"11:40,  창궐(디지털),  6,000원","14:15,  완벽한 타인(디지털),  7,000원","17:00,  완벽한 타인(디지털),  6,000원","19:30,  창궐(디지털),  6,000원",,,56
2018-11-03,하늘,"10:20,  윌리(디지털더빙),  6,000원","12:25,  벽 속에 숨은 마법시계(디지털),  6,000원","14:45,  벽 속에 숨은 마법시계(디지털),  7,000원","17:00,  완벽한 타인(디지털),  6,000원","19:30,  완벽한 타인(디지털),  6,000원",,43
2018-11-03,내린,"11:10,  완벽한 타인(디지털),  6,000원","13:35,  완벽한 타인(디지털),  7,000원","16:00,  창궐(디지털),  6,000원","18:30,  창궐(디지털)",,,56
2018-11-04,하늘,"10:20,  윌리(디지털더빙),  6,000원","12:25,  벽 속에 숨은 마법시계(디지털),  6,000원","14:45,  벽 속에 숨은 마법시계(디지털),  6,000원","17:00,  완벽한 타인(디지털),  7,000원","19:30,  완벽한 타인(디지털),  6,000원",,43
2018-11-04,내린,"11:10,  완벽한 타인(디지털),  6,000원","13:35,  완벽한 타인(디지털),  7,000원","16:00,  창궐(디지털),  6,000원","18:30,  창궐(디지털),  6,000원",,,56
2018-11-05,하늘,"10:40,  완벽한 타인(디지털),  6,000원","13:15,  벽 속에 숨은 마법시계(디지털),  7,000원","16:10,  벽 속에 숨은 마법시계(디지털),  6,000원","18:45,  완벽한 타인(디지털),  7,000원",,,43
2018-11-05,내린,"11:40,  창궐(디지털),  6,000원","14:15,  완벽한 타인(디지털),  6,000원","17:00,  완벽한 타인(디지털),  7,000원","19:30,  창궐(디지털),  6,000원",,,56
2018-11-06,하늘,"10:40,  완벽한 타인(디지털),  7,000원","13:15,  벽 속에 숨은 마법시계(디지털)","16:10,  벽 속에 숨은 마법시계(디지털),  6,000원","18:45,  완벽한 타인(디지털),  7,000원",,,43
2018-11-06,내린,"11:40,  창궐(디지털)","14:15,  완벽한 타인(디지털),  6,000원","17:00,  완벽한 타인(디지털),  7,000원","19:30,  창궐(디지털),  6,000원",,,56
2018-11-07,하늘,"10:30,  완벽한 타인(디지털),  6,000원","12:55,  벽 속에 숨은 마법시계(디지털)","15:05,  완벽한 타인(디지털),  6,000원","17:30,  동네사람들(디지털),  6,000원","19:40,  동네사람들(디지털),  6,000원",,43
2018-11-07,내린,"11:20,  창궐(디지털),  6,000원","13:50,  완벽한 타인(디지털)","16:15,  완벽한 타인(디지털),  6,000원","18:45,  완벽한 타인(디지털),  7,000원",,,56
2018-11-08,하늘,"10:10,  윌리(디지털더빙),  6,000원","12:40,  벽 속에 숨은 마법시계(디지털)","16:00,  출동! 소방관 샘: 외계인 대소동(디지털더빙)","17:30,  동네사람들(디지털),  6,000원","19:40,  동네사람들(디지털),  6,000원",,43
2018-11-08,내린,"11:20,  창궐(디지털),  6,000원","13:50,  완벽한 타인(디지털),  6,000원","16:15,  완벽한 타인(디지털),  6,000원","18:45,  완벽한 타인(디지털),  6,000원",,,56
2018-11-09,하늘,"10:45,  출동! 소방관 샘: 외계인 대소동(디지털더빙)","12:40,  벽 속에 숨은 마법시계(디지털)","15:00,  완벽한 타인(디지털),  6,000원","17:25,  동네사람들(디지털),  4,000원","19:40,  동네사람들(디지털),  7,000원",,43
2018-11-09,내린,"11:20,  창궐(디지털),  7,000원","13:50,  완벽한 타인(디지털),  6,000원","16:15,  완벽한 타인(디지털)","18:45,  완벽한 타인(디지털),  7,000원",,,56
2018-11-10,하늘,"10:45,  출동! 소방관 샘: 외계인 대소동(디지털더빙),  6,000원","12:40,  벽 속에 숨은 마법시계(디지털),  6,000원","15:00,  완벽한 타인(디지털),  7,000원","17:25,  동네사람들(디지털),  10,000원","19:35,  동네사람들(디지털),  7,000원",,43
2018-11-10,내린,"11:15,  창궐(디지털),  6,000원","13:45,  완벽한 타인(디지털),  7,000원","16:10,  완벽한 타인(디지털),  7,000원","18:35,  완벽한 타인(디지털),  7,500원",,,56
2018-11-11,하늘,"10:45,  출동! 소방관 샘: 외계인 대소동(디지털더빙),  7,000원","12:40,  벽 속에 숨은 마법시계(디지털),  7,000원","15:00,  완벽한 타인(디지털),  6,000원","17:25,  동네사람들(디지털),  8,000원","19:35,  동네사람들(디지털),  7,000원",,43
2018-11-11,내린,"11:15,  창궐(디지털),  6,000원","13:45,  완벽한 타인(디지털),  6,000원","16:10,  완벽한 타인(디지털),  7,000원","18:35,  완벽한 타인(디지털),  6,000원",,,56
2018-11-12,하늘,"10:50,  출동! 소방관 샘: 외계인 대소동(디지털더빙)","12:35,  완벽한 타인(디지털),  6,000원","15:00,  완벽한 타인(디지털),  7,000원","17:25,  동네사람들(디지털),  6,000원","19:40,  동네사람들(디지털),  6,000원",,43
2018-11-12,내린,"11:20,  창궐(디지털),  6,000원","13:50,  완벽한 타인(디지털),  6,000원","16:15,  완벽한 타인(디지털),  6,000원","18:45,  완벽한 타인(디지털),  6,000원",,,56
2018-11-13,하늘,"10:50,  출동! 소방관 샘: 외계인 대소동(디지털더빙),  6,000원","12:35,  완벽한 타인(디지털),  7,000원","15:00,  완벽한 타인(디지털),  6,000원","17:25,  동네사람들(디지털),  6,000원","19:40,  동네사람들(디지털),  6,000원",,43
2018-11-13,내린,"11:20,  창궐(디지털),  6,000원","13:50,  완벽한 타인(디지털),  7,000원","16:15,  완벽한 타인(디지털),  7,000원","18:45,  완벽한 타인(디지털),  7,000원",,,56
2018-11-14,하늘,"11:50,  완벽한 타인(디지털),  7,000원","14:20,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원","17:05,  완벽한 타인(디지털)","19:30,  완벽한 타인(디지털),  6,000원",,,43
2018-11-14,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원",,,56
2018-11-15,하늘,"11:50,  완벽한 타인(디지털),  6,000원","14:30,  완벽한 타인(디지털),  6,000원","17:00,  완벽한 타인(디지털)","19:30,  완벽한 타인(디지털),  6,000원",,,43
2018-11-15,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원",,,56
2018-11-16,하늘,"11:50,  완벽한 타인(디지털),  6,000원","14:30,  완벽한 타인(디지털),  7,000원","17:00,  완벽한 타인(디지털),  6,000원","19:30,  완벽한 타인(디지털),  6,000원",,,43
2018-11-16,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,56
2018-11-17,하늘,"11:00,  출동! 소방관 샘: 외계인 대소동(디지털더빙),  7,000원","12:30,  완벽한 타인(디지털),  6,000원","14:50,  완벽한 타인(디지털),  6,000원","17:15,  완벽한 타인(디지털),  7,000원","19:40,  완벽한 타인(디지털),  7,000원",,43
2018-11-17,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원",,,56
2018-11-18,하늘,"11:00,  출동! 소방관 샘: 외계인 대소동(디지털더빙),  6,000원","12:30,  완벽한 타인(디지털),  6,000원","14:50,  완벽한 타인(디지털),  8,000원","17:15,  완벽한 타인(디지털),  8,000원","19:40,  완벽한 타인(디지털),  7,000원",,43
2018-11-18,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,500원","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,56
2018-11-19,하늘,"11:50,  완벽한 타인(디지털),  7,000원","14:30,  완벽한 타인(디지털),  5,000원","17:00,  완벽한 타인(디지털),  6,000원","19:30,  완벽한 타인(디지털),  6,000원",,,43
2018-11-19,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털),  8,000원","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원",,,56
2018-11-20,하늘,"11:50,  완벽한 타인(디지털),  6,000원","14:30,  완벽한 타인(디지털),  7,000원","17:00,  완벽한 타인(디지털)","19:30,  완벽한 타인(디지털),  6,000원",,,43
2018-11-20,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털)","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원",,,56
2018-11-21,하늘,"11:50,  완벽한 타인(디지털),  6,000원","14:30,  완벽한 타인(디지털),  6,000원","17:00,  완벽한 타인(디지털),  6,000원","19:30,  완벽한 타인(디지털),  7,000원",,,43
2018-11-21,내린,"10:30,  신비한 동물들과 그린델왈드의 범죄(디지털)","13:15,  신비한 동물들과 그린델왈드의 범죄(디지털)","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","18:45,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원",,,56
2018-11-22,하늘,"10:30,  캡틴 샤키(디지털더빙)","12:15,  성난황소(디지털),  6,000원","14:40,  완벽한 타인(디지털),  6,000원","17:05,  성난황소(디지털),  6,000원","19:30,  성난황소(디지털),  6,000원",,43
2018-11-22,내린,"11:00,  완벽한 타인(디지털),  6,000원","13:20,  신비한 동물들과 그린델왈드의 범죄(디지털)","16:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","18:45,  완벽한 타인(디지털),  6,000원",,,56
2018-11-23,하늘,"10:30,  캡틴 샤키(디지털더빙),  6,000원","12:15,  성난황소(디지털),  6,000원","14:40,  성난황소(디지털),  6,000원","17:05,  성난황소(디지털),  6,000원","19:30,  성난황소(디지털),  8,000원",,43
2018-11-23,내린,"11:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,000원","13:40,  완벽한 타인(디지털),  7,000원","16:05,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","18:45,  완벽한 타인(디지털),  10,000원",,,56
2018-11-24,하늘,"10:25,  캡틴 샤키(디지털더빙),  6,000원","12:10,  성난황소(디지털),  6,000원","14:35,  성난황소(디지털),  6,000원","17:00,  성난황소(디지털),  9,000원","19:25,  성난황소(디지털),  6,000원",,43
2018-11-24,내린,"11:00,  완벽한 타인(디지털),  7,000원","13:20,  신비한 동물들과 그린델왈드의 범죄(디지털),  6,000원","16:00,  완벽한 타인(디지털),  10,000원","18:25,  신비한 동물들과 그린델왈드의 범죄(디지털),  9,000원",,,56
