1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"10:50,  아쿠아맨(디지털),  7,000원","13:45,  아쿠아맨(디지털),  8,000원","16:40,  아쿠아맨(디지털),  10,000원","19:35,  아쿠아맨(디지털),  10,000원","22:30,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-07,112
"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙)","12:15,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","14:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","17:05,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","19:30,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:55,  주먹왕 랄프 2: 인터넷 속으로(디지털),  8,000원",,,01관,2019-01-08,148
"10:00,  PMC: 더 벙커(디지털),  7,000원","12:35,  PMC: 더 벙커(디지털),  5,000원","15:30,  언니(디지털),  8,000원","17:45,  PMC: 더 벙커(디지털),  10,000원","20:20,  PMC: 더 벙커(디지털),  10,000원","22:55,  언니(디지털),  10,000원",,,02관,2019-01-08,104
"10:10,  스윙키즈(디지털),  7,000원","12:55,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  9,000원","15:00,  아쿠아맨(디지털),  10,000원","17:55,  스윙키즈(디지털),  10,000원","20:40,  아쿠아맨(디지털),  10,000원",,,,03관,2019-01-08,115
"09:30,  범블비(디지털),  7,000원","11:55,  언니(디지털),  9,000원","14:00,  범블비(디지털),  10,000원","16:25,  범블비(디지털),  10,000원","18:50,  범블비(디지털),  10,000원","21:15,  범블비(디지털),  10,000원","23:35,  범블비(디지털),  9,000원",,04관,2019-01-08,94
"10:30,  보헤미안 랩소디(디지털),  7,000원","13:15,  보헤미안 랩소디(디지털),  10,000원","16:00,  보헤미안 랩소디(디지털),  10,000원","18:45,  보헤미안 랩소디(디지털),  10,000원","21:30,  보헤미안 랩소디(디지털),  10,000원",,,,05관,2019-01-08,104
"10:50,  아쿠아맨(디지털),  7,000원","13:45,  아쿠아맨(디지털),  7,000원","16:40,  아쿠아맨(디지털),  10,000원","19:35,  아쿠아맨(디지털),  10,000원","22:30,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-08,112
"10:30,  말모이(디지털),  7,000원","13:15,  말모이(디지털),  10,000원","16:00,  말모이(디지털),  10,000원","18:45,  말모이(디지털),  10,000원","21:30,  말모이(디지털),  10,000원",,,,01관,2019-01-09,148
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","11:55,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  8,000원","21:35,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원",,,02관,2019-01-09,104
"10:00,  내안의 그놈(디지털),  7,000원","12:40,  내안의 그놈(디지털),  7,000원","15:20,  내안의 그놈(디지털),  10,000원","18:00,  내안의 그놈(디지털),  10,000원","20:40,  내안의 그놈(디지털),  10,000원","23:20,  내안의 그놈(디지털),  9,000원",,,03관,2019-01-09,115
"09:50,  그린치(디지털더빙)","11:50,  말모이(디지털),  9,000원","14:35,  말모이(디지털),  10,000원","17:20,  말모이(디지털),  8,000원","20:05,  말모이(디지털),  10,000원","22:50,  말모이(디지털),  8,000원",,,04관,2019-01-09,94
"09:40,  범블비(디지털),  7,000원","12:05,  보헤미안 랩소디(디지털),  9,000원","14:50,  범블비(디지털),  10,000원","17:15,  보헤미안 랩소디(디지털),  10,000원","20:00,  범블비(디지털),  10,000원","22:25,  보헤미안 랩소디(디지털),  10,000원",,,05관,2019-01-09,104
"10:40,  아쿠아맨(디지털),  7,000원","13:35,  아쿠아맨(디지털),  10,000원","16:30,  아쿠아맨(디지털),  10,000원","19:25,  아쿠아맨(디지털),  10,000원","22:20,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-09,112
"10:30,  말모이(디지털),  7,000원","13:15,  말모이(디지털),  8,000원","16:00,  말모이(디지털),  10,000원","18:45,  말모이(디지털),  10,000원","21:30,  말모이(디지털),  10,000원",,,,01관,2019-01-10,148
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:55,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","16:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:35,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원",,,02관,2019-01-10,104
"10:00,  내안의 그놈(디지털),  7,000원","12:40,  내안의 그놈(디지털),  9,000원","15:20,  내안의 그놈(디지털),  10,000원","18:00,  내안의 그놈(디지털),  8,000원","20:40,  내안의 그놈(디지털),  10,000원","23:20,  내안의 그놈(디지털),  9,000원",,,03관,2019-01-10,115
"10:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  9,000원","12:30,  극장판 공룡메카드: 타이니소어의 섬(디지털),  9,000원","14:35,  말모이(디지털),  10,000원","17:20,  말모이(디지털),  10,000원","20:05,  말모이(디지털),  10,000원","22:50,  말모이(디지털),  10,000원",,,04관,2019-01-10,94
"09:40,  범블비(디지털),  7,000원","12:05,  보헤미안 랩소디(디지털),  9,000원","14:50,  극장판 공룡메카드: 타이니소어의 섬(디지털),  10,000원","17:15,  보헤미안 랩소디(디지털),  10,000원","20:00,  범블비(디지털),  10,000원","22:25,  보헤미안 랩소디(디지털),  7,500원",,,05관,2019-01-10,104
"10:40,  아쿠아맨(디지털),  7,000원","13:35,  아쿠아맨(디지털),  10,000원","16:30,  아쿠아맨(디지털),  10,000원","19:25,  아쿠아맨(디지털),  10,000원","22:20,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-10,112
"10:30,  말모이(디지털),  8,000원","13:15,  말모이(디지털),  12,000원","16:00,  말모이(디지털),  12,000원","18:45,  말모이(디지털),  12,000원","21:30,  말모이(디지털),  12,000원",,,,01관,2019-01-11,148
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","11:55,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","16:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","21:35,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원",,,02관,2019-01-11,104
"10:00,  내안의 그놈(디지털),  8,000원","12:40,  내안의 그놈(디지털),  11,000원","15:20,  내안의 그놈(디지털),  12,000원","18:00,  내안의 그놈(디지털),  12,000원","20:40,  내안의 그놈(디지털),  12,000원","23:20,  내안의 그놈(디지털),  10,000원",,,03관,2019-01-11,115
"10:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  8,000원","12:30,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","14:35,  말모이(디지털),  12,000원","17:20,  말모이(디지털),  12,000원","20:05,  말모이(디지털),  12,000원","22:50,  말모이(디지털),  12,000원",,,04관,2019-01-11,94
"09:40,  범블비(디지털),  8,000원","12:05,  보헤미안 랩소디(디지털),  7,000원","14:50,  극장판 공룡메카드: 타이니소어의 섬(디지털),  12,000원","17:15,  보헤미안 랩소디(디지털),  12,000원","20:00,  범블비(디지털),  10,000원","22:25,  보헤미안 랩소디(디지털),  12,000원",,,05관,2019-01-11,104
"10:40,  아쿠아맨(디지털),  8,000원","13:35,  아쿠아맨(디지털),  12,000원","16:30,  아쿠아맨(디지털),  12,000원","19:25,  아쿠아맨(디지털),  12,000원","22:20,  아쿠아맨(디지털),  12,000원",,,,06관,2019-01-11,112
"10:30,  말모이(디지털),  9,000원","13:15,  말모이(디지털),  12,000원","16:00,  말모이(디지털),  12,000원","18:45,  말모이(디지털),  12,000원","21:30,  말모이(디지털),  12,000원",,,,01관,2019-01-12,148
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","11:55,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","16:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","21:35,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원",,,02관,2019-01-12,104
"10:00,  내안의 그놈(디지털),  8,000원","12:40,  내안의 그놈(디지털),  11,000원","15:20,  내안의 그놈(디지털),  12,000원","18:00,  내안의 그놈(디지털),  12,000원","20:40,  내안의 그놈(디지털),  12,000원","23:20,  내안의 그놈(디지털),  10,000원",,,03관,2019-01-12,115
"10:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  8,000원","12:20,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","14:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  12,000원","15:40,  극장판 공룡메카드: 타이니소어의 섬(디지털),  12,000원","17:20,  말모이(디지털),  12,000원","20:10,  말모이(디지털),  12,000원","22:55,  말모이(디지털),  12,000원",,04관,2019-01-12,94
"09:40,  범블비(디지털),  8,000원","12:05,  보헤미안 랩소디(디지털),  11,000원","14:50,  범블비(디지털),  12,000원","17:15,  보헤미안 랩소디(디지털),  12,000원","20:00,  범블비(디지털),  12,000원","22:25,  보헤미안 랩소디(디지털),  12,000원",,,05관,2019-01-12,104
"10:40,  아쿠아맨(디지털),  6,500원","13:35,  아쿠아맨(디지털),  12,000원","16:30,  아쿠아맨(디지털),  12,000원","19:25,  아쿠아맨(디지털),  12,000원","22:20,  아쿠아맨(디지털),  12,000원",,,,06관,2019-01-12,112
"10:30,  말모이(디지털),  9,000원","13:15,  말모이(디지털),  12,000원","16:00,  말모이(디지털),  12,000원","18:45,  말모이(디지털),  12,000원","21:30,  말모이(디지털),  12,000원",,,,01관,2019-01-13,148
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  8,000원","11:55,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","16:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  12,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원","21:35,  주먹왕 랄프 2: 인터넷 속으로(디지털),  12,000원",,,02관,2019-01-13,104
"10:00,  내안의 그놈(디지털),  8,000원","12:40,  내안의 그놈(디지털),  11,000원","15:20,  내안의 그놈(디지털),  12,000원","18:00,  내안의 그놈(디지털),  12,000원","20:40,  내안의 그놈(디지털),  12,000원","23:20,  내안의 그놈(디지털),  10,000원",,,03관,2019-01-13,115
"10:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  8,000원","12:20,  극장판 공룡메카드: 타이니소어의 섬(디지털),  11,000원","14:00,  극장판 공룡메카드: 타이니소어의 섬(디지털),  12,000원","15:40,  극장판 공룡메카드: 타이니소어의 섬(디지털),  12,000원","17:20,  말모이(디지털),  12,000원","20:10,  말모이(디지털),  12,000원","22:55,  말모이(디지털),  12,000원",,04관,2019-01-13,94
"09:40,  범블비(디지털),  8,000원","12:05,  보헤미안 랩소디(디지털),  11,000원","14:50,  범블비(디지털),  12,000원","17:15,  보헤미안 랩소디(디지털),  12,000원","20:00,  범블비(디지털),  10,000원","22:25,  보헤미안 랩소디(디지털),  12,000원",,,05관,2019-01-13,104
"10:40,  아쿠아맨(디지털),  8,000원","13:35,  아쿠아맨(디지털),  12,000원","16:30,  아쿠아맨(디지털),  12,000원","19:25,  아쿠아맨(디지털),  12,000원","22:20,  아쿠아맨(디지털),  12,000원",,,,06관,2019-01-13,112
"10:30,  말모이(디지털),  7,000원","13:15,  말모이(디지털),  10,000원","16:00,  말모이(디지털),  10,000원","18:45,  말모이(디지털),  10,000원","21:30,  말모이(디지털),  10,000원",,,,01관,2019-01-14,148
"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","12:30,  극장판 공룡메카드: 타이니소어의 섬(디지털),  9,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  8,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:35,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원",,,02관,2019-01-14,104
"10:00,  내안의 그놈(디지털),  7,000원","12:40,  내안의 그놈(디지털),  9,000원","15:20,  내안의 그놈(디지털),  10,000원","18:00,  내안의 그놈(디지털),  10,000원","20:40,  내안의 그놈(디지털),  10,000원","23:20,  내안의 그놈(디지털),  9,000원",,,03관,2019-01-14,115
"10:10,  극장판 공룡메카드: 타이니소어의 섬(디지털),  7,000원","11:50,  말모이(디지털),  5,000원","14:35,  말모이(디지털),  10,000원","17:20,  말모이(디지털),  10,000원","20:05,  말모이(디지털),  10,000원","22:50,  말모이(디지털),  10,000원",,,04관,2019-01-14,94
"09:40,  범블비(디지털),  7,000원","12:05,  보헤미안 랩소디(디지털),  9,000원","14:50,  극장판 공룡메카드: 타이니소어의 섬(디지털),  10,000원","17:15,  보헤미안 랩소디(디지털),  10,000원","20:00,  범블비(디지털),  10,000원","22:25,  보헤미안 랩소디(디지털),  10,000원",,,05관,2019-01-14,104
"10:40,  아쿠아맨(디지털),  8,000원","13:35,  아쿠아맨(디지털),  10,000원","16:30,  아쿠아맨(디지털),  10,000원","19:25,  아쿠아맨(디지털),  10,000원","22:20,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-14,112
