상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2017-05-24,05관,"10:40,  보안관(디지털),  5,000원","13:00,  킹 아서: 제왕의 검(디지털),  9,000원","15:35,  보안관(디지털),  9,000원","17:55,  킹 아서: 제왕의 검(디지털),  9,000원","20:30,  보안관(디지털),  9,000원","22:50,  킹 아서: 제왕의 검(디지털),  9,000원",,,,,,,238
2017-05-24,06관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","16:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","18:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","21:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","23:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,256
2017-05-24,07관,"10:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","12:45,  불한당: 나쁜 놈들의 세상(디지털)","15:10,  보스 베이비(디지털더빙),  9,000원","17:15,  불한당: 나쁜 놈들의 세상(디지털),  9,000원","19:40,  불한당: 나쁜 놈들의 세상(디지털),  9,000원","22:05,  마차 타고 고래고래(디지털),  9,000원","24:10,  불한당: 나쁜 놈들의 세상(디지털),  6,000원",,,,,,238
2017-05-25,01관,"09:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","11:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  7,000원","14:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","16:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","19:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","21:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","24:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,272
2017-05-25,02관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  7,000원","15:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","17:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","20:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","23:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,272
2017-05-25,03관,"09:30,  겟 아웃(디지털),  5,000원","11:50,  겟 아웃(디지털),  6,000원","14:10,  겟 아웃(디지털),  6,000원","16:30,  겟 아웃(디지털),  9,000원","18:50,  겟 아웃(디지털),  9,000원","21:10,  겟 아웃(디지털),  9,000원","23:30,  겟 아웃(디지털),  6,000원",,,,,,256
2017-05-25,04관,"09:50,  노무현입니다(디지털),  5,000원","12:05,  노무현입니다(디지털),  7,000원","14:20,  노무현입니다(디지털),  9,000원","16:35,  노무현입니다(디지털),  9,000원","18:50,  노무현입니다(디지털),  9,000원","21:05,  노무현입니다(디지털),  9,000원","23:20,  노무현입니다(디지털),  6,000원",,,,,,256
2017-05-25,05관,"10:40,  보안관(디지털),  5,000원","13:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","15:50,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","18:25,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","21:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  9,000원","23:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,238
2017-05-25,06관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","14:30,  보안관(디지털),  5,000원","16:50,  킹 아서: 제왕의 검(디지털),  9,000원","19:25,  보안관(디지털),  9,000원","21:45,  킹 아서: 제왕의 검(디지털),  9,000원","24:20,  킹 아서: 제왕의 검(디지털),  6,000원",,,,,,,256
2017-05-25,07관,"10:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","12:45,  불한당: 나쁜 놈들의 세상(디지털),  7,000원","15:10,  너와 100번째 사랑(디지털),  8,000원","17:30,  너와 100번째 사랑(디지털),  9,000원","19:50,  너와 100번째 사랑(디지털),  9,000원","22:10,  너와 100번째 사랑(디지털),  8,000원","24:30,  불한당: 나쁜 놈들의 세상(디지털),  6,000원",,,,,,238
2017-05-26,01관,"09:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","11:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  10,000원","14:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","16:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","19:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","21:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","24:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,272
2017-05-26,02관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  10,000원","15:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","17:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","20:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","23:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,272
2017-05-26,03관,"09:30,  겟 아웃(디지털),  5,000원","11:50,  겟 아웃(디지털),  10,000원","14:10,  겟 아웃(디지털),  11,000원","16:30,  겟 아웃(디지털),  11,000원","18:50,  겟 아웃(디지털),  11,000원","21:10,  겟 아웃(디지털),  11,000원","23:30,  겟 아웃(디지털),  6,000원",,,,,,256
2017-05-26,04관,"09:50,  노무현입니다(디지털),  5,000원","12:05,  노무현입니다(디지털),  10,000원","14:20,  노무현입니다(디지털),  11,000원","16:35,  노무현입니다(디지털),  11,000원","18:50,  노무현입니다(디지털),  11,000원","21:05,  노무현입니다(디지털),  11,000원","23:20,  노무현입니다(디지털),  6,000원",,,,,,256
2017-05-26,05관,"10:40,  보안관(디지털),  5,000원","13:00,  킹 아서: 제왕의 검(디지털),  6,000원","15:35,  보안관(디지털),  11,000원","17:55,  킹 아서: 제왕의 검(디지털),  6,500원","20:30,  보안관(디지털),  11,000원","22:50,  킹 아서: 제왕의 검(디지털),  11,000원",,,,,,,238
2017-05-26,06관,"11:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","16:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","18:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","21:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","23:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,256
2017-05-26,07관,"10:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","12:45,  불한당: 나쁜 놈들의 세상(디지털),  10,000원","15:10,  너와 100번째 사랑(디지털),  9,000원","17:30,  너와 100번째 사랑(디지털),  9,000원","19:50,  너와 100번째 사랑(디지털),  11,000원","22:10,  너와 100번째 사랑(디지털),  11,000원","24:30,  불한당: 나쁜 놈들의 세상(디지털),  6,000원",,,,,,238
2017-05-27,01관,"10:35,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","13:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","15:45,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","18:20,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","20:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","23:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  6,000원",,,,,,,272
2017-05-27,02관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:35,  보안관(디지털),  10,000원","14:55,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","17:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","20:05,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원","22:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  11,000원",,,,,,,272
2017-05-27,03관,"10:40,  겟 아웃(디지털),  5,000원","13:00,  겟 아웃(디지털),  11,000원","15:20,  겟 아웃(디지털),  11,000원","17:40,  겟 아웃(디지털),  11,000원","20:00,  겟 아웃(디지털),  11,000원","22:20,  겟 아웃(디지털),  11,000원","24:40,  겟 아웃(디지털),  6,000원",,,,,,256
2017-05-27,04관,"09:40,  노무현입니다(디지털),  5,000원","11:55,  노무현입니다(디지털),  10,000원","14:10,  노무현입니다(디지털),  11,000원","16:25,  노무현입니다(디지털),  11,000원","18:40,  노무현입니다(디지털),  11,000원","20:55,  노무현입니다(디지털),  11,000원","23:10,  노무현입니다(디지털),  6,000원",,,,,,256
