1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"09:30,  토이 스토리 4(디지털),  6,000원","11:35,  마녀배달부 키키(디지털),  9,000원","13:40,  토이 스토리 4(디지털),  10,000원","15:50,  토이 스토리 4(디지털더빙),  10,000원","17:55,  토이 스토리 4(디지털),  10,000원","20:00,  토이 스토리 4(디지털),  10,000원","22:10,  토이 스토리 4(디지털),  10,000원",,,01관,2019-07-01,206
"09:40,  알라딘(디지털),  6,000원","12:15,  알라딘(디지털더빙),  9,000원","14:50,  알라딘(디지털),  10,000원","17:20,  알라딘(디지털),  10,000원","19:50,  알라딘(디지털),  10,000원","22:20,  알라딘(디지털),  10,000원",,,,02관,2019-07-01,246
"09:30,  롱 리브 더 킹: 목포 영웅(디지털),  7,000원","11:50,  롱 리브 더 킹: 목포 영웅(디지털),  9,000원","14:15,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","16:45,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","19:10,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","21:30,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원",,,,03관,2019-07-01,251
"10:35,  기생충(디지털),  7,000원","13:15,  기생충(디지털),  10,000원","15:55,  기생충(디지털),  10,000원","18:30,  기생충(디지털),  10,000원","21:10,  기생충(디지털),  10,000원",,,,,04관,2019-07-01,125
"10:05,  애나벨 집으로(디지털),  8,000원","12:20,  애나벨 집으로(디지털),  9,000원","14:30,  애나벨 집으로(디지털),  7,000원","16:40,  애나벨 집으로(디지털),  10,000원","18:50,  애나벨 집으로(디지털),  10,000원","21:00,  애나벨 집으로(디지털),  10,000원","23:10,  애나벨 집으로(디지털),  10,000원",,,05관,2019-07-01,134
"10:40,  존 윅 3: 파라벨룸(디지털),  6,000원","13:20,  존 윅 3: 파라벨룸(디지털),  10,000원","16:00,  존 윅 3: 파라벨룸(디지털),  10,000원","18:35,  존 윅 3: 파라벨룸(디지털),  10,000원","21:15,  존 윅 3: 파라벨룸(디지털),  10,000원",,,,,06관,2019-07-01,164
"10:10,  비스트(디지털),  6,000원","12:35,  쓰리 세컨즈(디지털),  7,000원","15:10,  비스트(디지털),  10,000원","17:45,  비스트(디지털),  10,000원","20:25,  비스트(디지털),  10,000원","23:00,  존 윅 3: 파라벨룸(디지털),  10,000원",,,,07관,2019-07-01,89
"10:00,  마담 싸이코(디지털)","12:00,  마담 싸이코(디지털)","14:00,  마담 싸이코(디지털),  10,000원","16:10,  마담 싸이코(디지털),  10,000원","18:10,  마담 싸이코(디지털),  10,000원","20:10,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","22:40,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원",,,08관,2019-07-01,85
"09:30,  토이 스토리 4(디지털),  7,000원","11:30,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:30,  스파이더맨: 파 프롬 홈(디지털),  8,000원","22:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,01관,2019-07-02,206
"09:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,02관,2019-07-02,246
"10:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:35,  스파이더맨: 파 프롬 홈(디지털),  9,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,03관,2019-07-02,251
"10:30,  롱 리브 더 킹: 목포 영웅(디지털),  8,000원","13:00,  롱 리브 더 킹: 목포 영웅(디지털),  9,000원","15:30,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","18:00,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","20:25,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","23:00,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원",,,,04관,2019-07-02,125
"10:30,  스파이더맨: 파 프롬 홈(디지털),  6,000원","13:05,  기생충(디지털),  10,000원","15:40,  기생충(디지털),  10,000원","18:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,05관,2019-07-02,134
"11:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","13:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,,06관,2019-07-02,164
"09:50,  알라딘(디지털),  7,000원","12:20,  알라딘(디지털),  9,000원","14:50,  알라딘(디지털),  10,000원","17:25,  알라딘(디지털),  10,000원","20:00,  알라딘(디지털),  10,000원","22:40,  알라딘(디지털),  10,000원",,,,07관,2019-07-02,89
"10:40,  알라딘(디지털더빙)","13:10,  존 윅 3: 파라벨룸(디지털),  10,000원","15:50,  알라딘(디지털더빙),  10,000원","18:20,  존 윅 3: 파라벨룸(디지털),  10,000원","21:00,  존 윅 3: 파라벨룸(디지털),  10,000원","23:35,  애나벨 집으로(디지털),  10,000원",,,,08관,2019-07-02,85
"09:30,  토이 스토리 4(디지털),  7,000원","11:30,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,01관,2019-07-03,206
"09:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,02관,2019-07-03,246
"10:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","12:35,  스파이더맨: 파 프롬 홈(디지털),  9,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,03관,2019-07-03,251
"10:30,  롱 리브 더 킹: 목포 영웅(디지털),  7,000원","13:00,  롱 리브 더 킹: 목포 영웅(디지털),  9,000원","15:30,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","18:00,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","20:25,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","23:00,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원",,,,04관,2019-07-03,125
"10:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","13:05,  기생충(디지털),  10,000원","15:40,  기생충(디지털),  10,000원","18:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,05관,2019-07-03,134
"11:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","13:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:45,  알라딘(디지털),  10,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,,06관,2019-07-03,164
"09:50,  알라딘(디지털),  7,000원","12:20,  알라딘(디지털),  9,000원","14:50,  알라딘(디지털),  6,500원","17:25,  알라딘(디지털),  10,000원","20:00,  알라딘(디지털),  10,000원","22:40,  알라딘(디지털),  10,000원",,,,07관,2019-07-03,89
"10:40,  알라딘(디지털더빙),  6,000원","13:10,  존 윅 3: 파라벨룸(디지털),  10,000원","15:50,  알라딘(디지털더빙),  10,000원","18:20,  존 윅 3: 파라벨룸(디지털),  10,000원","21:00,  존 윅 3: 파라벨룸(디지털),  10,000원","23:35,  애나벨 집으로(디지털),  10,000원",,,,08관,2019-07-03,85
"09:30,  토이 스토리 4(디지털),  6,000원","11:30,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,01관,2019-07-04,206
"09:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:25,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,02관,2019-07-04,246
"10:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:35,  스파이더맨: 파 프롬 홈(디지털),  9,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:55,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,03관,2019-07-04,251
"10:30,  롱 리브 더 킹: 목포 영웅(디지털),  7,000원","13:00,  롱 리브 더 킹: 목포 영웅(디지털),  9,000원","15:30,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","18:00,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","20:25,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","23:00,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원",,,,04관,2019-07-04,125
"10:30,  스파이더맨: 파 프롬 홈(디지털),  6,000원","13:05,  기생충(디지털),  10,000원","15:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:15,  기생충(디지털),  10,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:25,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,05관,2019-07-04,134
"11:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","13:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,,06관,2019-07-04,164
"09:50,  알라딘(디지털더빙),  6,000원","12:20,  별의 정원(디지털),  9,000원","14:10,  알라딘(디지털),  10,000원","16:50,  알라딘(디지털),  10,000원","19:25,  알라딘(디지털),  10,000원","22:15,  알라딘(디지털),  10,000원",,,,07관,2019-07-04,89
"10:40,  알라딘(디지털),  6,000원","13:10,  존 윅 3: 파라벨룸(디지털),  10,000원","15:50,  알라딘(디지털더빙),  10,000원","18:20,  존 윅 3: 파라벨룸(디지털),  10,000원","21:00,  존 윅 3: 파라벨룸(디지털),  10,000원","23:35,  애나벨 집으로(디지털),  10,000원",,,,08관,2019-07-04,85
"09:30,  토이 스토리 4(디지털),  7,000원","11:30,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:05,  스파이더맨: 파 프롬 홈(디지털),  11,000원","16:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:15,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,01관,2019-07-05,206
"09:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  7,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:25,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,02관,2019-07-05,246
"10:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:35,  스파이더맨: 파 프롬 홈(디지털),  11,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:45,  스파이더맨: 파 프롬 홈(디지털),  11,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:55,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,03관,2019-07-05,251
"10:45,  롱 리브 더 킹: 목포 영웅(디지털),  7,000원","13:15,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","15:45,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","18:10,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","20:35,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","23:00,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원",,,,04관,2019-07-05,125
"10:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","13:05,  기생충(디지털),  11,000원","15:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:15,  기생충(디지털),  11,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:25,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,05관,2019-07-05,134
"11:00,  스파이더맨: 파 프롬 홈(디지털),  9,000원","13:35,  스파이더맨: 파 프롬 홈(디지털),  11,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:55,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,06관,2019-07-05,164
"10:40,  알라딘(디지털),  7,000원","13:20,  알라딘(디지털),  11,000원","16:00,  별의 정원(디지털),  7,000원","17:40,  알라딘(디지털),  11,000원","20:15,  알라딘(디지털),  11,000원","22:45,  알라딘(디지털),  11,000원",,,,07관,2019-07-05,89
"10:00,  알라딘(디지털더빙),  7,000원","12:40,  존 윅 3: 파라벨룸(디지털),  11,000원","15:20,  알라딘(디지털더빙),  11,000원","18:00,  존 윅 3: 파라벨룸(디지털),  11,000원","21:00,  존 윅 3: 파라벨룸(디지털),  11,000원","23:35,  애나벨 집으로(디지털),  11,000원",,,,08관,2019-07-05,85
"09:40,  토이 스토리 4(디지털더빙),  7,000원","11:50,  토이 스토리 4(디지털),  11,000원","14:00,  토이 스토리 4(디지털더빙),  11,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:55,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,01관,2019-07-06,206
"09:00,  스파이더맨: 파 프롬 홈(디지털),  8,000원","11:35,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","16:45,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:55,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,02관,2019-07-06,246
"10:30,  스파이더맨: 파 프롬 홈(디지털),  8,000원","13:05,  스파이더맨: 파 프롬 홈(디지털),  11,000원","15:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:15,  스파이더맨: 파 프롬 홈(디지털),  11,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:25,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,03관,2019-07-06,251
"09:10,  롱 리브 더 킹: 목포 영웅(디지털),  7,000원","11:30,  토이 스토리 4(디지털더빙),  11,000원","13:35,  알라딘(디지털더빙),  11,000원","16:15,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","18:40,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","21:05,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","23:30,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원",,,04관,2019-07-06,125
"09:20,  알라딘(디지털더빙),  10,000원","11:55,  알라딘(디지털더빙),  11,000원","14:30,  알라딘(디지털더빙),  11,000원","17:10,  알라딘(디지털),  11,000원","19:45,  알라딘(디지털),  11,000원","22:20,  알라딘(디지털),  11,000원",,,,05관,2019-07-06,134
"09:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:25,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,06관,2019-07-06,164
"10:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:35,  기생충(디지털),  11,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:45,  기생충(디지털),  11,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:55,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,07관,2019-07-06,89
"09:10,  별의 정원(디지털),  7,000원","10:50,  토이 스토리 4(디지털),  11,000원","12:55,  존 윅 3: 파라벨룸(디지털),  11,000원","15:35,  토이 스토리 4(디지털더빙),  11,000원","17:45,  존 윅 3: 파라벨룸(디지털),  11,000원","20:25,  알라딘(디지털),  11,000원","23:05,  애나벨 집으로(디지털),  11,000원",,,08관,2019-07-06,85
"09:40,  토이 스토리 4(디지털더빙),  7,000원","11:50,  토이 스토리 4(디지털),  11,000원","14:00,  토이 스토리 4(디지털더빙),  11,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,01관,2019-07-07,206
"09:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","11:35,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","16:45,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","21:55,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,02관,2019-07-07,246
"10:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원","13:05,  스파이더맨: 파 프롬 홈(디지털),  11,000원","15:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","18:15,  스파이더맨: 파 프롬 홈(디지털),  11,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","23:25,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,03관,2019-07-07,251
"09:10,  롱 리브 더 킹: 목포 영웅(디지털),  7,000원","11:30,  토이 스토리 4(디지털더빙),  11,000원","13:35,  알라딘(디지털더빙),  11,000원","16:15,  토이 스토리 4(디지털더빙),  11,000원","18:30,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","21:00,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원","23:20,  롱 리브 더 킹: 목포 영웅(디지털),  11,000원",,,04관,2019-07-07,125
"09:20,  알라딘(디지털더빙),  7,000원","11:55,  알라딘(디지털더빙),  11,000원","14:30,  알라딘(디지털더빙),  11,000원","17:10,  알라딘(디지털),  11,000원","19:45,  알라딘(디지털),  11,000원","22:20,  알라딘(디지털),  11,000원",,,,05관,2019-07-07,134
"09:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  11,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  11,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:25,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,06관,2019-07-07,164
"10:00,  스파이더맨: 파 프롬 홈(디지털),  8,000원","12:35,  기생충(디지털),  11,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  11,000원","17:45,  기생충(디지털),  11,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  11,000원","22:55,  스파이더맨: 파 프롬 홈(디지털),  11,000원",,,,07관,2019-07-07,89
"09:10,  별의 정원(디지털),  7,000원","10:50,  토이 스토리 4(디지털),  11,000원","12:55,  존 윅 3: 파라벨룸(디지털),  11,000원","15:35,  알라딘(디지털더빙),  11,000원","18:10,  존 윅 3: 파라벨룸(디지털),  11,000원","20:50,  알라딘(디지털),  11,000원","23:30,  애나벨 집으로(디지털),  11,000원",,,08관,2019-07-07,85
"09:30,  별의 정원(디지털)","11:30,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,01관,2019-07-08,206
"09:30,  스파이더맨: 파 프롬 홈(디지털),  6,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,02관,2019-07-08,246
"10:00,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:35,  스파이더맨: 파 프롬 홈(디지털),  9,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:00,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,03관,2019-07-08,251
"10:40,  알라딘(디지털),  7,000원","13:20,  알라딘(디지털),  10,000원","16:00,  토이 스토리 4(디지털더빙),  10,000원","18:05,  알라딘(디지털),  10,000원","20:40,  알라딘(디지털),  10,000원","23:10,  알라딘(디지털),  10,000원",,,,04관,2019-07-08,125
"10:30,  스파이더맨: 파 프롬 홈(디지털),  6,000원","13:05,  기생충(디지털),  10,000원","15:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:15,  기생충(디지털),  10,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,05관,2019-07-08,134
"11:00,  스파이더맨: 파 프롬 홈(디지털),  6,500원","13:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,,06관,2019-07-08,164
"10:35,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","13:00,  롱 리브 더 킹: 목포 영웅(디지털),  9,000원","15:25,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","17:50,  토이 스토리 4(디지털),  10,000원","20:15,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","22:40,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원",,,,07관,2019-07-08,89
"10:00,  알라딘(디지털더빙),  6,000원","12:40,  존 윅 3: 파라벨룸(디지털),  9,000원","15:20,  알라딘(디지털더빙),  8,000원","18:00,  존 윅 3: 파라벨룸(디지털),  10,000원","21:00,  존 윅 3: 파라벨룸(디지털),  10,000원","23:35,  애나벨 집으로(디지털),  10,000원",,,,08관,2019-07-08,85
"09:30,  별의 정원(디지털)","11:30,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,01관,2019-07-09,206
"09:30,  스파이더맨: 파 프롬 홈(디지털),  7,000원","12:05,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,02관,2019-07-09,246
"10:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","12:35,  스파이더맨: 파 프롬 홈(디지털),  8,000원","15:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","17:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:00,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,03관,2019-07-09,251
"10:00,  기방도령(디지털),  5,000원","13:00,  알라딘(디지털),  10,000원","15:45,  토이 스토리 4(디지털더빙),  10,000원","17:50,  알라딘(디지털),  10,000원","20:30,  알라딘(디지털),  10,000원","23:10,  알라딘(디지털),  10,000원",,,,04관,2019-07-09,125
"11:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","13:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,,05관,2019-07-09,134
"10:10,  롱 리브 더 킹: 목포 영웅(디지털),  5,000원","13:05,  스파이더맨: 파 프롬 홈(디지털),  10,000원","15:40,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:15,  스파이더맨: 파 프롬 홈(디지털),  10,000원","20:50,  스파이더맨: 파 프롬 홈(디지털),  10,000원","23:30,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,06관,2019-07-09,164
"09:50,  알라딘(디지털),  6,000원","12:25,  롱 리브 더 킹: 목포 영웅(디지털),  9,000원","14:50,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","17:15,  토이 스토리 4(디지털),  10,000원","19:25,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원","22:00,  롱 리브 더 킹: 목포 영웅(디지털),  10,000원",,,,07관,2019-07-09,89
"10:40,  알라딘(디지털더빙),  6,000원","13:15,  존 윅 3: 파라벨룸(디지털),  10,000원","16:00,  알라딘(디지털더빙),  10,000원","18:30,  존 윅 3: 파라벨룸(디지털),  10,000원","21:05,  존 윅 3: 파라벨룸(디지털),  10,000원","23:40,  애나벨 집으로(디지털),  10,000원",,,,08관,2019-07-09,85
"09:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","11:35,  스파이더맨: 파 프롬 홈(디지털),  9,000원","14:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","19:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원","22:00,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,01관,2019-07-10,206
"11:00,  스파이더맨: 파 프롬 홈(디지털),  6,000원","13:35,  스파이더맨: 파 프롬 홈(디지털),  10,000원","16:10,  스파이더맨: 파 프롬 홈(디지털),  10,000원","18:45,  스파이더맨: 파 프롬 홈(디지털),  10,000원","21:20,  스파이더맨: 파 프롬 홈(디지털),  10,000원",,,,,02관,2019-07-10,246
