1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
"09:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","11:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","16:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","19:00,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","21:15,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","23:30,  보헤미안 랩소디(디지털),  11,000원",,,05관,2019-01-04,134
"10:40,  PMC: 더 벙커(디지털),  7,000원","13:20,  보헤미안 랩소디(디지털),  11,000원","16:00,  PMC: 더 벙커(디지털),  11,000원","18:30,  범블비(디지털),  11,000원","21:00,  보헤미안 랩소디(디지털),  11,000원","23:40,  PMC: 더 벙커(디지털),  11,000원",,,,06관,2019-01-04,164
"10:00,  보헤미안 랩소디(디지털),  7,000원","13:00,  범블비(디지털),  11,000원","15:20,  스윙키즈(디지털),  10,000원","18:00,  스윙키즈(디지털),  11,000원","20:40,  범블비(디지털),  11,000원","23:00,  스윙키즈(디지털),  11,000원",,,,07관,2019-01-04,89
"09:00,  언니(디지털)","11:00,  그린치(디지털더빙),  8,000원","12:55,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  11,000원","15:05,  보헤미안 랩소디(디지털),  11,000원","17:45,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","20:00,  스윙키즈(디지털),  11,000원","22:40,  마약왕(디지털),  11,000원",,,08관,2019-01-04,85
"09:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","16:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","19:00,  보헤미안 랩소디(디지털),  11,000원","21:40,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","24:00,  아쿠아맨(디지털),  11,000원",,,01관,2019-01-05,206
"08:50,  PMC: 더 벙커(디지털),  7,000원","11:20,  PMC: 더 벙커(디지털),  11,000원","13:50,  PMC: 더 벙커(디지털),  11,000원","16:30,  PMC: 더 벙커(디지털),  11,000원","19:10,  PMC: 더 벙커(디지털),  11,000원","21:40,  PMC: 더 벙커(디지털),  11,000원","24:10,  PMC: 더 벙커(디지털),  7,000원",,,02관,2019-01-05,246
"08:40,  아쿠아맨(디지털),  6,000원","11:30,  아쿠아맨(디지털),  11,000원","14:20,  아쿠아맨(디지털),  11,000원","17:05,  아쿠아맨(디지털),  11,000원","19:55,  아쿠아맨(디지털),  11,000원","22:45,  아쿠아맨(디지털),  11,000원",,,,03관,2019-01-05,251
"08:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","10:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","13:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","15:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","18:20,  PMC: 더 벙커(디지털),  11,000원","20:50,  범블비(디지털),  11,000원","23:05,  마약왕(디지털),  11,000원",,,04관,2019-01-05,125
"10:00,  PMC: 더 벙커(디지털),  7,000원","12:30,  범블비(디지털),  11,000원","14:50,  말모이(디지털),  11,000원","17:50,  말모이(디지털),  11,000원","20:35,  아쿠아맨(디지털),  11,000원","23:20,  PMC: 더 벙커(디지털),  11,000원",,,,05관,2019-01-05,134
"09:50,  아쿠아맨(디지털),  7,000원","12:40,  아쿠아맨(디지털),  11,000원","15:30,  아쿠아맨(디지털),  11,000원","18:20,  아쿠아맨(디지털),  11,000원","21:20,  아쿠아맨(디지털),  11,000원","24:10,  스윙키즈(디지털),  9,000원",,,,06관,2019-01-05,164
"09:10,  언니(디지털)","11:10,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","13:10,  언니(디지털),  11,000원","15:10,  보헤미안 랩소디(디지털),  11,000원","17:50,  스윙키즈(디지털),  11,000원","20:30,  언니(디지털),  11,000원","22:30,  언니(디지털),  11,000원",,,07관,2019-01-05,89
"08:50,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  7,000원","10:50,  보헤미안 랩소디(디지털),  7,000원","13:30,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  11,000원","16:00,  범블비(디지털),  11,000원","18:30,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","20:55,  보헤미안 랩소디(디지털),  11,000원","23:40,  보헤미안 랩소디(디지털),  11,000원",,,08관,2019-01-05,85
"09:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","14:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","16:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","19:00,  보헤미안 랩소디(디지털),  11,000원","21:40,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원",,,,01관,2019-01-06,206
"08:50,  PMC: 더 벙커(디지털),  7,000원","11:20,  PMC: 더 벙커(디지털),  11,000원","13:50,  PMC: 더 벙커(디지털),  11,000원","16:30,  PMC: 더 벙커(디지털),  11,000원","19:10,  PMC: 더 벙커(디지털),  11,000원","21:50,  PMC: 더 벙커(디지털),  11,000원",,,,02관,2019-01-06,246
"08:40,  아쿠아맨(디지털),  7,000원","11:30,  아쿠아맨(디지털),  11,000원","14:20,  아쿠아맨(디지털),  11,000원","17:05,  아쿠아맨(디지털),  11,000원","19:55,  아쿠아맨(디지털),  11,000원","22:45,  아쿠아맨(디지털),  11,000원",,,,03관,2019-01-06,251
"08:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","10:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","13:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","15:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  11,000원","18:05,  PMC: 더 벙커(디지털),  11,000원","20:45,  범블비(디지털),  11,000원","23:05,  마약왕(디지털),  11,000원",,,04관,2019-01-06,125
"10:00,  PMC: 더 벙커(디지털),  7,000원","12:30,  범블비(디지털),  11,000원","14:50,  말모이(디지털),  11,000원","17:50,  말모이(디지털),  11,000원","20:30,  스윙키즈(디지털),  11,000원","23:20,  PMC: 더 벙커(디지털),  11,000원",,,,05관,2019-01-06,134
"09:50,  아쿠아맨(디지털),  7,000원","12:40,  아쿠아맨(디지털),  11,000원","15:30,  아쿠아맨(디지털),  11,000원","18:20,  아쿠아맨(디지털),  11,000원","21:20,  아쿠아맨(디지털),  11,000원",,,,,06관,2019-01-06,164
"09:10,  언니(디지털),  7,000원","11:10,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  11,000원","13:10,  언니(디지털),  11,000원","15:10,  언니(디지털),  11,000원","17:20,  스윙키즈(디지털),  11,000원","20:00,  언니(디지털),  11,000원","22:00,  언니(디지털),  11,000원",,,07관,2019-01-06,89
"08:50,  점박이 한반도의 공룡2 : 새로운 낙원(디지털)","10:50,  보헤미안 랩소디(디지털),  7,000원","13:30,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  11,000원","16:00,  범블비(디지털),  11,000원","18:30,  주먹왕 랄프 2: 인터넷 속으로(디지털),  11,000원","20:55,  보헤미안 랩소디(디지털),  11,000원","23:40,  아쿠아맨(디지털),  11,000원",,,08관,2019-01-06,85
"10:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","12:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","15:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","17:40,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","20:05,  언니(디지털),  10,000원","23:00,  마약왕(디지털),  10,000원",,,,01관,2019-01-07,206
"09:20,  PMC: 더 벙커(디지털),  6,000원","11:50,  PMC: 더 벙커(디지털),  9,000원","14:20,  PMC: 더 벙커(디지털),  10,000원","16:50,  PMC: 더 벙커(디지털),  10,000원","19:35,  PMC: 더 벙커(디지털),  9,000원","22:05,  PMC: 더 벙커(디지털),  10,000원",,,,02관,2019-01-07,246
"09:30,  아쿠아맨(디지털),  7,000원","12:20,  아쿠아맨(디지털),  9,000원","15:10,  아쿠아맨(디지털),  10,000원","18:00,  아쿠아맨(디지털),  10,000원","20:50,  아쿠아맨(디지털),  10,000원","23:40,  아쿠아맨(디지털),  10,000원",,,,03관,2019-01-07,251
"09:05,  보헤미안 랩소디(디지털),  6,000원","12:05,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  9,000원","14:45,  보헤미안 랩소디(디지털),  10,000원","17:25,  보헤미안 랩소디(디지털),  10,000원","20:20,  보헤미안 랩소디(디지털),  10,000원","23:15,  보헤미안 랩소디(디지털),  10,000원",,,,04관,2019-01-07,125
"09:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  7,000원","11:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","14:05,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:25,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:45,  범블비(디지털),  10,000원","21:05,  범블비(디지털),  10,000원","23:25,  범블비(디지털),  10,000원",,,05관,2019-01-07,134
"09:00,  그린치(디지털더빙),  6,000원","10:55,  아쿠아맨(디지털),  10,000원","13:45,  아쿠아맨(디지털),  10,000원","16:35,  아쿠아맨(디지털),  10,000원","19:25,  아쿠아맨(디지털),  10,000원","22:15,  아쿠아맨(디지털),  8,000원",,,,06관,2019-01-07,164
"09:00,  언니(디지털),  6,000원","11:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  7,000원","13:00,  언니(디지털),  9,000원","15:00,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  10,000원","17:10,  언니(디지털),  10,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:25,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","23:45,  언니(디지털),  10,000원",,07관,2019-01-07,89
"10:40,  스윙키즈(디지털),  6,000원","13:25,  범블비(디지털),  10,000원","15:50,  스윙키즈(디지털),  10,000원","18:30,  PMC: 더 벙커(디지털),  10,000원","21:00,  스윙키즈(디지털),  10,000원","23:45,  PMC: 더 벙커(디지털),  10,000원",,,,08관,2019-01-07,85
"10:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:40,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","15:20,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","17:40,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","20:05,  언니(디지털),  10,000원","23:00,  마약왕(디지털),  10,000원",,,,01관,2019-01-08,206
"09:20,  PMC: 더 벙커(디지털),  10,000원","11:50,  PMC: 더 벙커(디지털),  8,500원","14:20,  PMC: 더 벙커(디지털),  10,000원","16:50,  PMC: 더 벙커(디지털),  10,000원","19:35,  PMC: 더 벙커(디지털),  10,000원","22:05,  PMC: 더 벙커(디지털),  10,000원",,,,02관,2019-01-08,246
"09:30,  아쿠아맨(디지털),  7,000원","12:20,  아쿠아맨(디지털),  9,000원","15:10,  아쿠아맨(디지털),  10,000원","18:00,  아쿠아맨(디지털),  10,000원","20:50,  아쿠아맨(디지털),  10,000원","23:40,  아쿠아맨(디지털),  10,000원",,,,03관,2019-01-08,251
"09:05,  보헤미안 랩소디(디지털)","12:05,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  10,000원","14:45,  보헤미안 랩소디(디지털),  10,000원","17:25,  보헤미안 랩소디(디지털),  10,000원","20:20,  보헤미안 랩소디(디지털),  10,000원","23:15,  보헤미안 랩소디(디지털),  7,000원",,,,04관,2019-01-08,125
"09:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  9,000원","14:05,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","16:25,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  10,000원","18:45,  범블비(디지털),  10,000원","21:05,  범블비(디지털),  10,000원","23:25,  범블비(디지털),  10,000원",,,05관,2019-01-08,134
"09:00,  그린치(디지털더빙),  6,000원","10:55,  아쿠아맨(디지털),  7,000원","13:45,  아쿠아맨(디지털),  10,000원","16:35,  아쿠아맨(디지털),  10,000원","19:25,  아쿠아맨(디지털),  10,000원","22:15,  아쿠아맨(디지털),  10,000원",,,,06관,2019-01-08,164
"09:00,  언니(디지털),  8,000원","11:00,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  6,000원","13:00,  언니(디지털),  9,000원","15:00,  극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~(디지털더빙),  10,000원","17:10,  언니(디지털),  10,000원","19:10,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","21:25,  주먹왕 랄프 2: 인터넷 속으로(디지털),  10,000원","23:45,  언니(디지털),  8,000원",,07관,2019-01-08,89
"10:40,  스윙키즈(디지털),  10,000원","13:25,  범블비(디지털),  10,000원","15:50,  스윙키즈(디지털),  10,000원","18:30,  PMC: 더 벙커(디지털),  10,000원","21:00,  스윙키즈(디지털),  10,000원","23:45,  PMC: 더 벙커(디지털)",,,,08관,2019-01-08,85
