상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2016-06-05,02관,"07:40,  아가씨(디지털),  7,000원","10:30,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원","12:00,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원","15:05,  곡성(디지털),  11,000원","18:05,  아가씨(디지털),  11,000원","20:55,  곡성(디지털),  11,000원","24:00,  아가씨(디지털),  9,000원","13:30,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원",,,,,99
2016-06-05,03관,"08:00,  미 비포 유(디지털),  7,000원","10:15,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  8,000원","12:15,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  8,000원","14:15,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  8,000원","16:15,  아가씨(디지털),  11,000원","19:05,  아가씨(디지털),  11,000원","22:00,  아가씨(디지털),  11,000원",,,,,,102
2016-06-05,04관,"09:00,  아가씨(디지털),  7,000원","11:50,  아가씨(디지털),  10,000원","14:40,  아가씨(디지털),  11,000원","17:30,  아가씨(디지털),  11,000원","20:20,  아가씨(디지털),  11,000원","23:10,  아가씨(디지털),  9,000원",,,,,,,99
2016-06-05,05관,"08:30,  엑스맨: 아포칼립스(디지털),  7,000원","11:20,  엑스맨: 아포칼립스(디지털),  10,000원","14:10,  엑스맨: 아포칼립스(디지털),  11,000원","17:00,  곡성(디지털),  11,000원","20:00,  엑스맨: 아포칼립스(디지털),  11,000원","22:50,  곡성(디지털),  11,000원",,,,,,,232
2016-06-06,01관,"09:30,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원","11:05,  앵그리버드 더 무비(디지털더빙),  10,000원","13:10,  무서운 이야기 3 : 화성에서 온 소녀(디지털)","15:10,  앵그리버드 더 무비(디지털더빙),  11,000원","17:15,  미 비포 유(디지털),  11,000원","19:30,  싱 스트리트(디지털),  11,000원","21:40,  미 비포 유(디지털),  11,000원","23:55,  미 비포 유(디지털),  9,000원",,,,,102
2016-06-06,02관,"10:30,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원","12:05,  곡성(디지털),  10,000원","15:05,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원","18:05,  아가씨(디지털),  11,000원","20:55,  곡성(디지털),  11,000원","24:00,  아가씨(디지털),  9,000원","16:35,  바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전(디지털더빙),  6,000원",,,,,,99
2016-06-06,03관,"08:00,  미 비포 유(디지털),  7,000원","10:15,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  10,000원","12:15,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  7,000원","14:15,  무서운 이야기 3 : 화성에서 온 소녀(디지털),  11,000원","16:15,  아가씨(디지털),  11,000원","19:05,  아가씨(디지털),  11,000원","22:00,  아가씨(디지털),  11,000원",,,,,,102
2016-06-06,04관,"09:00,  아가씨(디지털),  7,000원","11:50,  아가씨(디지털),  10,000원","14:40,  아가씨(디지털),  11,000원","17:30,  아가씨(디지털),  11,000원","20:20,  아가씨(디지털),  11,000원","23:10,  아가씨(디지털),  9,000원",,,,,,,99
2016-06-06,05관,"08:30,  엑스맨: 아포칼립스(디지털),  7,000원","11:20,  곡성(디지털),  10,000원","14:10,  엑스맨: 아포칼립스(디지털),  11,000원","17:00,  곡성(디지털),  11,000원","20:00,  엑스맨: 아포칼립스(디지털),  11,000원","22:50,  곡성(디지털),  11,000원",,,,,,,232
2016-06-07,01관,"09:50,  아가씨(디지털),  6,000원","12:40,  아가씨(디지털),  8,000원","15:30,  아가씨(디지털),  9,000원","18:20,  아가씨(디지털),  9,000원","21:10,  아가씨(디지털),  9,000원","24:00,  아가씨(디지털),  8,000원",,,,,,,102
