상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2017-05-01,02관,"09:40,  슈퍼 버드(디지털더빙),  5,000원","13:50,  특별시민(디지털),  5,000원","16:20,  특별시민(디지털),  5,000원","18:50,  특별시민(디지털),  5,000원","21:20,  특별시민(디지털),  5,000원",,47
2017-05-02,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","12:20,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","17:00,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",52
2017-05-02,02관,"09:40,  슈퍼 버드(디지털더빙),  5,000원","13:50,  특별시민(디지털),  5,000원","16:20,  특별시민(디지털),  5,000원","18:50,  특별시민(디지털),  5,000원","21:20,  특별시민(디지털),  5,000원",,47
2017-05-03,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",,,52
2017-05-03,02관,"09:40,  보스 베이비(디지털),  5,000원","16:50,  보스 베이비(디지털),  5,000원","21:30,  가디언즈 오브 갤럭시 VOL. 2(디지털),  5,000원",,,,47
2017-05-04,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",,,52
2017-05-04,02관,"09:40,  보스 베이비(디지털),  5,000원","16:50,  보스 베이비(디지털),  5,000원","21:30,  가디언즈 오브 갤럭시 VOL. 2(디지털),  5,000원",,,,47
2017-05-05,01관,"10:00,  임금님의 사건수첩(디지털),  5,000원","14:40,  임금님의 사건수첩(디지털),  5,000원","19:20,  임금님의 사건수첩(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",,,52
2017-05-05,02관,"09:40,  보스 베이비(디지털),  5,000원","16:50,  보스 베이비(디지털),  5,000원","21:30,  가디언즈 오브 갤럭시 VOL. 2(디지털),  5,000원",,,,47
2017-05-06,01관,"10:20,  보스 베이비(디지털더빙),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",,,,52
2017-05-06,02관,"09:40,  보스 베이비(디지털더빙),  5,000원","16:50,  보스 베이비(디지털더빙),  5,000원","21:30,  가디언즈 오브 갤럭시 VOL. 2(디지털),  5,000원",,,,47
2017-05-07,01관,"10:20,  보스 베이비(디지털더빙),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",,,,52
2017-05-07,02관,"09:40,  보스 베이비(디지털더빙),  5,000원","16:50,  보스 베이비(디지털더빙),  5,000원","21:30,  가디언즈 오브 갤럭시 VOL. 2(디지털),  5,000원",,,,47
2017-05-08,01관,"10:20,  보스 베이비(디지털더빙),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  임금님의 사건수첩(디지털),  5,000원",,,,52
2017-05-08,02관,"09:40,  보스 베이비(디지털더빙),  5,000원","16:50,  보스 베이비(디지털더빙),  5,000원","21:30,  가디언즈 오브 갤럭시 VOL. 2(디지털),  5,000원",,,,47
2017-05-09,01관,"09:40,  보안관(디지털),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
2017-05-09,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-10,01관,"09:40,  보안관(디지털),  5,000원","17:10,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
2017-05-10,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-11,01관,"09:40,  보안관(디지털),  5,000원","17:10,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
2017-05-11,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-12,01관,"09:40,  보안관(디지털),  5,000원","17:10,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
2017-05-12,02관,"09:50,  보스 베이비(디지털더빙),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-13,01관,"09:40,  보안관(디지털),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
2017-05-13,02관,"09:40,  보스 베이비(디지털더빙),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-14,01관,"09:40,  보안관(디지털),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
2017-05-14,02관,"09:40,  보스 베이비(디지털더빙),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원",,,,,47
2017-05-15,01관,"09:40,  보안관(디지털),  5,000원","17:00,  보안관(디지털),  5,000원","21:40,  보안관(디지털),  5,000원",,,,52
