상영일자,상영관,1회,2회,좌석수
2018-01-31,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-01-31,02관,"01:00,  9/11(디지털)",,200
2018-02-01,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-02-01,02관,"01:00,  9/11(디지털)",,200
2018-02-02,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-02-02,02관,"01:00,  9/11(디지털)",,200
2018-02-03,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-02-03,02관,"01:00,  9/11(디지털)",,200
2018-02-04,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-02-04,02관,"01:00,  9/11(디지털)",,200
2018-02-05,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-02-05,02관,"01:00,  9/11(디지털)",,200
2018-02-06,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-02-06,02관,"01:00,  9/11(디지털)",,200
2018-02-07,01관,"01:00,  9/11(디지털),  20,000원",,200
2018-02-07,02관,"01:00,  9/11(디지털)",,200
2018-02-08,02관,"00:30,  친구누나2(디지털),  20,000원",,200
2018-02-13,02관,"00:30,  미용실 : 특별한 서비스 2(디지털),  20,000원",,200
2018-02-14,02관,"02:30,  1급기밀(디지털),  20,000원",,200
2018-02-19,02관,"00:30,  1급기밀(디지털),  20,000원",,200
2018-02-20,02관,"00:30,  1급기밀(디지털),  20,000원",,200
2018-02-21,02관,"00:30,  1급기밀(디지털),  20,000원",,200
2018-02-22,02관,"00:30,  1급기밀(디지털),  20,000원",,200
2018-02-23,02관,"00:30,  1급기밀(디지털),  20,000원",,200
2018-02-26,02관,"00:30,  1급기밀(디지털),  20,000원",,200
2018-02-27,02관,"00:50,  밀애 : 친구엄마(디지털),  20,000원",,200
2018-02-28,02관,"17:00,  치하야후루 상편(디지털),  20,000원",,200
2018-03-02,02관,"00:30,  불륜 동창회(디지털),  20,000원",,200
2018-03-06,02관,"00:50,  라라(디지털),  20,000원",,200
2018-03-07,02관,"00:50,  어린 누나(디지털),  20,000원",,200
2018-03-08,02관,"00:50,  사촌 누나(디지털),  20,000원",,200
2018-03-15,02관,"00:50,  내 친구 엄마(디지털),  20,000원",,200
2018-03-16,02관,"02:30,  스나이퍼(디지털),  20,000원",,200
2018-03-17,02관,"02:30,  스나이퍼(디지털),  20,000원",,200
2018-03-18,02관,"02:30,  스나이퍼(디지털),  20,000원",,200
2018-03-19,02관,"02:30,  스나이퍼(디지털),  20,000원",,200
2018-03-20,02관,"02:30,  스나이퍼(디지털),  20,000원",,200
2018-03-21,02관,"02:30,  스나이퍼(디지털),  20,000원",,200
2018-03-22,02관,"01:00,  스나이퍼(디지털),  20,000원",,200
2018-03-23,02관,"01:00,  스나이퍼(디지털),  20,000원",,200
2018-03-24,02관,"01:00,  스나이퍼(디지털),  20,000원",,200
2018-03-25,02관,"01:00,  스나이퍼(디지털),  20,000원",,200
2018-03-26,02관,"01:00,  스나이퍼(디지털),  20,000원",,200
2018-03-27,02관,"01:00,  스나이퍼(디지털),  20,000원",,200
2018-03-28,02관,"01:00,  스나이퍼(디지털),  20,000원",,200
2018-03-29,02관,"01:00,  룸싸롱 여대생들(디지털),  20,000원",,200
2018-03-30,02관,"17:00,  지구: 놀라운 하루(디지털),  22,000원",,200
2018-03-31,02관,"01:00,  아내와 제자들: 네토라레(디지털),  20,000원",,200
2018-04-01,02관,"01:00,  작은 집(디지털),  20,000원",,200
2018-04-02,02관,"17:00,  지구: 놀라운 하루(디지털),  22,000원",,200
2018-04-03,02관,"17:00,  지구: 놀라운 하루(디지털),  22,000원",,200
2018-04-05,02관,"01:00,  새오빠2(디지털),  20,000원",,200
2018-04-10,02관,"01:00,  매니저(디지털),  20,000원",,200
2018-04-19,02관,"01:00,  여동생 커플 훔쳐보기(디지털),  20,000원",,200
2018-04-24,02관,"01:00,  바람난 여자들2(디지털),  20,000원",,200
2018-04-25,01관,"19:50,  어벤져스: 인피니티 워(디지털)",,200
2018-04-26,01관,"19:50,  어벤져스: 인피니티 워(디지털),  20,000원",,200
2018-04-26,02관,"01:00,  나쁜 엄마(디지털),  20,000원",,200
2018-04-27,01관,"19:50,  어벤져스: 인피니티 워(디지털)",,200
2018-04-28,01관,"19:50,  어벤져스: 인피니티 워(디지털)",,200
2018-04-29,01관,"19:50,  어벤져스: 인피니티 워(디지털),  20,000원",,200
2018-04-30,01관,"19:50,  어벤져스: 인피니티 워(디지털)","22:50,  어벤져스: 인피니티 워(디지털)",200
2018-04-30,02관,"21:10,  어벤져스: 인피니티 워(디지털)","24:00,  어벤져스: 인피니티 워(디지털)",200
2018-05-03,02관,"01:00,  착한 엄마친구 2(디지털),  20,000원",,200
2018-05-04,02관,"01:00,  딸의 애인(디지털),  20,000원",,200
2018-05-09,02관,"01:00,  어린 이모(디지털),  20,000원",,200
2018-05-10,02관,"01:00,  아내의 엄마(디지털),  20,000원",,200
2018-05-17,02관,"01:00,  내 엄마의 친구(디지털),  20,000원",,200
2018-05-22,02관,"01:00,  장모학개론(디지털),  20,000원",,200
2018-05-27,01관,"22:40,  독전(디지털),  20,000원",,200
2018-05-28,01관,"22:40,  독전(디지털),  20,000원",,200
2018-05-29,01관,"22:40,  독전(디지털)",,200
2018-05-29,02관,"01:00,  엄마의 연애(디지털),  20,000원",,200
2018-05-30,01관,"22:40,  독전(디지털),  20,000원",,200
2018-05-31,01관,"22:40,  독전(디지털)",,200
2018-05-31,02관,"01:00,  정사 : 어린 새엄마(디지털),  20,000원",,200
2018-06-05,02관,"01:00,  초대녀(디지털),  20,000원",,200
2018-06-07,02관,"01:00,  착한 형수 3(디지털),  20,000원",,200
2018-06-12,02관,"01:00,  가슴큰누나들(디지털),  20,000원",,200
2018-06-14,02관,"01:00,  아내의 애인 2(디지털),  20,000원",,200
2018-06-21,02관,"01:00,  애인 : 아내의 남자(디지털),  20,000원",,200
2018-06-22,02관,"01:00,  교회누나(디지털),  20,000원",,200
2018-06-26,02관,"01:00,  하숙집 여자들(디지털),  20,000원",,200
2018-06-28,02관,"01:00,  밀애 : 부부카풀(디지털),  20,000원",,200
2018-06-29,02관,"17:00,  미투 숨겨진 진실(디지털),  20,000원",,200
2018-06-30,01관,"00:10,  마녀(디지털),  20,000원",,200
2018-06-30,02관,"23:50,  탐정: 리턴즈(디지털),  20,000원",,200
2018-07-03,01관,"23:50,  마녀(디지털)",,200
2018-07-03,02관,"23:50,  탐정: 리턴즈(디지털)",,200
2018-07-05,02관,"01:00,  친구엄마들(디지털),  20,000원",,200
2018-07-09,02관,"01:00,  착한 장모(디지털),  20,000원",,200
2018-07-10,02관,"01:00,  연애 : 엄마친구(디지털),  20,000원",,200
2018-07-12,02관,"01:00,  신혼부부의 성생활(디지털),  20,000원",,200
