상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-09-05,04관,"08:50,  로마의 휴일(디지털),  6,000원","11:10,  청년경찰(디지털),  8,000원","13:30,  슈퍼오리 : 태양을 지켜라(디지털더빙),  9,000원","15:30,  빅풋 주니어(디지털더빙),  8,000원","17:35,  아토믹 블론드(디지털),  6,000원","20:05,  로마의 휴일(디지털),  7,000원","22:25,  로마의 휴일(디지털),  6,000원","24:45,  아토믹 블론드(디지털),  6,000원",,,,,,,87
2017-09-05,05관,"08:50,  택시운전사(디지털),  6,000원","11:40,  택시운전사(디지털),  7,000원","14:30,  택시운전사(디지털),  9,000원","17:20,  택시운전사(디지털),  9,000원","20:10,  택시운전사(디지털),  9,000원","23:00,  택시운전사(디지털),  8,000원",,,,,,,,,105
2017-09-05,06관,"09:30,  청년경찰(디지털),  6,000원","11:50,  청년경찰(디지털)","14:10,  청년경찰(디지털),  9,000원","16:30,  청년경찰(디지털),  6,000원","18:50,  청년경찰(디지털),  9,000원","21:10,  청년경찰(디지털),  7,000원","23:30,  청년경찰(디지털),  8,000원",,,,,,,,117
2017-09-05,07관,"09:10,  아토믹 블론드(디지털),  6,000원","11:40,  발레리안: 천 개 행성의 도시(디지털),  8,000원","14:35,  슈퍼배드 3(디지털더빙)","16:55,  발레리안: 천 개 행성의 도시(디지털),  6,000원","19:50,  청년경찰(디지털),  9,000원","22:10,  발레리안: 천 개 행성의 도시(디지털)","25:05,  청년경찰(디지털)",,,,,,,,97
2017-09-06,01관,"09:00,  택시운전사(디지털),  6,000원",,"14:30,  택시운전사(디지털),  9,000원","17:20,  택시운전사(디지털),  9,000원","20:10,  택시운전사(디지털),  6,000원","23:00,  택시운전사(디지털),  8,000원",,,,,,,,,107
2017-09-06,02관,"10:00,  살인자의 기억법(디지털),  6,000원","12:30,  살인자의 기억법(디지털),  8,000원","15:00,  살인자의 기억법(디지털),  7,000원","17:30,  살인자의 기억법(디지털),  9,000원","20:00,  살인자의 기억법(디지털),  9,000원","22:30,  살인자의 기억법(디지털),  9,000원",,,,,,,,,302
2017-09-06,03관,"08:50,  살인자의 기억법(디지털),  6,000원","11:20,  살인자의 기억법(디지털),  8,000원","13:50,  살인자의 기억법(디지털),  9,000원","16:20,  살인자의 기억법(디지털),  9,000원","18:50,  살인자의 기억법(디지털),  9,000원","21:20,  살인자의 기억법(디지털),  9,000원","23:50,  살인자의 기억법(디지털),  8,000원",,,,,,,,186
2017-09-06,04관,"09:00,  매혹당한 사람들(디지털),  6,000원","11:05,  매혹당한 사람들(디지털),  7,000원","13:10,  슈퍼배드 3(디지털더빙)","15:15,  발레리안: 천 개 행성의 도시(디지털),  7,000원","18:10,  발레리안: 천 개 행성의 도시(디지털),  9,000원","21:05,  발레리안: 천 개 행성의 도시(디지털),  9,000원","24:00,  그것(디지털)",,,,,,,,87
2017-09-06,05관,"09:10,  그것(디지털),  6,000원","11:55,  택시운전사(디지털),  8,000원","14:45,  그것(디지털),  6,000원","17:30,  그것(디지털),  9,000원","20:15,  그것(디지털),  9,000원","23:00,  그것(디지털),  8,000원",,,,,,,,,105
2017-09-06,06관,"08:30,  청년경찰(디지털),  6,000원","10:50,  청년경찰(디지털),  6,000원","13:10,  청년경찰(디지털),  7,000원","15:30,  청년경찰(디지털),  8,000원","17:50,  청년경찰(디지털),  6,000원","20:10,  청년경찰(디지털),  9,000원","22:30,  청년경찰(디지털),  7,500원","24:50,  청년경찰(디지털)",,,,,,,117
