상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2015-01-20,03관,"13:20,  꾸뻬씨의 행복여행(디지털),  6,000원","15:40,  무드 인디고(디지털),  6,000원","17:40,  아이 킬드 마이 마더(디지털),  6,000원","19:40,  마미(디지털),  6,000원",,,98
2015-01-21,01관,"13:40,  이별까지 7일(디지털),  6,000원","16:00,  클라우즈 오브 실스마리아(디지털),  6,000원","18:20,  내일을 위한 시간(디지털),  6,000원","20:10,  나의 사적인 여자친구(디지털),  6,000원",,,112
2015-01-21,02관,"14:00,  아메리칸 셰프(디지털),  6,000원","16:20,  설해(디지털),  6,000원","18:30,  쿼바디스(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,,136
2015-01-21,03관,"13:20,  꾸뻬씨의 행복여행(디지털),  6,000원","15:40,  무드 인디고(디지털),  6,000원","17:40,  아이 킬드 마이 마더(디지털),  6,000원","19:40,  마미(디지털),  6,000원",,,98
2015-01-22,01관,"14:00,  유아 낫 유(디지털),  6,000원","16:00,  내일을 위한 시간(디지털),  6,000원","17:50,  나의 사적인 여자친구(디지털),  6,000원","20:00,  이별까지 7일(디지털),  5,000원","11:00,  유닛7(디지털),  5,000원",,112
2015-01-22,02관,"13:30,  쿼바디스(디지털),  6,000원","15:30,  생각보다 맑은(디지털),  6,000원","17:10,  미라클 여행기(디지털)","18:50,  생각보다 맑은(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,136
2015-01-22,03관,"13:20,  아이 킬드 마이 마더(디지털),  6,000원","15:20,  마미(디지털),  6,000원","18:00,  무드 인디고(디지털),  6,000원","19:50,  아메리칸 셰프(디지털),  6,000원",,,98
2015-01-23,01관,"14:00,  유아 낫 유(디지털),  8,000원","16:00,  내일을 위한 시간(디지털),  8,000원","17:50,  나의 사적인 여자친구(디지털),  8,000원","20:00,  이별까지 7일(디지털),  8,000원",,,112
2015-01-23,02관,"13:30,  쿼바디스(디지털),  8,000원","15:30,  생각보다 맑은(디지털),  8,000원","17:10,  미라클 여행기(디지털),  8,000원","18:50,  생각보다 맑은(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,136
2015-01-23,03관,"14:30,  무드 인디고(디지털),  8,000원","20:00,  아메리칸 셰프(디지털),  8,000원",,,,,98
2015-01-24,01관,"14:00,  유아 낫 유(디지털),  8,000원","16:00,  내일을 위한 시간(디지털),  8,000원","17:50,  나의 사적인 여자친구(디지털),  8,000원","20:00,  이별까지 7일(디지털),  8,000원",,,112
2015-01-24,02관,"13:30,  쿼바디스(디지털),  8,000원","15:30,  생각보다 맑은(디지털),  8,000원","17:10,  미라클 여행기(디지털),  8,000원","18:50,  생각보다 맑은(디지털),  8,000원",,,136
