상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-07-03,05관,"09:40,  박열(디지털),  6,000원","12:15,  박열(디지털),  7,000원","14:50,  박열(디지털),  9,000원","17:25,  박열(디지털),  9,000원","20:00,  박열(디지털),  9,000원","22:45,  박열(디지털),  7,000원",,,,,,,,,119
2017-07-03,06관,"09:40,  박열(디지털)","12:15,  리얼(디지털)","15:00,  리얼(디지털)","17:45,  리얼(디지털),  5,000원","20:30,  리얼(디지털)","23:15,  리얼(디지털)",,,,,,,,,87
2017-07-03,07관,"10:20,  트랜스포머: 최후의 기사(디지털)","13:25,  리얼(디지털)","16:15,  박열(디지털),  9,000원","18:55,  트랜스포머: 최후의 기사(디지털)","22:00,  박열(디지털),  9,000원",,,,,,,,,,40
2017-07-03,08관,"10:50,  트랜스포머: 최후의 기사(디지털),  6,000원","13:55,  트랜스포머: 최후의 기사(디지털),  9,000원","16:55,  트랜스포머: 최후의 기사(디지털),  9,000원","19:55,  트랜스포머: 최후의 기사(디지털),  9,000원","23:00,  트랜스포머: 최후의 기사(디지털)",,,,,,,,,,308
2017-07-04,01관,"09:20,  트랜스포머: 최후의 기사(디지털),  6,000원","12:20,  트랜스포머: 최후의 기사(디지털),  7,000원","15:20,  트랜스포머: 최후의 기사(디지털),  9,000원","18:20,  트랜스포머: 최후의 기사(디지털),  9,000원","21:20,  트랜스포머: 최후의 기사(디지털),  9,000원","24:20,  트랜스포머: 최후의 기사(디지털)",,,,,,,,,143
2017-07-04,02관,"09:30,  리얼(디지털),  6,000원","12:15,  리얼(디지털)","15:00,  리얼(디지털),  9,000원","17:45,  리얼(디지털),  9,000원","20:30,  리얼(디지털),  9,000원","23:15,  리얼(디지털),  6,000원",,,,,,,,,119
2017-07-04,03관,"10:00,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  6,000원","11:30,  트랜스포머: 최후의 기사(디지털)","14:35,  트랜스포머: 최후의 기사(디지털),  9,000원","17:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  7,000원","19:10,  박열(디지털),  9,000원","21:55,  트랜스포머: 최후의 기사(디지털),  9,000원",,,,,,,,,119
2017-07-04,04관,"10:20,  박열(디지털),  6,000원","12:55,  박열(디지털),  7,000원","15:30,  박열(디지털),  9,000원","18:05,  박열(디지털),  9,000원","20:40,  박열(디지털),  9,000원","23:15,  박열(디지털),  6,000원",,,,,,,,,144
2017-07-04,05관,"09:40,  박열(디지털)","12:15,  박열(디지털),  7,000원","14:50,  박열(디지털),  9,000원","17:25,  박열(디지털),  9,000원","20:00,  박열(디지털),  9,000원","22:45,  박열(디지털),  9,000원",,,,,,,,,119
2017-07-04,06관,"10:30,  리얼(디지털),  6,000원","13:15,  리얼(디지털),  9,000원","16:00,  리얼(디지털),  9,000원","18:45,  리얼(디지털),  9,000원","21:30,  리얼(디지털),  9,000원","24:15,  리얼(디지털)",,,,,,,,,87
2017-07-04,07관,"10:20,  트랜스포머: 최후의 기사(디지털)","13:25,  리얼(디지털)","16:15,  박열(디지털),  9,000원","18:55,  트랜스포머: 최후의 기사(디지털)","22:00,  박열(디지털),  9,000원",,,,,,,,,,40
2017-07-04,08관,"10:50,  트랜스포머: 최후의 기사(디지털),  6,000원","13:55,  트랜스포머: 최후의 기사(디지털),  9,000원","16:55,  트랜스포머: 최후의 기사(디지털),  5,000원","19:55,  트랜스포머: 최후의 기사(디지털),  9,000원","23:00,  트랜스포머: 최후의 기사(디지털),  6,000원",,,,,,,,,,308
2017-07-05,01관,"09:00,  스파이더맨: 홈 커밍(디지털),  6,000원","11:45,  스파이더맨: 홈 커밍(디지털),  7,000원","14:30,  스파이더맨: 홈 커밍(디지털),  9,000원","17:15,  스파이더맨: 홈 커밍(디지털),  9,000원","20:00,  스파이더맨: 홈 커밍(디지털),  9,000원","22:45,  스파이더맨: 홈 커밍(디지털),  9,000원",,,,,,,,,143
2017-07-05,02관,"10:10,  박열(디지털),  6,000원","12:45,  박열(디지털),  7,000원","15:20,  박열(디지털),  9,000원","17:55,  박열(디지털),  9,000원","20:30,  박열(디지털),  9,000원","23:05,  박열(디지털),  6,000원",,,,,,,,,119
2017-07-05,03관,"10:40,  트랜스포머: 최후의 기사(디지털),  6,000원","13:40,  트랜스포머: 최후의 기사(디지털),  9,000원","16:40,  토마스와 친구들: 수수께끼 해적선과 보물찾기(디지털더빙),  9,000원","18:05,  트랜스포머: 최후의 기사(디지털),  9,000원","21:05,  트랜스포머: 최후의 기사(디지털),  9,000원","24:05,  트랜스포머: 최후의 기사(디지털)",,,,,,,,,119
2017-07-05,04관,"09:40,  스파이더맨: 홈 커밍(디지털),  6,000원","12:25,  스파이더맨: 홈 커밍(디지털),  7,000원","15:10,  스파이더맨: 홈 커밍(디지털),  9,000원","17:55,  스파이더맨: 홈 커밍(디지털),  9,000원","20:40,  스파이더맨: 홈 커밍(디지털),  9,000원","23:25,  스파이더맨: 홈 커밍(디지털),  6,000원",,,,,,,,,144
2017-07-05,05관,"09:20,  박열(디지털)","11:55,  박열(디지털),  6,000원","14:30,  박열(디지털),  8,000원","17:05,  박열(디지털),  9,000원","19:40,  박열(디지털),  9,000원","22:15,  박열(디지털),  9,000원",,,,,,,,,119
