상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2016-02-25,02관,"11:00,  순정(디지털),  8,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  순정(디지털),  8,000원","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-02-26,01관,"11:00,  귀향(디지털),  8,000원","13:30,  검사외전(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  검사외전(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-02-26,02관,"11:00,  순정(디지털),  8,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  7,000원",,"21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-02-27,01관,"11:00,  귀향(디지털),  8,000원","13:30,  검사외전(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  검사외전(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-02-27,02관,"11:00,  순정(디지털),  8,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  순정(디지털),  7,000원","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-02-28,01관,"11:00,  귀향(디지털),  8,000원","13:30,  검사외전(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  검사외전(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-02-28,02관,"11:00,  순정(디지털),  8,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  순정(디지털),  7,000원","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-02-29,01관,"11:00,  귀향(디지털),  8,000원","13:30,  검사외전(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  검사외전(디지털)","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-02-29,02관,"11:00,  순정(디지털),  8,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  7,000원","18:30,  순정(디지털),  7,000원","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-03-01,01관,"11:00,  귀향(디지털),  8,000원","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-01,02관,"11:00,  순정(디지털),  8,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  검사외전(디지털),  8,000원","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-03-02,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-02,02관,"11:00,  순정(디지털)","13:30,  좋아해줘(디지털),  7,000원","16:00,  주토피아(디지털더빙)","18:30,  검사외전(디지털)","21:00,  남과 여(디지털)","24:00,  대범한 불륜 정사(디지털),  8,000원","25:10,  속살 비친 유혹교사(디지털),  8,000원","26:20,  순백 도우미 - 손으로(디지털),  8,000원","27:30,  유부녀 정사 시승식(디지털),  8,000원","28:40,  유부녀의 허벅지 사이(디지털),  8,000원",,,,,31
2016-03-03,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-03,02관,"11:00,  순정(디지털)","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  검사외전(디지털),  8,000원","21:00,  남과 여(디지털)","23:10,  수상한 언니들(디지털),  8,000원","25:00,  등산의 목적(디지털),  8,000원",,,,,,,,31
2016-03-04,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털)","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털)","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-04,02관,"11:00,  순정(디지털)","13:30,  좋아해줘(디지털),  7,000원","16:00,  주토피아(디지털더빙),  7,000원","18:30,  검사외전(디지털)","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-03-05,01관,"11:00,  귀향(디지털),  8,000원","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-05,02관,"11:00,  순정(디지털),  7,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  검사외전(디지털),  8,000원","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-03-06,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-06,02관,"11:00,  순정(디지털)","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원",,,,,,,,,,,,31
2016-03-07,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털)","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-07,02관,"11:00,  순정(디지털)","13:30,  좋아해줘(디지털),  7,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  검사외전(디지털),  8,000원","21:00,  남과 여(디지털),  8,000원",,,,,,,,,,31
2016-03-08,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-08,02관,"11:00,  순정(디지털)","13:30,  좋아해줘(디지털)","16:00,  주토피아(디지털더빙)","18:30,  검사외전(디지털),  8,000원","21:00,  남과 여(디지털),  8,000원","23:30,  헤이트풀8(디지털),  8,000원",,,,,,,,,31
2016-03-09,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털)","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-09,02관,"11:00,  순정(디지털),  7,000원","13:30,  좋아해줘(디지털),  8,000원","16:00,  주토피아(디지털더빙),  8,000원","18:30,  검사외전(디지털)","21:00,  남과 여(디지털),  8,000원","23:30,  미용사의 손놀림 - 그녀(디지털),  8,000원","25:00,  소설가부인의 유혹(디지털),  8,000원","26:10,  아내의 불륜남 - 그놈(디지털),  8,000원","27:20,  음란 걸작의 탄생 실화(디지털),  8,000원","28:30,  피서지의 가정교사(디지털),  8,000원",,,,,31
2016-03-10,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  8,000원","16:00,  귀향(디지털),  8,000원","18:30,  귀향(디지털),  8,000원","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
2016-03-10,02관,"11:00,  주토피아(디지털더빙),  7,000원","13:00,  널 기다리며(디지털),  8,000원","15:00,  주토피아(디지털더빙)","17:00,  널 기다리며(디지털),  8,000원","19:00,  주토피아(디지털더빙),  8,000원","21:00,  널 기다리며(디지털),  8,000원",,,,,,,,,31
2016-03-11,01관,"11:00,  귀향(디지털)","13:30,  귀향(디지털),  7,000원","16:00,  귀향(디지털)","18:30,  귀향(디지털)","21:00,  귀향(디지털),  8,000원",,,,,,,,,,77
