상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,좌석수
2017-07-18,02관(Cine de Chef-TEMPUR Cinema),,"13:00,  스파이더맨: 홈 커밍(디지털)","16:00,  스파이더맨: 홈 커밍(디지털)","19:00,  스파이더맨: 홈 커밍(디지털),  9,000원","22:00,  다크 나이트(디지털)",,,,,,,,,,,,50
2017-07-19,01관(Cine de Chef),"10:20,  내가 죽기 전에 가장 듣고 싶은 말(디지털)","13:00,  내가 죽기 전에 가장 듣고 싶은 말(디지털)","15:50,  박열(디지털)",,,,,,,,,,,,,,64
2017-07-19,02관(Cine de Chef-TEMPUR Cinema),"09:20,  스파이더맨: 홈 커밍(디지털),  9,000원","12:20,  스파이더맨: 홈 커밍(디지털)","15:30,  스파이더맨: 홈 커밍(디지털),  9,000원",,,,,,,,,,,,,,50
2017-07-20,01관(Cine de Chef),"11:20,  내가 죽기 전에 가장 듣고 싶은 말(디지털)","14:20,  덩케르크(디지털)","18:00,  군함도(디지털),  9,000원","20:30,  군함도(디지털),  9,000원",,,,,,,,,,,,,64
2017-07-20,02관(Cine de Chef-TEMPUR Cinema),"11:00,  덩케르크(디지털),  9,000원","14:00,  덩케르크(디지털),  9,000원","17:00,  군함도(디지털)",,,,,,,,,,,,,,50
2017-07-21,01관(Cine de Chef),"10:00,  스파이더맨: 홈 커밍(디지털)","13:10,  내가 죽기 전에 가장 듣고 싶은 말(디지털)","15:50,  스파이더맨: 홈 커밍(디지털)","18:50,  덩케르크(디지털)","21:30,  덩케르크(디지털),  10,000원",,,,,,,,,,,,64
2017-07-21,02관(Cine de Chef-TEMPUR Cinema),"10:30,  덩케르크(디지털)","13:30,  덩케르크(디지털)","16:10,  덩케르크(디지털),  10,000원","19:30,  덩케르크(디지털),  10,000원","22:20,  덩케르크(디지털),  10,000원",,,,,,,,,,,,50
2017-07-22,01관(Cine de Chef),"10:00,  내가 죽기 전에 가장 듣고 싶은 말(디지털),  10,000원","12:40,  스파이더맨: 홈 커밍(디지털),  10,000원","15:50,  덩케르크(디지털),  10,000원","19:00,  덩케르크(디지털)","21:40,  덩케르크(디지털),  10,000원",,,,,,,,,,,,64
2017-07-22,02관(Cine de Chef-TEMPUR Cinema),"10:40,  덩케르크(디지털)","13:30,  덩케르크(디지털),  10,000원","16:20,  덩케르크(디지털),  10,000원","19:30,  덩케르크(디지털),  10,000원","22:10,  덩케르크(디지털),  10,000원",,,,,,,,,,,,50
2017-07-23,01관(Cine de Chef),"09:30,  스파이더맨: 홈 커밍(디지털),  10,000원","12:40,  내가 죽기 전에 가장 듣고 싶은 말(디지털),  10,000원","15:30,  덩케르크(디지털),  10,000원","18:10,  덩케르크(디지털)","20:50,  덩케르크(디지털)",,,,,,,,,,,,64
2017-07-23,02관(Cine de Chef-TEMPUR Cinema),"10:40,  덩케르크(디지털),  10,000원","13:30,  덩케르크(디지털),  10,000원","16:20,  덩케르크(디지털),  10,000원","19:00,  덩케르크(디지털),  10,000원","21:40,  덩케르크(디지털),  10,000원",,,,,,,,,,,,50
2017-07-24,01관(Cine de Chef),"10:20,  내가 죽기 전에 가장 듣고 싶은 말(디지털)","13:00,  내가 죽기 전에 가장 듣고 싶은 말(디지털)","15:40,  내가 죽기 전에 가장 듣고 싶은 말(디지털)",,"21:40,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,64
2017-07-24,02관(Cine de Chef-TEMPUR Cinema),"10:40,  덩케르크(디지털),  9,000원","13:20,  덩케르크(디지털)","16:00,  덩케르크(디지털),  9,000원",,"22:10,  덩케르크(디지털),  9,000원",,,,,,,,,,,,50
2017-07-25,01관(Cine de Chef),"09:40,  내가 죽기 전에 가장 듣고 싶은 말(디지털)","12:20,  스파이더맨: 홈 커밍(디지털)",,"17:30,  택시운전사(디지털),  9,000원","21:10,  스파이더맨: 홈 커밍(디지털)",,,,,,,,,,,,64
2017-07-25,02관(Cine de Chef-TEMPUR Cinema),"09:20,  덩케르크(디지털)","12:00,  덩케르크(디지털),  9,000원","15:00,  덩케르크(디지털),  9,000원","17:40,  택시운전사(디지털),  9,000원","21:30,  덩케르크(디지털)",,,,,,,,,,,,50
2017-07-26,01관(Cine de Chef),"10:10,  덩케르크(디지털)","12:50,  덩케르크(디지털)","15:40,  군함도(디지털)","18:50,  군함도(디지털),  9,000원","22:00,  군함도(디지털),  9,000원",,,,,,,,,,,,64
2017-07-26,02관(Cine de Chef-TEMPUR Cinema),"09:50,  군함도(디지털)","13:10,  군함도(디지털),  9,000원","16:20,  군함도(디지털),  9,000원","19:30,  군함도(디지털),  9,000원","22:30,  군함도(디지털),  9,000원",,,,,,,,,,,,50
2017-07-27,01관(Cine de Chef),"10:10,  덩케르크(디지털)","13:30,  덩케르크(디지털)","16:10,  덩케르크(디지털)",,"21:20,  군함도(디지털)",,,,,,,,,,,,64
2017-07-27,02관(Cine de Chef-TEMPUR Cinema),"09:50,  군함도(디지털),  9,000원","12:50,  군함도(디지털),  9,000원","15:50,  군함도(디지털),  9,000원",,"22:00,  군함도(디지털),  9,000원",,,,,,,,,,,,50
2017-07-28,01관(Cine de Chef),"10:20,  덩케르크(디지털)","13:00,  덩케르크(디지털)","15:40,  군함도(디지털)","18:40,  덩케르크(디지털),  10,000원","21:20,  군함도(디지털)",,,,,,,,,,,,64
2017-07-28,02관(Cine de Chef-TEMPUR Cinema),"10:10,  군함도(디지털)","13:30,  군함도(디지털),  10,000원","16:30,  군함도(디지털),  10,000원","19:30,  군함도(디지털),  10,000원","22:30,  군함도(디지털),  10,000원",,,,,,,,,,,,50
2017-07-29,01관(Cine de Chef),"10:20,  덩케르크(디지털),  10,000원","13:00,  덩케르크(디지털),  10,000원","15:40,  덩케르크(디지털),  10,000원","18:40,  덩케르크(디지털),  10,000원","21:40,  군함도(디지털),  10,000원",,,,,,,,,,,,64
2017-07-29,02관(Cine de Chef-TEMPUR Cinema),"10:10,  군함도(디지털),  10,000원","13:30,  군함도(디지털),  10,000원","16:30,  군함도(디지털),  10,000원","19:40,  군함도(디지털),  10,000원","22:40,  군함도(디지털),  10,000원",,,,,,,,,,,,50
2017-07-30,01관(Cine de Chef),"09:20,  덩케르크(디지털)","12:20,  덩케르크(디지털),  10,000원","15:00,  군함도(디지털)","18:10,  군함도(디지털),  10,000원","21:10,  군함도(디지털),  10,000원",,,,,,,,,,,,64
2017-07-30,02관(Cine de Chef-TEMPUR Cinema),"09:30,  군함도(디지털),  10,000원","12:50,  군함도(디지털),  10,000원","16:00,  군함도(디지털),  10,000원","19:00,  군함도(디지털),  10,000원","22:00,  덩케르크(디지털),  10,000원",,,,,,,,,,,,50
2017-07-31,01관(Cine de Chef),"09:50,  덩케르크(디지털)","12:30,  덩케르크(디지털),  9,000원","15:30,  덩케르크(디지털),  9,000원","18:10,  덩케르크(디지털),  9,000원","20:50,  덩케르크(디지털)",,,,,,,,,,,,64
2017-07-31,02관(Cine de Chef-TEMPUR Cinema),"09:30,  군함도(디지털)","12:50,  군함도(디지털),  9,000원","16:00,  군함도(디지털),  9,000원","19:00,  군함도(디지털),  9,000원","22:00,  군함도(디지털),  9,000원",,,,,,,,,,,,50
2017-08-01,01관(Cine de Chef),"09:50,  군함도(디지털)","12:40,  덩케르크(디지털)","15:20,  덩케르크(디지털)","18:10,  군함도(디지털)","21:10,  덩케르크(디지털),  9,000원",,,,,,,,,,,,64
2017-08-01,02관(Cine de Chef-TEMPUR Cinema),"09:20,  덩케르크(디지털)","12:00,  군함도(디지털)","15:00,  군함도(디지털),  9,000원","19:00,  군함도(디지털),  9,000원","22:00,  군함도(디지털),  9,000원",,,,,,,,,,,,50
2017-08-02,01관(Cine de Chef),"09:20,  군함도(디지털)","12:20,  택시운전사(디지털)","15:30,  군함도(디지털),  9,000원","18:30,  덩케르크(디지털),  9,000원","21:10,  군함도(디지털),  9,000원",,,,,,,,,,,,64
2017-08-02,02관(Cine de Chef-TEMPUR Cinema),"09:40,  택시운전사(디지털),  9,000원","13:00,  덩케르크(디지털),  9,000원","15:50,  택시운전사(디지털),  9,000원","19:10,  택시운전사(디지털),  9,000원","22:20,  택시운전사(디지털),  9,000원",,,,,,,,,,,,50
2017-08-03,01관(Cine de Chef),"09:20,  군함도(디지털)","12:20,  군함도(디지털)","15:30,  덩케르크(디지털)","18:10,  택시운전사(디지털),  9,000원","21:20,  택시운전사(디지털),  9,000원",,,,,,,,,,,,64
2017-08-03,02관(Cine de Chef-TEMPUR Cinema),"09:40,  택시운전사(디지털),  9,000원","12:40,  택시운전사(디지털),  9,000원","16:00,  택시운전사(디지털),  9,000원","19:30,  군함도(디지털),  9,000원","22:30,  택시운전사(디지털),  9,000원",,,,,,,,,,,,50
2017-08-04,01관(Cine de Chef),"09:30,  군함도(디지털)","12:30,  군함도(디지털),  10,000원","15:30,  덩케르크(디지털),  10,000원","18:10,  군함도(디지털),  10,000원","21:10,  택시운전사(디지털)",,,,,,,,,,,,64
2017-08-04,02관(Cine de Chef-TEMPUR Cinema),"09:50,  택시운전사(디지털),  10,000원","13:00,  택시운전사(디지털),  10,000원","16:10,  택시운전사(디지털),  10,000원","19:20,  택시운전사(디지털),  10,000원","22:30,  택시운전사(디지털),  10,000원",,,,,,,,,,,,50
2017-08-05,01관(Cine de Chef),"09:30,  군함도(디지털)","12:40,  덩케르크(디지털)","15:30,  덩케르크(디지털),  10,000원","18:10,  군함도(디지털),  10,000원","21:10,  택시운전사(디지털),  10,000원",,,,,,,,,,,,64
