상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-01-25,05관,"09:10,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:05,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:10,  메이즈 러너: 데스 큐어(디지털),  7,000원",,,,,,,146
2018-01-25,06관,"09:00,  그것만이 내 세상(디지털)","11:35,  그것만이 내 세상(디지털),  9,000원","14:10,  그것만이 내 세상(디지털),  9,000원","16:45,  그것만이 내 세상(디지털),  9,000원","19:20,  그것만이 내 세상(디지털),  9,000원","21:55,  그것만이 내 세상(디지털),  9,000원","24:30,  그것만이 내 세상(디지털),  7,000원",,,,,,146
2018-01-25,08관,"10:00,  1급기밀(디지털),  6,000원","12:15,  1급기밀(디지털),  9,000원","14:30,  1급기밀(디지털),  9,000원","16:45,  1급기밀(디지털),  9,000원","19:00,  1급기밀(디지털),  9,000원","21:15,  1급기밀(디지털),  9,000원","23:30,  1급기밀(디지털)",,,,,,91
2018-01-25,09관,"09:40,  다키스트 아워(디지털)","12:40,  비밥바룰라(디지털),  9,000원","14:50,  쥬만지: 새로운 세계(디지털),  8,000원","17:20,  비밥바룰라(디지털),  9,000원","19:50,  쥬만지: 새로운 세계(디지털),  9,000원","22:20,  비밥바룰라(디지털)","24:30,  다키스트 아워(디지털)",,,,,,91
2018-01-25,10관,"09:30,  1987(디지털),  6,000원","12:15,  1987(디지털),  9,000원","15:00,  1987(디지털),  9,000원","17:40,  1987(디지털),  9,000원","20:20,  1987(디지털),  9,000원","23:00,  1987(디지털)",,,,,,,91
2018-01-26,03관,"09:30,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:30,  메이즈 러너: 데스 큐어(디지털)",,,,,,,140
2018-01-26,04관,"09:00,  1987(디지털),  6,000원","11:40,  1987(디지털),  9,000원","14:20,  1987(디지털),  9,000원","17:00,  1987(디지털),  9,000원","19:40,  1987(디지털),  9,000원","22:20,  1987(디지털),  9,000원","25:00,  1987(디지털),  8,000원",,,,,,140
2018-01-26,05관,"10:00,  1급기밀(디지털),  6,000원","12:15,  1급기밀(디지털),  9,000원","14:30,  1급기밀(디지털),  9,000원","16:45,  1급기밀(디지털),  9,000원","19:00,  1급기밀(디지털),  9,000원","21:15,  1급기밀(디지털),  9,000원","23:30,  1급기밀(디지털),  8,000원",,,,,,146
2018-01-26,06관,"09:00,  그것만이 내 세상(디지털),  6,000원","11:40,  그것만이 내 세상(디지털),  9,000원","14:20,  그것만이 내 세상(디지털),  9,000원","17:00,  그것만이 내 세상(디지털),  9,000원","19:35,  그것만이 내 세상(디지털),  9,000원","22:10,  그것만이 내 세상(디지털),  9,000원",,,,,,,146
2018-01-26,08관,"09:10,  코코(디지털더빙)","12:00,  코코(디지털더빙),  9,000원","14:40,  코코(디지털더빙),  9,000원","17:20,  코코(디지털),  9,000원","20:00,  코코(디지털),  9,000원","22:40,  코코(디지털),  9,000원","25:20,  코코(디지털)",,,,,,91
2018-01-26,09관,"09:50,  커뮤터(디지털)","12:05,  커뮤터(디지털),  9,000원","14:20,  커뮤터(디지털),  9,000원","16:35,  커뮤터(디지털),  9,000원","18:50,  커뮤터(디지털),  9,000원","21:05,  커뮤터(디지털),  9,000원","23:20,  커뮤터(디지털)",,,,,,91
2018-01-26,10관,"10:10,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙),  6,000원","12:00,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙)","13:50,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙)","15:40,  극장판 레이디버그: 미라클스톤의 비밀(디지털더빙)","17:30,  비밥바룰라(디지털),  9,000원","19:45,  비밥바룰라(디지털),  9,000원","22:00,  다키스트 아워(디지털)",,,,,,91
2018-01-27,03관,"09:30,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:30,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:30,  메이즈 러너: 데스 큐어(디지털),  8,000원",,,,,,,140
2018-01-27,04관,"09:00,  1987(디지털),  6,000원","11:40,  1987(디지털),  9,000원","14:20,  1987(디지털),  9,000원","17:00,  1987(디지털),  9,000원","19:40,  1987(디지털),  9,000원","22:20,  1987(디지털),  9,000원","25:00,  1987(디지털)",,,,,,140
