상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2019-01-01,01관,"10:10,  그린치(디지털더빙),  6,000원","12:00,  그린치(디지털더빙),  6,000원","13:50,  범블비(디지털),  6,000원","16:05,  범블비(디지털),  6,000원","18:20,  범블비(디지털),  6,000원","20:25,  마약왕(디지털),  6,000원",,,,,,,77
2019-01-01,02관,"10:00,  PMC: 더 벙커(디지털),  6,000원","12:25,  마약왕(디지털),  6,000원","15:05,  스윙키즈(디지털),  6,000원","17:40,  PMC: 더 벙커(디지털),  6,000원","20:05,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-02,01관,"10:10,  그린치(디지털더빙),  6,000원","12:00,  그린치(디지털더빙),  6,000원","13:50,  범블비(디지털),  6,000원","16:05,  범블비(디지털),  6,000원","18:20,  범블비(디지털)","20:35,  마약왕(디지털),  6,000원",,,,,,,77
2019-01-02,02관,"10:00,  PMC: 더 벙커(디지털),  6,000원","12:25,  마약왕(디지털),  6,000원","15:05,  스윙키즈(디지털),  6,000원","17:40,  PMC: 더 벙커(디지털),  6,000원","20:05,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-03,01관,"09:50,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","12:00,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:10,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","16:25,  범블비(디지털),  6,000원","18:40,  범블비(디지털),  6,000원","20:55,  PMC: 더 벙커(디지털),  6,000원",,,,,,,77
2019-01-03,02관,"10:00,  마약왕(디지털)","12:40,  스윙키즈(디지털),  6,000원","15:15,  아쿠아맨(디지털),  6,000원","18:00,  PMC: 더 벙커(디지털),  6,000원","20:25,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-04,01관,"10:00,  마약왕(디지털),  6,000원","12:40,  아쿠아맨(디지털),  6,000원","15:20,  스윙키즈(디지털),  6,000원","17:55,  PMC: 더 벙커(디지털),  6,000원","20:20,  아쿠아맨(디지털),  6,000원",,,,,,,,77
2019-01-04,02관,"09:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:55,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:05,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","16:20,  범블비(디지털),  6,000원","18:35,  범블비(디지털),  6,000원","20:50,  PMC: 더 벙커(디지털),  6,000원",,,,,,,47
2019-01-05,01관,"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:00,  범블비(디지털),  6,000원","16:15,  범블비(디지털),  6,000원","18:30,  PMC: 더 벙커(디지털),  6,000원","20:55,  PMC: 더 벙커(디지털),  6,000원",,,,,,,77
2019-01-05,02관,"10:00,  마약왕(디지털),  6,000원","12:40,  스윙키즈(디지털),  6,000원","15:15,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","17:30,  아쿠아맨(디지털),  6,000원","20:15,  아쿠아맨(디지털),  6,000원",,,,,,,,47
2019-01-06,01관,"09:30,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","11:45,  주먹왕 랄프 2: 인터넷 속으로(디지털더빙),  6,000원","14:00,  범블비(디지털),  6,000원","16:15,  범블비(디지털),  6,000원","18:30,  PMC: 더 벙커(디지털),  6,000원","20:55,  PMC: 더 벙커(디지털),  6,000원",,,,,,,77
