상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2017-01-03,01관,"09:40,  마스터(디지털),  5,000원","12:25,  씽(디지털더빙),  5,000원","14:35,  마스터(디지털),  5,000원","17:20,  씽(디지털더빙),  5,000원","19:30,  마스터(디지털),  5,000원",109
2017-01-04,01관,"10:00,  사랑하기 때문에(디지털),  5,000원","12:10,  씽(디지털더빙),  5,000원","14:30,  사랑하기 때문에(디지털),  5,000원","16:45,  마스터(디지털),  5,000원","19:30,  사랑하기 때문에(디지털),  5,000원",109
2017-01-05,01관,"10:00,  사랑하기 때문에(디지털),  5,000원","12:10,  씽(디지털더빙),  5,000원","14:30,  사랑하기 때문에(디지털),  5,000원","16:40,  마스터(디지털),  5,000원","19:30,  사랑하기 때문에(디지털),  5,000원",109
2017-01-06,01관,"10:00,  마스터(디지털),  5,000원","12:50,  씽(디지털더빙),  5,000원","15:10,  사랑하기 때문에(디지털),  5,000원","17:20,  사랑하기 때문에(디지털),  5,000원","19:30,  사랑하기 때문에(디지털),  5,000원",109
2017-01-07,01관,"10:00,  사랑하기 때문에(디지털),  5,000원","12:10,  씽(디지털더빙),  5,000원","14:30,  사랑하기 때문에(디지털),  5,000원","16:40,  마스터(디지털),  5,000원","19:30,  사랑하기 때문에(디지털),  5,000원",109
2017-01-08,01관,"10:00,  사랑하기 때문에(디지털),  5,000원","12:10,  씽(디지털더빙),  5,000원","14:30,  사랑하기 때문에(디지털),  5,000원","16:40,  마스터(디지털),  5,000원","19:30,  사랑하기 때문에(디지털),  5,000원",109
2017-01-10,01관,"10:30,  씽(디지털더빙),  5,000원","13:00,  사랑하기 때문에(디지털),  5,000원","15:10,  사랑하기 때문에(디지털),  5,000원","17:20,  사랑하기 때문에(디지털),  5,000원","19:30,  마스터(디지털),  5,000원",109
2017-01-11,01관,"10:00,  사랑하기 때문에(디지털),  5,000원","12:10,  씽(디지털더빙),  5,000원","14:30,  사랑하기 때문에(디지털),  5,000원","16:40,  마스터(디지털),  5,000원","19:30,  사랑하기 때문에(디지털),  5,000원",109
2017-01-12,01관,"10:00,  마스터(디지털),  5,000원","12:50,  모아나(디지털더빙),  5,000원","15:00,  사랑하기 때문에(디지털),  5,000원","17:10,  모아나(디지털더빙),  5,000원","19:20,  사랑하기 때문에(디지털),  5,000원",109
2017-01-13,01관,"09:40,  사랑하기 때문에(디지털),  5,000원","11:50,  모아나(디지털더빙),  5,000원",,"17:00,  모아나(디지털더빙),  5,000원","19:10,  마스터(디지털),  5,000원",109
2017-01-14,01관,"10:00,  마스터(디지털),  5,000원","12:50,  모아나(디지털더빙),  5,000원","15:00,  사랑하기 때문에(디지털),  5,000원","17:10,  모아나(디지털더빙),  5,000원","19:20,  사랑하기 때문에(디지털),  5,000원",109
2017-01-15,01관,"10:00,  마스터(디지털),  5,000원","12:50,  모아나(디지털더빙),  5,000원","15:00,  사랑하기 때문에(디지털),  5,000원","17:10,  모아나(디지털더빙),  5,000원","19:20,  사랑하기 때문에(디지털),  5,000원",109
2017-01-17,01관,"10:00,  마스터(디지털),  5,000원","12:50,  모아나(디지털더빙),  5,000원","15:00,  사랑하기 때문에(디지털),  5,000원","17:10,  모아나(디지털더빙),  5,000원","19:20,  사랑하기 때문에(디지털),  5,000원",109
