10회,11회,1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
,,"09:50,  데이빗 린치: 아트 라이프(디지털),  5,000원","11:40,  내 사랑(디지털),  7,000원","14:00,  해피 버스데이(디지털),  7,000원","16:30,  알랭 기로디 특별전 단편모음(디지털),  6,000원","17:50,  스테잉 버티컬(디지털),  6,000원","20:00,  용감한 자에게 안식은 없다(필름),  6,000원",,,,시네마테크관,2017-10-03,212
,,"09:40,  괜찮아요, 미스터 브래드(디지털),  5,000원","11:50,  윈드 리버(디지털),  7,000원","14:10,  어 퍼펙트 데이(디지털),  7,000원","16:20,  인생을 애니메이션처럼(디지털),  7,000원","18:10,  우리의 20세기(디지털),  7,000원","20:30,  잃어버린 도시 Z(디지털),  7,000원",,,,소극장,2017-10-03,212
,,"09:30,  아이 캔 스피크(디지털),  5,000원","11:50,  킹스맨: 골든 서클(디지털),  7,000원","14:40,  아이 캔 스피크(디지털),  7,000원","17:00,  킹스맨: 골든 서클(디지털),  7,000원","19:50,  킹스맨: 골든 서클(디지털),  7,000원",,,,,중극장,2017-10-03,413
,,"09:50,  남한산성(디지털),  5,000원","12:30,  남한산성(디지털),  7,000원","15:10,  남한산성(디지털),  7,000원","17:50,  남한산성(디지털),  7,000원","20:30,  남한산성(디지털),  7,000원",,,,,하늘연극장,2017-10-03,841
,,"10:00,  고양이 케디(디지털),  6,000원","11:40,  해피 버스데이(디지털),  7,000원","14:10,  데이빗 린치: 아트 라이프(디지털),  7,000원","15:50,  스테잉 버티컬(디지털),  6,000원","18:00,  도주왕(디지털),  6,000원","20:00,  호수의 이방인(디지털),  6,000원",,,,시네마테크관,2017-10-04,212
,,"09:40,  윈드 리버(디지털),  5,000원","12:00,  괜찮아요, 미스터 브래드(디지털),  7,000원","14:10,  우리의 20세기(디지털),  7,000원","16:30,  어 퍼펙트 데이(디지털),  7,000원","18:40,  인생을 애니메이션처럼(디지털),  7,000원","20:30,  잃어버린 도시 Z(디지털),  7,000원",,,,소극장,2017-10-04,212
,,"09:30,  킹스맨: 골든 서클(디지털),  5,000원","12:20,  아이 캔 스피크(디지털),  7,000원","14:40,  킹스맨: 골든 서클(디지털),  7,000원","17:30,  아이 캔 스피크(디지털),  7,000원","19:50,  킹스맨: 골든 서클(디지털),  7,000원",,,,,중극장,2017-10-04,413
,,"09:50,  남한산성(디지털),  5,000원","12:30,  남한산성(디지털),  7,000원","15:10,  남한산성(디지털),  7,000원","17:50,  남한산성(디지털),  7,000원","20:30,  남한산성(디지털),  7,000원",,,,,하늘연극장,2017-10-04,841
,,"09:40,  김광석(디지털),  5,000원",,,,,,,,,시네마테크관,2017-10-22,212
,,"09:40,  남한산성(디지털),  5,000원","12:20,  대장 김창수(디지털),  7,000원","14:40,  남한산성(디지털),  7,000원","17:20,  대장 김창수(디지털),  7,000원","19:40,  아이 캔 스피크(디지털),  7,000원",,,,,중극장,2017-10-22,413
,,"09:40,  김광석(디지털),  5,000원",,,,,,,,,시네마테크관,2017-10-23,212
,,"09:40,  아이 캔 스피크(디지털),  5,000원","12:10,  대장 김창수(디지털),  7,000원","14:30,  남한산성(디지털),  7,000원","17:20,  대장 김창수(디지털),  7,000원","19:40,  남한산성(디지털),  7,000원",,,,,중극장,2017-10-23,413
,,"10:30,  우리의 20세기(디지털),  5,000원","12:50,  나의 엔젤(디지털),  7,000원","14:30,  당신과 함께한 순간들(디지털),  7,000원","16:30,  아이 앰 히스 레저(디지털),  7,000원","18:30,  스코어: 영화음악의 모든 것(디지털),  7,000원","20:30,  나의 엔젤(디지털),  7,000원",,,,시네마테크관,2017-10-24,212
,,"09:40,  대장 김창수(디지털),  5,000원","12:00,  남한산성(디지털),  7,000원","14:40,  아이 캔 스피크(디지털),  7,000원","17:00,  남한산성(디지털),  7,000원","19:40,  대장 김창수(디지털),  7,000원",,,,,중극장,2017-10-24,413
,,"10:10,  나의 엔젤(디지털),  3,500원","11:50,  당신과 함께한 순간들(디지털),  3,500원","13:50,  매디슨 카운티의 다리(디지털),  3,500원","16:30,  스코어: 영화음악의 모든 것(디지털),  3,500원","18:30,  아이 앰 히스 레저(디지털),  3,500원","20:30,  우리의 20세기(디지털),  3,500원",,,,시네마테크관,2017-10-25,212
,,"09:40,  유리정원(디지털),  5,000원","12:10,  대장 김창수(디지털),  7,000원","14:40,  토르: 라그나로크(디지털),  7,000원",,"19:40,  토르: 라그나로크(디지털),  6,000원",,,,,중극장,2017-10-25,413
,,"10:10,  우리의 20세기(디지털),  5,000원","12:30,  아이 앰 히스 레저(디지털),  7,000원","14:30,  빅토리아 & 압둘(디지털),  7,000원","16:50,  나의 엔젤(디지털),  7,000원","18:30,  스코어: 영화음악의 모든 것(디지털),  7,000원","20:30,  당신과 함께한 순간들(디지털),  7,000원",,,,시네마테크관,2017-10-26,212
,,"10:30,  아이 캔 스피크(디지털),  5,000원","14:00,  김광석(디지털),  7,000원","15:50,  유리정원(디지털),  7,000원","18:10,  내 친구 정일우(디지털),  7,000원","20:00,  유리정원(디지털),  7,000원",,,,,소극장,2017-10-26,212
,,"09:40,  토르: 라그나로크(디지털),  5,000원","12:10,  남한산성(디지털),  7,000원","14:50,  토르: 라그나로크(디지털),  7,000원","17:20,  대장 김창수(디지털),  0원","19:40,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-10-26,413
,,"10:30,  당신과 함께한 순간들(디지털),  5,000원","12:30,  빅토리아 & 압둘(디지털),  7,000원","14:50,  아이 앰 히스 레저(디지털),  7,000원","16:50,  스코어: 영화음악의 모든 것(디지털),  7,000원","18:50,  나의 엔젤(디지털),  7,000원","20:30,  빅토리아 & 압둘(디지털),  7,000원",,,,시네마테크관,2017-10-27,212
,,"09:40,  남한산성(디지털),  5,000원","12:20,  토르: 라그나로크(디지털),  7,000원","15:00,  대장 김창수(디지털),  7,000원","17:20,  유리정원(디지털),  7,000원","19:40,  토르: 라그나로크(디지털),  7,000원",,,,,소극장,2017-10-27,212
,,"09:30,  빅토리아 & 압둘(디지털),  6,000원","11:40,  매디슨 카운티의 다리(디지털),  7,000원","14:20,  스코어: 영화음악의 모든 것(디지털),  7,000원","16:20,  빅토리아 & 압둘(디지털),  7,000원","18:40,  당신과 함께한 순간들(디지털),  7,000원","20:40,  아이 앰 히스 레저(디지털),  7,000원",,,,시네마테크관,2017-10-28,212
,,"09:40,  대장 김창수(디지털),  5,000원","12:00,  토르: 라그나로크(디지털),  7,000원","14:40,  유리정원(디지털),  7,000원","17:00,  토르: 라그나로크(디지털),  7,000원","19:40,  남한산성(디지털),  7,000원",,,,,소극장,2017-10-28,212
,,"10:10,  매디슨 카운티의 다리(디지털),  5,000원","12:50,  당신과 함께한 순간들(디지털),  7,000원","14:50,  아이 앰 히스 레저(디지털),  7,000원","16:50,  나의 엔젤(디지털),  7,000원","18:30,  스코어: 영화음악의 모든 것(디지털),  7,000원","20:30,  빅토리아 & 압둘(디지털),  7,000원",,,,시네마테크관,2017-10-29,212
,,"09:40,  토르: 라그나로크(디지털),  5,000원","12:20,  대장 김창수(디지털),  7,000원","14:40,  토르: 라그나로크(디지털),  7,000원","17:20,  유리정원(디지털),  7,000원","19:40,  토르: 라그나로크(디지털),  7,000원",,,,,소극장,2017-10-29,212
,,"09:40,  남한산성(디지털 가치봄),  3,000원","12:30,  희생부활자(디지털 가치봄),  3,000원","14:20,  남한산성(디지털 가치봄),  3,000원","17:00,  희생부활자(디지털 가치봄),  3,000원","19:20,  남한산성(디지털 가치봄),  3,000원",,,,,시네마테크관,2017-10-30,212
,,"09:40,  빅토리아 & 압둘(디지털),  5,000원","12:00,  아이 앰 히스 레저(디지털),  7,000원","14:00,  당신과 함께한 순간들(디지털),  7,000원","16:00,  빅토리아 & 압둘(디지털),  7,000원","18:20,  나의 엔젤(디지털),  7,000원","20:00,  괜찮아요, 미스터 브래드(디지털),  0원",,,,소극장,2017-10-30,212
,,,"12:30,  유리정원(디지털),  7,000원","14:50,  대장 김창수(디지털),  7,000원","17:10,  토르: 라그나로크(디지털),  7,000원",,,,,,중극장,2017-10-30,413
,,,"13:30,  당신과 함께한 순간들(디지털),  7,000원","15:30,  매디슨 카운티의 다리(디지털),  7,000원","18:30,  금발 소녀의 기벽(필름),  6,000원","20:00,  나는 집으로 돌아가리라(필름),  6,000원",,,,,시네마테크관,2017-10-31,212
,,"10:40,  빅토리아 & 압둘(디지털),  7,000원","13:00,  아이 앰 히스 레저(디지털),  7,000원",,"18:20,  나의 엔젤(디지털),  7,000원",,,,,,소극장,2017-10-31,212
,,"09:40,  토르: 라그나로크(디지털),  5,000원","12:20,  남한산성(디지털),  7,000원","15:00,  유리정원(디지털),  7,000원","17:20,  대장 김창수(디지털),  7,000원","19:40,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-10-31,413
,,,"12:50,  매디슨 카운티의 다리(디지털),  7,000원","15:30,  당신과 함께한 순간들(디지털),  7,000원","17:30,  과거와 현재(필름),  6,000원","20:00,  앙젤리카의 이상한 사례(필름),  6,000원",,,,,시네마테크관,2017-11-01,212
,,"09:40,  스코어: 영화음악의 모든 것(디지털),  5,000원","11:40,  아이 앰 히스 레저(디지털),  7,000원","13:40,  빅토리아 & 압둘(디지털),  7,000원",,,"20:00,  아메리칸 셰프(디지털),  0원",,,,소극장,2017-11-01,212
,,"09:40,  남한산성(디지털),  5,000원","12:20,  토르: 라그나로크(디지털),  7,000원","14:50,  대장 김창수(디지털),  7,000원","17:10,  토르: 라그나로크(디지털),  7,000원","19:40,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-11-01,413
,,,,"13:50,  내 친구 정일우(디지털),  7,000원",,,"19:10,  유리정원(디지털),  7,000원",,,,인디플러스 영화의 전당,2017-11-01,36
,,"09:50,  스코어: 영화음악의 모든 것(디지털),  5,000원","11:50,  매디슨 카운티의 다리(디지털),  7,000원","14:30,  당신과 함께한 순간들(디지털),  7,000원","16:30,  아이 앰 히스 레저(디지털),  7,000원","20:10,  아니키 보보(필름),  6,000원",,,,,시네마테크관,2017-11-02,212
,,"10:40,  너의 췌장을 먹고 싶어(디지털),  7,000원","13:00,  빅토리아 & 압둘(디지털),  7,000원","15:20,  너의 췌장을 먹고 싶어(디지털),  7,000원","17:40,  빅토리아 & 압둘(디지털),  7,000원",,"20:00,  잡스(디지털),  0원",,,,소극장,2017-11-02,212
,,"09:40,  토르: 라그나로크(디지털),  5,000원","12:20,  부에나 비스타 소셜 클럽 2: 아디오스(디지털),  5,000원","14:40,  토르: 라그나로크(디지털),  7,000원","17:20,  다시 태어나도 우리(디지털),  7,000원","19:30,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-11-02,413
,,"12:00,  내게 남은 사랑을(디지털),  0원","14:20,  유리정원(디지털),  7,000원","16:40,  폭력의 씨앗(디지털),  7,000원","18:30,  올드마린보이(디지털),  5,000원","20:20,  메소드(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-02,36
,,"10:20,  매디슨 카운티의 다리(디지털),  5,000원","13:00,  소나기(디지털),  5,000원","14:10,  당신과 함께한 순간들(디지털),  7,000원","16:10,  나의 엔젤(디지털),  7,000원","20:00,  베닐드 혹은 성모 (필름),  6,000원",,,,,시네마테크관,2017-11-03,212
,,"10:40,  빅토리아 & 압둘(디지털),  7,000원","13:00,  너의 췌장을 먹고 싶어(디지털),  7,000원","15:20,  빅토리아 & 압둘(디지털),  7,000원","17:40,  너의 췌장을 먹고 싶어(디지털),  7,000원",,,,,,소극장,2017-11-03,212
,,"09:00,  부에나 비스타 소셜 클럽 2: 아디오스(디지털),  5,000원","11:10,  토르: 라그나로크(디지털),  7,000원","13:40,  다시 태어나도 우리(디지털),  7,000원","15:40,  토르: 라그나로크(디지털),  7,000원",,,,,,중극장,2017-11-03,413
,,"12:00,  메소드(디지털),  7,000원",,"16:00,  내 친구 정일우(디지털),  6,000원","18:40,  폭력의 씨앗(디지털),  7,000원",,,,,,인디플러스 영화의 전당,2017-11-03,36
,,"09:40,  나의 엔젤(디지털),  5,000원","11:20,  빅토리아 & 압둘(디지털),  7,000원","13:40,  너의 췌장을 먹고 싶어(디지털),  7,000원","16:00,  봄의 제전 (필름),  6,000원","18:00,  게보와 그림자 (디지털),  6,000원","20:00,  나는 집으로 돌아가리라(필름),  6,000원",,,,시네마테크관,2017-11-04,212
,,"10:00,  유리정원(디지털),  5,000원",,,,,,,,,소극장,2017-11-04,212
,,"09:40,  토르: 라그나로크(디지털),  5,000원","12:20,  다시 태어나도 우리(디지털),  7,000원","14:20,  토르: 라그나로크(디지털),  7,000원","17:00,  부에나 비스타 소셜 클럽 2: 아디오스(디지털),  7,000원","19:20,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-11-04,413
,,"11:30,  가을 우체국(디지털),  5,000원","13:20,  메소드(디지털),  7,000원","15:10,  미스 프레지던트(디지털),  5,000원","17:00,  올드마린보이(디지털),  5,000원","18:50,  그리다(디지털),  7,000원","20:30,  내 친구 정일우(디지털),  7,000원",,,,인디플러스 영화의 전당,2017-11-04,36
,,"09:50,  스코어: 영화음악의 모든 것(디지털),  5,000원","11:50,  너의 췌장을 먹고 싶어(디지털),  7,000원","14:10,  빅토리아 & 압둘(디지털),  7,000원",,"18:30,  금발 소녀의 기벽(필름),  6,000원","20:00,  토킹 픽처(필름),  6,000원",,,,시네마테크관,2017-11-05,212
,,"10:00,  유리정원(디지털),  5,000원",,,,,,,,,소극장,2017-11-05,212
,,"09:40,  토르: 라그나로크(디지털),  6,000원","12:20,  부에나 비스타 소셜 클럽 2: 아디오스(디지털),  7,000원","14:40,  토르: 라그나로크(디지털),  7,000원","17:20,  다시 태어나도 우리(디지털),  7,000원","19:20,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-11-05,413
,,"11:30,  내게 남은 사랑을(디지털),  7,000원","13:50,  폭력의 씨앗(디지털),  7,000원","15:40,  올드마린보이(디지털),  7,000원","17:30,  내 친구 정일우(디지털),  7,000원","19:20,  미스 프레지던트(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-05,36
,,"11:00,  칠수와 만수(디지털),  0원","14:00,  처녀들의 저녁식사(디지털),  0원","16:30,  접속(디지털),  0원","19:00,  기막힌 사내들(필름),  0원",,,,,,시네마테크관,2017-11-06,212
,,"10:30,  내 친구 정일우(디지털),  5,000원",,,,,,,,,소극장,2017-11-06,212
,,"09:40,  다시 태어나도 우리(디지털),  5,000원",,"14:20,  부에나 비스타 소셜 클럽 2: 아디오스(디지털),  7,000원","16:40,  토르: 라그나로크(디지털),  6,000원","19:30,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-11-06,413
,,"10:00,  토르: 라그나로크(디지털),  5,000원","12:40,  가을 우체국(디지털),  7,000원","14:30,  폭력의 씨앗(디지털),  7,000원","16:20,  내게 남은 사랑을(디지털),  5,000원","18:40,  그리다(디지털),  7,000원","20:20,  유리정원(디지털),  7,000원",,,,인디플러스 영화의 전당,2017-11-06,36
,,"10:40,  너의 췌장을 먹고 싶어(디지털),  7,000원","13:00,  소나기(디지털),  5,000원","15:30,  편지(필름),  6,000원","18:00,  크리스토퍼 콜럼버스 : 수수께끼 (디지털),  6,000원","20:00,  수도원(필름),  6,000원",,,,,시네마테크관,2017-11-07,212
,,"10:00,  유리정원(디지털),  5,000원",,,,,,,,,소극장,2017-11-07,212
,,"09:40,  토르: 라그나로크(디지털),  5,000원","12:20,  다시 태어나도 우리(디지털),  7,000원","14:20,  토르: 라그나로크(디지털),  7,000원","17:00,  부에나 비스타 소셜 클럽 2: 아디오스(디지털),  7,000원","19:30,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-11-07,413
,,"12:30,  올드마린보이(디지털),  0원","14:20,  메소드(디지털),  7,000원",,"18:50,  미스 프레지던트(디지털),  5,000원","20:40,  내 친구 정일우(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-07,36
,,,"12:00,  나의 엔젤(디지털),  7,000원","13:40,  빅토리아 & 압둘(디지털),  7,000원","18:00,  세계의 시초로의 여행 (필름),  6,000원","20:00,  봄의 제전 (필름),  4,000원",,,,,시네마테크관,2017-11-08,212
,,"10:30,  내 친구 정일우(디지털),  5,000원",,,,,,,,,소극장,2017-11-08,212
,,"09:40,  침묵(디지털),  5,000원","12:20,  부에나 비스타 소셜 클럽 2: 아디오스(디지털),  7,000원","14:40,  토르: 라그나로크(디지털),  7,000원","17:20,  다시 태어나도 우리(디지털),  7,000원","19:30,  침묵(디지털),  7,000원",,,,,중극장,2017-11-08,413
,,,,"15:00,  내게 남은 사랑을(디지털),  7,000원","17:20,  메소드(디지털),  7,000원","19:10,  올드마린보이(디지털),  5,000원",,,,,인디플러스 영화의 전당,2017-11-08,36
,,,"12:10,  스코어: 영화음악의 모든 것(디지털),  7,000원","14:10,  너의 췌장을 먹고 싶어(디지털),  7,000원","18:30,  나의 어린 시절 뽀르또(필름),  6,000원","20:00,  게보와 그림자 (디지털),  6,000원",,,,,시네마테크관,2017-11-09,212
,,"09:40,  채비(디지털),  5,000원","12:00,  침묵(디지털),  7,000원","14:30,  토르: 라그나로크(디지털),  7,000원","17:10,  침묵(디지털),  7,000원","19:40,  채비(디지털),  7,000원",,,,,중극장,2017-11-09,413
,,,"13:00,  유리정원(디지털),  7,000원",,"17:10,  소통과 거짓말(디지털),  7,000원",,,,,,인디플러스 영화의 전당,2017-11-09,36
,,,"12:50,  매디슨 카운티의 다리(디지털),  7,000원","15:30,  파티(필름),  6,000원","17:30,  아니키 보보(필름),  6,000원","20:00,  과거와 현재(필름),  6,000원",,,,,시네마테크관,2017-11-10,212
,,"10:30,  너의 췌장을 먹고 싶어(디지털),  5,000원","12:50,  러빙 빈센트(디지털),  7,000원","14:50,  뉴니스(디지털),  7,000원","17:10,  파크(디지털),  7,000원","19:30,  폭력의 씨앗(디지털),  7,000원",,,,,소극장,2017-11-10,212
,,"09:40,  침묵(디지털),  5,000원","12:10,  채비(디지털),  7,000원","14:30,  침묵(디지털),  7,000원","17:00,  토르: 라그나로크(디지털),  7,000원","19:40,  채비(디지털),  7,000원",,,,,중극장,2017-11-10,413
,,"12:30,  올드마린보이(디지털),  7,000원","14:20,  가을 우체국(디지털),  7,000원","16:10,  내게 남은 사랑을(디지털),  7,000원","18:30,  미스 프레지던트(디지털),  7,000원","20:20,  내 친구 정일우(디지털),  5,000원",,,,,인디플러스 영화의 전당,2017-11-10,36
,,"10:20,  매디슨 카운티의 다리(디지털),  5,000원",,"13:00,  토킹 픽처(필름),  6,000원","15:10,  수도원(필름),  6,000원","17:10,  불확실성의 원리(필름),  6,000원","20:00,  지배의 공허한 영광 (디지털),  6,000원",,,,시네마테크관,2017-11-11,212
,,"09:40,  파크(디지털),  5,000원","12:00,  너의 췌장을 먹고 싶어(디지털),  7,000원","14:20,  러빙 빈센트(디지털),  7,000원","16:20,  빅토리아 & 압둘(디지털),  7,000원","18:40,  당신과 함께한 순간들(디지털),  7,000원","20:40,  뉴니스(디지털),  7,000원",,,,소극장,2017-11-11,212
,,"09:40,  채비(디지털),  5,000원","12:00,  침묵(디지털),  7,000원","14:30,  토르: 라그나로크(디지털),  7,000원","17:10,  채비(디지털),  7,000원","19:40,  침묵(디지털),  7,000원",,,,,중극장,2017-11-11,413
,,"11:30,  그리다(디지털),  7,000원","13:10,  내 친구 정일우(디지털),  7,000원","15:00,  메소드(디지털),  7,000원","16:50,  올드마린보이(디지털),  7,000원","18:40,  미스 프레지던트(디지털),  6,000원",,,,,인디플러스 영화의 전당,2017-11-11,36
,,,,"11:00,  나는 집으로 돌아가리라(필름),  6,000원","13:00,  눈먼 남자의 허풍(필름),  6,000원","15:00,  앙젤리카의 이상한 사례(필름),  6,000원","19:00,  아브라함 계곡 (필름),  6,000원",,,,시네마테크관,2017-11-12,212
,,"09:40,  빅토리아 & 압둘(디지털),  5,000원","12:00,  당신과 함께한 순간들(디지털),  7,000원","14:00,  너의 췌장을 먹고 싶어(디지털),  7,000원","16:20,  러빙 빈센트(디지털),  7,000원","18:20,  뉴니스(디지털),  7,000원","20:40,  파크(디지털),  7,000원",,,,소극장,2017-11-12,212
,,"10:20,  토르: 라그나로크(디지털),  5,000원","13:00,  침묵(디지털),  7,000원","15:40,  채비(디지털),  7,000원","18:00,  침묵(디지털),  7,000원","20:30,  채비(디지털),  6,000원",,,,,중극장,2017-11-12,413
,,"11:30,  내게 남은 사랑을(디지털),  7,000원","13:50,  유리정원(디지털),  7,000원","16:10,  내 친구 정일우(디지털),  7,000원","18:00,  폭력의 씨앗(디지털),  7,000원","19:50,  메소드(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-12,36
,,,"13:00,  칠수와 만수(디지털),  0원","16:00,  기막힌 사내들(필름),  0원",,,,,,,시네마테크관,2017-11-13,212
,,,"12:20,  러빙 빈센트(디지털),  7,000원","14:20,  뉴니스(디지털),  7,000원",,"18:40,  러빙 빈센트(디지털),  7,000원","20:40,  너의 췌장을 먹고 싶어(디지털),  7,000원",,,,소극장,2017-11-13,212
,,"09:40,  침묵(디지털),  5,000원","12:10,  채비(디지털),  7,000원","14:30,  침묵(디지털),  7,000원","17:00,  토르: 라그나로크(디지털),  7,000원","19:40,  채비(디지털),  7,000원",,,,,중극장,2017-11-13,413
,,"10:00,  채비(디지털),  5,000원","13:00,  메소드(디지털),  7,000원","14:50,  내 친구 정일우(디지털),  6,000원","16:40,  미스 프레지던트(디지털),  5,000원",,"20:10,  소통과 거짓말(디지털),  7,000원",,,,인디플러스 영화의 전당,2017-11-13,36
,,,"12:30,  스코어: 영화음악의 모든 것(디지털),  7,000원","14:30,  신곡(필름),  6,000원","17:30,  봄의 제전 (필름),  6,000원","20:00,  불안(필름),  6,000원",,,,,시네마테크관,2017-11-14,212
,,"09:30,  뉴니스(디지털),  5,000원","11:50,  빅토리아 & 압둘(디지털),  7,000원","14:10,  파크(디지털),  7,000원","16:30,  러빙 빈센트(디지털),  7,000원","18:30,  너의 췌장을 먹고 싶어(디지털),  7,000원","20:50,  당신과 함께한 순간들(디지털),  7,000원",,,,소극장,2017-11-14,212
,,"09:40,  채비(디지털),  0원","12:10,  침묵(디지털),  7,000원","14:40,  채비(디지털),  7,000원","17:10,  침묵(디지털),  7,000원","19:40,  토르: 라그나로크(디지털),  7,000원",,,,,중극장,2017-11-14,413
,,"12:30,  내게 남은 사랑을(디지털),  5,000원","14:50,  메소드(디지털),  7,000원","16:40,  가을 우체국(디지털),  0원","18:30,  폭력의 씨앗(디지털),  5,000원","20:20,  유리정원(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-14,36
,,,"12:30,  스코어: 영화음악의 모든 것(디지털),  7,000원",,"17:00,  파티(필름),  6,000원","19:00,  프란시스카(디지털),  6,000원",,,,,시네마테크관,2017-11-15,212
,,"09:40,  러빙 빈센트(디지털),  5,000원","11:40,  뉴니스(디지털),  7,000원",,"16:20,  파크(디지털),  7,000원","18:40,  당신과 함께한 순간들(디지털),  7,000원","20:40,  너의 췌장을 먹고 싶어(디지털),  7,000원",,,,소극장,2017-11-15,212
,,"10:00,  침묵(디지털),  5,000원","12:40,  채비(디지털),  7,000원",,"17:30,  저스티스 리그(디지털),  7,000원","19:50,  저스티스 리그(디지털),  7,000원",,,,,중극장,2017-11-15,413
,,"13:00,  그리다(디지털),  7,000원",,"16:30,  소통과 거짓말(디지털),  5,000원",,"20:30,  메소드(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-15,36
,,,"12:30,  스코어: 영화음악의 모든 것(디지털),  7,000원","14:30,  불확실성의 원리(필름),  6,000원","17:30,  편지(필름),  6,000원","20:00,  카니발(필름),  6,000원",,,,,시네마테크관,2017-11-16,212
,,"09:30,  러빙 빈센트(디지털),  5,000원","11:30,  러브, 어게인(디지털),  7,000원","13:30,  그들이 진심으로 엮을 때(디지털),  7,000원","16:00,  러빙 빈센트(디지털),  7,000원",,,,,,소극장,2017-11-16,212
,,,"12:40,  저스티스 리그(디지털),  7,000원","15:00,  침묵(디지털),  7,000원","17:30,  저스티스 리그(디지털),  7,000원","19:50,  채비(디지털),  7,000원",,,,,중극장,2017-11-16,413
,,,,,,"20:20,  아기와 나(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-16,36
,,,,"11:00,  아브라함 계곡 (필름),  6,000원","18:30,  나의 어린 시절 뽀르또(필름),  6,000원","20:00,  말과 유토피아(필름),  6,000원",,,,,시네마테크관,2017-11-17,212
,,,"11:50,  그들이 진심으로 엮을 때(디지털),  7,000원","14:20,  러브, 어게인(디지털),  7,000원","16:20,  러빙 빈센트(디지털),  7,000원","18:20,  빅토리아 & 압둘(디지털),  7,000원","20:40,  너의 췌장을 먹고 싶어(디지털),  7,000원",,,,소극장,2017-11-17,212
,,"09:20,  저스티스 리그(디지털),  5,000원","11:40,  채비(디지털),  7,000원",,"20:30,  저스티스 리그(디지털),  7,000원",,,,,,중극장,2017-11-17,413
,,,,"14:20,  로마서 8:37(디지털),  7,000원","17:00,  그리다(디지털),  7,000원","20:30,  우리집 멍멍이 진진과 아키다(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-17,36
,,"09:20,  매디슨 카운티의 다리(디지털),  5,000원",,"12:00,  금발 소녀의 기벽(필름),  6,000원","13:30,  절망의 날 (필름),  6,000원","15:30,  베닐드 혹은 성모 (필름),  6,000원","20:00,  아니키 보보(필름),  6,000원",,,,시네마테크관,2017-11-18,212
,,"09:30,  빅토리아 & 압둘(디지털),  5,000원","11:50,  러브, 어게인(디지털),  7,000원","13:50,  그들이 진심으로 엮을 때(디지털),  7,000원","16:20,  러빙 빈센트(디지털),  7,000원","18:20,  너의 췌장을 먹고 싶어(디지털),  7,000원","20:40,  뉴니스(디지털),  7,000원",,,,소극장,2017-11-18,212
,,"09:40,  저스티스 리그(디지털),  5,000원","12:10,  침묵(디지털),  7,000원","14:40,  저스티스 리그(디지털),  7,000원","17:10,  채비(디지털),  7,000원","19:30,  저스티스 리그(디지털),  7,000원",,,,,중극장,2017-11-18,413
,,"11:30,  우리집 멍멍이 진진과 아키다(디지털),  7,000원","13:00,  아기와 나(디지털),  7,000원","15:30,  수성못(디지털),  7,000원","18:30,  소통과 거짓말(디지털),  7,000원","20:40,  유리정원(디지털),  7,000원",,,,,인디플러스 영화의 전당,2017-11-18,36
,,"09:20,  히트(디지털),  5,000원","14:30,  크리스토퍼 콜럼버스 : 수수께끼 (디지털),  6,000원","12:30,  세계의 시초로의 여행 (필름),  6,000원",,"16:30,  프란시스카(디지털),  6,000원","20:00,  과거와 현재(필름),  6,000원",,,,시네마테크관,2017-11-19,212
,,"09:50,  러빙 빈센트(디지털),  5,000원","11:50,  그들이 진심으로 엮을 때(디지털),  7,000원","14:20,  러브, 어게인(디지털),  7,000원","16:20,  러빙 빈센트(디지털),  7,000원","18:20,  너의 췌장을 먹고 싶어(디지털),  7,000원","20:40,  뉴니스(디지털),  7,000원",,,,소극장,2017-11-19,212
,,"09:40,  저스티스 리그(디지털),  5,000원","12:10,  채비(디지털),  7,000원","14:40,  저스티스 리그(디지털),  7,000원","17:10,  침묵(디지털),  7,000원","19:40,  저스티스 리그(디지털),  7,000원",,,,,중극장,2017-11-19,413
,,"11:30,  수성못(디지털),  7,000원","13:20,  우리집 멍멍이 진진과 아키다(디지털),  7,000원",,"16:30,  메소드(디지털),  7,000원","18:20,  내 친구 정일우(디지털),  7,000원","20:10,  폭력의 씨앗(디지털),  7,000원",,,,인디플러스 영화의 전당,2017-11-19,36
,,,"12:10,  채비(디지털 가치봄),  3,000원","14:20,  채비(디지털 가치봄),  3,000원","16:40,  채비(디지털 가치봄),  3,000원",,,,,,시네마테크관,2017-11-20,212
