상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2019-10-05,03관,"10:30,  퍼펙트맨(디지털),  6,000원","13:00,  소피와 드래곤: 마법책의 비밀(디지털더빙),  10,000원","15:00,  퍼펙트맨(디지털),  10,000원","17:25,  퍼펙트맨(디지털),  10,000원","19:50,  퍼펙트맨(디지털),  10,000원","22:15,  퍼펙트맨(디지털),  8,000원",,120
2019-10-05,04관,"09:40,  오션스: 문어구출대작전(디지털더빙),  6,000원","11:15,  소피와 드래곤: 마법책의 비밀(디지털더빙),  10,000원","13:00,  양자물리학(디지털),  10,000원","15:30,  조커(디지털),  10,000원","18:00,  조커(디지털),  10,000원","20:30,  조커(디지털),  10,000원","23:00,  조커(디지털),  8,000원",137
2019-10-05,05관,"10:20,  장사리 : 잊혀진 영웅들(디지털),  6,000원","12:30,  가장 보통의 연애(디지털),  10,000원","14:45,  장사리 : 잊혀진 영웅들(디지털),  10,000원","17:00,  가장 보통의 연애(디지털),  8,000원","19:15,  가장 보통의 연애(디지털),  10,000원","21:30,  가장 보통의 연애(디지털),  8,000원",,120
2019-10-06,01관,"09:40,  조커(디지털),  6,000원","12:10,  조커(디지털),  10,000원","14:40,  조커(디지털),  10,000원","17:10,  조커(디지털),  10,000원","19:40,  조커(디지털),  10,000원","22:10,  조커(디지털),  8,000원",,180
2019-10-06,02관,"09:30,  가장 보통의 연애(디지털),  6,000원","11:45,  가장 보통의 연애(디지털),  10,000원","14:00,  가장 보통의 연애(디지털),  10,000원","16:15,  가장 보통의 연애(디지털),  10,000원","18:30,  가장 보통의 연애(디지털),  10,000원","20:45,  가장 보통의 연애(디지털),  10,000원",,189
2019-10-06,03관,"10:30,  퍼펙트맨(디지털),  6,000원","13:00,  소피와 드래곤: 마법책의 비밀(디지털더빙),  10,000원","15:00,  퍼펙트맨(디지털),  10,000원","17:25,  퍼펙트맨(디지털),  10,000원","19:50,  퍼펙트맨(디지털),  10,000원","22:15,  퍼펙트맨(디지털),  8,000원",,120
2019-10-06,04관,"09:40,  오션스: 문어구출대작전(디지털더빙)","11:15,  소피와 드래곤: 마법책의 비밀(디지털더빙),  10,000원","13:00,  양자물리학(디지털),  10,000원","15:30,  조커(디지털),  10,000원","18:00,  조커(디지털),  10,000원","20:30,  조커(디지털),  10,000원",,137
2019-10-06,05관,"10:20,  장사리 : 잊혀진 영웅들(디지털),  6,000원","12:30,  가장 보통의 연애(디지털),  6,500원","14:45,  장사리 : 잊혀진 영웅들(디지털),  10,000원","17:00,  가장 보통의 연애(디지털),  10,000원","19:15,  가장 보통의 연애(디지털),  10,000원","21:30,  가장 보통의 연애(디지털),  8,000원",,120
2019-10-07,01관,"09:30,  조커(디지털),  6,000원","12:00,  조커(디지털),  8,000원","15:05,  조커(디지털),  10,000원","17:35,  조커(디지털),  10,000원","20:05,  조커(디지털),  10,000원","22:35,  조커(디지털),  8,000원",,180
2019-10-07,02관,"10:20,  가장 보통의 연애(디지털),  6,000원","12:35,  가장 보통의 연애(디지털),  8,000원","14:50,  가장 보통의 연애(디지털),  10,000원","17:05,  가장 보통의 연애(디지털),  10,000원","19:20,  가장 보통의 연애(디지털),  10,000원","21:35,  가장 보통의 연애(디지털),  8,000원",,189
2019-10-07,03관,"10:30,  퍼펙트맨(디지털),  6,000원","12:55,  퍼펙트맨(디지털),  8,000원","15:20,  퍼펙트맨(디지털),  10,000원","17:45,  퍼펙트맨(디지털),  10,000원","20:10,  퍼펙트맨(디지털),  10,000원","22:35,  퍼펙트맨(디지털),  8,000원",,120
2019-10-07,04관,"10:00,  소피와 드래곤: 마법책의 비밀(디지털더빙)","11:40,  양자물리학(디지털)","14:05,  조커(디지털),  10,000원","16:35,  조커(디지털),  10,000원","19:05,  조커(디지털),  10,000원","21:35,  조커(디지털),  8,000원",,137
