상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2018-12-04,02관,"11:00,  베일리 어게인(디지털),  6,000원","13:10,  바울(디지털),  9,000원","15:15,  인 디 아일(디지털),  9,000원","17:35,  베일리 어게인(디지털),  9,000원","19:30,  화씨 11/9: 트럼프의 시대(디지털),  9,000원",,,138
2018-12-05,01관,"10:30,  뉴욕 라이브러리에서(디지털),  8,000원","14:15,  해피 댄싱(디지털),  9,000원","16:25,  베일리 어게인(디지털),  9,000원","18:25,  페르세폴리스(디지털),  9,000원","20:20,  보헤미안 랩소디(디지털),  9,000원",,,138
2018-12-05,02관,"10:40,  화씨 11/9: 트럼프의 시대(디지털),  6,000원","13:20,  보헤미안 랩소디(디지털),  9,000원","15:55,  바울(디지털),  9,000원","18:00,  베일리 어게인(디지털),  9,000원","20:00,  영주(디지털),  9,000원",,,138
2018-12-06,01관,"11:00,  툴리(디지털),  6,000원","13:00,  인생 후르츠(디지털),  9,000원","14:50,  보헤미안 랩소디(디지털),  9,000원","17:30,  베일리 어게인(디지털),  9,000원","19:30,  툴리(디지털),  7,000원",,,138
2018-12-06,02관,"10:40,  바울(디지털),  6,000원","12:45,  인 디 아일(디지털),  9,000원","15:10,  페르세폴리스(디지털),  9,000원","17:05,  인 디 아일(디지털),  9,000원","19:40,  뉴욕 라이브러리에서(디지털),  11,000원",,,138
2018-12-07,01관,"10:30,  인 디 아일(디지털),  6,000원","12:55,  보헤미안 랩소디(디지털),  9,000원","15:30,  툴리(디지털),  10,000원","17:25,  보헤미안 랩소디(디지털),  9,000원","20:00,  인 디 아일(디지털),  10,000원",,,138
2018-12-07,02관,"10:40,  베일리 어게인(디지털),  6,000원","12:40,  바울(디지털),  9,000원","15:00,  인생 후르츠(디지털),  10,000원",,,,,138
2018-12-08,01관,"10:20,  툴리(디지털),  6,000원","12:30,  인 디 아일(디지털),  10,000원","15:00,  해피 댄싱(디지털),  10,000원","17:30,  인 디 아일(디지털),  10,000원","20:00,  보헤미안 랩소디(디지털),  10,000원",,,138
2018-12-08,02관,"10:10,  바울(디지털),  6,000원","12:15,  베일리 어게인(디지털),  10,000원","14:15,  화씨 11/9: 트럼프의 시대(디지털),  10,000원","16:40,  베일리 어게인(디지털),  10,000원","18:40,  페르세폴리스(디지털),  10,000원","20:35,  인생 후르츠(디지털),  10,000원",,138
2018-12-09,01관,"10:20,  인 디 아일(디지털),  6,000원","12:45,  툴리(디지털),  10,000원","14:40,  보헤미안 랩소디(디지털),  10,000원","17:15,  툴리(디지털),  10,000원","20:05,  인 디 아일(디지털),  10,000원",,,138
