상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2019-06-27,02관,"09:50,  존 윅 3: 파라벨룸(디지털),  6,000원","12:20,  알라딘(디지털더빙),  5,000원","14:45,  기생충(디지털),  6,000원","17:10,  토이 스토리 4(디지털더빙),  6,000원","19:05,  존 윅 3: 파라벨룸(디지털),  6,000원","21:30,  알라딘(디지털),  6,000원",,,,,,,39
2019-06-28,01관,"09:50,  비스트(디지털),  6,000원","12:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:30,  비스트(디지털),  6,000원","16:55,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","19:10,  비스트(디지털),  6,000원","21:35,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,59
2019-06-28,02관,"09:50,  존 윅 3: 파라벨룸(디지털)","12:20,  알라딘(디지털더빙),  6,000원","14:45,  기생충(디지털),  6,000원","17:10,  토이 스토리 4(디지털더빙),  6,000원","19:05,  존 윅 3: 파라벨룸(디지털),  6,000원","21:30,  알라딘(디지털),  6,000원",,,,,,,39
2019-06-29,01관,"09:50,  비스트(디지털),  6,000원","12:15,  토이 스토리 4(디지털더빙),  6,000원","14:10,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:25,  비스트(디지털),  6,000원","18:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:05,  비스트(디지털),  6,000원",,,,,,,59
2019-06-29,02관,"09:40,  알라딘(디지털더빙),  6,000원","12:05,  존 윅 3: 파라벨룸(디지털),  6,000원","14:30,  토이 스토리 4(디지털더빙),  6,000원","16:25,  기생충(디지털),  6,000원","18:50,  알라딘(디지털),  6,000원","21:15,  존 윅 3: 파라벨룸(디지털),  6,000원",,,,,,,39
2019-06-30,01관,"09:50,  비스트(디지털)","12:15,  토이 스토리 4(디지털더빙),  6,000원","14:10,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","16:25,  비스트(디지털),  6,000원","18:50,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","21:05,  비스트(디지털),  6,000원",,,,,,,59
2019-06-30,02관,"09:40,  알라딘(디지털더빙),  6,000원","12:05,  존 윅 3: 파라벨룸(디지털),  6,000원","14:30,  토이 스토리 4(디지털더빙),  6,000원","16:25,  기생충(디지털),  6,000원","18:50,  알라딘(디지털),  6,000원","21:15,  존 윅 3: 파라벨룸(디지털),  6,000원",,,,,,,39
2019-07-01,01관,"09:50,  비스트(디지털),  6,000원","12:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:30,  비스트(디지털),  6,000원","16:55,  토이 스토리 4(디지털더빙),  6,000원","18:50,  비스트(디지털),  6,000원","21:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원",,,,,,,59
2019-07-01,02관,"10:00,  빅샤크2: 해저2만리(디지털더빙),  6,000원","11:30,  존 윅 3: 파라벨룸(디지털),  6,000원","13:55,  기생충(디지털),  6,000원","16:25,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","18:40,  알라딘(디지털),  6,000원","21:05,  존 윅 3: 파라벨룸(디지털),  6,000원",,,,,,,39
2019-07-02,01관,"09:50,  비스트(디지털)","12:15,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","14:30,  비스트(디지털)","16:55,  롱 리브 더 킹: 목포 영웅(디지털),  6,000원","19:10,  비스트(디지털),  6,000원","21:35,  롱 리브 더 킹: 목포 영웅(디지털)",,,,,,,59
