상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-03-14,01관,"11:00,  갓 헬프 더 걸(디지털),  5,000원","13:30,  가족의 나라(디지털),  0원","15:30,  조류인간(디지털),  5,000원","17:50,  소셜포비아(디지털),  5,000원","19:50,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원",,,98
2015-03-15,01관,"11:00,  웰컴, 삼바(디지털),  5,000원","13:20,  파리 폴리(디지털),  5,000원","15:20,  갓 헬프 더 걸(디지털),  5,000원","17:30,  조류인간(디지털),  5,000원","19:50,  소셜포비아(디지털),  5,000원",,,98
2015-03-17,01관,"13:30,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","15:40,  웰컴, 삼바(디지털),  5,000원","18:00,  파리 폴리(디지털),  5,000원","20:00,  갓 헬프 더 걸(디지털),  5,000원",,,,98
2015-03-18,01관,"11:00,  조류인간(디지털),  5,000원","13:20,  소셜포비아(디지털),  5,000원","15:30,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","17:50,  웰컴, 삼바(디지털),  5,000원","20:10,  파리 폴리(디지털),  5,000원",,,98
2015-03-19,01관,"11:00,  소셜포비아(디지털),  5,000원","13:10,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","15:30,  그라운드의 이방인(디지털),  5,000원","17:40,  모던 타임즈(필름),  5,000원","19:30,  해피 해피 와이너리(디지털),  5,000원",,,98
2015-03-20,01관,"11:00,  해피 해피 와이너리(디지털),  5,000원","13:20,  소셜포비아(디지털),  5,000원","15:30,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","17:50,  그라운드의 이방인(디지털),  5,000원","20:00,  모던 타임즈(필름),  5,000원",,,98
2015-03-21,01관,"11:00,  조류인간(디지털),  5,000원","13:30,  우리 학교(필름),  0원","16:00,  그라운드의 이방인(디지털),  5,000원","18:00,  소셜포비아(디지털),  5,000원","20:00,  그라운드의 이방인(디지털),  5,000원",,,98
2015-03-22,01관,"11:00,  조류인간(디지털),  5,000원","13:20,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","15:40,  모던 타임즈(필름),  5,000원","17:30,  소셜포비아(디지털),  4,000원","19:40,  해피 해피 와이너리(디지털),  5,000원",,,98
2015-03-24,01관,"13:20,  소셜포비아(디지털),  5,000원","15:30,  그라운드의 이방인(디지털),  5,000원","17:40,  조류인간(디지털),  5,000원","20:00,  소셜포비아(디지털),  5,000원",,,,98
2015-03-25,01관,"11:00,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원","13:20,  모던 타임즈(필름),  5,000원","15:10,  그라운드의 이방인(디지털),  4,000원","17:20,  해피 해피 와이너리(디지털),  5,000원","19:40,  포스 마쥬어: 화이트 베케이션(디지털),  5,000원",,,98
