1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
"12:30,  로망(디지털),  10,000원","20:30,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-13,59
"12:30,  아픈 만큼 사랑한다(디지털)","14:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:05,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-14,59
"13:00,  파도치는 땅(디지털)","18:35,  아픈 만큼 사랑한다(디지털),  10,000원","20:20,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-15,59
"00:05,  이웃집 형수-무삭제(디지털),  1,000원","20:15,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-16,59
"00:05,  너 말고 니 언니(디지털),  2,000원","18:35,  아픈 만큼 사랑한다(디지털),  10,000원","20:20,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-17,59
"00:05,  상류클럽(디지털),  1,000원",,,,,,,,01관,2019-04-18,59
"00:05,  엄마학개론(디지털),  2,000원","20:40,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-19,59
"13:00,  아픈 만큼 사랑한다(디지털)","14:45,  아픈 만큼 사랑한다(디지털),  10,000원","16:30,  아픈 만큼 사랑한다(디지털),  10,000원","18:15,  아픈 만큼 사랑한다(디지털)","20:00,  아픈 만큼 사랑한다(디지털)",,,,01관,2019-04-20,59
"13:00,  아픈 만큼 사랑한다(디지털),  10,000원","14:45,  아픈 만큼 사랑한다(디지털),  10,000원","16:30,  아픈 만큼 사랑한다(디지털),  10,000원","18:15,  아픈 만큼 사랑한다(디지털),  10,000원","20:00,  아픈 만큼 사랑한다(디지털),  10,000원",,,,01관,2019-04-21,59
"12:20,  아픈 만큼 사랑한다(디지털)","16:15,  아픈 만큼 사랑한다(디지털)","20:10,  아픈 만큼 사랑한다(디지털),  9,000원",,,,,,01관,2019-04-22,59
"11:00,  아픈 만큼 사랑한다(디지털),  10,000원","14:55,  아픈 만큼 사랑한다(디지털),  10,000원","18:50,  아픈 만큼 사랑한다(디지털)","20:35,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,01관,2019-04-23,59
"00:05,  유정 - 스며들다(디지털),  2,000원",,"20:10,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,01관,2019-04-24,59
"00:05,  유정 - 스며들다(디지털),  2,000원","18:15,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,,01관,2019-04-25,59
"00:05,  유정 - 스며들다(디지털),  2,000원","19:20,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,,01관,2019-04-26,59
"10:25,  아픈 만큼 사랑한다(디지털),  10,000원","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-27,59
"10:25,  아픈 만큼 사랑한다(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-04-28,59
"12:00,  어벤져스: 엔드게임(디지털)","19:20,  어벤져스: 엔드게임(디지털),  10,000원",,,,,,,01관,2019-04-29,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-04-30,59
"10:25,  어벤져스: 엔드게임(디지털),  10,000원","17:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-01,59
"00:05,  어린 누나 3(디지털),  2,000원","17:45,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-02,59
"00:05,  착한 사촌 여동생(디지털),  2,000원","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-03,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-04,59
"10:25,  어벤져스: 엔드게임(디지털)","17:45,  아픈 만큼 사랑한다(디지털),  10,000원",,,,,,,01관,2019-05-05,59
"10:25,  어벤져스: 엔드게임(디지털),  9,000원","17:45,  아픈 만큼 사랑한다(디지털)",,,,,,,01관,2019-05-06,59
"00:05,  여대생들의은밀한아르바이트(디지털),  2,000원","17:40,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-07,59
"00:05,  남편친구들(디지털),  2,000원","17:40,  어벤져스: 엔드게임(디지털)",,,,,,,01관,2019-05-08,59
