상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2018-06-27,06관,"09:40,  시카리오: 데이 오브 솔다도(디지털),  7,000원","12:10,  시카리오: 데이 오브 솔다도(디지털),  9,000원","14:40,  시카리오: 데이 오브 솔다도(디지털),  10,000원","17:10,  시카리오: 데이 오브 솔다도(디지털),  5,000원","19:40,  시카리오: 데이 오브 솔다도(디지털),  7,000원","22:10,  시카리오: 데이 오브 솔다도(디지털),  10,000원","24:40,  시카리오: 데이 오브 솔다도(디지털),  9,000원",,,,,180
2018-06-27,4DX,"10:10,  쥬라기 월드: 폴른 킹덤(4D),  6,000원","12:45,  아바타(4D),  9,000원","15:55,  쥬라기 월드: 폴른 킹덤(4D),  8,000원","18:30,  아바타(4D),  11,000원","21:40,  쥬라기 월드: 폴른 킹덤(4D),  8,000원","24:15,  아바타(4D),  9,000원",,,,,,84
2018-06-28,01관(SCREENX),"09:15,  마녀(디지털),  7,000원","11:45,  마녀(디지털),  9,000원","14:20,  마녀(디지털),  10,000원","16:50,  마녀(디지털),  11,000원","19:20,  마녀(디지털),  11,000원","21:50,  마녀(디지털),  11,000원","24:20,  마녀(디지털),  9,000원",,,,,182
2018-06-28,02관,"09:50,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","12:30,  마녀(디지털),  9,000원","15:10,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","17:50,  마녀(디지털),  11,000원","20:30,  쥬라기 월드: 폴른 킹덤(디지털),  3,500원","23:10,  마녀(디지털),  10,000원",,,,,,164
2018-06-28,03관(프리미엄),"10:00,  마녀(디지털),  7,000원","12:35,  탐정: 리턴즈(디지털),  8,000원","15:00,  마녀(디지털),  9,000원","17:30,  탐정: 리턴즈(디지털),  10,000원","20:00,  마녀(디지털),  10,000원","22:30,  탐정: 리턴즈(디지털),  9,000원",,,,,,78
2018-06-28,04관,"09:20,  탐정: 리턴즈(디지털),  8,000원","11:40,  탐정: 리턴즈(디지털),  9,000원","14:00,  탐정: 리턴즈(디지털),  10,000원","16:25,  탐정: 리턴즈(디지털),  11,000원","18:50,  탐정: 리턴즈(디지털),  11,000원","21:15,  탐정: 리턴즈(디지털),  11,000원","23:40,  탐정: 리턴즈(디지털),  10,000원",,,,,184
2018-06-28,05관,"09:35,  오션스8(디지털),  8,000원","11:50,  오 루시!(디지털),  8,000원","13:50,  오션스8(디지털),  9,000원","16:10,  빅샤크: 매직체인지(디지털더빙),  11,000원","17:55,  오 루시!(디지털),  8,000원","19:55,  시카리오: 데이 오브 솔다도(디지털),  11,000원","22:20,  시카리오: 데이 오브 솔다도(디지털),  10,000원","24:45,  오 루시!(디지털)",,,,154
2018-06-28,06관,"09:00,  시카리오: 데이 오브 솔다도(디지털),  7,000원","11:30,  시카리오: 데이 오브 솔다도(디지털),  9,000원","14:00,  시카리오: 데이 오브 솔다도(디지털),  8,000원","16:30,  시카리오: 데이 오브 솔다도(디지털),  11,000원","19:00,  시카리오: 데이 오브 솔다도(디지털),  11,000원","21:30,  시카리오: 데이 오브 솔다도(디지털),  11,000원","24:00,  시카리오: 데이 오브 솔다도(디지털),  10,000원",,,,,180
2018-06-28,4DX,"09:45,  허스토리(디지털),  7,000원",,"14:45,  허스토리(디지털),  9,500원",,"19:45,  허스토리(디지털),  11,000원","22:10,  허스토리(디지털),  8,000원","24:35,  허스토리(디지털),  10,000원",,,,,84
2018-06-29,01관(SCREENX),"09:15,  마녀(디지털),  7,000원","11:45,  마녀(디지털),  12,000원","14:20,  마녀(디지털),  11,000원","16:50,  마녀(디지털),  12,000원","19:20,  마녀(디지털),  12,000원","21:50,  마녀(디지털),  12,000원","24:20,  마녀(디지털),  10,000원",,,,,182
