상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,좌석수
2015-01-14,01관,"09:00,  허삼관(디지털)","11:20,  국제시장(디지털),  8,000원","13:40,  허삼관(디지털),  6,000원","16:00,  국제시장(디지털),  8,000원","18:20,  허삼관(디지털),  6,000원","20:40,  허삼관(디지털),  8,000원","23:00,  허삼관(디지털),  6,000원",,,,,,,211
2015-01-14,02관,"08:50,  박물관이 살아있다 : 비밀의 무덤(디지털)","10:45,  오늘의 연애(디지털),  5,000원","12:55,  박물관이 살아있다 : 비밀의 무덤(디지털)","14:50,  오늘의 연애(디지털),  8,000원","17:05,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","19:00,  오늘의 연애(디지털),  8,000원","21:15,  오늘의 연애(디지털),  8,000원","23:30,  오늘의 연애(디지털),  6,000원",,,,,,117
2015-01-15,01관,"09:00,  허삼관(디지털)","11:20,  국제시장(디지털),  8,000원","13:40,  허삼관(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:20,  허삼관(디지털),  7,000원","20:40,  허삼관(디지털),  8,000원","23:00,  허삼관(디지털)",,,,,,,211
2015-01-15,02관,"08:50,  박물관이 살아있다 : 비밀의 무덤(디지털)","10:45,  오늘의 연애(디지털),  5,000원","13:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","14:55,  오늘의 연애(디지털),  8,000원","17:10,  오늘의 연애(디지털),  8,000원","19:25,  오늘의 연애(디지털),  8,000원","21:40,  오늘의 연애(디지털),  8,000원","23:55,  오늘의 연애(디지털),  6,000원",,,,,,117
2015-01-16,01관,"09:00,  허삼관(디지털)","11:20,  국제시장(디지털),  8,000원","13:40,  허삼관(디지털),  8,000원","16:00,  국제시장(디지털),  8,000원","18:20,  허삼관(디지털),  8,000원","20:40,  허삼관(디지털),  8,000원","23:00,  허삼관(디지털),  6,000원",,,,,,,211
2015-01-16,02관,"08:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  5,000원","10:45,  오늘의 연애(디지털)","13:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  7,000원","14:55,  오늘의 연애(디지털),  7,000원","17:10,  오늘의 연애(디지털),  8,000원","19:25,  오늘의 연애(디지털),  8,000원","21:40,  오늘의 연애(디지털),  8,000원","23:55,  오늘의 연애(디지털),  8,000원",,,,,,117
2015-01-17,01관,"08:40,  국제시장(디지털)","11:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","12:55,  오늘의 연애(디지털),  8,000원","15:10,  오늘의 연애(디지털),  8,000원","17:25,  오늘의 연애(디지털),  8,000원","19:40,  오늘의 연애(디지털),  8,000원","21:55,  오늘의 연애(디지털),  8,000원","24:10,  오늘의 연애(디지털),  6,000원",,,,,,211
2015-01-17,02관,"09:30,  오늘의 연애(디지털),  5,000원","11:45,  허삼관(디지털),  8,000원","14:05,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","16:00,  허삼관(디지털),  8,000원","18:20,  국제시장(디지털),  8,000원","20:40,  허삼관(디지털),  8,000원","23:00,  허삼관(디지털),  6,000원",,,,,,,117
2015-01-18,01관,"08:40,  국제시장(디지털)","11:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","12:55,  오늘의 연애(디지털),  8,000원","15:10,  오늘의 연애(디지털),  8,000원","17:25,  오늘의 연애(디지털),  8,000원","19:40,  오늘의 연애(디지털),  8,000원","21:55,  오늘의 연애(디지털),  8,000원",,,,,,,211
2015-01-18,02관,"09:30,  오늘의 연애(디지털),  5,000원","11:45,  허삼관(디지털),  8,000원","14:05,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","16:00,  허삼관(디지털),  8,000원","18:20,  국제시장(디지털),  8,000원","20:40,  허삼관(디지털),  8,000원",,,,,,,,117
2015-01-19,01관,"09:00,  오늘의 연애(디지털),  5,000원","11:15,  박물관이 살아있다 : 비밀의 무덤(디지털),  6,000원","13:10,  오늘의 연애(디지털),  8,000원","15:25,  오늘의 연애(디지털),  8,000원","17:40,  오늘의 연애(디지털),  8,000원","19:55,  오늘의 연애(디지털),  8,000원","22:10,  오늘의 연애(디지털),  8,000원",,,,,,,211
2015-01-19,02관,"09:00,  허삼관(디지털)","11:30,  오늘의 연애(디지털),  7,000원","13:45,  국제시장(디지털),  8,000원","16:05,  허삼관(디지털),  8,000원","18:25,  국제시장(디지털),  8,000원","20:45,  허삼관(디지털),  8,000원","23:05,  국제시장(디지털)",,,,,,,117
