상영일자,상영관,1회,2회,3회,좌석수
2017-04-04,02관,,"21:40,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","23:40,  보통사람(디지털),  16,000원",120
2017-04-05,01관,"19:30,  시간위의 집(디지털),  16,000원","21:30,  시간위의 집(디지털),  16,000원","23:20,  원라인(디지털),  16,000원",200
2017-04-05,02관,,"21:30,  프리즌(디지털),  16,000원",,120
2017-04-06,01관,"19:30,  시간위의 집(디지털),  16,000원","21:30,  시간위의 집(디지털),  16,000원","23:20,  원라인(디지털),  16,000원",200
2017-04-06,02관,"19:30,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","21:30,  프리즌(디지털),  16,000원",,120
2017-04-07,01관,"19:30,  시간위의 집(디지털),  16,000원","21:30,  시간위의 집(디지털),  16,000원","23:20,  원라인(디지털),  16,000원",200
2017-04-07,02관,"19:30,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","21:30,  프리즌(디지털),  16,000원",,120
2017-04-08,01관,"19:30,  시간위의 집(디지털),  16,000원","21:30,  시간위의 집(디지털),  16,000원","23:20,  원라인(디지털),  16,000원",200
2017-04-08,02관,"19:30,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","21:30,  프리즌(디지털),  16,000원",,120
2017-04-09,01관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,200
2017-04-09,02관,"20:00,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","22:00,  원라인(디지털),  16,000원",,120
2017-04-10,01관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,200
2017-04-10,02관,"20:00,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","22:00,  원라인(디지털),  16,000원",,120
2017-04-11,01관,"19:30,  시간위의 집(디지털),  16,000원",,"23:20,  원라인(디지털),  16,000원",200
2017-04-11,02관,"19:30,  공각기동대 : 고스트 인 더 쉘(3D 디지털),  16,000원","21:30,  프리즌(디지털),  16,000원",,120
2017-04-12,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-12,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
2017-04-13,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-13,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
2017-04-14,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-14,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
2017-04-15,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-15,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
2017-04-16,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-16,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
2017-04-17,01관,"19:40,  분노의 질주: 더 익스트림(디지털),  16,000원","22:10,  분노의 질주: 더 익스트림(디지털),  16,000원",,200
2017-04-17,02관,"20:00,  시간위의 집(디지털),  16,000원","22:00,  프리즌(디지털),  16,000원",,120
