1회,2회,3회,4회,5회,6회,7회,8회,상영관,상영일자,좌석수
,"13:20,  극한직업(디지털),  12,000원","15:40,  극한직업(디지털),  12,000원","18:00,  극한직업(디지털),  12,000원","20:20,  극한직업(디지털),  12,000원","22:40,  극한직업(디지털),  12,000원",,,샤롯데,2019-02-08,30
"10:20,  알리타: 배틀 엔젤(디지털),  11,000원","12:55,  극한직업(디지털),  11,000원","15:20,  극한직업(디지털),  12,000원","17:45,  극한직업(디지털),  12,000원","20:10,  극한직업(디지털),  12,000원","22:35,  극한직업(디지털),  12,000원",,,샤롯데,2019-02-09,30
"10:30,  극한직업(디지털),  11,000원","12:55,  극한직업(디지털),  11,000원","15:20,  극한직업(디지털),  12,000원","17:45,  극한직업(디지털),  12,000원","20:10,  극한직업(디지털),  12,000원","22:35,  극한직업(디지털),  12,000원",,,샤롯데,2019-02-10,30
"11:00,  극한직업(디지털),  9,000원","13:20,  극한직업(디지털),  10,000원","15:40,  극한직업(디지털),  10,000원",,,,,,샤롯데,2019-02-11,30
,,,"18:00,  극한직업(디지털),  10,000원","20:20,  극한직업(디지털),  10,000원","22:40,  극한직업(디지털),  10,000원",,,샤롯데,2019-02-12,30
,"12:45,  극한직업(디지털),  9,000원","15:05,  증인(디지털),  10,000원",,"20:00,  증인(디지털),  10,000원","22:35,  극한직업(디지털),  10,000원",,,샤롯데,2019-02-13,30
"10:30,  증인(디지털),  9,000원","13:05,  극한직업(디지털),  10,000원","15:25,  증인(디지털),  10,000원",,"20:20,  증인(디지털),  10,000원","23:00,  극한직업(디지털),  10,000원",,,샤롯데,2019-02-14,30
,,"15:25,  증인(디지털),  12,000원","18:00,  극한직업(디지털),  12,000원","20:20,  증인(디지털),  12,000원","22:55,  극한직업(디지털),  12,000원",,,샤롯데,2019-02-15,30
"10:20,  증인(디지털),  11,000원","13:00,  극한직업(디지털),  12,000원","15:25,  증인(디지털),  12,000원","18:05,  극한직업(디지털),  12,000원","20:30,  증인(디지털),  12,000원",,,,샤롯데,2019-02-16,30
"10:20,  증인(디지털),  11,000원","13:00,  극한직업(디지털),  12,000원","15:25,  증인(디지털),  12,000원","18:05,  극한직업(디지털),  12,000원","20:30,  증인(디지털),  12,000원","23:10,  극한직업(디지털),  12,000원",,,샤롯데,2019-02-17,30
,"13:00,  극한직업(디지털),  10,000원","15:25,  증인(디지털),  10,000원",,"20:30,  증인(디지털),  10,000원",,,,샤롯데,2019-02-18,30
