상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2015-01-13,01관,"09:20,  국제시장(디지털),  6,000원","11:45,  패딩턴(디지털더빙),  7,000원","13:40,  패딩턴(디지털더빙),  8,000원","15:35,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:25,  국제시장(디지털),  9,000원","19:50,  국제시장(디지털),  9,000원","22:15,  언브로큰(디지털),  9,000원",,,,,,,,86
2015-01-13,02관,"09:00,  패딩턴(디지털더빙),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  8,000원","12:45,  마다가스카의 펭귄(디지털더빙),  8,000원","14:30,  마다가스카의 펭귄(디지털더빙),  8,000원","16:15,  국제시장(디지털),  9,000원","18:40,  님아, 그 강을 건너지 마오(디지털),  9,000원","20:55,  국제시장(디지털),  9,000원","23:20,  국제시장(디지털),  9,000원",,,,,,,86
2015-01-14,01관,"09:15,  허삼관(디지털),  6,000원","11:45,  국제시장(디지털),  8,000원","14:15,  허삼관(디지털),  8,000원","16:55,  오늘의 연애(디지털),  9,000원","19:25,  박물관이 살아있다 : 비밀의 무덤(디지털),  9,000원","21:30,  허삼관(디지털),  9,000원","24:00,  허삼관(디지털),  9,000원",,,,,,,,86
2015-01-14,02관,"09:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  6,000원","11:00,  패딩턴(디지털더빙),  8,000원","12:55,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  8,000원","15:00,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  8,000원","17:05,  국제시장(디지털),  9,000원","19:35,  오늘의 연애(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원","24:30,  국제시장(디지털),  9,000원",,,,,,,86
2015-01-15,01관,"09:15,  허삼관(디지털),  6,000원","11:45,  국제시장(디지털),  8,000원","14:15,  허삼관(디지털),  8,000원","16:55,  오늘의 연애(디지털),  9,000원","19:25,  박물관이 살아있다 : 비밀의 무덤(디지털),  9,000원","21:30,  허삼관(디지털),  9,000원","24:00,  허삼관(디지털),  6,000원",,,,,,,,86
2015-01-15,02관,"09:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  8,000원","12:55,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  8,000원","15:00,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  8,000원","17:05,  국제시장(디지털),  9,000원","19:35,  오늘의 연애(디지털),  9,000원","22:00,  국제시장(디지털),  9,000원","24:30,  국제시장(디지털)",,,,,,,86
2015-01-16,01관,"09:15,  국제시장(디지털),  6,000원","11:45,  국제시장(디지털),  10,000원","14:15,  박물관이 살아있다 : 비밀의 무덤(디지털),  10,000원","16:55,  오늘의 연애(디지털),  10,000원","19:25,  박물관이 살아있다 : 비밀의 무덤(디지털),  10,000원","21:30,  허삼관(디지털),  10,000원","24:00,  허삼관(디지털),  10,000원",,,,,,,,86
2015-01-16,02관,"09:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  6,000원","11:05,  마다가스카의 펭귄(디지털더빙),  10,000원","12:55,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  10,000원","15:00,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  10,000원","17:05,  국제시장(디지털),  10,000원","19:35,  오늘의 연애(디지털),  10,000원","22:00,  국제시장(디지털),  10,000원","24:30,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-17,01관,"09:00,  오늘의 연애(디지털),  6,000원","11:25,  박물관이 살아있다 : 비밀의 무덤(디지털),  10,000원","13:50,  마다가스카의 펭귄(디지털더빙),  10,000원","15:40,  국제시장(디지털),  10,000원","18:10,  오늘의 연애(디지털),  10,000원","20:35,  허삼관(디지털),  10,000원","23:05,  국제시장(디지털),  10,000원",,,,,,,,86
2015-01-17,02관,"08:30,  국제시장(디지털),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","12:50,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  10,000원","14:55,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  10,000원","17:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  10,000원","19:05,  국제시장(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:05,  국제시장(디지털),  10,000원",,,,,,,86
2015-01-18,01관,"09:00,  오늘의 연애(디지털),  6,000원","11:25,  박물관이 살아있다 : 비밀의 무덤(디지털),  10,000원","13:50,  마다가스카의 펭귄(디지털더빙),  10,000원","15:40,  국제시장(디지털),  10,000원","18:10,  오늘의 연애(디지털),  10,000원","20:35,  허삼관(디지털),  10,000원","23:05,  국제시장(디지털),  10,000원",,,,,,,,86
2015-01-18,02관,"08:30,  국제시장(디지털),  6,000원","11:00,  마다가스카의 펭귄(디지털더빙),  10,000원","12:50,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  10,000원","14:55,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  10,000원","17:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  10,000원","19:05,  국제시장(디지털),  10,000원","21:35,  국제시장(디지털),  10,000원","24:05,  오늘의 연애(디지털),  10,000원",,,,,,,86
2015-01-19,01관,"09:10,  국제시장(디지털),  6,000원","11:40,  마다가스카의 펭귄(디지털더빙),  8,000원","13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:00,  허삼관(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,,,,,,86
2015-01-19,02관,"08:50,  박물관이 살아있다 : 비밀의 무덤(디지털),  6,000원","10:55,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  8,000원","13:00,  박물관이 살아있다 : 비밀의 무덤(디지털),  8,000원","15:05,  극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시(디지털더빙),  8,000원","17:10,  박물관이 살아있다 : 비밀의 무덤(디지털),  9,000원","19:15,  오늘의 연애(디지털),  9,000원","21:40,  국제시장(디지털),  9,000원","24:05,  오늘의 연애(디지털),  9,000원",,,,,,,86
2015-01-20,01관,"09:10,  국제시장(디지털),  6,000원","11:40,  마다가스카의 펭귄(디지털더빙),  7,000원","13:30,  국제시장(디지털),  8,000원","16:00,  국제시장(디지털),  9,000원","18:30,  국제시장(디지털),  9,000원","21:00,  허삼관(디지털),  9,000원","23:30,  국제시장(디지털),  9,000원",,,,,,,,86
