상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2018-11-27,02관,"09:00,  하나식당(디지털)","20:10,  완벽한 타인(디지털),  7,700원",,,,,78
2018-11-27,03관,"09:30,  화씨 11/9: 트럼프의 시대(디지털)","16:00,  캡틴 샤키(디지털더빙)",,,,,78
2018-11-28,01관,,"15:20,  성난황소(디지털),  7,700원","20:00,  성난황소(디지털),  7,700원",,,,78
2018-11-28,02관,"11:00,  국가부도의 날(디지털),  7,700원","17:40,  후드(디지털),  7,700원",,,,,78
2018-11-28,03관,"14:00,  로빈슨의 언더워터 어드벤처(디지털더빙),  7,700원",,,,,,78
2018-11-29,01관,"13:10,  국가부도의 날(디지털),  7,700원","15:20,  성난황소(디지털),  7,700원","20:00,  성난황소(디지털),  7,700원",,,,78
2018-11-29,02관,"11:00,  국가부도의 날(디지털),  7,700원",,,,,,78
2018-11-29,03관,"20:00,  신비한 동물들과 그린델왈드의 범죄(디지털),  7,700원",,,,,,78
2018-11-30,01관,"11:00,  국가부도의 날(디지털),  7,700원","13:20,  국가부도의 날(디지털),  7,700원","18:00,  국가부도의 날(디지털),  7,700원",,,,78
2018-11-30,02관,"15:40,  신비한 동물들과 그린델왈드의 범죄(디지털),  11,000원",,,,,,78
2018-11-30,03관,"11:30,  캡틴 샤키(디지털더빙),  7,700원",,,,,,78
2018-12-01,01관,"09:00,  하나식당(디지털),  12,000원","13:20,  국가부도의 날(디지털),  12,000원","18:00,  국가부도의 날(디지털),  8,400원",,,,78
2018-12-01,02관,"11:00,  후드(디지털),  8,400원",,,,,,78
2018-12-01,03관,"11:30,  캡틴 샤키(디지털더빙),  8,400원","14:30,  캡틴 샤키(디지털더빙),  8,400원",,,,,78
2018-12-02,01관,"11:00,  국가부도의 날(디지털),  8,400원","13:20,  국가부도의 날(디지털),  8,400원","18:00,  국가부도의 날(디지털),  8,400원",,,,78
2018-12-02,02관,"11:00,  후드(디지털),  12,000원",,,,,,78
2018-12-02,03관,"11:30,  캡틴 샤키(디지털더빙),  8,400원","14:30,  캡틴 샤키(디지털더빙),  8,400원",,,,,78
2018-12-03,01관,"15:40,  성난황소(디지털),  7,700원","13:20,  국가부도의 날(디지털),  7,700원","18:00,  국가부도의 날(디지털),  7,700원",,,,78
2018-12-03,02관,"13:20,  거미줄에 걸린 소녀(디지털),  7,700원",,,,,,78
2018-12-03,03관,"17:30,  후드(디지털),  7,700원",,,,,,78
