상영일자,상영관,1회,2회,좌석수
2017-12-17,01관,"00:30,  안티갱 스쿼드(디지털),  20,000원","22:00,  강철비(디지털),  17,000원",90
2017-12-18,01관,"02:00,  로드 투 로마(디지털),  20,000원",,90
2017-12-19,01관,"02:00,  로드 투 로마(디지털),  20,000원",,90
2017-12-20,01관,"02:00,  로드 투 로마(디지털),  20,000원",,90
2017-12-21,01관,"00:30,  엄마친구들(디지털),  20,000원","23:50,  신과함께-죄와 벌(디지털),  20,000원",90
2017-12-22,01관,"02:00,  로드 투 로마(디지털),  20,000원",,90
2017-12-23,01관,"19:00,  신과함께-죄와 벌(디지털),  20,000원",,90
2017-12-24,01관,"19:00,  신과함께-죄와 벌(디지털),  20,000원",,90
2017-12-25,01관,"19:00,  신과함께-죄와 벌(디지털)",,90
2017-12-26,01관,"19:00,  신과함께-죄와 벌(디지털)",,90
2017-12-27,01관,"19:30,  신과함께-죄와 벌(디지털),  20,000원",,90
2017-12-28,01관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,90
2017-12-29,01관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,90
2017-12-30,01관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,90
2017-12-31,01관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,90
2018-01-01,01관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,90
2018-01-02,01관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,90
2018-01-03,01관,"00:30,  바이스: 범죄도시(디지털),  20,000원",,90
2018-01-04,01관,"01:00,  엄마친구 4(디지털),  20,000원",,90
2018-01-05,01관,"19:30,  신과함께-죄와 벌(디지털),  20,000원",,90
2018-01-06,01관,"19:30,  신과함께-죄와 벌(디지털),  20,000원",,90
2018-01-07,01관,"19:30,  신과함께-죄와 벌(디지털),  20,000원",,90
2018-01-08,01관,"19:20,  1987(디지털),  20,000원",,90
2018-01-09,01관,"19:20,  1987(디지털)",,90
2018-01-10,01관,"01:00,  첫경험(디지털),  20,000원",,90
2018-01-11,01관,"01:00,  내 아내의 언니 2(디지털),  20,000원",,90
2018-01-12,01관,"21:00,  1987(디지털),  20,000원",,90
2018-01-13,01관,"21:00,  1987(디지털),  20,000원",,90
2018-01-14,01관,"21:00,  1987(디지털),  20,000원",,90
2018-01-15,01관,"00:30,  발칙한 동거(디지털),  20,000원",,90
2018-01-16,01관,"19:20,  1987(디지털)",,90
2018-01-17,01관,"00:30,  동창생의 목적 - 감독판(디지털),  20,000원",,90
2018-01-18,01관,"00:40,  쾌락 도우미 무삭제(디지털),  20,000원","21:50,  그것만이 내 세상(디지털)",90
2018-01-19,01관,"19:30,  그것만이 내 세상(디지털)","21:50,  그것만이 내 세상(디지털)",90
2018-01-20,01관,"19:30,  그것만이 내 세상(디지털)","21:50,  그것만이 내 세상(디지털)",90
2018-01-21,01관,"19:30,  그것만이 내 세상(디지털)","21:50,  그것만이 내 세상(디지털)",90
2018-01-23,01관,"04:00,  마음이 외치고 싶어해(디지털),  20,000원",,90
2018-01-24,01관,"00:30,  전망 좋은 섹스-감독판(디지털),  20,000원",,90
2018-01-25,01관,"00:30,  정사 : 착한 며느리들(디지털),  20,000원",,90
2018-01-26,01관,"04:00,  마음이 외치고 싶어해(디지털),  20,000원",,90
2018-01-27,01관,"04:00,  마음이 외치고 싶어해(디지털),  20,000원",,90
2018-01-28,01관,"04:00,  마음이 외치고 싶어해(디지털),  20,000원",,90
2018-01-29,01관,"03:00,  엄마 애인(디지털),  20,000원",,90
2018-01-30,01관,"03:00,  리틀 뱀파이어(디지털더빙),  20,000원",,90
2018-01-31,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-01,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-02,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-03,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-04,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-05,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-06,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-07,01관,"01:00,  9/11(디지털),  20,000원",,90
2018-02-08,01관,"00:30,  친구누나2(디지털),  20,000원",,90
2018-02-13,01관,"00:30,  미용실 : 특별한 서비스 2(디지털),  20,000원",,90
2018-02-14,01관,"00:30,  1급기밀(디지털),  20,000원",,90
2018-02-19,01관,"00:30,  1급기밀(디지털),  20,000원",,90
2018-02-20,01관,"00:30,  1급기밀(디지털),  20,000원",,90
2018-02-21,01관,"00:30,  1급기밀(디지털),  20,000원",,90
2018-02-22,01관,"00:30,  1급기밀(디지털),  20,000원",,90
