companyCd,companyNm,companyPartNm,movieCd
20100520,롯데쇼핑㈜롯데엔터테인먼트,해외세일즈사,20140193
20136898,(주)영화사꽃,제작사,20143511
20139617,(주)리틀빅픽쳐스,배급사,20143511
20139617,(주)리틀빅픽쳐스,제공,20143511
20111211,케이티하이텔(주),제공,20143511
20139617,(주)리틀빅픽쳐스,해외세일즈사,20143511
20100187,청년필름(주),제작사,20141224
20062285,비밀의화원,제작사,20141224
20100520,롯데쇼핑㈜롯데엔터테인먼트,배급사,20141224
20100520,롯데쇼핑㈜롯데엔터테인먼트,제공,20141224
20100520,롯데쇼핑㈜롯데엔터테인먼트,해외세일즈사,20141224
20100938,(주)전망좋은 영화사,제작사,20143512
20139196,TCO(주)더콘텐츠온,제작사,20143512
20142328,(주)마음에드는영화사,제작사,20143512
20100520,롯데쇼핑㈜롯데엔터테인먼트,배급사,20143512
20124055,(주)마인스 엔터테인먼트,배급사,20143512
20142568,타임와이즈인베스트먼트(주),제공,20143512
20100938,(주)전망좋은 영화사,제공,20143512
20124055,(주)마인스 엔터테인먼트,제공,20143512
20139196,TCO(주)더콘텐츠온,제공,20143512
20100520,롯데쇼핑㈜롯데엔터테인먼트,제공,20143512
20142328,(주)마음에드는영화사,공동제공,20143512
20137276,IBK캐피탈,공동제공,20143512
20111541,(주)아이엠비씨,공동제공,20143512
20100520,롯데쇼핑㈜롯데엔터테인먼트,해외세일즈사,20143512
20155311,(주)연우무대,제작사,20157501
20140909,(주)인사이드픽쳐스,제작사,20157501
20102327,CGV아트하우스,배급사,20157501
20102327,CGV아트하우스,제공,20157501
20100851,(주)화인컷,해외세일즈사,20157501
20100834,(주)하리마오픽쳐스,제작사,20136057
20100303,(주)시네마서비스,배급사,20136057
20100303,(주)시네마서비스,제공,20136057
20101104,(주)나이너스엔터테인먼트,해외세일즈사,20136057
20100781,(주)티피에스컴퍼니,제작사,20130021
20100520,롯데쇼핑㈜롯데엔터테인먼트,배급사,20130021
20100520,롯데쇼핑㈜롯데엔터테인먼트,제공,20130021
20100520,롯데쇼핑㈜롯데엔터테인먼트,해외세일즈사,20130021
20142988,(주)유니프로,제작사,20155826
20153568,(주)스톰픽쳐스코리아,제작사,20155826
20100285,판씨네마(주),배급사,20155826
20100285,판씨네마(주),제공,20155826
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20155826
20100572,한국영화아카데미,제작사,20141602
20102327,CGV아트하우스,배급사,20141602
20100572,한국영화아카데미,제공,20141602
20102327,CGV아트하우스,공동제공,20141602
20100109,씨제이엔터테인먼트,해외세일즈사,20141602
20100362,(주)영화사비단길,제작사,20136869
20100340,(주)수필름,제작사,20136869
20110854,씨제이이앤엠(주),배급사,20136869
20110854,씨제이이앤엠(주),제공,20136869
20100109,씨제이엔터테인먼트,해외세일즈사,20136869
20100545,(주)명필름,제작사,20133682
20139617,(주)리틀빅픽쳐스,배급사,20133682
20100545,(주)명필름,제공,20133682
20111211,케이티하이텔(주),공동제공,20133682
20100851,(주)화인컷,해외세일즈사,20133682
20111141,디지털 아이디어,제작서비스-후반작업(VFX),20133682
20140522,(주)청우필름,제작사,20149062
20142794,(주)와우픽쳐스,배급사,20149062
20100103,(주)쇼박스,배급사,20149062
20142794,(주)와우픽쳐스,제공,20149062
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20149062
20154208,(주)데이드림,제작사,20143510
20122471,(주)인벤트스톤,배급사,20143510
20142369,(유)조이앤시네마,제공,20143510
20063099,(주)케이알씨지,공동제공,20143510
20101104,(주)나이너스엔터테인먼트,해외세일즈사,20143510
20020113,(주)오콘,제작사,20156807
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20156807
20020113,(주)오콘,제공,20156807
20100932,(주)넥스트엔터테인먼트월드(NEW),제공,20156807
20111485,휠므빠말주식회사,제작사,20142856
20124236,이십세기폭스 인터내셔널 프로덕션,제작사,20142856
20100041,이십세기폭스코리아(주),배급사,20142856
20124236,이십세기폭스 인터내셔널 프로덕션,제공,20142856
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20142856
20063279,(주)홍필름,제작사,20147947
20100340,(주)수필름,제작사,20147947
20141469,메가박스중앙(주)플러스엠,배급사,20147947
20141469,메가박스중앙(주)플러스엠,제공,20147947
20111211,케이티하이텔(주),공동제공,20147947
20141528,산수벤처스,공동제공,20147947
20142568,타임와이즈인베스트먼트(주),공동제공,20147947
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20147947
20154468,영화사 우상,제작사,20145501
20063292,필라멘트픽쳐스,배급사,20145501
20063292,필라멘트픽쳐스,제공,20145501
20100109,씨제이엔터테인먼트,해외세일즈사,20145501
20100846,주식회사 토이온,제작사,20100211
20110854,씨제이이앤엠(주),배급사,20100211
20139435,(주)우리인베스트먼트,제공,20100211
20110854,씨제이이앤엠(주),제공,20100211
20100109,씨제이엔터테인먼트,해외세일즈사,20100211
20111091,타임박스엔터테인먼트(주),제작사,20149961
20100103,(주)쇼박스,배급사,20149961
20100103,(주)쇼박스,제공,20149961
20137115,(주)인터파크,공동제공,20149961
20100103,(주)쇼박스,해외세일즈사,20149961
20157148,(주)케이프로덕션,제작사,20158481
20123175,플로우식스(주),제작사,20158481
20101396,버티고필름,제작사,20158481
20121879,씨네그루(주)다우기술,배급사,20158481
20121879,씨네그루(주)다우기술,제공,20158481
20100904,(주)엠라인디스트리뷰션,해외세일즈사,20158481
20124216,더램프(주),제작사,20141060
20100459,㈜감독의집,제작사,20141060
20139617,(주)리틀빅픽쳐스,배급사,20141060
20122471,(주)인벤트스톤,배급사,20141060
20121836,(주)버킷스튜디오,제공,20141060
20138959,더컨텐츠콤(주),제공,20141060
20101104,(주)나이너스엔터테인먼트,해외세일즈사,20141060
20100414,영화사 도로시(주),제작사,20156553
20141158,(주)에스에이치기획,제작사,20156553
20102327,CGV아트하우스,배급사,20156553
20141528,산수벤처스,제공,20156553
20102327,CGV아트하우스,공동제공,20156553
20100332,(주)영화제작전원사 ,제작사,20151782
20100332,(주)영화제작전원사 ,배급사,20151782
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20151782
20100332,(주)영화제작전원사 ,제공,20151782
