주연배우,배우성별,배우필모,필모갯수
윤다경,여자,나를 잊지 말아요|인 허 플레이스|그놈이다|특종: 량첸살인기|다우더|인간중독|레드카펫|터치|콩가네|사물의 비밀|링크|초능력자|꿈은 이루어진다|야윈가슴|백야행|유감스러운 도시|D-day-어느날 갑자기 세번째 이야기|연애|범죄의 재구성|밀애|구두의 주인을 찾습니다|진통제|액체들,23
박주희,여자,상류사회|인랑|오목소녀|걷기왕|간신|치욕일기|경성학교: 사라진 소녀들|워킹걸|거인|미성년|마녀|우리 선희|누구의 딸도 아닌 해원|쉘터|만일의 세계|자전거 도둑|주(酒)는 마음|졸업여행|시선 사이|오오단편극장 - 이학주 배우전|서울연애|어떤 시선|여행,23
엄정화,여자,"오케이! 마담|미쓰 와이프|관능의 법칙|몽타주|댄싱퀸|마마|베스트셀러|끝과 시작|해운대|인사동 스캔들|지금 사랑하는 사람과 살고 있습니까?|Mr.로빈 꼬시기|호로비츠를 위하여|오로라 공주|내 생애 가장 아름다운 일주일|어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장|싱글즈|결혼은, 미친짓이다|마누라 죽이기|블루 시걸|바람부는 날이면 압구정동에 가야 한다|오감도",22
손예진,여자,협상|지금 만나러 갑니다|덕혜옹주|나쁜놈은 죽는다 무삭제 특별판|비밀은 없다|나쁜놈은 죽는다|해적: 바다로 간 산적|공범|타워|오싹한 연애|백야행|아내가 결혼했다|무방비도시|천년여우 여우비|작업의 정석|외출|내 머리 속의 지우개|첫사랑 사수 궐기 대회|클래식|연애소설|취화선,21
장리우,여자,"이장|장산범|파란입이 달린 얼굴|태양의 아들|내 심장을 쏴라|카트|발광하는 현대사|소수의견|10분|변호인|사이비|벌거숭이|코리아|방독피|혜화, 동|귀향|요가학원|고갈|새들이 돌아오는 시간|결혼전야|원 나잇 스탠드",21
나문희,여자,감쪽같은 그녀|영웅|담보|정직한 후보|레슬러|오! 문희|아이 캔 스피크|수상한 그녀|육혈포 강도단|하모니|압록강은 흐른다|걸스카우트|권순분여사 납치사건|그놈 목소리|열혈남아|너는 내 운명|주먹이 운다(Crying Fist)|마리이야기|MBC 신파극 불효자는 웁니다|조용한 가족|드라이빙 미스 김옥분,21
박소담,여자,기생충|후쿠오카|특송|언더독|군산: 거위를 노래하다|대장 김창수|설행_눈길을 걷다|검은 사제들|사도|베테랑|경성학교: 사라진 소녀들|쎄시봉|상의원|마담 뺑덕|일대일|이쁜 것들이 되어라|소녀|잉투기|뱀파이어는 우리 옆집에 산다|고리|아름다운임종,21
박효주,여자,더 펜션|마차 타고 고래고래|섬. 사라진 사람들|극적인 하룻밤|극비수사|타짜-신의 손|더 파이브|감기|48미터|완득이|위험한 상견례|시크릿|청담보살|나는 행복합니다|추격자|레드 아이|슈퍼스타 감사용|불어라 봄바람|첫사랑 사수 궐기 대회|품행제로|하루,21
김영옥,여자,"눈길|헬머니|워킹걸|막걸스|봄, 눈|써니|식객2 : 김치전쟁|울학교 이티|강철중: 공공의 적 1-1|수|쏜다|올드미스다이어리|꽃피는 봄이 오면|불어라 봄바람|화이트 발렌타인|우묵배미의 사랑|비 오는 날 수채화|로보트 태권 V|구름은 흘러도|수업료",20
이민지,여자,사라진 밤|꿈의 제인|게임회사 여직원들|손님|차이나타운|비치하트애솔|현기증|발광하는 현대사|사이비|짐승의 끝|반신반의|슈우웅|뎀프시롤: 참회록|달이 기울면|세이프|물고기는 말이 없다|초대|애드벌룬|부서진 밤|서울연애,20
하지원,여자,담보|맨헌트|목숨 건 연애|허삼관|조선미녀삼총사|코리아|7광구|내 사랑 내 곁에|해운대|바보|1번가의 기적|형사 Duelist|키다리 아저씨|신부수업|내사랑 싸가지|역전에 산다|색즉시공|폰|가위|진실게임,20
전도연,여자,"지푸라기라도 잡고 싶은 짐승들|생일|남과 여|협녀, 칼의 기억|무뢰한|집으로 가는 길|카운트다운|하녀|멋진 하루|밀양|너는 내 운명|인어 공주|스캔들-조선남녀상열지사|피도 눈물도 없이|나도 아내가 있었으면 좋겠다|해피엔드|내 마음의 풍금|약속|접속|보금자리",20
심은경,여자,"신문기자|염력|특별시민|조작된 도시|걷기왕|서울역|궁합|널 기다리며|로봇, 소리|수상한 그녀|광해, 왕이 된 남자|써니 감독판|써니|로맨틱 헤븐|지구대표 롤링스타즈|퀴즈왕|반가운 살인자|불신지옥|헨젤과 그레텔",19
김윤진,여자,자백|담보|시간위의 집|국제시장|이웃사람|심장이 뛴다|하모니|농민가|세븐 데이즈|6월의 일기|밀애|예스터데이|아이언 팜|단적비연수|러쉬|쉬리|죽이는 이야기|울밑에 선 봉선화,18
이청아,여자,"다시, 봄|해빙|연평해전|어느날,첫사랑이쳐들어왔다.|더 파이브|김종욱 찾기|좋은 놈, 나쁜 놈, 이상한 놈 |동갑내기 과외하기 레슨 2|썬데이 서울|늑대의 유혹|해피 에로 크리스마스|성냥팔이 소녀의 재림|반짝반짝 두근두근|멋진 하루|녹색 행성의 계략|편의점2시|눈물|첫사랑 열전",18
배종옥,여자,"킹메이커 : 선거판의 여우|환절기|결백|반드시 잡는다|바람의 춤꾼|세상에서 가장 아름다운 이별|허브|러브토크|안녕, 형아|질투는 나의 힘|마리이야기|깊은 슬픔|걸어서 하늘까지|젊은 날의 초상|나는 날마다 일어선다|칠수와 만수|위안|오감도",18
고두심,여자,엑시트|채비|바라던 바다|그랑프리|굿모닝 프레지던트|가족의 탄생|엄마|도마 안중근|인어 공주|이혼하지 않은 여자|나의 아내를 슬프게 하는 것들|1990년 자유부인|푸른계절의 열기|질투|두 여인|깃발없는 기수|아침에 퇴근하는 여자|유혹,18
이유영,여자,집 이야기|입술은 안돼요(가제)|디바|악질경찰|원더풀 고스트|나를 기억해|아무것 또는 모든 것|풀잎들|허스토리|당신자신과 당신의 것|특근|그놈이다|간신|다른 세상에서|봄|미스터 쿠퍼|고란살|그녀의 냉면 계산법,18
강진아,여자,"한강에게|소공녀|범죄의 여왕|카이: 거울 호수의 전설|졸업반|돌연변이|발광하는 현대사|또 하나의 약속|더 테러 라이브|소년의 자리|나의 기념일 |보이지 않는 잠자는 여인, 뒤집힌 배 그리고 나비|무더운 날이 없던 것처럼|배드신|흔적|서울 137|강변북로에 서 있는 여자|내게 사랑은 너무 써",18
김향기,여자,증인|영주|신과함께-인과 연|신과함께-죄와 벌|눈길|특별수사: 사형수의 편지|오빠생각|우아한 거짓말|늑대소년-확장판|늑대소년|바람과 함께 사라지다|그대를 사랑합니다|웨딩드레스|그림자 살인|걸스카우트|방울토마토|마음이...,17
