movieCd,movieNm,peopleNm,repRoleNm
20159648,"고산자, 대동여지도",강우석,감독
20150977,좋아해줘,박현진,감독
20163521,스플릿,최국희,감독
20150968,국가대표 2,김종현,감독
20068576,그날의 분위기,조규장,감독
20154906,사냥,이우철,감독
20145396,널 기다리며,모홍진,감독
20154905,가려진 시간,엄태화,감독
20145506,해어화,박흥식,감독
20156559,계춘할망,창,감독
20157466,"로봇, 소리",이호재,감독
20142641,나를 잊지 말아요,이윤정,감독
20159641,위대한 소원,남대중,감독
20150564,혼숨,이두환,감독
20162704,극장판 안녕 자두야,손석우,감독
20140704,비밀은 없다,이경미,감독
20151021,순정,이은희,감독
20145502,남과 여,이윤기,감독
20170247,"무현, 두 도시 이야기 : 파이널 컷",전인환,감독
20159643,글로리데이,최정열,감독
20150902,대배우,석민우,감독
20166541,달빛궁궐,김현주,감독
20148460,서울역,연상호,감독
20163041,자백,최승호,감독
20150566,극장판 꼬마버스 타요의 에이스 구출작전,류정우,감독
20161589,죽여주는 여자,이재용,감독
20159657,최강전사 미니특공대: 영웅의 탄생,이영준,감독
20158242,무서운 이야기 3 : 화성에서 온 소녀,민규동,감독
20158242,무서운 이야기 3 : 화성에서 온 소녀,김곡,감독
20158242,무서운 이야기 3 : 화성에서 온 소녀,백승빈,감독
20158242,무서운 이야기 3 : 화성에서 온 소녀,김선,감독
20151022,걷기왕,백승화,감독
20162381,일사각오,권혁만,감독
20162381,일사각오,고문안,감독
20165961,슈퍼 프렌즈,이원재,감독
20165961,슈퍼 프렌즈,이경호,감독
20162461,다이노X 탐험대,이동희,감독
20172243,최악의 하루+폴라로이드 작동법,김종관,감독
20143509,엽기적인 그녀 2,조근식,감독
20150903,번개맨,조근현,감독
20150901,올레,채두병,감독
20160472,두 남자,이성태,감독
20162431,극장판 프랭키와 친구들: 생명의 나무,박정오,감독
20167867,그물,김기덕,감독
20165042,빅뱅 메이드,변진호,감독
20161603,순종,김동민,감독
20161603,순종,이주훈,감독
20152370,잡아야 산다,오인천,감독
20153450,우리들,윤가은,감독
20155223,목숨 건 연애,송민규,감독
20150970,범죄의 여왕,이요섭,감독
20150970,범죄의 여왕,김태곤,감독
20145182,4등,정지우,감독
20158982,트릭,이창열,감독
20165981,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,이영준,감독
20162022,대결,신동엽,감독
20160261,극장판 프리파라 모두 모여라! 프리즘☆투어즈,히시다 마사카즈,감독
20166127,그랜드파더,이서,감독
20160041,인천상륙작전 : 익스텐디드 에디션(확장판),이재한,감독
20163098,카이: 거울 호수의 전설,이성강,감독
20159286,연애담,이현주,감독
20161722,히야,김지연,감독
20144441,섬. 사라진 사람들,이지승,감독
20152746,커터,정희성,감독
20169730,당신자신과 당신의 것,홍상수,감독
20152541,무수단,구모,감독
20133071,브링 홈: 아버지의 땅,텐진 체탄 초클리,감독
20162541,춘몽,장률,감독
20162927,오 마이 파파,박혁지,감독
20157441,멜리스,김용운,감독
20155301,두 번째 스물,박흥식,감독
20162608,나의 살던 고향은,류종헌,감독
20164527,부릉! 부릉! 브루미즈: 스피더의 모험 일기,이영준,감독
20161694,"제자도 - 제자,옥한흠2",김상철,감독
20165521,극장판 프리즘스톤 올스타 셀렉션,김영범,감독
20142706,시소,고희영,감독
20152369,나홀로 휴가,조재현,감독
20162969,물숨,고희영,감독
20155388,초인,서은영,감독
20155390,양치기들,김진황,감독
20158822,설행_눈길을 걷다,김희정,감독
20157064,커튼콜,류훈,감독
20158824,프랑스 영화처럼,신연식,감독
20148384,그림자들의 섬,김정근,감독
20158359,할머니의 먼 집,이소현,감독
20152402,업사이드 다운,김동빈,감독
20167821,시간의 종말,김대현,감독
20141589,철원기행,김대환,감독
20159447,레나,김도원,감독
20158821,삼례,이현정,감독
20154803,우리 연애의 이력,조성은,감독
20142401,파리의 한국남자,전수일,감독
20156498,독도의 영웅들,권순도,감독
20155391,스틸 플라워,박석영,감독
20150845,우리에게 떡볶이를 먹을 권리가 있다,최익환,감독
20161701,위켄즈,이동하,감독
20163285,드롭박스,브라이언 아이비,감독
20162242,우주의 크리스마스,김경형,감독
20158161,소꿉놀이,김수빈,감독
20163011,우리 손자 베스트,김수현,감독
20141591,한강블루스,이무영,감독
20150258,홀리워킹데이,이희원,감독
20159772,수색역,최승연,감독
20149258,작은 형,심광진,감독
20160761,돈 맛,홍수동,감독
20160761,돈 맛,백수호,감독
20155385,흔들리는 물결,김진도,감독
20155335,두 개의 연애,조성규,감독
20161409,치킨게임,박수영,감독
20161961,나는 증인이다,안상훈,감독
20140256,딜쿠샤,이세영,감독
20140256,딜쿠샤,김태영,감독
20161806,비치온더비치,정가영,감독
20153316,블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,김성권,감독
20153316,블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,이임주,감독
20164697,하숙집 2 (무삭제),정태령,감독
20152105,"시발, 놈: 인류의 시작",백승기,감독
20154428,야근 대신 뜨개질,박소현,감독
20142221,경계,문정현,감독
20142221,경계,블라디미르 토도로비치,감독
20142221,경계,다니엘 루디 하리얀토,감독
20166128,어떻게 헤어질까,조성규,감독
20120422,거미의 땅,박경태,감독
20120422,거미의 땅,김동령,감독
20158744,짐작보다 따뜻하게,이상민,감독
20155485,소녀와 여자,김효정,감독
20159627,사돈의 팔촌,장현상,감독
20140723,달에 부는 바람,이승준,감독
20158742,울보,이진우,감독
20154429,왕초와 용가리,이창준,감독
20155387,혼자,박홍민,감독
20158743,눈이라도 내렸으면,장희철,감독
20165164,러브레따,서은아,감독
20162684,탐욕의 별,공귀현,감독
20162546,워킹 스트리트,이상우,감독
20167102,휴가,이수성,감독
20162970,폭력의 법칙: 나쁜 피 두 번째 이야기,강효진,감독
20166912,개인교수: 심화학습 (무삭제),정태령,감독
20166652,동거의 목적(무삭제판),조성우,감독
20162145,청춘학당2 기생난입야사,김대성,감독
20151224,하프,김세연,감독
20168962,입영전야 무삭제: 여선배의 자취방 버전,유승택,감독
20126669,엘 꼰도르 빠사,송재용,감독
20150982,"금지된 섹스, 달콤한 복수",이숭환,감독
20161584,야한 누나들,최우성,감독
20162005,맛있는 만남,이전,감독
20162004,야한밤 심야극장,이민환,감독
20166867,뜨거운 이웃 무삭제 감독판,이전,감독
20158745,고백할 수 없는,최인규,감독
20153863,그빨로,권만회,감독
20162581,"연애의 발동 : 상해 여자, 부산 남자",김태균,감독
20156188,블랙스톤,노경태,감독
20149496,일어서는 인간,김미영,감독
20151063,깡치,연정모,감독
20158019,미스터 쿠퍼,오정미,감독
20153803,배짱이들,정훈,감독
20120111,기억의 소리,이공희,감독
20151181,여교사,김태용,감독
20150966,사랑하기 때문에,주지홍,감독
20165144,걱정말아요,김대견,감독
20165144,걱정말아요,소준문,감독
20165144,걱정말아요,신종훈,감독
20145486,소시민,김병준,감독
20158526,문영 단편,김소연,감독
20163014,7년-그들이 없는 언론,김진혁,감독
20163845,터닝메카드W: 블랙미러의 부활,김석원,감독
20163845,터닝메카드W: 블랙미러의 부활,홍헌표,감독
20151229,더 킹,한재림,감독
20151228,공조,김성훈,감독
20157631,다른 길이 있다,조창호,감독
20153303,다방의 푸른 꿈,김대현,감독
20154342,뚜르: 내 생애 최고의 49일,전일우,감독
20154342,뚜르: 내 생애 최고의 49일,임정하,감독
20154342,뚜르: 내 생애 최고의 49일,박형준,감독
20154342,뚜르: 내 생애 최고의 49일,김양래,감독
20179694,맛있는 워킹걸,화니,감독
20163019,장기왕 : 가락시장 레볼루션,정다원,감독
20150964,조작된 도시,박광현,감독
20161366,"그래, 가족",마대윤,감독
20166421,재심,김태윤,감독
20168668,레이디버그,장성,감독
20156562,루시드 드림,김준성,감독
20161723,싱글라이더,이주영,감독
20150753,눈발,조재민,감독
20166422,커피 메이트,이현하,감독
20158799,눈길,이나정,감독
20150971,해빙,이수연,감독
20155381,녹화중이야,박민국,감독
20154802,아티스트: 다시 태어나다,김경원,감독
20182889,왕을 참하라 무삭제판,김재수,감독
20167905,비정규직 특수요원,김덕수,감독
20172601,만담강호,오인용,감독
20179442,밤의 해변에서 혼자,홍상수,감독
20167902,보통사람,김봉한,감독
20162181,프리즌,나현,감독
20151230,원라인,양경모,감독
20169603,콜리션,이윤호,감독
20169603,콜리션,허서형,감독
20161923,시간위의 집,임대웅,감독
20167901,어느날,이윤기,감독
20172863,원스텝,전재홍,감독
20172381,"다시, 벚꽃",유해진,감독
20151227,아빠는 딸,김형협,감독
20174164,지렁이,윤학렬,감독
20172641,마리안느와 마가렛,윤세영,감독
20174561,더 플랜,최진성,감독
20173301,"서서평, 천천히 평온하게",홍주연,감독
20173301,"서서평, 천천히 평온하게",홍현정,감독
20162871,특별시민,박인제,감독
20161726,임금님의 사건수첩,문현성,감독
20174165,극장판 또봇: 로봇군단의 습격,고동우,감독
20174165,극장판 또봇: 로봇군단의 습격,이달,감독
20173061,슈퍼 빼꼼: 스파이 대작전,임아론,감독
20162722,보안관,김형주,감독
20156708,석조저택 살인사건,김휘,감독
20156708,석조저택 살인사건,정식,감독
20167148,"컴, 투게더",신동일,감독
20174644,길,정인봉,감독
20164844,불한당: 나쁜 놈들의 세상,변성현,감독
20167829,마차 타고 고래고래,안재석,감독
20164041,고려 아리랑: 천산의 디바,김소영,감독
20175021,쇠파리,안철호,감독
20174602,노무현입니다,이창재,감독
20160483,꿈의 제인,조현훈,감독
20169348,대립군,정윤철,감독
20170941,우리들의 일기,임공삼,감독
20175581,파워배틀 와치카: 와치가면의 역습,이영준,감독
20175581,파워배틀 와치카: 와치가면의 역습,김래경,감독
20176041,바람의 춤꾼,최상진,감독
20177081,드래곤빌리지<화이트니스타운을 구하라>,민경호,감독
20162972,델타 보이즈,고봉수,감독
20175601,나는 고양이로소이다,조은성,감독
20168041,용순,신준,감독
20162343,악녀,정병길,감독
20177223,청춘 합창단 - 또 하나의 꿈,이혁종,감독
20177223,청춘 합창단 - 또 하나의 꿈,안정민,감독
20149571,중독노래방,김상찬,감독
20166384,하루,조선호,감독
20174281,파란나비효과,박문칠,감독
20176766,어떤 하루,정가영,감독
20176766,어떤 하루,전선호,감독
20176766,어떤 하루,최진혁,감독
20174243,직지코드,데이빗 레드먼,감독
20174243,직지코드,우광훈,감독
20159647,리얼,이사랑,감독
20178982,박열,이준익,감독
20162971,노후 대책 없다,이동우,감독
20164643,재꽃,박석영,감독
20176102,그 후,홍상수,감독
20178127,비스티걸스 감독판,신진우,감독
20162802,덫 무삭제판,윤여창,감독
20160746,파밍 보이즈,변시연,감독
20160746,파밍 보이즈,장세정,감독
20160746,파밍 보이즈,강호준,감독
20169269,올 리브 올리브,김태일,감독
20169269,올 리브 올리브,주로미,감독
20154427,불온한 당신,이영,감독
20177063,군함도 감독판,류승완,감독
20179323,포크레인,이주형,감독
20162869,택시운전사,장훈,감독
20164859,여자들,이상덕,감독
20162442,청년경찰,김주환,감독
20179187,공범자들,최승호,감독
20151003,장산범,허정,감독
20164174,브이아이피,박훈정,감독
20155483,그럼에도 불구하고,김영조,감독
20170163,밤섬해적단 서울불바다,정윤석,감독
20165001,더 테이블,김종관,감독
20170247,"무현, 두 도시 이야기 : 파이널 컷",전인환,감독
20166132,김광석,이상호,감독
20179407,로마의 휴일,이덕희,감독
20170003,소나기,안재훈,감독
20154909,살인자의 기억법,원신연,감독
20169270,안녕 히어로,한영희,감독
20171923,저수지 게임,최진성,감독
20163842,사월의 끝,김광복,감독
20173826,구세주: 리턴즈,송창용,감독
20172642,여배우는 오늘도,문소리,감독
20178941,시인의 사랑,김양희,감독
20171164,"귀향, 끝나지 않은 이야기",조정래,감독
20172964,이웃집 스타,김성욱,감독
20174142,아이 캔 스피크,김현석,감독
20160503,분장,남연우,감독
20178647,땐뽀걸즈,이승문,감독
20169463,다시 태어나도 우리,전진,감독
20169463,다시 태어나도 우리,문창용,감독
20171817,넛잡 2,캘런 브런커,감독
20165450,남한산성,황동혁,감독
20172742,범죄도시,강윤성,감독
20154907,희생부활자,곽경택,감독
20172963,착한 형수 2 무삭제,곽영근,감독
20174641,가을 우체국,임왕태,감독
20164424,대장 김창수,이원태,감독
20164481,유리정원,신수원,감독
20173965,그리다,이인의,감독
20173965,그리다,박재영,감독
20173965,그리다,장호준,감독
20174645,미스 프레지던트,김재환,감독
20175208,뷰티풀 투모로우,장재혁,감독
20178461,내 친구 정일우,김동원,감독
20175484,살인자의 기억법 : 새로운 기억,원신연,감독
20171885,노트르담 드 파리,정성복,감독
20174301,폭력의 씨앗,임태규,감독
20172404,올드마린보이,진모영,감독
20177342,내게 남은 사랑을,진광교,감독
20173612,메소드,방은진,감독
20169643,침묵,정지우,감독
20172603,부라더,장유정,감독
20170386,해피뻐스데이,이승원,감독
20155324,소통과 거짓말,이승원,감독
20174983,고향이 어디세요,정수웅,감독
20175441,채비,조영준,감독
20161681,미옥,이안규,감독
20168754,7호실,이용승,감독
20175047,아이엠 호프맨,나현태,감독
20173932,로마서 8:37,신연식,감독
20165748,꾼,장창원,감독
20177845,지워야 산다,이기호,감독
20174643,국정교과서 516일 : 끝나지 않은 역사전쟁,백승우,감독
20176061,푸른노을,박규식,감독
20160522,아기와 나,손태겸,감독
20173903,역모-반란의 시대,김홍선,감독
20161762,반드시 잡는다,김홍선,감독
20173581,기억의 밤,장항준,감독
20162986,프레스,최정민,감독
20174199,실종2,조성규,감독
20163906,아들에게 가는 길,최낙권,감독
20174663,돌아온다,허철,감독
20174601,초행,김대환,감독
20170272,산상수훈,유영의,감독
20174846,뽀로로 극장판 공룡섬 대모험,김현호,감독
20174846,뽀로로 극장판 공룡섬 대모험,윤제완,감독
20166762,빈센트,박보상,감독
20177784,침입자,이숭환,감독
20170442,련희와 연희,손병조,감독
20170442,련희와 연희,최종구,감독
20160465,메리 크리스마스 미스터 모,임대형,감독
20170402,강철비,양우석,감독
20150976,신과함께-죄와 벌,김용화,감독
20170590,1987,장준환,감독
20160477,나의 연기 워크샵,안선경,감독
20176769,광인옥한흠,김상철,감독
20161724,스타박'스 다방,이상우,감독
20175830,돌아와요 부산항애(愛),박희준,감독
20174323,B급 며느리,선호빈,감독
20176104,그것만이 내 세상,최성현,감독
20158358,파란입이 달린 얼굴,김수정,감독
20175930,피의 연대기,김보람,감독
20177473,비밥바룰라,이성재,감독
20168161,1급기밀,홍기선,감독
20179163,반도에 살어리랏다,이용선,감독
20166083,천화,민병국,감독
20180321,기생-꽃의 고백,홍태선,감독
20180321,기생-꽃의 고백,임혁,감독
20169443,공동정범,이혁상,감독
20169443,공동정범,김일란,감독
20160484,누에치던 방,이완민,감독
20168323,염력,연상호,감독
20179936,풍뎅이뎅이,이재한,감독
20168593,퍼스트 스텝,김규민,감독
20189761,터닝메카드W: 반다인의 비밀 특별판,홍헌표,감독
20179205,조선명탐정: 흡혈괴마의 비밀,김석윤,감독
20176121,흥부: 글로 세상을 바꾼 자,조근현,감독
20168250,골든슬럼버,노동석,감독
20179603,숲속의 부부,전규환,감독
20179263,게스트하우스,조성규,감독
20179263,게스트하우스,조성규,감독
20179039,퍼즐,임진승,감독
20180063,라라,한상희,감독
20162361,환절기,이동은,감독
20189663,게이트,신재호,감독
20150969,궁합,홍창표,감독
20170841,리틀 포레스트,임순례,감독
20141708,우리는 썰매를 탄다,김경만,감독
20141708,우리는 썰매를 탄다,김경만,감독
20178781,사라진 밤,이창희,감독
20181741,예스 평창!,백철기,감독
20170422,바나나쏭의 기적,지혜원,감독
20170422,바나나쏭의 기적,송우용,감독
20165444,괴물들,김백준,감독
20172244,치즈인더트랩,김제영,감독
20170669,지금 만나러 갑니다,이장훈,감독
20177245,일진,이수성,감독
20164389,엄마의 공책,김성호,감독
20173995,타클라마칸,고은기,감독
20162983,운동회,김진태,감독
20181366,미니특공대X,이영준,감독
20173962,소공녀,전고운,감독
20154908,7년의 밤,추창민,감독
20180804,곤지암,정범식,감독
20182021,번개맨과 신비의 섬,김지열,감독
20181561,덕구,방수인,감독
20153447,바람 바람 바람,이병헌,감독
20182781,아버지를 찾아서,김무은,감독
20155382,눈꺼풀,오멸,감독
20174010,호랑이보다 무서운 겨울손님,이광국,감독
20182221,스파키,아론 우들리,감독
20182221,스파키,애론 우들리,감독
20165045,머니백,허준형,감독
20182352,"그날, 바다",김지영,감독
20177934,원죄,문신구,감독
20175046,파파 오랑후탄,이성관,감독
20174265,수성못,유지영,감독
20181603,무문관,박대원,감독
20177962,당신의 부탁,이동은,감독
20177266,나를 기억해,이한욱,감독
20176101,클레어의 카메라,홍상수,감독
20167007,살인소설,김진묵,감독
20131181,다시..올래,김충녕,감독
20189783,챔피언,김용완,감독
20177005,레슬러,김대웅,감독
20176025,해원,구자환,감독
20182323,임을 위한 행진곡,박기복,감독
20161568,마중: 커피숍 난동 수다 사건,임혜영,감독
20183381,5.18 힌츠페터 스토리,장영주,감독
20173202,버닝,이창동,감독
20165181,아웃도어 비긴즈,임진승,감독
20179383,독전,이해영,감독
20183502,다이빙벨 그후,이상호,감독
20183423,오목소녀,백승화,감독
20183384,서산개척단,이조훈,감독
20183384,서산개척단,정승현,감독
20172602,홈,김종우,감독
20173865,데자뷰,고경민,감독
20184981,남자와 여자,주목,감독
20179421,참외향기,김우석,감독
20178161,탐정: 리턴즈,이언희,감독
20184101,여중생A,이경섭,감독
20175527,더 펜션,정허덕재,감독
20175527,더 펜션,윤창모,감독
20175527,더 펜션,양종현,감독
20175527,더 펜션,류장하,감독
20174647,튼튼이의 모험,고봉수,감독
20172469,허스토리,민규동,감독
20185341,마녀,박훈정,감독
20174225,메멘토모리,이철민,감독
20175865,너와 극장에서,정가영,감독
20175865,너와 극장에서,김태진,감독
20175865,너와 극장에서,유지영,감독
20175865,너와 극장에서,정가영,감독
20189802,나와 봄날의 약속,백승빈,감독
20185484,안나 카레니나,신예지,감독
20174369,변산,이준익,감독
20177534,식구,임영훈,감독
20180282,속닥속닥,최상훈,감독
20188042,독전: 익스텐디드 컷,이해영,감독
20180803,행복의 나라,정민규,감독
20171681,박화영,이환,감독
20187682,해적왕 작스톰,필립 귀엔,감독
20185242,신비아파트: 금빛 도깨비와 비밀의 동굴,김병갑,감독
20170942,인랑,김지운,감독
20186501,극장판 헬로카봇 : 백악기 시대,최신규,감독
20186501,극장판 헬로카봇 : 백악기 시대,김진철,감독
20186202,신과함께-인과 연,김용화,감독
20179101,공작,윤종빈,감독
20164048,22,궈커,감독
20181570,오장군의 발톱,김재한,감독
20172405,카운터스,이일하,감독
20170670,목격자,조규장,감독
20174348,소성리,박배일,감독
20153446,너의 결혼식,이석근,감독
20181821,어른도감,김인선,감독
20177537,상류사회,변혁,감독
20188501,미친도시,장태령,감독
20182065,대관람차,백재호,감독
20182065,대관람차,이희섭,감독
20173732,살아남은 아이,신동석,감독
20186646,딥,조성규,감독
20179123,어둔 밤,심찬양,감독
20175587,나비잠,정재은,감독
20078584,맞짱,차룡,감독
20156554,물괴,허종호,감독
20189122,양아치 느와르,강효진,감독
20182279,더 블랙,이마리오,감독
20183401,봄이가도,진청하,감독
20183401,봄이가도,장준엽,감독
20183401,봄이가도,전신환,감독
20173734,죄 많은 소녀,김의석,감독
20177308,협상,이종석,감독
20172204,명당,박희곤,감독
20176122,안시성,김광식,감독
20183386,나부야 나부야,최정우,감독
20189746,극장판 뽀잉: 슈퍼 변신의 비밀,정미화,감독
20160504,"춘천, 춘천",장우진,감독
20167903,원더풀 고스트,조원희,감독
20179189,암수살인,김태균,감독
20186663,뷰티풀 뱀파이어,정은경,감독
20189067,미쓰백,이지원,감독
20184678,배반의 장미,박진영,감독
20178180,동화,손일성,감독
20178190,"이,기적인 남자",김재식,감독
20181142,늦여름,조성규,감독
