순위,영화명,개봉일,매출액 ,매출액점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
382,반짝이는 박수 소리,2015.4.23,"2,159,000",0.0%,"31,509,100",936,"5,654",1,55,한국,한국,영화사 낭만,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),전체관람가,다큐멘터리,이길보라,"이상국,길경희,이길보라,이광희,정임순,이광희"
383,암행어사 박문수,,"1,866,000",0.0%,"4,410,000",933,"1,962",1,27,한국,한국,동보영화사,,,사극,이규웅,"김진규,김지미,조미령"
384,더 헌트+동경소녀+노브라 해방기+여자답게 싸워라,,"3,893,600",0.0%,"3,893,600",926,926,2,9,한국,한국,,,,기타,,
385,모정에 우는 두 아들,,"1,848,000",0.0%,"13,674,000",919,"6,793",1,16,한국,한국,남화,,전체관람가,멜로/로맨스,이일수,"김지미,김희라,장동휘,이순재"
386,"이,기적인 남자",2018.10.25,"7,401,800",0.0%,"7,401,800",918,918,14,129,한국,한국,브릿지 프로덕션,(주)리틀빅픽쳐스,15세이상관람가,드라마,김재식,"박호산,최유하,고다솔,김남우,김민경,김민희,김유진,김수진,김주희,김지연,김진수,김하영,김하영,박다윤,박민지,박성모,박종민,박준범,박진성,백승균,신승현,이민우,이수현,이승현,이재석,이재화,이재화,이채현,이학준,조윤주,최명기,최유진,지용석,황성준"
387,꼭두각시,2013.6.20,"1,845,000",0.0%,"229,786,500",915,"32,628",1,12,한국,한국,골든타이드픽처스(주),(주)인벤트스톤,청소년관람불가,"공포(호러),스릴러",권영락,"이종수,구지성,원기준"
388,그대와 영원히,1958.1.15,"1,806,000",0.0%,"3,029,000",912,"1,529",1,36,한국,한국,삼성영화사,,,"액션,드라마,멜로/로맨스",유현목,"이룡,도금봉,장민호"
389,한말풍운과 민충정공,,"1,802,000",0.0%,"3,280,000",901,"1,646",1,23,한국,한국,,,,"사극,드라마","윤봉춘,남홍일","김동원,전옥,김신재"
390,울보 권투부,2015.10.29,"4,512,000",0.0%,"16,606,100",892,"2,870",2,7,한국,한국,exposed film,㈜인디스토리,12세이상관람가,다큐멘터리,이일하,
391,장희빈,,"1,782,000",0.0%,"12,989,000",891,"6,482",1,25,한국,한국,화성영화,,,사극,정창화,"김진규,김지미,주증녀"
392,오늘의 자리+가현이들,,"3,615,100",0.0%,"3,615,100",884,884,2,9,한국,한국,,,,기타,,
392,자매의 화원,,"1,768,000",0.0%,"3,162,000",884,"1,581",1,44,한국,한국,,,,"드라마,멜로/로맨스",신상옥,
394,다정불심,,"1,751,000",0.0%,"5,139,000",873,"2,567",1,36,한국,한국,,,,사극,신상옥,"김진규,최은희,박노식"
395,그리다,2017.10.26,"5,996,300",0.0%,"5,996,300",861,861,15,148,한국,한국,,㈜인디스토리,12세이상관람가,드라마,"장호준,이인의,박재영","서준영,한가림,황상경,박지연,고은민,정인기,장준휘"
396,나인데이즈,,"4,688,000",0.0%,"4,688,000",859,859,1,121,한국,한국,대쉬 필름,,,기타,권양헌,"송윤아,한상진"
397,장마,,"1,696,000",0.0%,"8,348,000",848,"4,171",1,13,한국,한국,남아진흥(주),,12세이상관람가,드라마,유현목,"이대근,황정순,김석훈,김신재"
398,타클라마칸,2018.3.22,"6,574,300",0.0%,"6,574,300",840,840,17,185,한국,한국,(주)영화공장,(주)드림팩트엔터테인먼트,청소년관람불가,드라마,고은기,"조성하,하윤경,고은기,김용호,김진수,박정현,송승철,송은지,송화진,윤유석,이성준,이재우,조선묵,김준배,안민영,박상훈"
399,인천상륙작전,2016.7.27,"4,196,000",0.0%,"55,105,606,303",832,"7,050,475",1,13,한국,한국,(주)태원엔터테인먼트,씨제이이앤엠(주),12세이상관람가,"전쟁,드라마",이재한,"김정철,이정재,이범수,리암 니슨,진세연,정준호,박철민,김병옥,김선아,김영애,박성웅,추성훈,황석하,이창세,박정원,박현선,션 리차드,이유진,한비,김희진,진용욱,곽순우,홍기준"
400,나의 살던 고향은,2016.11.24,"3,975,500",0.0%,"84,972,100",821,"11,507",2,56,한국,한국,후즈닷컴,(주)시네마달,전체관람가,다큐멘터리,류종헌,김용옥
401,벽 속의 여자,,"1,633,000",0.0%,"10,757,000",814,"4,802",1,22,한국,한국,,,,드라마,박종호,남궁원
402,남자가 사랑할 때,2014.1.22,"5,746,000",0.0%,"14,515,968,300",809,"1,980,120",47,299,한국,한국,"(주)사나이픽처스,필름트레인",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"멜로/로맨스,드라마",한동욱,"황정민,한혜진,곽도원,정만식,손세빈,백동현,이확광,임정빈,임희준,양준호,조왕섭,조화성,최제헌,이성호,한동욱,권지훈,허명행,황병국,김정수,남경민,문성렬,박성웅,이채은,김병옥,김홍파,남일우,김태희,김종수,최우리,남문철,박지환,강민아"
403,깊은 밤 갑자기,1981.7.17,"2,719,000",0.0%,"2,719,000",807,807,7,49,한국,한국,남아진흥(주),(주)드림팩트엔터테인먼트,"연소자관람불가,청소년관람불가","공포(호러),범죄,스릴러",고영남,"김영애,한혜리,이기선,윤일봉"
404,열녀문,,"2,056,000",0.0%,"8,936,000",798,"4,217",1,23,한국,한국,신필름,,청소년관람불가,사극,신상옥,"신영균,최은희"
405,청춘무정,,"1,590,000",0.0%,"10,510,000",795,"5,246",1,15,한국,한국,,,,,김수용,"문희,신영균,신성일,김성옥,김동원,주증녀"
406,실록 김두한,1974.12.22,"1,593,000",0.0%,"4,983,000",794,"2,489",1,27,한국,한국,신프로덕션,,15세이상관람가,"액션,드라마",김효천,"이대근,이대엽"
407,초대받은 사람들,1981.10.24,"1,542,000",0.0%,"7,067,000",771,"2,476",1,12,한국,한국,동아흥행㈜,,연소자관람가,드라마,최하원,"김지영,박암,박지훈,원미경,이영하,오지영"
408,성춘향,1961.1.28,"1,509,000",0.0%,"15,914,000",767,"7,965",1,26,한국,한국,신필름,,,"드라마,멜로/로맨스,사극",신상옥,"최은희,김진규"
409,덕혜옹주,2016.8.3,"3,789,500",0.0%,"44,397,617,609",766,"5,599,995",2,13,한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원,고수,금새록,김승훈"
410,빙점 '81,1981.4.18,"1,526,000",0.0%,"11,802,000",763,"5,896",1,11,한국,한국,남아진흥(주),,국민학생관람불가,"가족,드라마,멜로/로맨스",고영남,"남궁원,김영애,원미경,이영하,이혜숙,정한용,한진희,박원숙,선우용녀,윤유선"
411,다방의 푸른 꿈,2017.1.26,"4,421,500",0.0%,"4,881,000",762,855,4,150,한국,한국,인디라인,"스토리 너머,아이 엠",전체관람가,다큐멘터리,김대현,김정구
412,민며느리,1965.9.10,"1,522,000",0.0%,"5,749,000",761,"2,873",1,18,한국,한국,,,15세이상관람가,드라마,최은희,"김희갑,최은희,박노식"
413,소시민,2017.1.12,"5,585,800",0.0%,"5,659,800",760,779,10,75,한국,한국,영화사 새삶,홀리가든,15세이상관람가,코미디,김병준,"한성천,황보라,김상균,홍이주,이설구,호효훈,이진한,이동욱,이재우,이재환,강신철,한성천,김미경,김경룡"
414,고종황제와 의사 안중근,,"1,502,000",0.0%,"7,077,000",751,"3,530",1,16,한국,한국,,,,사극,전창근,"김승호,전창근,최남현"
415,로맨스그레이,,"1,494,000",0.0%,"2,310,000",747,"1,155",1,22,한국,한국,신필름,,12세이상관람가,"드라마,멜로/로맨스",신상옥,"김승호,최은희"
416,제 2회 콕! 애니 Healing,,"3,714,000",0.0%,"3,714,000",746,746,2,8,한국,한국,,,,애니메이션,,
417,방황의 날들,2007.9.7,"1,533,000",0.0%,"9,896,500",745,"2,029",1,109,한국,한국,위드시네마,위드시네마,15세이상관람가,드라마,김소영,"강태구,김지선,김복자"
418,인투 더 나잇,2018.3.29,"5,642,300",0.0%,"6,272,300",731,836,14,27,한국,한국,(주)시네마달,(주)시네마달,12세이상관람가,"다큐멘터리,드라마",갈재민,"차승우,박현준,김세영,최욱노,조훈,하선형,김경찬,김인수,박정우,이건희,정은영,조훈"
419,국제시장,2014.12.17,"4,111,000",0.0%,"110,938,092,730",724,"14,262,922",2,13,한국,한국,"(주)제이케이필름,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,드라마,윤제균,"황정민,김윤진,오달수,정진영,장영남,라미란,김슬기,정영기,맹세창,김동원,김현중,김지영,황창기,박재우,박찬희,김예빈,김재철,김하연,김재현,이소영,류경현,황인준,이종석,이진희,전희경,박재언,유재상,김선영,정윤호,박길수,박영수,김근영,허동원,현봉식,강신철,손영순"
420,로맨스 빠빠,1960.1.28,"1,429,000",0.0%,"9,399,000",721,"4,704",2,28,한국,한국,신필름,,15세이상관람가,"드라마,멜로/로맨스",신상옥,"신성일,주증녀,최은희,최은희"
421,겨울로 가는 마차,1982.1.1,"1,441,000",0.0%,"6,533,000",718,"3,244",1,15,한국,한국,,,연소자관람불가,"드라마,멜로/로맨스",정소영,"김영애,이영하,김진규"
421,여사장,,"1,429,000",0.0%,"4,175,000",718,"2,095",1,19,한국,한국,,,,"코미디,멜로/로맨스",한형모,"조미령,이수련"
423,SESIFF2018 제2기 영등포 초단편영화 아카데미,,"4,274,000",0.0%,"4,274,000",713,713,2,2,한국,한국,,,,기타,,
