순위,영화명,개봉일,매출액 ,매출액점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
15,덕혜옹주,2016.8.3,"44,393,828,109",2.5%,"44,393,828,109","5,599,229","5,599,229",964,"97,312",한국,한국,"(주)하이브미디어코프,(주)영화사호필름 ,(주)디씨지플러스",롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"사극,드라마",허진호,"손예진,박해일,윤제문,라미란,정상훈,박수영,김소현,박주미,안내상,김재욱,김인우,백윤식,김대명,김정희,박윤식,박지수,박혜영,송민수,송창현,신동주,오세영,이경훈,이명규,이상진,이승진,최영빈,최일순,최정순,한동훈,함성원,홍은지,김무규,김기정,차지원,고수,금새록,김승훈"
16,검은 사제들,2015.11.5,"42,408,588,092",2.3%,"42,408,588,092","5,442,709","5,442,709","1,109","131,173",한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"미스터리,드라마",장재현,"김윤석,강동원,박소담,김병옥,김의성,이호재,남일우,김동현,김미영,김혜민,박지수,송선찬,이상민,이승훈,이현우,손종학,조수향,남문철,김수진,민진웅"
17,마스터,2016.12.21,"39,784,641,065",2.2%,"39,784,641,065","4,935,320","4,935,320","1,501","70,786",한국,한국,영화사 집,씨제이이앤엠(주),15세이상관람가,"액션,범죄",조의석,"이병헌,강동원,김우빈,엄지원,박해수,오달수,진경,김정우,장한별,이승용,김대현,홍성덕,우도환,배정남,조현철,정원중,주석태,송영학"
18,판도라,2016.12.7,"33,955,398,164",1.9%,"33,955,398,164","4,313,864","4,313,864","1,184","90,758",한국,한국,(주)씨에이씨엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,스릴러",박정우,"김남길,김영애,문정희,정진영,이경영,강신일,김대명,유승목,김주현,김명민,김동우,김선형,김승배,김영준,김재민,김정훈,김태영,김태현,김태훈,박기태,박선희,박준영,이경재,최우성,공정환,강민,지현준,주석태"
19,아가씨,2016.6.1,"35,211,229,991",1.9%,"35,211,229,991","4,287,839","4,287,839","1,171","90,365",한국,한국,"유한회사 아가씨에프에스,(주)모호필름,(주)용필름",씨제이이앤엠(주),청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은"
20,조선명탐정 : 사라진 놉의 딸,2015.2.11,"30,456,879,428",1.7%,"30,456,879,428","3,872,015","3,872,015",825,"80,499",한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",김석윤,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영"
21,귀향,2016.2.24,"27,249,738,990",1.5%,"27,249,738,990","3,587,173","3,587,173",876,"90,286",한국,한국,주식회사 제이오엔터테인먼트코리아,(주)와우픽쳐스,15세이상관람가,드라마,조정래,"손숙,강하나,서미지,최리,정인기,오지혜,김시은,이채현,임성철,임혜영,박주현,박지희,박진경,장현익,정광윤,정부경,정승현,안재성,이경훈,이민영,이선희,이수현,이승현,이여원,김완기,김은나,정무성,류신"
22,스물,2015.3.25,"23,563,705,686",1.3%,"23,563,705,686","3,044,859","3,044,859",926,"100,167",한국,한국,"(주)영화나무,(주)아이에이치큐",(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,드라마",이병헌,"김우빈,이준호,강하늘,정덕희,주창욱,권지훈,오하늬,오현경,이성두,정소민,안재홍,이유비,김의성,김종수,민지,황미영,서호철,박명신,양현민,허준석,한준우,백수희,차민지,정주연"
23,형,2016.11.23,"23,113,768,293",1.3%,"23,113,768,293","2,979,659","2,979,659",993,"83,518",한국,한국,굿초이스컷픽쳐스(주),씨제이이앤엠(주),12세이상관람가,"코미디,드라마",권수경,"조정석,도경수,박신혜,권지훈,김승아,김진희,이연수,강두,정지훈,손산,김강현"
24,극비수사,2015.6.18,"22,389,535,897",1.2%,"22,389,535,897","2,860,786","2,860,786",894,"66,211",한국,한국,"(주)제이콘컴퍼니,(주)영화사 신세계",(주)쇼박스,15세이상관람가,"드라마,범죄",곽경택,"김윤석,유해진,송영창,장영남,정호빈,이준혁,이종일,장성훈,정규용,정기용,백승호,이효제,최원,송승현,신유경,양중경,유주영,홍명기,이석현,이소영,이승준,이윤희,이인규,주영호,박효주,이재용,남문철,황성준,조민준,장지건,현봉식"
25,탐정 : 더 비기닝,2015.9.24,"20,463,956,973",1.1%,"20,463,956,973","2,625,686","2,625,686",764,"54,995",한국,한국,(주)크리픽쳐스,씨제이이앤엠(주),15세이상관람가,"코미디,범죄",김정훈,"권상우,성동일,박해준,이승준,조복래,오정세,박준면,이일화,서영희,강민지,홍서현,천유나,차승연,정종훈,정승연,이현기,이찬희,김승배,김은지,김하늘,김희영,모일영,박민철,박성일,박시영,박지혜,최성원,홍은택,이해영,지대한,진용욱,한창현,민무제"
26,아수라,2016.9.28,"20,576,226,662",1.1%,"20,576,226,662","2,594,028","2,594,028","1,278","68,040",한국,한국,(주)사나이픽처스,씨제이이앤엠(주),청소년관람불가,"범죄,액션",김성수,"정우성,김현빈,황정민,주지훈,곽도원,정만식,김원해,김종수,김해곤,윤지혜,오연아,윤제문,이종성,장근영,박지환,손영진,양영일,유정호,윤성민,이가경,이광기,이상민,채성원,김남조,노남석,박갑진,김수진,염동헌,차래형,현봉식,최병모"
27,악의 연대기,2015.5.14,"17,361,815,332",1.0%,"17,361,815,332","2,192,525","2,192,525",776,"64,351",한국,한국,(주)비에이엔터테인먼트,씨제이이앤엠(주),15세이상관람가,스릴러,백운학,"손현주,마동석,최다니엘,박서준,이준혁,이태호,이현우,강민정,조은수,서정우,최동헌,안용우,이명준,이성재,이용희,이은정,정원중,지대한,장준녕,정준원,한성천,배진웅"
28,강남 1970,2015.1.21,"17,718,699,499",1.0%,"17,718,699,499","2,192,276","2,192,276",841,"53,304",한국,한국,"(주)모베라픽처스,(주)쇼박스",(주)쇼박스,청소년관람불가,"액션,드라마",유하,"이민호,김래원,정진영,설현,유승목,한재영,이연두,정호빈,최진호,엄효섭,최병모,지대한,전배수,윤종화,서우진,이인혁,이정완,이주협,박소희,박시연,이한울,임성숙,장준혁,전우재,강풍,박재영,박재희,박준영,정영택,백동현,정창용,조선기,서현석,천영암,손재영,주연서,신영규,양진석,오형근,유정호,윤지원,이규석,김원진,이성용,이성준,이세훈,황재진,이원희,이은주,안정우,정진영,김지수,곽민호,이가경,한준우,이성우"
29,굿바이 싱글,2016.6.29,"16,912,706,195",0.9%,"16,912,706,195","2,108,273","2,108,273",841,"56,380",한국,한국,"호두앤유 엔터테인먼트(주),(주)영화사람",(주)쇼박스,15세이상관람가,"코미디,드라마",김태곤,"김혜수,마동석,김현수,김용건,서현진,곽시양,전석호,이미도,이성민,황미영,이형미,박지영,정준화,유성진,윤환,이수경,최문석,홍민희,김근영,안재홍,황승언,김고은,목규리,이선빈,배유람,정원중"
30,내부자들: 디 오리지널,2015.12.31,"16,979,714,975",0.9%,"16,979,714,975","2,084,868","2,084,868",838,"47,237",한국,한국,(유)내부자들 문화전문회사,(주)쇼박스,청소년관람불가,"범죄,드라마",우민호,"신지수,이병헌,조승우,백윤식,이경영,김홍파,배성우,조재윤,김대명,조우진,이엘,정만식,김병옥,박진우,남일우,김의성,손종학,조덕제,유재명,권태원,강신철,정민성"
31,뷰티 인사이드,2015.8.20,"16,155,829,131",0.9%,"16,155,829,131","2,054,303","2,054,303",648,"52,686",한국,한국,(주)용필름,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"판타지,멜로/로맨스",백,"한효주,김대명,도지한,배성우,박신혜,이범수,박서준,김상호,천우희,우에노 주리,이재준,김민재,이현우,조달환,이진욱,홍다미,서강준,김희원,이동욱,고아성,김주혁,유연석,이동휘,문숙,이경영,최용민,이미도,신동미,김시은,유재상,오상철,임예진,정두원,박지현,정은교,조유덕,차수보,차정환,손영진,신예진,유보라,윤여진,이미애,홍승철,이성준,이소연,이슬기,이승대,이진성,공민정,고규필,이봄,손슬기,박근록,이지민,우상기,박민수,권기하,장의수,손성찬"
32,봉이 김선달,2016.7.6,"16,227,052,642",0.9%,"16,227,052,642","2,051,277","2,051,277",942,"51,418",한국,한국,"(주)엠픽처스,(주)에스엔케이픽처스",씨제이이앤엠(주),12세이상관람가,사극,박대민,"유승호,조재현,고창석,라미란,시우민,연우진,전석호,서예지,주영호,박예슬,박상현,박진성,유일한,이선희,이규형,송재룡,권태원,김승훈,김경룡"
33,오늘의 연애,2015.1.14,"14,924,654,487",0.8%,"14,924,654,487","1,891,993","1,891,993",709,"47,237",한국,한국,(주)팝콘에프앤엠,씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디",박진표,"이승기,문채원,이서진,장진우,이경진,이동진,임하룡,이상협,김광규,김부선,가인,임종윤,남능미,류화영,박지연"
34,대호,2015.12.16,"13,489,904,632",0.7%,"13,489,904,632","1,762,742","1,762,742",892,"44,821",한국,한국,(주)사나이픽처스,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,사극,박훈정,"최민식,정만식,김상호,성유빈,오스기 렌,정석원,김홍파,라미란,이나라,현승민,우정국,박인수,김진혁,양준호,양호성,윤성민,이상민,장한별,주창욱,남연우,유재명,박지환,손성찬"
35,쎄시봉,2015.2.5,"13,571,515,911",0.8%,"13,571,515,911","1,715,370","1,715,370",829,"51,744",한국,한국,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디,드라마",김현석,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효,최유화"
36,더 폰,2015.10.22,"12,309,164,568",0.7%,"12,309,164,568","1,593,694","1,593,694",794,"53,599",한국,한국,(주)미스터로맨스,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"스릴러,액션",김봉주,"손현주,엄지원,배성우,김성종,권지훈,조용관,정한빈,정진근,장한별,임태훈,이확광,이병권,김경애,김광섭,이광기,김영민,김용환,김소영,김주희,김태환,김한준,서병철,백동현,이철민,노정의,장인섭,조달환,황석정,이정민,이수인"
37,차이나타운,2015.4.29,"11,990,707,878",0.7%,"11,990,707,878","1,472,147","1,472,147",551,"45,149",한국,한국,폴룩스픽쳐스(주),CGV아트하우스,청소년관람불가,"범죄,드라마",한준희,"김혜수,김고은,엄태구,박보검,고경표,오대환,배유람,이혁준,백동현,노경섭,권지훈,김경애,오유진,우종현,유지현,김성종,이상희,이수경,김수안,정석용,이대연,이루리,안재홍,기주봉,조복래,이민지,백수장,조현철,차래형,우상기,주예지,이해운"
38,탐정 홍길동: 사라진 마을,2016.5.4,"11,516,170,845",0.6%,"11,516,170,845","1,430,885","1,430,885",764,"41,076",한국,한국,(주)영화사비단길,씨제이이앤엠(주),15세이상관람가,"드라마,액션",조성희,"이제훈,김성균,박근형,정성화,고아라,노정의,김하나,유승목,박정원,박지훈,오현암,유정래,윤상훈,이민아,이민지,이상희,정준용,김하나,고우림"
39,특별수사: 사형수의 편지,2016.6.16,"9,929,947,065",0.5%,"9,929,947,065","1,241,899","1,241,899",691,"39,372",한국,한국,(주)콘텐츠케이,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"범죄,드라마",권종관,"김명민,김상호,성동일,김영애,김향기,김뢰하,박수영,박혁권,최병모,오민석,이지훈,박지환,신구,이한위,이문식,김명국,정택호,차상민,이성욱,이승훈,민진웅,홍기준"
40,시간이탈자,2016.4.13,"9,731,838,195",0.5%,"9,731,838,195","1,202,384","1,202,384",733,"55,075",한국,한국,"씨제이이앤엠(주),상상필름(주)",씨제이이앤엠(주),15세이상관람가,스릴러,곽재용,"임수정,조정석,이진욱,정진영,이기우,온주완,전신환,이태리,김보라,임예진,정웅인,박준규,남태부,차은재,박지원,박소영,백준혁,조민영,신지수,이동희,이성준,이영민,김수영,이봄"
41,동주,2016.2.17,"8,889,077,089",0.5%,"8,889,077,089","1,172,641","1,172,641",543,"39,958",한국,한국,(주) 루스이소니도스,메가박스중앙(주)플러스엠,12세이상관람가,드라마,이준익,"강하늘,박정민,김인우,최홍일,김정팔,최희서,신윤주,문성근,최종률,전재형,정운봉,이선주,허욱진,최정헌,윤정일,박명신,한창현,민진웅,정준원"
42,장수상회,2015.4.9,"8,738,494,643",0.5%,"8,738,494,643","1,165,969","1,165,969",688,"52,930",한국,한국,"(주)빅픽쳐,씨제이이앤엠(주)",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,드라마",강제규,"박해빛나,박근형,윤여정,조진웅,한지민,황우슬혜,문가영,찬열,장문규,이준혁,윤소희,백일섭,박소연,이제욱,강석민,박지혜,정해인,최대영,최승훈,송동규,유원준,유원준,윤상훈,윤여정,이강희,임하룡,홍성일,이보영,이상수,이수지,이언정,김재화,남문철,박나예,남명렬,염혜란,박경혜"
43,미씽: 사라진 여자,2016.11.30,"8,881,616,256",0.5%,"8,881,616,256","1,153,109","1,153,109",790,"40,617",한국,한국,다이스필름(주),메가박스중앙(주)플러스엠,15세이상관람가,미스터리,이언희,"서하늬,엄지원,공효진,강태수,김광호,김석태,김용철,김해일,서인덕,안재만,고준,김선영,홍성덕,박명신,이성욱,우기홍,주민하"
44,성난 변호사,2015.10.8,"8,723,650,039",0.5%,"8,723,650,039","1,128,288","1,128,288",607,"36,990",한국,한국,"씨제이이앤엠(주),(주)영화사 빛나는 제국,우수영화사",씨제이이앤엠(주),15세이상관람가,"범죄,액션",허종호,"오상철,이선균,김고은,임원희,장현성,최재웅,김윤혜,홍성덕,배유람,권귀덕,노경섭,노경섭,정진근,장명진,이확광,이형섭,이은택,이수민,이기창,유영진,김현정,노영화,송원종,박지영,서현우,박연우,주석태,민진웅,한성천,손영순,손성찬"
45,"당신, 거기 있어줄래요",2016.12.14,"8,999,085,248",0.5%,"8,999,085,248","1,124,815","1,124,815",767,"39,181",한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,12세이상관람가,"판타지,드라마",홍지영,"김윤석,변요한,채서진,김상호,안세하,박혜수,김호정,한한나,이유미,윤진영,전준영,김효진,배유리,김성령,김지영,장광,남경,김광규,박길수,박희본,정인기"
46,간신,2015.5.21,"8,946,889,910",0.5%,"8,946,889,910","1,110,255","1,110,255",697,"40,583",한국,한국,(주)수필름,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,사극,민규동,"주지훈,김강우,천호진,임지연,이유영,김현수,문희경,박시영,박아영,임효우,전미정,전태호,박은영,박은영,박재성,박주희,박지수,정수지,정재우,배효진,조명행,조용완,송영창,차지연,성진아,최창훈,신동필,양정민,염재민,한진구,이보라,홍의정,황동희,이상철,이소희,이솔,이슬기,이승주,이용호,이용호,이윤지,김태희,서영주,기주봉,장광,류아벨,김강일,정만식,최일화,전여빈,박명신,민성욱,김도영,손수현,고경표,정인기"
47,오빠생각,2016.1.21,"8,060,591,287",0.4%,"8,060,591,287","1,069,864","1,069,864",855,"44,801",한국,한국,(주)조이래빗,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,"드라마,전쟁",이한,"김현빈,임시완,고아성,이희준,이준혁,정준원,이레,김영재,임윤경,정대웅,정병두,정세훈,이건하,이성욱,이승빈,이승준,이연화,홍동영,홍솔,강현구,정준용,탕준상,김대현,여윤호,이현정,박수영,김푸름,김향기,장준휘,이정현,손영순,박지연"
48,"날, 보러와요",2016.4.7,"8,836,144,063",0.5%,"8,836,144,063","1,063,442","1,063,442",683,"49,237",한국,한국,"영화사올(주),(주)발렌타인필름",메가박스중앙(주)플러스엠,청소년관람불가,"미스터리,스릴러",이철하,"강예원,이상윤,최진호,지대한,김종수,이학주,장태성,유건,길해연,조재윤,이형석,박송해,정경일,안용우,안지혜,안지혜,최낙영,이규호,이상백,이승진,김호원,황성준"
49,그놈이다,2015.10.28,"8,098,811,152",0.4%,"8,098,811,152","1,046,313","1,046,313",681,"38,679",한국,한국,상상필름(주),CGV아트하우스,15세이상관람가,스릴러,윤준형,"주원,유해진,이유영,류혜영,서현우,이준혁,윤석진,김민서,김현정,박지윤,장인섭,윤다경,진용욱,오희준,이현정,장문규,민성욱,손성찬"
50,미쓰 와이프,2015.8.13,"7,387,086,869",0.4%,"7,387,086,869","988,451","988,451",437,"28,864",한국,한국,(주)영화사아이비젼,메가박스중앙(주)플러스엠,15세이상관람가,코미디,강효진,"엄정화,송승헌,김상호,라미란,서신애,임보경,강현구,백승호,정지안,조훈휘,최윤철,유영채,홍석현,이승호,이연주,이은정,고수희,안소연,양도연,황석하,정지훈,조덕제,김병춘,최종률,정유석,이용녀,최일화,곽지유,김영용,서승원,조경현,엄채영,염동헌"
51,"고산자, 대동여지도",2016.9.7,"7,801,007,258",0.4%,"7,801,007,258","974,262","974,262",765,"38,048",한국,한국,(주)시네마서비스,씨제이이앤엠(주),전체관람가,사극,강우석,"김율호,차승원,유준상,김인권,남지현,신동미,남경읍,태인호,공형진,김종수,이형길,임경욱,박선용,상훈,박정호,박진영,백동현,송민석,송원종,양해길,양희정,전수정,전호근,정명수,정봉연,정진근,노경섭,윤성민,윤준호,이덕형,이문형,이성원,이수민,이승철,이윤상,지동주,지현준,최은식,최한기,한명철,홍광표,홍대영,노남석,정준용,김기정,오희준,손성찬"
52,허삼관,2015.1.14,"7,410,215,569",0.4%,"7,410,215,569","956,103","956,103",621,"27,661",한국,한국,"(주)두타연,(주)판타지오픽쳐스",(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,드라마,하정우,"하정우,하지원,전혜진,장광,주진모,성동일,이경영,김영애,정만식,조진웅,김기천,김성균,윤은혜,황보라,강민지,전현석,정우진,이경원,이민호,이수인,이승준,이승호,김재화,김시은,임현성,민무제,강신철"
53,"님아, 그 강을 건너지 마오",2014.11.27,"7,511,099,600",0.4%,"37,356,929,079","955,495","4,801,873",486,"26,215",한국,한국,아거스필름,"CGV아트하우스,(주)대명문화공장",전체관람가,다큐멘터리,진모영,"조병만,강계열"
54,살인의뢰,2015.3.12,"6,986,456,737",0.4%,"6,986,456,737","855,980","855,980",646,"35,244",한국,한국,(주)미인픽쳐스,씨네그루(주)다우기술,청소년관람불가,"범죄,스릴러",손용호,"김상경,김성균,박성웅,윤승아,조재윤,김의성,기주봉,홍성덕,오대환,이정훈,이진수,박소희,박일우,박혜미,송영창,태욱,김덕순,이다희,이상인,이용출,임종윤"
55,좋아해줘,2016.2.17,"6,572,774,337",0.4%,"6,572,774,337","848,148","848,148",637,"27,125",한국,한국,"리양필름(주),(주)제이케이필름",씨제이이앤엠(주),12세이상관람가,"멜로/로맨스,코미디",박현진,"이미연,최지우,김주혁,유아인,강하늘,이솜,하석진,지윤호,한재영,선주아,이춘우,이한승,이현서,장원진,전호성,송창현,이서연,이성진,이승연,이정은,박명신,이승연,김승훈,박희본"
56,손님,2015.7.9,"6,385,937,880",0.4%,"6,385,937,880","828,025","828,025",634,"23,404",한국,한국,(주)유비유필름,씨제이이앤엠(주),15세이상관람가,"판타지,공포(호러)",김광태,"류승룡,이성민,천우희,이준,정경호,김정영,박시연,이민지,백승호,유재현,이서연,이승준,전국환,정준원,손산"
57,기술자들,2014.12.24,"6,241,817,635",0.3%,"19,894,297,783","786,257","2,564,340",481,"18,808",한국,한국,(주)트리니티엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,"범죄,액션",김홍선,"김우빈,김영철,고창석,이현우,조윤희,임주환,조달환,권지훈,김원진,노선식,박갑진,유원선,윤대원,윤주환,이상민,이수민,채성원,천준호,최현우,최춘범,한지은,지승현,장지건,허준석"
58,스플릿,2016.11.9,"6,102,712,539",0.3%,"6,102,712,539","758,195","758,195",702,"32,616",한국,한국,오퍼스픽쳐스(유),오퍼스픽쳐스(유),15세이상관람가,드라마,최국희,"유지태,이정현,이다윗,정성화,김지은,김태훈,신민수,윤수현,이정주,이지수,조선묵,조수정,최승"
59,국가대표 2,2016.8.10,"5,482,232,042",0.3%,"5,482,232,042","709,929","709,929",562,"20,689",한국,한국,케이엠컬쳐㈜,메가박스중앙(주)플러스엠,12세이상관람가,드라마,김종현,"수애,오달수,오연서,하재숙,김슬기,김예원,진지희,임진영,박진하,전송이,방추성,백상훈,서은정,조규영,안승호,조수지,조희윤,이경선,이민지,이선미,이영화,함지후,곽지유,이봉련,조희봉,김응수,최병모"
