filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
베테랑,베테랑,20226987,우영택,배우
반도|악질경찰|성난황소|레슬러|당신의 부탁|염력|더 킹|특종: 량첸살인기|뷰티 인사이드|베테랑|무뢰한|우는 남자|용의자|남자사용설명서|간첩|작은 연못|우리 쫑내자!!!!|비보호 좌회전,베테랑,10004210,김민재,배우
베테랑|국제시장,베테랑,20203581,김재현,배우
베테랑|조선미녀삼총사,베테랑,20198349,김태용,배우
베테랑|고지전,베테랑,20165440,김지수,배우
약장수|베테랑,베테랑,20218680,박지윤,배우
"흥부: 글로 세상을 바꾼 자|탐정 : 더 비기닝|베테랑|장수상회|자, 이제 댄스타임|화차|림동미",베테랑,20183250,박지혜,배우
베테랑,베테랑,20228086,손성민,배우
가장 보통의 연애|식구|질투의 역사|사월의 끝|곡성|컨트롤|약장수|베테랑|나의 독재자|도가니|헤드|체포왕|황해|19-Nineteen|지구에서 사는 법|김씨표류기|멋진 하루|크로싱|궤도|바르게 살자|못말리는 결혼|내부순환선|Mr.로빈 꼬시기|국경의 남쪽|달려라 장미|사랑니|박수칠 때 떠나라|레드 아이|슈퍼스타 감사용|욕망|고양이를 부탁해|노소강호|고양이|인 굿 컴퍼니|달빛을 쫓다|리서치|가족시네마|화이팅 패밀리|내안의 영화,베테랑,10060279,장소연,배우
비스트|나를 찾아줘|소리도 없이|킹메이커 : 선거판의 여우|비밀의 정원|영주|명당|죄 많은 소녀|봄이가도|골든슬럼버|메리 크리스마스 미스터 모|하루|내부자들: 디 오리지널|대호|내부자들|4등|베테랑|메이드 인 차이나|따라지 : 비열한 거리|제보자|터널 3D|황제를 위하여|몬스터|캐치미|동창생|관상|인간의 숲|남쪽으로 튀어|자칼이 온다|범죄와의 전쟁: 나쁜놈들 전성시대|바람|무방비도시|눈부신 날에|사생결단|청연|연애|흑수선|주여!|해수탕 여인,베테랑,20152117,유재명,배우
변산|성실한 나라의 앨리스|베테랑|우리는 형제입니다|마이 라띠마|환상속의 그대|파수꾼|나의 불행에는 이유가 있다|바나나 쉐이크|신촌좀비만화,베테랑,20100604,배제기,배우
"샘|연애담|간신|베테랑|개를 훔치는 완벽한 방법|네버다이 버터플라이|초능력자|푸른 강은 흘러라|전 부치러 왔습니다|인사3팀의 캡슐커피|파스타|용순, 열 여덟 번째 여름|그림자도 없다|마이 로맨스|원나잇스탠드(Episode 2.)",베테랑,20236647,류아벨,배우
원더풀 고스트|명당|공작|베테랑|무뢰한|군도: 민란의 시대|전국노래자랑|신세계|범죄와의 전쟁: 나쁜놈들 전성시대|구르믈 버서난 달처럼|화려한 휴가,베테랑,20159610,정재헌,배우
"힘을 내요, 미스터 리|너의 결혼식|잡아야 산다|베테랑|슬로우 비디오|신의 한 수|하이힐|비정한 도시 감독판|비정한 도시 (미개봉)|너는 펫|완득이|모비딕|수상한 고객들|헬로우 고스트|부당거래|원스어폰어타임|다찌마와리|식객|소년은 울지 않는다|애정결핍이 두 남자에게 미치는 영향|마음이...|원탁의 천사|짝패|로망스|개와 늑대 사이의 시간|야수|야수와 미녀|새드무비|주먹이 운다(Crying Fist)|아라한 장풍대작전|태극기 휘날리며|성냥팔이 소녀의 재림|생활의 발견|2009로스트메모리즈|피도 눈물도 없이|죽거나 혹은 나쁘거나|3인조|남자니까 아시잖아요?|죽어라지마|다찌마와리|신촌좀비만화|다섯 개의 시선",베테랑,10042830,안길강,배우
나쁜 녀석들: 더 무비|노리개: 그녀의 눈물|악인전|백두산|시동|성난황소|동네사람들|원더풀 고스트|신과함께-인과 연|챔피언|신과함께-죄와 벌|부라더|범죄도시|특별시민|두 남자|부산행|굿바이 싱글|섬. 사라진 사람들|함정|악의 연대기|베테랑|일대일|군도: 민란의 시대|살인자|결혼전야|더 파이브|배우는 배우다|감기|뜨거운 안녕|공정사회|노리개|반창꼬|이웃사람|노리개 무삭제 확장판|범죄와의 전쟁: 나쁜놈들 전성시대|우리 만난 적 있나요|부당거래|래빗,베테랑,10021341,마동석,배우
양자물리학|점박이 한반도의 공룡2 : 새로운 낙원|공작|용순|임금님의 사건수첩|국가대표 2|검사외전|위험한 상견례 2|베테랑|나의 절친 악당들|하이힐|미스터 고|타워|나는 왕이로소이다|돈의 맛|가비|외사경찰|코리아|범죄와의 전쟁: 나쁜놈들 전성시대|부러진 화살|커플즈|위험한 상견례|파괴된 사나이|반가운 살인자|아빠가 여자를 좋아해|그림자 살인|특별시 사람들|달려라 자전거|원스어폰어타임|박치기 LOVE & PEACE|기담|황진이|뷰티풀 선데이|이장과 군수|오래된 정원|잔혹한 출근|타짜|가문의 부활 - 가문의 영광3|예의없는 것들|스승의 은혜|한반도|투사부일체|싸움의 기술|청연|나의 결혼원정기|강력 3반|천군|그때 그 사람들|역전의 명수|여선생 VS 여제자|귀신이 산다|늑대의 유혹|안녕! 유에프오|바람난 가족|싱글즈|선생 김봉두|광복절 특사|패밀리|취화선|재밌는 영화|2009로스트메모리즈|화산고|신라의 달밤|눈물|물고기자리|주유소 습격사건|유령|처녀들의 저녁식사|투캅스 3|깡패수업|뱀파이어는 우리 옆집에 산다|울아빠,베테랑,10005374,김응수,배우
"스텔라|메멘토모리|나를 기억해|너의 결혼식|삼촌|리얼|뷰티 인사이드|소년, 소녀를 만나다|여고생|베테랑|나의 사랑 나의 신부|롤러코스터|범죄와의 전쟁: 나쁜놈들 전성시대|마이 블랙 미니드레스|마더|아기와 나|나의 스캔들|누가 그녀와 잤을까?|폭력써클|가족의 탄생|사랑을 놓치다|황산벌|아 유 레디?|키드캅|보고싶다",베테랑,10001457,고규필,배우
배심원들|유체이탈자(가제)|보희와 녹양|뷰티풀 데이즈|7년의 밤|라이브 하드|국도극장|죄 많은 소녀|독전|호랑이보다 무서운 겨울손님|사라진 밤|1987|침묵|택시운전사|커피 느와르: 블랙 브라운|1급기밀|죽여주는 여자|터널|히야|무수단|그놈이다|성난 변호사|베테랑|맨홀|우는 남자|끝까지 간다|용의자|소녀|소원|관상|스파이|간첩|북쪽에서 온 여행자|러브픽션|고지전|화이트: 저주의 멜로디|종말의 주행자|얄개들|백천|지하의 남자|티치 미|병구|6D 극장 |잭보이|모텔 아쿠아리움 |너와 극장에서|오오단편극장 - 이학주 배우전,베테랑,20221406,서현우,배우
"PMC: 더 벙커|성난황소|마약왕|신과함께-인과 연|염력|강철비|미옥|남한산성|범죄도시|브이아이피|대립군|불한당: 나쁜 놈들의 세상|아수라|난폭한 기록|대호|암살|제 7기사단|베테랑|내 심장을 쏴라|황제를 위하여|군도: 민란의 시대|스톤|더 웹툰: 예고살인|전설의 주먹|신세계|베를린|내가 살인범이다|미쓰GO|범죄와의 전쟁: 나쁜놈들 전성시대|황해|부당거래|악마를 보았다|좋은 놈, 나쁜 놈, 이상한 놈 |강철중: 공공의 적 1-1|다찌마와리|우아한 세계|중천|뚝방전설|괴물|한반도|공공의 적 2|실미도",베테랑,10000755,강영묵,액션/스턴트팀
"걸캅스|어쩌다, 결혼|원더풀 고스트|공작|1987|대장 김창수|범죄도시|두 남자|터널|소시민|성난 변호사|악의 연대기|베테랑|역린|롤러코스터|더 테러 라이브|이웃사람|577 프로젝트|범죄와의 전쟁: 나쁜놈들 전성시대|용서받지 못한 자|핑키",베테랑,10087533,한수현,배우
암살|베를린|도둑들|도둑들 영화를 만들다|블러드|슈퍼맨이었던 사나이|데이지|내 여자친구를 소개합니다|4인용 식탁|엽기적인 그녀|시월애|화이트 발렌타인,암살,10061467,전지현,배우
다만 악에서 구하소서|사바하|도청(가제)|신과함께-인과 연|신과함께-죄와 벌|대립군|인천상륙작전 : 익스텐디드 에디션(확장판)|인천상륙작전|대역전|암살|빅매치|관상|신세계|도둑들|도둑들 영화를 만들다|하녀|1724 기방난동사건|태풍|오! 브라더스|오버 더 레인보우|흑수선|선물|순애보|시월애|인터뷰|이재수의 난|태양은 없다|정사|박대박|불새|알바트로스|젊은 남자|MOB 2025 1편 : 전운,암살,10057315,이정재,배우
"백두산|PMC: 더 벙커|클로젯|신과함께-인과 연|1987|신과함께-죄와 벌|서서평, 천천히 평온하게|싱글라이더|터널|아가씨|아가씨(확장판)|암살|허삼관|군도: 민란의 시대|롤러코스터|더 테러 라이브|베를린|577 프로젝트|러브픽션|범죄와의 전쟁: 나쁜놈들 전성시대|의뢰인|황해|평행이론|국가대표 완결판-못 다한 이야기|국가대표|보트|잘 알지도 못하면서|멋진 하루|비스티 보이즈|추격자|우리 생애 최고의 순간|숨|두 번째 사랑|구미호 가족|시간|용서받지 못한 자|잠복근무|슈퍼스타 감사용|마들렌|보스턴 1947|티파니에서 아침을",암살,10087253,하정우,배우
"이웃 사촌|조선명탐정: 흡혈괴마의 비밀|신과함께-죄와 벌|니 부모 얼굴이 보고 싶다|살인자의 기억법 : 새로운 기억|살인자의 기억법|마스터|터널|국가대표 2|컨트롤|대배우|열정같은소리하고있네|암살|베테랑|조선명탐정 : 사라진 놉의 딸|국제시장|슬로우 비디오|해적: 바다로 간 산적|변호인|파파로티|7번방의 선물|자칼이 온다|공모자들|R2B: 리턴투베이스|도둑들|도둑들 영화를 만들다|미운오리새끼|술에 대하여 - 극장판|헤드|그대를 사랑합니다|조선명탐정 : 각시투구꽃의 비밀|페스티발|해결사|방자전|그림자 살인|박쥐|좋은 놈, 나쁜 놈, 이상한 놈 |가루지기|우아한 세계|언니가 간다|싸이보그지만 괜찮아|그해 여름|뚝방전설|괴물|구타유발자들|음란서생|친절한 금자씨|주먹이 운다(Crying Fist)|달콤한 인생|마파도|여자는 남자의 미래다|효자동 이발사|마지막 늑대|올드보이|해적 디스코왕 되다|사춘기 |믿거나 말거나, 찬드라의 경우|황금시대|여섯 개의 시선",암살,10050151,오달수,배우
