순위,영화명,개봉일,상영횟수,상영점유율,매출액,누적매출액,관객수,누적관객수
15,애인,1982-07-24,4,0.061%,410000,822000,205,411
15,아가씨(확장판),,4,0.061%,827000,82272300,87,10881
18,암굴왕,,3,0.045%,294000,294000,147,147
18,나무없는 산,2009-08-27,3,0.045%,30000,55355500,15,7770
18,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,2016-08-17,3,0.045%,127000,266411920,24,34946
21,그림자들의 섬,2016-08-25,2,0.03%,19000,23047300,3,3370
21,카이: 거울 호수의 전설,2016-08-17,2,0.03%,33000,182122500,6,24548
21,그랜드파더,2016-08-31,2,0.03%,12000,232938600,2,31508
21,부산행,2016-07-20,2,0.03%,18000,93173225548,3,11564794
21,나는 증인이다,2016-09-14,2,0.03%,600000,4279000,120,800
21,어우동: 주인 없는 꽃,2015-01-29,2,0.03%,18000,68439000,9,13132
27,미망인,1955-12-10,1,0.015%,12000,654000,4,305
27,여배우들,2009-12-10,1,0.015%,632900,3777104900,68,513174
27,서울역,2016-08-17,1,0.015%,78000,1162327562,10,147008
27,아티스트,,1,0.015%,68000,437000,16,137
27,국가대표 2,2016-08-10,1,0.015%,840000,5478067042,120,709240
27,야근 대신 뜨개질,2016-11-17,1,0.015%,44000,949000,11,186
27,우리 연애의 이력,2016-06-29,1,0.015%,12000,23987800,2,3030
27,그럼에도 불구하고,2017-08-24,1,0.015%,12500,197500,3,40
27,인천상륙작전,2016-07-27,1,0.015%,30000,55088213803,6,7046919
27,눈길,2017-03-01,1,0.015%,92000,212000,23,53
27,한국다큐쇼케이스 단편,,1,0.015%,27500,42500,8,12
27,인디애니페스트2016-독립보행3,,1,0.015%,1164700,1461700,121,171
27,인디애니페스트2016-새벽비행2,,1,0.015%,1108000,1366000,124,168
27,일사각오,2016-03-17,1,0.015%,1700000,682086500,303,94684
27,사람이 산다,,1,0.015%,90000,1365000,18,236
27,그녀들의 점심시간,,1,0.015%,20000,265000,4,98
27,매너선생님,2016-09-22,1,0.015%,8000,925000,1,170
27,우아한 나체들,,1,0.015%,46000,142000,7,28
27,7년-그들이 없는 언론,2017-01-12,1,0.015%,55000,55000,12,12
27,고려 아리랑: 천산의 디바,2017-05-25,1,0.015%,57500,357500,12,72
27,올 리브 올리브,2017-07-13,1,0.015%,92500,95000,27,28
27,옥주기행,,1,0.015%,32500,32500,8,8
27,난잎으로 칼을 얻다,,1,0.015%,60000,85000,19,26
27,침묵,,1,0.015%,7500,7500,2,2
27,청소년 경쟁 2,,1,0.015%,5000,47500,1,10
27,청소년 경쟁 1,,1,0.015%,10000,84500,2,19
1,밀정,2016-09-07,4490,66.568%,455227500,57189108693,62617,6966622
2,"고산자, 대동여지도",2016-09-07,903,13.388%,45365700,7682689758,6570,956133
3,대결,2016-09-22,831,12.32%,25264500,207626500,3456,26726
4,나홀로 휴가,2016-09-22,251,3.721%,5097000,45332600,761,5858
5,아수라,2016-09-28,48,0.712%,84348000,164368000,9702,18884
6,최악의 하루,2016-08-25,41,0.608%,1968900,626414490,262,79045
7,달빛궁궐,2016-09-07,31,0.46%,1169500,1115362700,188,147768
8,터널,2016-08-10,26,0.385%,791500,57528265917,104,7120345
9,덕혜옹주,2016-08-03,23,0.341%,1042000,44373450609,147,5595112
10,한강블루스,2016-09-22,18,0.267%,582000,12202100,84,1439
11,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,15,0.222%,690500,217476700,108,26644
12,부산행,2016-07-20,5,0.074%,167500,93173393048,26,11564820
12,아가씨(확장판),,5,0.074%,579300,82851600,80,10961
14,그랜드파더,2016-08-31,4,0.059%,18000,232956600,3,31511
14,애인,1982-07-24,4,0.059%,292000,1114000,146,557
14,브링 홈: 아버지의 땅,2016-09-01,4,0.059%,1163000,82063200,146,10556
17,태양은늙지않는다,,3,0.044%,354000,1197000,177,596
17,국가대표 2,2016-08-10,3,0.044%,840000,5478907042,120,709360
17,암굴왕,,3,0.044%,228000,522000,114,261
17,서울역,2016-08-17,3,0.044%,34000,1162361562,5,147013
17,범죄의 여왕,2016-08-25,3,0.044%,75000,341857200,11,43537
17,그림자들의 섬,2016-08-25,3,0.044%,75000,23122300,11,3381
23,인천상륙작전,2016-07-27,2,0.03%,161000,55088374803,26,7046945
23,왕초와 용가리,2016-09-08,2,0.03%,57000,5590200,7,902
23,나무없는 산,2009-08-27,2,0.03%,68000,55423500,34,7804
23,어우동: 주인 없는 꽃,2015-01-29,2,0.03%,54000,68493000,27,13159
23,죽여주는 여자,2016-10-06,2,0.03%,2818000,8504000,356,1012
28,침묵,,1,0.015%,62500,70000,13,15
28,매너선생님,2016-09-22,1,0.015%,8000,933000,1,171
28,옥주기행,,1,0.015%,25000,57500,7,15
28,촌구석,,1,0.015%,10000,15000,2,4
28,용왕궁의 기억,,1,0.015%,10000,30000,3,7
28,우리들,2016-06-16,1,0.015%,21000,344599960,4,46040
28,공동정범,2018-01-25,1,0.015%,72500,210000,15,43
28,핵마피아,,1,0.015%,37500,320000,13,75
28,깨어난 침묵,,1,0.015%,15000,471500,4,93
28,자백,2016-10-13,1,0.015%,2688000,73244000,336,10425
28,노후 대책 없다,2017-06-29,1,0.015%,37500,163500,8,36
28,굿바이 싱글,2016-06-29,1,0.015%,0,16912706195,0,2108273
28,나는 증인이다,2016-09-14,1,0.015%,100000,4379000,20,820
28,봉이 김선달,2016-07-06,1,0.015%,0,16226580642,0,2051159
28,뒷담화: 감독이 미쳤어요,2013-02-28,1,0.015%,160000,38695100,22,5306
28,인디애니페스트2016-독립보행1,,1,0.015%,246000,1203000,41,125
28,인디애니페스트2016-새벽비행1,,1,0.015%,141000,983500,24,90
28,안녕 히어로,2017-09-07,1,0.015%,27500,200000,7,47
1,밀정,2016-09-07,4538,67.1%,486287200,57675395893,68006,7034628
2,"고산자, 대동여지도",2016-09-07,928,13.722%,51294800,7733984558,7609,963742
3,대결,2016-09-22,779,11.519%,20610500,228237000,2909,29635
4,나홀로 휴가,2016-09-22,244,3.608%,5768500,51101100,840,6698
5,달빛궁궐,2016-09-07,36,0.532%,1517000,1116879700,223,147991
5,최악의 하루,2016-08-25,36,0.532%,1692000,628106490,229,79274
7,아수라,2016-09-28,34,0.503%,57001000,221369000,5962,24846
8,럭키,2016-10-13,26,0.384%,37426000,38956000,5007,5177
9,덕혜옹주,2016-08-03,24,0.355%,1948500,44375399109,314,5595426
10,터널,2016-08-10,22,0.325%,784000,57529049917,102,7120447
11,한강블루스,2016-09-22,16,0.237%,617000,12819100,98,1537
12,인천상륙작전 : 익스텐디드 에디션(확장판),2016-09-13,14,0.207%,606500,218083200,98,26742
13,아가씨(확장판),,5,0.074%,556400,83408000,74,11035
