순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
6,상의원,2014-12-24,48,2.1%,17573300,6166697264,2139,785530
7,뽀로로 극장판 눈요정 마을 대모험,,30,1.3%,3902600,1261411500,773,252281
8,설해,2015-01-08,26,1.1%,2811500,22359500,357,2992
9,더 테너 리리코 스핀토,2014-12-31,13,0.6%,3523300,362733541,481,46852
10,쿼바디스,2014-12-10,12,0.5%,1967000,135767900,265,17977
11,목숨,2014-12-04,9,0.4%,896000,281345600,121,36600
12,다이빙벨,2014-10-23,5,0.2%,425000,340728500,54,49186
13,그 사람 그 사랑 그 세상,2014-11-20,4,0.2%,277000,186553500,38,25138
14,"제자, 옥한흠",2014-10-30,3,0.1%,351000,358741200,41,48835
14,파티51,2014-12-11,3,0.1%,119000,14529800,20,1953
16,"안녕, 투이",2014-11-27,1,0.0%,23000,7943300,3,1168
16,순천,2014-09-04,1,0.0%,8000,22794200,4,3591
16,한공주,2014-04-17,1,0.0%,36000,1786808300,4,225245
16,카트,2014-11-13,1,0.0%,72000,5924599433,12,813934
16,거인,2014-11-13,1,0.0%,162000,175917400,24,23239
16,못,2014-11-20,1,0.0%,47000,16924600,6,2365
16,두 번째 엄마,2014-12-31,1,0.0%,14000,982000,2,235
16,카토 프로젝트,2014-04-17,1,0.0%,2000,1906000,1,629
16,악사들,2014-12-04,1,0.0%,42000,7700200,6,1367
16,미라클 여행기,2015-01-15,1,0.0%,1152000,5747000,288,1055
16,자유의 언덕,2014-09-04,1,0.0%,117000,310248827,13,38236
16,미워도 다시 한번,1968-07-16,1,0.0%,234000,11712000,117,5800
16,리칭의 여선생,1972-07-06,1,0.0%,207000,5465000,102,2716
16,소리굽쇠,2014-10-30,1,0.0%,0,24104800,0,3059
16,앙상블,2014-12-18,1,0.0%,24000,6802500,4,877
1,국제시장,2014-12-17,926,40.7%,3731772100,75605117261,462989,9688803
2,"님아, 그 강을 건너지 마오",2014-11-27,461,20.3%,453807200,36202948979,56205,4644188
3,기술자들,2014-12-24,339,14.9%,384417700,19443145183,46803,2506515
4,워킹걸,2015-01-07,305,13.4%,228749100,886869479,27188,108449
5,개를 훔치는 완벽한 방법,2014-12-31,88,3.9%,72333700,1610904565,9178,211610
6,상의원,2014-12-24,43,1.9%,14124800,6180822064,1743,787273
7,뽀로로 극장판 눈요정 마을 대모험,,29,1.3%,4763700,1266175200,1028,253309
8,설해,2015-01-08,28,1.2%,2768000,25127500,351,3343
9,쿼바디스,2014-12-10,14,0.6%,2087500,137855400,275,18252
10,더 테너 리리코 스핀토,2014-12-31,12,0.5%,2541900,365275441,348,47200
11,목숨,2014-12-04,8,0.4%,556000,281901600,73,36673
12,파티51,2014-12-11,3,0.1%,282000,14811800,38,1991
13,그 사람 그 사랑 그 세상,2014-11-20,2,0.1%,79000,186632500,15,25153
13,춘하추동 로맨스,2014-12-04,2,0.1%,77000,8077800,10,1194
13,다이빙벨,2014-10-23,2,0.1%,392000,341120500,50,49236
16,맨발의 청춘,,1,0.0%,892000,12123000,443,6480
16,떠날 때는 말없이,,1,0.0%,336000,6517000,168,3256
16,리칭의 여선생,1972-07-06,1,0.0%,187000,5652000,92,2808
16,앙상블,2014-12-18,1,0.0%,30000,6832500,5,882
16,못,2014-11-20,1,0.0%,7000,16931600,1,2366
16,자유의 언덕,2014-09-04,1,0.0%,72000,310320827,12,38248
16,족구왕,2014-08-21,1,0.0%,26000,359419000,3,45661
16,순천,2014-09-04,1,0.0%,8000,22802200,4,3595
16,"제자, 옥한흠",2014-10-30,1,0.0%,207000,358948200,23,48858
16,카토 프로젝트,2014-04-17,1,0.0%,2000,1908000,1,630
16,악사들,2014-12-04,1,0.0%,21000,7721200,3,1370
16,"안녕, 투이",2014-11-27,1,0.0%,62000,8005300,8,1176
1,국제시장,2014-12-17,843,38.1%,1169140700,76774257961,157483,9846286
2,"님아, 그 강을 건너지 마오",2014-11-27,438,19.8%,151266100,36354215079,20654,4664842
3,기술자들,2014-12-24,346,15.6%,132027400,19575172583,17074,2523589
4,워킹걸,2015-01-07,303,13.7%,95607300,982476779,12357,120806
5,개를 훔치는 완벽한 방법,2014-12-31,86,3.9%,26897900,1637802465,3646,215256
6,상의원,2014-12-24,45,2.0%,7683500,6188505564,1037,788310
7,허삼관,2015-01-14,37,1.7%,40270000,58036000,4971,7045
8,설해,2015-01-08,30,1.4%,946500,26074000,130,3473
9,뽀로로 극장판 눈요정 마을 대모험,,18,0.8%,987500,1267162700,198,253507
10,더 테너 리리코 스핀토,2014-12-31,15,0.7%,3585500,368860941,500,47700
11,쿼바디스,2014-12-10,10,0.5%,1329000,139184400,187,18439
12,목숨,2014-12-04,8,0.4%,402000,282303600,53,36726
13,그 사람 그 사랑 그 세상,2014-11-20,4,0.2%,82000,186714500,17,25170
13,오늘의 연애,2015-01-14,4,0.2%,7921000,57201000,958,6643
