순위,영화명,개봉일,스크린수,스크린점유율,매출액,누적매출액,관객수,누적관객수
19,죽여주는 여자,2016-10-06,1,0.0%,241500,884189800,51,121316
19,호우시절,2009-10-08,1,0.0%,5000,2140368500,1,287854
19,다른 길이 있다,2017-01-19,1,0.0%,1580000,6113000,158,661
19,우리들,2016-06-16,1,0.0%,233000,356308960,26,47930
19,시소,2016-11-10,1,0.0%,6000,64123700,1,8536
19,아 백범 김구선생,,1,0.0%,578000,2414000,289,1216
19,인디스데이 12월 단편,,1,0.0%,25000,25000,25,25
19,할머니의 먼 집,2016-09-29,1,0.0%,388000,26946900,194,4237
1,마스터,2016-12-21,1224,56.7%,1769010700,32421593559,233247,4069230
2,판도라,2016-12-07,519,24.1%,341160200,32660658364,46957,4153793
3,"당신, 거기 있어줄래요",2016-12-14,298,13.8%,111874500,8636461948,14900,1082341
4,내 친구의 아내 2,2016-12-29,20,0.9%,756000,756000,149,149
5,형,2016-11-23,13,0.6%,1552000,23109164793,255,2978917
6,위켄즈,2016-12-22,11,0.5%,1501600,14971000,177,2000
7,뚜르: 내 생애 최고의 49일,2017-02-01,7,0.3%,9832000,67336500,1229,8468
7,"무현, 두 도시 이야기",2016-10-26,7,0.3%,324500,1508373500,42,192240
7,나의 살던 고향은,2016-11-24,7,0.3%,369500,80012600,70,10539
10,휴가,2016-12-08,5,0.2%,50000,4491200,8,647
11,우리 손자 베스트,2016-12-08,4,0.2%,77000,11280500,13,1933
11,커튼콜,2016-12-08,4,0.2%,61000,40248100,11,5463
11,파파좀비,2016-12-29,4,0.2%,100000,1360000,14,224
11,작은 형,2016-11-30,4,0.2%,72000,11616500,12,1835
11,기억의 소리,2016-12-15,4,0.2%,36500,1150700,5,180
16,오 마이 파파,2016-11-10,3,0.1%,27000,84993600,5,11976
16,연애담,2016-11-17,3,0.1%,1891000,181113100,235,22200
16,비치온더비치,2016-12-08,3,0.1%,170000,10146700,25,1361
19,딜쿠샤,2016-11-24,2,0.1%,32000,10419400,5,1414
19,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,2,0.1%,195500,80763000,24,10160
19,여교사,2017-01-04,2,0.1%,2360000,14593000,257,1770
22,친구 누나 일본판,2016-12-29,1,0.0%,5000,5000,1,1
22,순종,2016-11-17,1,0.0%,45000,384111200,5,54321
22,죽여주는 여자,2016-10-06,1,0.0%,330500,884520300,64,121380
22,정사: 불륜의 맛 무삭제판,2016-12-29,1,0.0%,5000,5000,1,1
22,미용실 : 특별한 서비스,2016-12-29,1,0.0%,5000,5000,1,1
22,자백,2016-10-13,1,0.0%,25000,1128348200,4,143643
22,시소,2016-11-10,1,0.0%,8000,64131700,1,8537
22,워킹 스트리트,2016-11-17,1,0.0%,6000,4006100,1,662
22,아 백범 김구선생,,1,0.0%,558000,2972000,279,1495
22,내 남편의 친구,2016-12-29,1,0.0%,5000,5000,1,1
22,우리들,2016-06-16,1,0.0%,159000,356467960,23,47953
1,마스터,2016-12-21,1206,56.1%,2779549256,35201142815,328306,4397536
2,판도라,2016-12-07,535,24.9%,522508800,33183167164,65306,4219099
3,"당신, 거기 있어줄래요",2016-12-14,314,14.6%,166017600,8802479548,19718,1102059
4,형,2016-11-23,12,0.6%,3032500,23112197293,534,2979451
4,위켄즈,2016-12-22,12,0.6%,522000,15493000,67,2067
6,"무현, 두 도시 이야기",2016-10-26,8,0.4%,2337500,1510711000,333,192573
7,커튼콜,2016-12-08,7,0.3%,146000,40394100,26,5489
8,목숨 건 연애,2016-12-14,6,0.3%,13013000,361668800,1183,47805
9,비치온더비치,2016-12-08,5,0.2%,74000,10220700,11,1372
9,연애담,2016-11-17,5,0.2%,1119000,182232100,116,22316
11,작은 형,2016-11-30,4,0.2%,92000,11708500,16,1851
11,나의 살던 고향은,2016-11-24,4,0.2%,833000,80845600,127,10666
13,기억의 소리,2016-12-15,3,0.1%,65000,1215700,10,190
13,파파좀비,2016-12-29,3,0.1%,98000,1458000,14,238
13,사랑하기 때문에,2017-01-04,3,0.1%,5020000,134684000,502,16410
13,휴가,2016-12-08,3,0.1%,67000,4558200,11,658
17,시소,2016-11-10,2,0.1%,172000,64303700,47,8584
17,당신자신과 당신의 것,2016-11-10,2,0.1%,52500,145562200,7,17884
17,오 마이 파파,2016-11-10,2,0.1%,51000,85044600,7,11983
17,딜쿠샤,2016-11-24,2,0.1%,50000,10469400,9,1423
17,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,2,0.1%,103000,80866000,15,10175
17,우리 손자 베스트,2016-12-08,2,0.1%,69000,11349500,9,1942
17,순종,2016-11-17,2,0.1%,640000,384751200,110,54431
24,목숨,2014-12-04,1,0.0%,1338000,295597600,131,38641
24,죽여주는 여자,2016-10-06,1,0.0%,345000,884865300,64,121444
24,메이킹 패밀리,2016-11-28,1,0.0%,50000,612500,10,113
24,동주,2016-02-17,1,0.0%,103000,8889077089,12,1172641
24,어떻게 헤어질까,2016-11-03,1,0.0%,16000,8849600,4,1140
24,만추,2011-02-17,1,0.0%,11000,6341741900,2,849368
1,마스터,2016-12-21,1262,58.1%,4583498250,39784641065,537784,4935320
2,판도라,2016-12-07,566,26.0%,772231000,33955398164,94765,4313864
3,"당신, 거기 있어줄래요",2016-12-14,272,12.5%,196605700,8999085248,22756,1124815
4,위켄즈,2016-12-22,12,0.6%,1730000,17223000,194,2261
5,형,2016-11-23,10,0.5%,1571000,23113768293,208,2979659
6,"무현, 두 도시 이야기",2016-10-26,8,0.4%,719600,1511430600,95,192668
7,연애담,2016-11-17,6,0.3%,464000,182696100,64,22380
8,커튼콜,2016-12-08,4,0.2%,107000,40501100,14,5503
8,파파좀비,2016-12-29,4,0.2%,137500,1595500,18,256
8,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,4,0.2%,262500,81128500,33,10208
11,나의 살던 고향은,2016-11-24,2,0.1%,151000,80996600,20,10686
11,작은 형,2016-11-30,2,0.1%,13000,11721500,2,1853
11,오 마이 파파,2016-11-10,2,0.1%,56000,85100600,9,11992
11,비치온더비치,2016-12-08,2,0.1%,21000,10241700,3,1375
11,기억의 소리,2016-12-15,2,0.1%,36000,1251700,6,196
11,시소,2016-11-10,2,0.1%,51000,64354700,7,8591
17,딜쿠샤,2016-11-24,1,0.0%,5000,10474400,1,1424
17,호우시절,2009-10-08,1,0.0%,20000,2140388500,3,287857
17,미워도 다시 한번,1968-07-16,1,0.0%,64000,13332000,32,6610
17,만추,2011-02-17,1,0.0%,20000,6341761900,3,849371
17,여비서,2016-12-22,1,0.0%,5000,43000,1,9
17,휴가,2016-12-08,1,0.0%,14000,4572200,2,660
17,우리들,2016-06-16,1,0.0%,96000,356563960,16,47969
17,미씽: 사라진 여자,2016-11-30,1,0.0%,480500,8881616256,64,1153109
17,우리 손자 베스트,2016-12-08,1,0.0%,20000,11369500,4,1946
17,자백,2016-10-13,1,0.0%,40000,1128388200,5,143648
17,어린 아내,2016-11-18,1,0.0%,5000,841000,1,167
17,워킹 스트리트,2016-11-17,1,0.0%,14000,4020100,2,664
17,메이킹 패밀리,2016-11-28,1,0.0%,14000,626500,2,115
17,순종,2016-11-17,1,0.0%,206000,384957200,25,54456
1,마스터,2016-12-21,1245,58.5%,4399793100,44184434165,506299,5441619
2,판도라,2016-12-07,576,27.1%,736891900,34692290064,87966,4401830
3,"당신, 거기 있어줄래요",2016-12-14,261,12.3%,166222000,9165307248,18630,1143445
4,위켄즈,2016-12-22,10,0.5%,765700,17988700,93,2354
5,형,2016-11-23,8,0.4%,944000,23114712293,123,2979782
6,"무현, 두 도시 이야기",2016-10-26,5,0.2%,410000,1511840600,60,192728
7,파파좀비,2016-12-29,4,0.2%,109000,1704500,18,274
8,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,3,0.1%,186000,81314500,21,10229
8,연애담,2016-11-17,3,0.1%,315000,183011100,38,22418
10,나의 살던 고향은,2016-11-24,2,0.1%,84000,81080600,12,10698
10,우리 손자 베스트,2016-12-08,2,0.1%,73000,11442500,11,1957
10,순종,2016-11-17,2,0.1%,447000,385404200,73,54529
10,비치온더비치,2016-12-08,2,0.1%,11000,10252700,2,1377
14,미망인,1955-12-10,1,0.0%,15000,829000,5,362
14,야근 대신 뜨개질,2016-11-17,1,0.0%,48000,8286500,7,1239
14,자백,2016-10-13,1,0.0%,12000,1128400200,2,143650
14,어린 아내,2016-11-18,1,0.0%,5000,846000,1,168
14,여비서,2016-12-22,1,0.0%,5000,48000,1,10
14,당신자신과 당신의 것,2016-11-10,1,0.0%,89000,145651200,10,17894
1,마스터,2016-12-21,1161,55.7%,1404122100,45588556265,183423,5625042
2,판도라,2016-12-07,540,25.9%,283473300,34975763364,38072,4439902
3,"당신, 거기 있어줄래요",2016-12-14,305,14.6%,77880200,9243187448,10133,1153578
4,음란 과외 - 무삭제판,2017-01-02,19,0.9%,837000,837000,164,164
5,위켄즈,2016-12-22,11,0.5%,483000,18471700,64,2418
5,형,2016-11-23,11,0.5%,2429900,23117142193,323,2980105
7,연애담,2016-11-17,4,0.2%,244000,183255100,31,22449
7,파파좀비,2016-12-29,4,0.2%,27000,1731500,4,278
9,"무현, 두 도시 이야기",2016-10-26,3,0.1%,100000,1511940600,15,192743
9,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,3,0.1%,132500,81447000,20,10249
9,커튼콜,2016-12-08,3,0.1%,34000,40535100,6,5509
9,사랑하기 때문에,2017-01-04,3,0.1%,2696000,137380000,337,16747
9,비치온더비치,2016-12-08,3,0.1%,59000,10311700,9,1386
14,자백,2016-10-13,2,0.1%,54000,1128454200,9,143659
14,순종,2016-11-17,2,0.1%,119000,385523200,15,54544
14,나의 살던 고향은,2016-11-24,2,0.1%,123000,81203600,19,10717
14,우리 손자 베스트,2016-12-08,2,0.1%,42000,11484500,7,1964
18,렌의 애가,1969-01-01,1,0.0%,256000,1548000,128,774
18,혈맥,,1,0.0%,0,36000,0,6
18,지옥화,1958-04-20,1,0.0%,0,5174000,0,2577
18,작은 형,2016-11-30,1,0.0%,0,11721500,0,1853
18,기억의 소리,2016-12-15,1,0.0%,6000,1257700,1,197
18,넘버 3,1997-08-02,1,0.0%,0,620500,0,82
18,당신자신과 당신의 것,2016-11-10,1,0.0%,51000,145702200,6,17900
18,검은 머리,,1,0.0%,0,0,0,0
1,마스터,2016-12-21,1173,53.8%,1036588100,46625144365,135859,5760901
2,판도라,2016-12-07,538,24.7%,205442000,35181205364,27605,4467507
3,"당신, 거기 있어줄래요",2016-12-14,306,14.0%,67144600,9310332048,8951,1162529
4,여교사,2017-01-04,27,1.2%,13289500,27882500,1668,3438
5,형의 여자,2016-12-15,20,0.9%,809000,2411000,159,337
5,사랑하기 때문에,2017-01-04,20,0.9%,18682800,156062800,1930,18677
7,내 남편의 가정교사,2017-01-03,19,0.9%,592000,592000,115,115
8,형,2016-11-23,12,0.6%,1082000,23118224193,162,2980267
9,위켄즈,2016-12-22,11,0.5%,289500,18761200,40,2458
10,7년-그들이 없는 언론,2017-01-12,10,0.5%,16408000,19488000,2051,2473
11,파파좀비,2016-12-29,5,0.2%,92000,1823500,13,291
11,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,5,0.2%,298000,81745000,55,10304
11,"무현, 두 도시 이야기",2016-10-26,5,0.2%,181500,1512122100,28,192771
14,연애담,2016-11-17,4,0.2%,218000,183473100,30,22479
15,비치온더비치,2016-12-08,3,0.1%,58000,10369700,8,1394
15,우리 손자 베스트,2016-12-08,3,0.1%,59000,11543500,12,1976
15,자백,2016-10-13,3,0.1%,1521000,1129975200,155,143814
18,나의 살던 고향은,2016-11-24,2,0.1%,43500,81247100,6,10723
18,오 마이 파파,2016-11-10,2,0.1%,15500,85116100,3,11995
18,순종,2016-11-17,2,0.1%,70000,385593200,8,54552
18,뚜르: 내 생애 최고의 49일,2017-02-01,2,0.1%,5256000,72592500,657,9125
22,문영,2017-01-12,1,0.0%,0,2819699,0,350
22,음란 과외 - 무삭제판,2017-01-02,1,0.0%,5000,842000,1,165
22,어떻게 헤어질까,2016-11-03,1,0.0%,18000,8867600,4,1144
22,렌의 애가,1969-01-01,1,0.0%,302000,1850000,151,925
22,시소,2016-11-10,1,0.0%,7000,64361700,2,8593
22,걱정말아요,2017-01-05,1,0.0%,81000,1521000,9,189
22,목숨 건 연애,2016-12-14,1,0.0%,1304000,362972800,163,47968
22,커튼콜,2016-12-08,1,0.0%,0,40535100,0,5509
22,야근 대신 뜨개질,2016-11-17,1,0.0%,80000,8366500,10,1249
1,마스터,2016-12-21,871,40.3%,784589300,47409733665,102362,5863263
2,사랑하기 때문에,2017-01-04,496,22.9%,334212300,490275100,44941,63618
3,여교사,2017-01-04,371,17.1%,152788900,180671400,19575,23013
4,판도라,2016-12-07,335,15.5%,92821100,35274026464,12620,4480127
5,"당신, 거기 있어줄래요",2016-12-14,43,2.0%,7859500,9318191548,1002,1163531
6,위켄즈,2016-12-22,11,0.5%,915000,19676200,109,2567
7,"무현, 두 도시 이야기",2016-10-26,4,0.2%,135000,1512257100,20,192791
7,순종,2016-11-17,4,0.2%,1778000,387371200,214,54766
7,우리 손자 베스트,2016-12-08,4,0.2%,70000,11613500,11,1987
10,파파좀비,2016-12-29,3,0.1%,80000,1903500,12,303
10,뚜르: 내 생애 최고의 49일,2017-02-01,3,0.1%,4136000,76728500,517,9642
12,형,2016-11-23,2,0.1%,190000,23118414193,32,2980299
12,소시민,2017-01-12,2,0.1%,2872000,2946000,359,378
12,나의 살던 고향은,2016-11-24,2,0.1%,49000,81296100,7,10730
12,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,2,0.1%,79000,81824000,19,10323
12,비치온더비치,2016-12-08,2,0.1%,98000,10467700,13,1407
17,휴가,2016-12-08,1,0.0%,6000,4578200,1,661
17,어떻게 헤어질까,2016-11-03,1,0.0%,42000,8909600,10,1154
17,오 마이 파파,2016-11-10,1,0.0%,3500,85119600,1,11996
17,커튼콜,2016-12-08,1,0.0%,22000,40557100,4,5513
17,여자의 일생,,1,0.0%,28000,14401500,14,7837
17,렌의 애가,1969-01-01,1,0.0%,406000,2256000,203,1128
17,내 남편의 가정교사,2017-01-03,1,0.0%,7000,599000,1,116
17,기억의 소리,2016-12-15,1,0.0%,7000,1264700,1,198
17,시소,2016-11-10,1,0.0%,12000,64373700,2,8595
1,마스터,2016-12-21,855,40.0%,709301100,48119034765,92234,5955497
2,사랑하기 때문에,2017-01-04,495,23.2%,268551700,758826800,36355,99973
3,여교사,2017-01-04,381,17.8%,128918100,309589500,16513,39526
4,판도라,2016-12-07,322,15.1%,84874600,35358901064,11481,4491608
5,"당신, 거기 있어줄래요",2016-12-14,39,1.8%,6969600,9325161148,874,1164405
6,걱정말아요,2017-01-05,11,0.5%,418000,1939000,57,246
7,위켄즈,2016-12-22,8,0.4%,742000,20418200,80,2647
8,연애담,2016-11-17,4,0.2%,261000,183734100,33,22512
9,"무현, 두 도시 이야기",2016-10-26,3,0.1%,103000,1512360100,14,192805
10,공조,2017-01-18,2,0.1%,4750000,4750000,564,564
10,우리 손자 베스트,2016-12-08,2,0.1%,19000,11632500,4,1991
12,당신자신과 당신의 것,2016-11-10,1,0.0%,34000,145736200,4,17904
12,여자의 일생,,1,0.0%,52000,14453500,26,7863
12,테슬라 프로젝트,,1,0.0%,7000,7000,2,2
12,파파좀비,2016-12-29,1,0.0%,45000,1948500,7,310
12,야근 대신 뜨개질,2016-11-17,1,0.0%,184000,8550500,23,1272
12,형,2016-11-23,1,0.0%,86000,23118500193,16,2980315
12,커튼콜,2016-12-08,1,0.0%,0,40557100,0,5513
12,순종,2016-11-17,1,0.0%,69000,387440200,8,54774
12,나의 살던 고향은,2016-11-24,1,0.0%,40000,81336100,6,10736
12,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,1,0.0%,60000,81884000,20,10343
12,바람난 애인,2017-01-05,1,0.0%,5000,5000,1,1
12,딜쿠샤,2016-11-24,1,0.0%,132000,10606400,22,1446
12,내 아내의 친구,2017-01-05,1,0.0%,5000,5000,1,1
12,"내 친구, 그의 아내",2017-01-05,1,0.0%,5000,5000,1,1
1,마스터,2016-12-21,871,40.6%,907001400,49026036165,105235,6060732
2,사랑하기 때문에,2017-01-04,507,23.6%,282776370,1041603170,34492,134465
3,여교사,2017-01-04,382,17.8%,128854930,438444430,14947,54473
4,판도라,2016-12-07,310,14.5%,94003800,35452904864,11450,4503058
5,"당신, 거기 있어줄래요",2016-12-14,36,1.7%,7697500,9332858648,863,1165268
6,걱정말아요,2017-01-05,15,0.7%,370100,2309100,56,302
7,위켄즈,2016-12-22,4,0.2%,1010000,21428200,151,2798
8,우리 손자 베스트,2016-12-08,3,0.1%,74000,11706500,13,2004
9,파파좀비,2016-12-29,2,0.1%,39000,1987500,5,315
9,순종,2016-11-17,2,0.1%,2137000,389577200,216,54990
9,"무현, 두 도시 이야기",2016-10-26,2,0.1%,128000,1512488100,16,192821
9,연애담,2016-11-17,2,0.1%,123000,183857100,16,22528
13,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,1,0.0%,28000,81912000,10,10353
13,나의 살던 고향은,2016-11-24,1,0.0%,81000,81417100,11,10747
13,비치온더비치,2016-12-08,1,0.0%,146000,10613700,18,1425
13,커튼콜,2016-12-08,1,0.0%,12000,40569100,2,5515
13,여자의 일생,,1,0.0%,30000,14483500,15,7878
13,테슬라 프로젝트,,1,0.0%,14000,21000,4,6
13,더 킹,2017-01-18,1,0.0%,1918000,1918000,274,274
13,칠수와 만수,1988-11-26,1,0.0%,269000,565000,140,196
13,형,2016-11-23,1,0.0%,136000,23118636193,21,2980336
1,마스터,2016-12-21,884,40.3%,2036651200,51062687365,236394,6297126
2,사랑하기 때문에,2017-01-04,534,24.4%,476635370,1518238540,57846,192311
3,여교사,2017-01-04,393,17.9%,161276530,599720960,18450,72923
4,판도라,2016-12-07,304,13.9%,177307500,35630212364,21657,4524715
5,"당신, 거기 있어줄래요",2016-12-14,32,1.5%,8862500,9341721148,996,1166264
6,걱정말아요,2017-01-05,11,0.5%,502000,2811100,71,373
7,"무현, 두 도시 이야기",2016-10-26,7,0.3%,1440000,1513928100,187,193008
8,위켄즈,2016-12-22,5,0.2%,982000,22410200,143,2941
9,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,4,0.2%,417000,82329000,88,10441
10,파파좀비,2016-12-29,3,0.1%,75000,2062500,11,326
10,연애담,2016-11-17,3,0.1%,327000,184184100,43,22571
12,나의 살던 고향은,2016-11-24,2,0.1%,90000,81507100,14,10761
13,자백,2016-10-13,1,0.0%,12000,1129987200,2,143816
13,비치온더비치,2016-12-08,1,0.0%,5000,10618700,1,1426
13,순종,2016-11-17,1,0.0%,348000,389925200,46,55036
13,시소,2016-11-10,1,0.0%,3500,64377200,1,8596
13,형,2016-11-23,1,0.0%,242500,23118878693,33,2980369
13,테슬라 프로젝트,,1,0.0%,94500,115500,27,33
13,오오단편극장 - 이학주 배우전,,1,0.0%,338000,338000,49,49
13,칠수와 만수,1988-11-26,1,0.0%,244000,809000,125,321
13,친구애인,2016-12-12,1,0.0%,10000,19000,2,4
13,더티 로맨스,2017-01-07,1,0.0%,62000,62000,9,9
1,마스터,2016-12-21,866,40.0%,1903655600,52966342965,220974,6518100
2,사랑하기 때문에,2017-01-04,542,25.0%,450612400,1968850940,53856,246167
3,여교사,2017-01-04,379,17.5%,118774800,718495760,13516,86439
4,판도라,2016-12-07,297,13.7%,172051100,35802263464,20971,4545686
5,"당신, 거기 있어줄래요",2016-12-14,35,1.6%,8786000,9350507148,995,1167259
6,걱정말아요,2017-01-05,13,0.6%,469600,3280700,63,436
7,"무현, 두 도시 이야기",2016-10-26,6,0.3%,210000,1514138100,28,193036
7,위켄즈,2016-12-22,6,0.3%,830000,23240200,111,3052
9,연애담,2016-11-17,3,0.1%,272000,184456100,37,22608
9,순종,2016-11-17,3,0.1%,2299000,392224200,257,55293
9,우리 손자 베스트,2016-12-08,3,0.1%,134000,11840500,22,2026
9,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,3,0.1%,202500,82531500,48,10489
13,파파좀비,2016-12-29,2,0.1%,17500,2080000,3,329
14,미망인,1955-12-10,1,0.0%,12000,841000,4,366
14,대원군,,1,0.0%,248000,3254000,124,1617
14,기억의 소리,2016-12-15,1,0.0%,148000,1412700,25,223
14,시소,2016-11-10,1,0.0%,7000,64384200,2,8598
14,야근 대신 뜨개질,2016-11-17,1,0.0%,29000,8579500,5,1277
14,형,2016-11-23,1,0.0%,188500,23119067193,28,2980397
14,커튼콜,2016-12-08,1,0.0%,48000,40617100,8,5523
14,오 마이 파파,2016-11-10,1,0.0%,6000,85125600,1,11997
14,친구애인,2016-12-12,1,0.0%,10000,29000,2,6
1,마스터,2016-12-21,782,38.7%,499322500,53465665465,65323,6583423
2,사랑하기 때문에,2017-01-04,494,24.4%,150380500,2119231440,20277,266444
3,여교사,2017-01-04,369,18.2%,63408000,781903760,8165,94604
4,판도라,2016-12-07,295,14.6%,49099800,35851363264,6682,4552368
5,"당신, 거기 있어줄래요",2016-12-14,35,1.7%,4462000,9354969148,578,1167837
6,걱정말아요,2017-01-05,12,0.6%,345000,3625700,46,482
7,위켄즈,2016-12-22,7,0.3%,130000,23370200,19,3071
8,기억의 소리,2016-12-15,3,0.1%,7000,1419700,1,224
8,순종,2016-11-17,3,0.1%,1645000,393869200,206,55499
8,연애담,2016-11-17,3,0.1%,142000,184598100,17,22625
11,"무현, 두 도시 이야기",2016-10-26,2,0.1%,31000,1514169100,4,193040
12,시소,2016-11-10,1,0.0%,0,64384200,0,8598
12,딜쿠샤,2016-11-24,1,0.0%,0,10606400,0,1446
12,연산군,1962-01-01,1,0.0%,378000,9252000,189,4612
12,지옥화,1958-04-20,1,0.0%,0,5174000,0,2577
12,혈맥,,1,0.0%,0,36000,0,6
12,대원군,,1,0.0%,220000,3474000,110,1727
12,작은 형,2016-11-30,1,0.0%,0,11721500,0,1853
12,파파좀비,2016-12-29,1,0.0%,20000,2100000,4,333
12,형,2016-11-23,1,0.0%,177000,23119244193,34,2980431
12,검은 머리,,1,0.0%,0,0,0,0
12,커튼콜,2016-12-08,1,0.0%,21000,40638100,3,5526
12,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,1,0.0%,222000,82753500,37,10526
12,7년-그들이 없는 언론,2017-01-12,1,0.0%,1260000,20748000,210,2683
12,넘버 3,1997-08-02,1,0.0%,0,620500,0,82
12,나의 살던 고향은,2016-11-24,1,0.0%,36000,81543100,5,10766
12,워킹 스트리트,2016-11-17,1,0.0%,0,4020100,0,664
12,더티 로맨스,2017-01-07,1,0.0%,0,62000,0,9
12,우리 손자 베스트,2016-12-08,1,0.0%,40000,11880500,5,2031
1,마스터,2016-12-21,814,38.5%,472805800,53938471265,62635,6646058
2,사랑하기 때문에,2017-01-04,498,23.6%,149426000,2268657440,20444,286888
3,여교사,2017-01-04,375,17.8%,64188500,846092260,8330,102934
4,판도라,2016-12-07,294,13.9%,50113000,35901476264,6870,4559238
5,"당신, 거기 있어줄래요",2016-12-14,34,1.6%,4816000,9359785148,619,1168456
6,공조,2017-01-18,23,1.1%,36166300,40916300,4101,4665
7,스와핑 하던 날,2017-01-10,20,0.9%,654000,654000,125,125
8,순종,2016-11-17,9,0.4%,4981000,398850200,613,56112
9,걱정말아요,2017-01-05,8,0.4%,223000,3848700,31,513
10,위켄즈,2016-12-22,7,0.3%,324000,23694200,41,3112
11,"무현, 두 도시 이야기",2016-10-26,4,0.2%,39000,1514208100,7,193047
12,우리 손자 베스트,2016-12-08,3,0.1%,47000,11927500,9,2040
12,연애담,2016-11-17,3,0.1%,197000,184795100,27,22652
12,파파좀비,2016-12-29,3,0.1%,46000,2146000,7,340
15,형,2016-11-23,2,0.1%,1168000,23120412193,199,2980630
15,휴가,2016-12-08,2,0.1%,6000,4584200,1,662
15,나의 살던 고향은,2016-11-24,2,0.1%,139000,81682100,21,10787
18,터닝메카드W: 블랙미러의 부활,2017-01-18,1,0.0%,525000,525000,75,75
18,소시민,2017-01-12,1,0.0%,912000,3858000,152,530
18,테슬라 프로젝트,,1,0.0%,7000,122500,2,35
18,기억의 소리,2016-12-15,1,0.0%,6000,1425700,1,225
18,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,1,0.0%,38000,82791500,13,10539
18,야근 대신 뜨개질,2016-11-17,1,0.0%,285000,8864500,37,1314
18,다른 길이 있다,2017-01-19,1,0.0%,1712000,7825000,214,875
18,대원군,,1,0.0%,142000,3616000,71,1798
18,극장판 프리파라 모두 모여라! 프리즘☆투어즈,2016-10-13,1,0.0%,1570300,264976200,183,32026
18,연산군,1962-01-01,1,0.0%,292000,9544000,146,4758
18,비치온더비치,2016-12-08,1,0.0%,12000,10630700,2,1428
1,마스터,2016-12-21,654,50.7%,415715100,54354186365,54670,6700728
2,사랑하기 때문에,2017-01-04,324,25.1%,64180000,2332837440,8989,295877
3,여교사,2017-01-04,125,9.7%,16255400,862347660,2147,105081
4,판도라,2016-12-07,107,8.3%,22329300,35923805564,3228,4562466
5,음란 선비 - 무삭제판,2017-01-11,20,1.5%,842000,842000,165,165
6,걱정말아요,2017-01-05,13,1.0%,490000,4338700,64,577
7,공조,2017-01-18,9,0.7%,14528000,55444300,1816,6481
8,순종,2016-11-17,7,0.5%,4615000,403465200,569,56681
9,위켄즈,2016-12-22,6,0.5%,794000,24488200,101,3213
10,"무현, 두 도시 이야기",2016-10-26,5,0.4%,166000,1514374100,25,193072
10,터닝메카드W: 블랙미러의 부활,2017-01-18,5,0.4%,3093000,3618000,418,493
12,연애담,2016-11-17,4,0.3%,1777000,186572100,223,22875
13,"당신, 거기 있어줄래요",2016-12-14,3,0.2%,785500,9360570648,98,1168554
14,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,2,0.2%,579000,83370500,102,10641
15,우리 손자 베스트,2016-12-08,1,0.1%,14000,11941500,2,2042
15,연산군,1962-01-01,1,0.1%,404000,9948000,202,4960
15,형,2016-11-23,1,0.1%,491000,23120903193,83,2980713
15,나의 살던 고향은,2016-11-24,1,0.1%,18000,81700100,3,10790
15,당신자신과 당신의 것,2016-11-10,1,0.1%,108000,145844200,13,17917
15,파파좀비,2016-12-29,1,0.1%,3500,2149500,1,341
15,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,1,0.1%,240000,3294957700,40,445739
1,마스터,2016-12-21,567,50.6%,348123100,54702309465,46151,6746879
2,사랑하기 때문에,2017-01-04,250,22.3%,49425300,2382262740,6741,302618
3,7년-그들이 없는 언론,2017-01-12,105,9.4%,11278700,32026700,1424,4107
4,여교사,2017-01-04,63,5.6%,10713100,873060760,1378,106459
5,판도라,2016-12-07,62,5.5%,12348200,35936153764,1754,4564220
6,문영,2017-01-12,23,2.1%,9791700,12611399,1359,1709
7,공조,2017-01-18,12,1.1%,26748000,82192300,3203,9684
8,걱정말아요,2017-01-05,8,0.7%,54000,4392700,8,585
9,더 킹,2017-01-18,5,0.4%,9544000,11462000,1197,1471
9,소시민,2017-01-12,5,0.4%,119000,3977000,20,550
11,순종,2016-11-17,4,0.4%,2529000,405994200,315,56996
12,형,2016-11-23,3,0.3%,6922200,23127825393,1076,2981789
13,뚜르: 내 생애 최고의 49일,2017-02-01,2,0.2%,1914000,78642500,272,9914
13,"무현, 두 도시 이야기",2016-10-26,2,0.2%,997000,1515371100,142,193214
13,"당신, 거기 있어줄래요",2016-12-14,2,0.2%,46000,9360616648,6,1168560
13,부릉! 부릉! 브루미즈: 스피더의 모험 일기,2016-12-15,2,0.2%,185000,83555500,36,10677
17,더티 로맨스,2017-01-07,1,0.1%,5000,67000,1,10
