순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1168,아내의 사정,차윤영,(주)액티버스엔터테인먼트,(주)액티버스엔터테인먼트,2016.11.29,개봉영화,장편,한국,20,"630,000",128,"544,000",109,멜로/로맨스,청소년관람불가,일반영화
1169,아내의 애인 2,조태호,(주)영화사가을,(주)영화사가을,2018.6.14,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1170,아내의 엄마,임현태,(주)영화사가을,(주)영화사가을,2018.5.10,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1171,여자 보험왕 : 그녀의 영업비밀,곽영근,(주)영화사 사계절,(주)영화사 사계절,2017.8.3,개봉영화,장편,한국,20,"717,000",128,"323,000",64,멜로/로맨스,청소년관람불가,일반영화
1172,정사 : 아내의 친구,조태호,(주)영화사가을,(주)영화사가을,2018.5.17,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1173,정사 : 어린 새엄마,임현태,(주)영화사가을,(주)영화사가을,2018.5.31,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1174,착한 형수 3,이리단,(주)영화사가을,(주)영화사가을,2018.6.7,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1175,친구엄마들,조태호,(주)영화사가을,(주)영화사가을,2018.7.5,개봉영화,장편,한국,20,"758,000",128,"362,000",64,멜로/로맨스,청소년관람불가,일반영화
1176,하숙집 여자들,조태호,(주)영화사가을,(주)영화사가을,2018.6.26,개봉영화,장편,한국,20,"763,000",128,"369,000",65,멜로/로맨스,청소년관람불가,일반영화
1177,달콤한 섹스,박선욱,스마일컨텐츠,스마일컨텐츠,2017.7.6,개봉영화,장편,한국,20,"702,000",127,"314,000",62,멜로/로맨스,청소년관람불가,일반영화
1178,색에 놀다,이영민,(주)투모션,(주)투모션,2017.8.11,개봉영화,장편,한국,19,"740,000",127,"316,000",53,멜로/로맨스,청소년관람불가,일반영화
1179,섹스메이트,이슬,(주)네스팅,(주)네스팅,2017.6.26,개봉영화,장편,한국,17,"644,000",127,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1180,자매의 S스캔들,김현빈,(주)케이피에이기획,(주)케이피에이기획,2017.8.3,개봉영화,장편,한국,19,"703,000",127,"314,000",62,멜로/로맨스,청소년관람불가,일반영화
1181,정사 : 친구의 엄마,곽영근,(주)영화사 사계절,(주)영화사 사계절,2017.8.24,개봉영화,장편,한국,20,"709,000",127,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1182,착한 엄마 친구,곽영근,(주)영화사 사계절,(주)영화사 사계절,2017.7.20,개봉영화,장편,한국,20,"710,000",127,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1183,내 아내의 언니,이상우,(주)영화사 사계절,(주)영화사 사계절,2016.12.20,개봉영화,장편,한국,20,"658,000",126,"320,000",64,멜로/로맨스,청소년관람불가,일반영화
1184,두처제,박주영,스마일컨텐츠,스마일컨텐츠,2016.10.25,개봉영화,장편,한국,20,"702,000",126,"325,000",64,멜로/로맨스,청소년관람불가,일반영화
1185,챌린지 게임,원석호,(주)전망좋은 영화사,(주)전망좋은 영화사,2016.8.18,개봉영화,장편,한국,21,"657,000",126,"321,000",64,스릴러,청소년관람불가,일반영화
1186,내 아내의 새엄마,이리단,(주)영화사 사계절,(주)영화사 사계절,2017.6.29,개봉영화,장편,한국,20,"652,000",125,"318,000",64,멜로/로맨스,청소년관람불가,일반영화
1187,누나 친구 2,채준우,(주)영화사 사계절,(주)영화사 사계절,2017.6.1,개봉영화,장편,한국,20,"655,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1188,러브 슬레이트,김현수,콩미디어,콩미디어,2017.1.19,개봉영화,장편,한국,20,"654,000",125,"318,000",64,애니메이션,청소년관람불가,일반영화
1189,불륜가족,곽영근,"대호필름,(주)영화사 사계절",(주)영화사 사계절,2017.6.8,개봉영화,장편,한국,20,"654,000",125,"318,000",64,멜로/로맨스,청소년관람불가,일반영화
1190,새엄마,김무원,"(주)영화사 사계절,펀펀한영화사",(주)영화사 사계절,2016.11.3,개봉영화,장편,한국,20,"657,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1191,스와핑 하던 날,명석환,"마법사필름,(주)영화사 사계절",(주)영화사 사계절,2017.1.10,개봉영화,장편,한국,20,"654,000",125,"320,000",64,멜로/로맨스,청소년관람불가,일반영화
1192,아내를 바꾸다,김무원,(주)영화사 사계절,(주)영화사 사계절,2017.5.2,개봉영화,장편,한국,20,"655,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1193,아내의 동창회,이리단,"대호필름,(주)영화사 사계절",(주)영화사 사계절,2017.3.9,개봉영화,장편,한국,20,"653,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1194,엄마친구 3,명석환,"(주)영화사 사계절,마법사필름",(주)영화사 사계절,2017.3.30,개봉영화,장편,한국,20,"655,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1195,여자 하숙집,이리단,(주)영화사 사계절,(주)영화사 사계절,2017.5.11,개봉영화,장편,한국,20,"655,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1196,여친 엄마,이리단,(주)영화사 사계절,(주)영화사 사계절,2017.7.6,개봉영화,장편,한국,20,"650,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1197,원나잇스탠드,지길웅,(주)전망좋은 영화사,(주)전망좋은 영화사,2017.3.28,개봉영화,장편,한국,21,"642,000",125,"318,000",64,스릴러,청소년관람불가,일반영화
1198,일본 엄마,김무원,YJ COMPANY,YJ COMPANY,2017.2.9,개봉영화,장편,한국,20,"657,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1199,친구부부 : 욕망의 스와핑,이상우,"대호필름,(주)영화사 사계절",(주)영화사 사계절,2017.2.14,개봉영화,장편,한국,20,"655,000",125,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1200,여자친구,김대성,(주)영화사히트,(주)영화사히트,2018.2.27,개봉영화,장편,한국,20,"720,000",123,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
1201,이모의 유혹,김경택,스마일컨텐츠,스마일컨텐츠,2018.3.2,개봉영화,장편,한국,18,"718,000",123,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1202,젊은 장모,"김경훈,김경훈",스마일컨텐츠,스마일컨텐츠,2018.2.2,개봉영화,장편,한국,19,"721,000",123,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1203,정사-두자매,박주영,스마일컨텐츠,스마일컨텐츠,2017.9.21,개봉영화,장편,한국,15,"721,000",123,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1204,착한 엄마,이리단,(주)영화사 사계절,(주)영화사 사계절,2017.10.26,개봉영화,장편,한국,20,"728,000",123,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1205,엄마의 맛,박주영,스마일컨텐츠,스마일컨텐츠,2017.11.16,개봉영화,장편,한국,15,"715,000",122,"374,000",65,멜로/로맨스,청소년관람불가,일반영화
1206,옆집누나들,김경택,스마일컨텐츠,스마일컨텐츠,2018.6.21,개봉영화,장편,한국,20,"713,000",122,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1207,오피스텔-잘하는애들로,천성준,(주)케이피에이기획,(주)케이피에이기획,2019.6.7,개봉영화,장편,한국,20,"663,000",122,"395,000",78,멜로/로맨스,청소년관람불가,일반영화
1208,자매의교환섹스,장두만,에이원 미디어,에이원 미디어,2018.12.4,개봉영화,장편,한국,1,"668,000",122,"395,000",78,멜로/로맨스,청소년관람불가,일반영화
1209,가슴큰누나들,김경택,스마일컨텐츠,스마일컨텐츠,2018.6.12,개봉영화,장편,한국,19,"708,000",121,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1210,처제의 유혹,박선욱,스마일컨텐츠,스마일컨텐츠,2017.5.23,개봉영화,장편,한국,20,"624,000",121,"321,000",63,멜로/로맨스,청소년관람불가,일반영화
1211,휴가,이수성,㈜리필름,㈜리필름,2016.12.8,개봉영화,장편,한국,5,"806,700",121,"287,000",36,가족,12세이상관람가,독립/예술영화
1212,감금의 시간 2 무삭제,김대성,(주)영화사히트,(주)영화사히트,2018.1.17,개봉영화,장편,한국,20,"701,000",120,"371,000",66,코미디,청소년관람불가,일반영화
1213,내 아내의 언니 2,"김부곤,김부곤",(주)영화사가을,(주)영화사가을,2018.1.11,개봉영화,장편,한국,20,"714,000",120,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
1214,두처제2,박주영,스마일컨텐츠,스마일컨텐츠,2017.12.15,개봉영화,장편,한국,19,"699,000",120,"378,000",67,멜로/로맨스,청소년관람불가,일반영화
1215,매니저,백마,유로 프로덕션,유로 프로덕션,2018.4.10,개봉영화,장편,한국,20,"699,000",120,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
1216,미투 숨겨진 진실,마현진,(주)에스와이미디어,(주)에스와이미디어,2018.6.29,개봉영화,장편,한국,20,"703,000",120,"369,000",65,기타,청소년관람불가,일반영화
1217,수상한 종업원,한동호,(주)가온콘텐츠,(주)가온콘텐츠,2017.10.23,개봉영화,장편,한국,20,"702,000",120,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
1218,신입사원,한동호,(주)가온콘텐츠,(주)가온콘텐츠,2017.12.12,개봉영화,장편,한국,20,"704,000",120,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
1219,장모학개론,김다니엘,스마일컨텐츠,스마일컨텐츠,2018.5.22,개봉영화,장편,한국,18,"702,000",120,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1220,맛있는 세자매,장두만,(주)케이피에이기획,(주)케이피에이기획,2018.10.4,개봉영화,장편,한국,1,"693,000",119,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1221,여대생들의은밀한아르바이트,천성준,에이원 미디어,에이원 미디어,2019.5.7,개봉영화,장편,한국,20,"657,000",119,"389,000",75,멜로/로맨스,청소년관람불가,일반영화
1222,옆집소녀2,성기만,스마일컨텐츠,스마일컨텐츠,2018.10.25,개봉영화,장편,한국,17,"694,000",119,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1223,착한 여동생,김다니엘,스마일컨텐츠,스마일컨텐츠,2018.9.21,개봉영화,장편,한국,20,"694,000",119,"376,000",66,멜로/로맨스,청소년관람불가,일반영화
1224,동갑내기 엄마,성기만,스마일컨텐츠,스마일컨텐츠,2018.11.22,개봉영화,장편,한국,19,"658,000",117,"385,000",73,멜로/로맨스,청소년관람불가,일반영화
1225,옆집소녀,박선욱,스마일컨텐츠,스마일컨텐츠,2017.3.21,개봉영화,장편,한국,17,"599,000",117,"314,000",62,멜로/로맨스,청소년관람불가,일반영화
1226,나는 원래 대전에서 로맨틱 코미디를 찍으려고 했었다,배기원,대흥영화사,주식회사 씨엠닉스,2019.6.1,개봉영화,장편,한국,1,"497,000",116,"161,000",68,드라마,12세이상관람가,독립/예술영화
1227,내 남편의 가정교사,박선욱,스마일컨텐츠,스마일컨텐츠,2017.1.3,개봉영화,장편,한국,19,"599,000",116,"318,000",63,멜로/로맨스,청소년관람불가,일반영화
1228,미용실 : 특별한 서비스 무삭제,이리단,"대호필름,(주)영화사 사계절",(주)영화사 사계절,2017.1.25,개봉영화,장편,한국,20,"593,000",116,"318,000",64,멜로/로맨스,청소년관람불가,일반영화
1229,방문객,박영철,더 필름클래식 프로덕션,더 필름클래식 프로덕션,2019.3.27,개봉영화,장편,한국,1,"406,000",116,"406,000",116,미스터리,15세이상관람가,독립/예술영화
1230,사슬 - 두 여자의 유혹,박선욱,스마일컨텐츠,스마일컨텐츠,2017.4.11,개봉영화,장편,한국,20,"599,000",116,"314,000",62,스릴러,청소년관람불가,일반영화
1231,여배우와 동거,이슬,(주)케이피에이기획,(주)케이피에이기획,2017.4.10,개봉영화,장편,한국,20,"596,000",116,"316,000",63,멜로/로맨스,청소년관람불가,일반영화
1232,장모의유혹,김이슬,스마일컨텐츠,스마일컨텐츠,2019.2.22,개봉영화,장편,한국,20,"764,000",116,"431,000",69,멜로/로맨스,청소년관람불가,일반영화
1233,메이킹 패밀리,조진모,"(주)한맥문화,(주)제이제이픽쳐스",(주)리틀빅픽쳐스,2016.11.28,개봉영화,장편,한국,1,"626,500",115,"626,500",115,멜로/로맨스,12세이상관람가,독립/예술영화
1234,정사 : 착한 숙모,김부곤,(주)영화사가을,(주)영화사가을,2018.9.21,개봉영화,장편,한국,20,"557,000",115,"161,000",51,멜로/로맨스,청소년관람불가,일반영화
1235,쌍둥이 에로 킬러 - 자매의 유혹,이한,(주)이십일세기미디어,(주)픽쳐레스크,2016.11.4,개봉영화,장편,한국,20,"640,000",114,"268,000",53,멜로/로맨스,청소년관람불가,일반영화
1236,자매의은밀한스와핑-무삭제,정민용,스마일컨텐츠,스마일컨텐츠,2019.2.15,개봉영화,장편,한국,20,"650,000",113,"377,000",69,멜로/로맨스,청소년관람불가,일반영화
1237,가슴큰엄마들,차지민,스마일컨텐츠,스마일컨텐츠,2019.8.16,개봉영화,장편,한국,20,"638,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
1238,동생의 여자-무삭제,장두만,(주)케이피에이기획,(주)케이피에이기획,2019.3.22,개봉영화,장편,한국,1,"644,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
1239,맛있는 누나들,강백호,스마일컨텐츠,스마일컨텐츠,2018.12.19,개봉영화,장편,한국,20,"644,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
1240,아빠친구2,감자,스마일컨텐츠,스마일컨텐츠,2018.11.15,개봉영화,장편,한국,20,"644,000",110,"364,000",65,멜로/로맨스,청소년관람불가,일반영화
1241,엄마학개론,차지민,스마일컨텐츠,스마일컨텐츠,2019.4.19,개봉영화,장편,한국,20,"644,000",110,"371,000",66,멜로/로맨스,청소년관람불가,일반영화
