순번,영화명,감독,제작사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
294,밤의 해변에서 혼자,홍상수,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",2017.3.23,개봉영화,장편,한국,133,"438,976,092","56,995","275,454,892","34,627",드라마,청소년관람불가,독립/예술영화
295,극장판 프랭키와 친구들: 생명의 나무,박정오,프랭키영화문화산업전문(주),예지림엔터테인먼트,2016.4.13,개봉영화,장편,한국,258,"410,518,600","56,835","103,400,500","13,068",애니메이션,전체관람가,일반영화
296,고녀석 맛나겠다2 : 함께라서 행복해,"최경석,노나카 카즈미",(주)미디어캐슬,(주)리틀빅픽쳐스,2015.7.29,개봉영화,장편,한국,142,"384,464,000","55,619","115,174,700","16,105",애니메이션,전체관람가,독립/예술영화
297,그물,김기덕,(주)김기덕 필름,(주)넥스트엔터테인먼트월드(NEW),2016.10.6,개봉영화,장편,한국,381,"416,593,300","55,342","112,920,600","14,136",드라마,15세이상관람가,독립/예술영화
298,빅뱅 메이드,변진호,(주)와이지엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),2016.6.30,개봉영화,장편,한국,56,"464,727,700","55,227","214,369,000","24,994",다큐멘터리,12세이상관람가,일반영화
299,잡아야 산다,오인천,더퀸디앤엠 주식회사,오퍼스픽쳐스(유),2016.1.7,개봉영화,장편,한국,219,"410,361,400","54,450","91,032,800","11,245",코미디,15세이상관람가,일반영화
300,왓칭,김성기,(주)스토리공감,(주)리틀빅픽쳐스,2019.4.17,개봉영화,장편,한국,488,"456,558,262","54,410","100,830,552","11,564",공포(호러),15세이상관람가,일반영화
301,우리집,윤가은,(주)아토,롯데컬처웍스(주)롯데엔터테인먼트,2019.8.22,개봉영화,장편,한국,147,"429,593,640","53,490","250,931,120","29,674",드라마,전체관람가,독립/예술영화
302,산상수훈,유영의,(주)그란,"이언픽쳐스,(주)그란",2017.12.7,개봉영화,장편,한국,71,"402,226,830","53,472","133,186,230","17,599",드라마,전체관람가,독립/예술영화
303,머니백,허준형,(주)젠픽쳐스,(주)리틀빅픽쳐스,2018.4.12,개봉영화,장편,한국,472,"411,511,600","52,618","105,898,500","12,994",액션,15세이상관람가,일반영화
304,미안해 사랑해 고마워,전윤수,타임박스엔터테인먼트(주),(주)쇼박스,2015.10.28,개봉영화,장편,한국,344,"359,247,800","51,207","106,619,300","14,482",드라마,15세이상관람가,일반영화
305,폴란드로 간 아이들,추상미,보아스필름,커넥트픽쳐스(주),2018.10.31,개봉영화,장편,한국,181,"386,723,800","50,545","240,190,800","30,064",다큐멘터리,전체관람가,독립/예술영화
306,젝스키스 에이틴,,(주)와이지엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),2018.1.18,개봉영화,장편,한국,25,"364,405,500","50,419","225,891,500","29,333",다큐멘터리,전체관람가,일반영화
307,비밀,"박은경,이동하","영화사 도로시(주),(주)에스에이치기획",CGV아트하우스,2015.10.15,개봉영화,장편,한국,305,"369,339,300","50,196","94,697,600","12,167",미스터리,15세이상관람가,일반영화
308,번개맨의 비밀,강유선,"힘컨텐츠(주),한국교육방송공사 EBS",(주)디스테이션,2018.12.6,개봉영화,장편,한국,309,"383,521,050","49,751","72,853,050","8,829",가족,전체관람가,일반영화
309,살인소설,김진묵,"(주)페퍼민트앤컴퍼니,리드미컬그린(주)","(주)스톰픽쳐스코리아,(주)페퍼민트앤컴퍼니",2018.4.25,개봉영화,장편,한국,434,"392,591,200","49,682","110,034,500","13,655",스릴러,15세이상관람가,독립/예술영화
310,데자뷰,고경민,"(주)스톰픽쳐스코리아,(주)원픽쳐스",씨네그루(주)키다리이엔티,2018.5.30,개봉영화,장편,한국,536,"360,833,100","48,279","78,964,200","10,074",미스터리,15세이상관람가,일반영화
311,우리들,윤가은,(주)아토,(주)엣나인필름,2016.6.16,개봉영화,장편,한국,76,"358,799,960","48,223","219,260,560","27,794",드라마,전체관람가,독립/예술영화
312,목숨 건 연애,송민규,(주)비에이엔터테인먼트,오퍼스픽쳐스(유),2016.12.14,개봉영화,장편,한국,393,"361,142,800","47,684","120,507,000","14,834",멜로/로맨스,15세이상관람가,일반영화
313,비밥바룰라,이성재,영화사김치(주),씨네그루(주)키다리이엔티,2018.1.24,개봉영화,장편,한국,347,"318,986,200","46,817","102,609,200","13,980",코미디,12세이상관람가,일반영화
314,"그래, 가족",마대윤,"(주)청우필름,(주)26컴퍼니,(주)데이드림",월트디즈니컴퍼니코리아 유한책임회사,2017.2.15,개봉영화,장편,한국,361,"350,293,300","46,623","154,192,600","19,381",코미디,12세이상관람가,일반영화
315,성실한 나라의 앨리스,안국진,한국영화아카데미,CGV아트하우스,2015.8.13,개봉영화,장편,한국,69,"349,482,500","43,964","175,441,700","21,590",드라마,청소년관람불가,독립/예술영화
316,범죄의 여왕,"이요섭,김태곤",광화문시네마,"(주)콘텐츠판다,TCO(주)더콘텐츠온",2016.8.25,개봉영화,장편,한국,270,"343,663,400","43,823","129,520,200","16,136",스릴러,15세이상관람가,독립/예술영화
317,약장수,조치언,(주)26컴퍼니,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015.4.23,개봉영화,장편,한국,282,"313,238,400","43,562","94,969,000","13,043",드라마,15세이상관람가,일반영화
318,칠곡 가시나들,김재환,주식회사 단유필름,"(주)인디플러그,(주)더 피플",2019.2.27,개봉영화,장편,한국,138,"334,601,400","41,448","108,432,500","12,980",다큐멘터리,전체관람가,독립/예술영화
319,극장판 뽀잉: 슈퍼 변신의 비밀,정미화,(주)크레이지버드스튜디오,"(주)이수C&E,(주)시너지미디어",2018.9.20,개봉영화,장편,한국,294,"312,710,450","41,054","71,542,300","8,740",애니메이션,전체관람가,일반영화
320,배반의 장미,박진영,(주)태원엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018.10.18,개봉영화,장편,한국,457,"332,232,550","41,054","94,558,600","11,183",코미디,15세이상관람가,일반영화
321,레이디버그,장성,(주)삼지애니메이션,(주)삼지애니메이션,2017.2.22,개봉영화,장편,한국,172,"310,291,500","41,041","83,810,500","10,575",애니메이션,전체관람가,일반영화
322,트릭,이창열,엘씨오픽쳐스,"(주)스톰픽쳐스코리아,(주)이수C&E",2016.7.13,개봉영화,장편,한국,390,"297,315,300","38,155","81,827,800","10,355",스릴러,15세이상관람가,일반영화
323,4등,정지우,"국가인권위원회,정지우 필름","(주)프레인글로벌,CGV아트하우스",2016.4.13,개봉영화,장편,한국,213,"282,006,700","37,943","135,412,300","17,625",드라마,15세이상관람가,독립/예술영화
324,타이밍,"민경조,박대열","(주)효인엔터테인먼트,베데코리아",(주)스톰픽쳐스코리아,2015.12.10,개봉영화,장편,한국,196,"284,085,200","37,711","100,876,200","12,633",애니메이션,15세이상관람가,독립/예술영화
325,다시 태어나도 우리,"문창용,전진","소나무필름,(주)프로섬",(주)엣나인필름,2017.9.27,개봉영화,장편,한국,118,"291,521,943","37,449","199,073,143","24,398",다큐멘터리,전체관람가,독립/예술영화
326,한여름의 판타지아,장건재,(주)모쿠슈라,㈜인디스토리,2015.6.11,개봉영화,장편,한국,46,"278,925,458","35,907","192,802,758","24,072",드라마,전체관람가,독립/예술영화
327,에스엠타운 더 스테이지,배성상,(주)에스엠 컬처앤콘텐츠,주식회사 디에스이이디,2015.8.13,개봉영화,장편,한국,65,"284,650,500","35,857","178,037,700","21,777",다큐멘터리,전체관람가,일반영화
328,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,이영준,(주)삼지애니메이션,(주)삼지애니메이션,2016.8.17,개봉영화,장편,한국,170,"270,014,820","35,569","45,551,700","5,657",애니메이션,전체관람가,독립/예술영화
329,스파키,"아론 우들리,애론 우들리",(주)레드로버,예지림엔터테인먼트,2018.4.12,개봉영화,장편,한국,312,"257,040,200","35,436","41,353,300","5,315",애니메이션,전체관람가,일반영화
330,더 플랜,최진성,프로젝트 부,(주)엣나인필름,2017.4.20,개봉영화,장편,한국,156,"263,526,895","34,225","126,773,395","16,124",다큐멘터리,15세이상관람가,독립/예술영화
331,대결,신동엽,"휴메니테라픽쳐스(주),컴퍼니에이이엔티(주)","(주)스톰픽쳐스코리아,TCO(주)더콘텐츠온",2016.9.22,개봉영화,장편,한국,366,"251,176,500","32,278","73,160,100","9,098",액션,15세이상관람가,일반영화
332,극장판 프리파라 모두 모여라! 프리즘☆투어즈,히시다 마사카즈,동우에이앤이(주),(주)박수엔터테인먼트,2016.10.13,개봉영화,장편,한국,157,"263,405,900","31,843","71,055,000","8,187",애니메이션,전체관람가,독립/예술영화
333,썬키스 패밀리,김지혜,(주)영화사두둥,메가박스중앙(주)플러스엠,2019.3.27,개봉영화,장편,한국,417,"245,549,900","31,742","84,021,800","10,426",가족,15세이상관람가,일반영화
334,그랜드파더,이서,(주)한이야기,"(주)인벤트스톤,(주)디스테이션",2016.8.31,개봉영화,장편,한국,288,"233,692,400","31,640","55,962,800","7,516",액션,청소년관람불가,독립/예술영화
335,춘희막이,박혁지,(주)하이하버픽쳐스,"메가박스중앙(주)플러스엠,(주)엣나인필름",2015.9.30,개봉영화,장편,한국,268,"205,281,965","29,473","94,836,265","13,247",다큐멘터리,12세이상관람가,독립/예술영화
336,역모-반란의 시대,김홍선,"Picsso,(주)원픽쳐스",(주)스톰픽쳐스코리아,2017.11.23,개봉영화,장편,한국,355,"212,967,300","29,294","65,901,800","8,430",사극,15세이상관람가,일반영화
337,"다시, 봄",정용주,(주)26컴퍼니,(주)스마일이엔티,2019.4.17,개봉영화,장편,한국,360,"233,916,700","29,048","97,696,430","11,519",드라마,12세이상관람가,독립/예술영화
338,캐리tv 러브콘서트 더 무비,"정귀호,이민환",(주)캐리소프트,롯데컬처웍스(주)롯데엔터테인먼트,2019.8.7,개봉영화,장편,한국,155,"225,815,700","28,679","63,379,600","7,848",공연,전체관람가,일반영화
339,파울볼,"조정래,김보경",(주)티피에스컴퍼니,오퍼스픽쳐스(유),2015.4.2,개봉영화,장편,한국,231,"212,849,500","28,324","74,007,100","9,590",다큐멘터리,전체관람가,독립/예술영화
340,마리안느와 마가렛,윤세영,(주)기린제작사,(주)팝엔터테인먼트,2017.4.20,개봉영화,장편,한국,64,"195,549,400","28,016","33,199,700","4,431",다큐멘터리,전체관람가,독립/예술영화
341,인천상륙작전 : 익스텐디드 에디션(확장판),이재한,(주)태원엔터테인먼트,씨제이이앤엠(주),2016.9.13,개봉영화,장편,한국,122,"220,051,200","27,070","64,315,000","7,960",전쟁,15세이상관람가,일반영화
342,해피 투게더,김정환,(주)골든스토리픽처스,플레이리스트(주),2018.11.15,개봉영화,장편,한국,240,"204,452,450","27,046","93,261,500","10,654",드라마,12세이상관람가,일반영화
343,당신의 부탁,이동은,(주)명필름,CGV아트하우스,2018.4.19,개봉영화,장편,한국,371,"205,547,428","25,652","81,657,728","9,615",드라마,15세이상관람가,독립/예술영화
344,영주,차성덕,,CGV아트하우스,2018.11.22,개봉영화,장편,한국,106,"192,729,750","24,823","93,991,350","11,461",드라마,12세이상관람가,독립/예술영화
345,메소드,방은진,모베터필름 주식회사,(주)엣나인필름,2017.11.2,개봉영화,장편,한국,244,"200,356,300","24,573","126,991,700","14,793",드라마,15세이상관람가,독립/예술영화
346,카이: 거울 호수의 전설,이성강,"주식회사 다다쇼,(주)영화사레드피터",메가박스중앙(주)플러스엠,2016.8.17,개봉영화,장편,한국,172,"180,633,800","24,451","65,794,500","8,444",애니메이션,전체관람가,독립/예술영화
347,꿈의 제인,조현훈,영화사 서울집,"(주)엣나인필름,CGV아트하우스",2017.5.31,개봉영화,장편,한국,86,"198,890,200","24,272","144,410,600","16,851",드라마,청소년관람불가,독립/예술영화
348,연애담,이현주,한국영화아카데미,(주)인디플러그,2016.11.17,개봉영화,장편,한국,38,"191,398,100","23,555","132,774,600","15,873",멜로/로맨스,청소년관람불가,독립/예술영화
349,이타미 준의 바다,정다운,기린그림,(주)영화사 진진,2019.8.15,개봉영화,장편,한국,57,"189,104,160","23,296","134,649,160","15,707",다큐멘터리,전체관람가,독립/예술영화
350,노무현과 바보들,김재희,(주)바보들,"오키넷,(주)라이크 콘텐츠",2019.4.18,개봉영화,장편,한국,366,"175,757,640","23,133","49,154,390","5,971",다큐멘터리,12세이상관람가,독립/예술영화
351,유리정원,신수원,준필름,(주)리틀빅픽쳐스,2017.10.25,개봉영화,장편,한국,332,"160,437,700","22,752","60,483,700","8,044",미스터리,12세이상관람가,독립/예술영화
352,파워배틀 와치카: 와치가면의 역습,"이영준,김래경",(주)삼지애니메이션,(주)삼지애니메이션,2017.6.1,개봉영화,장편,한국,246,"153,909,000","22,110","23,060,800","2,968",애니메이션,전체관람가,일반영화
353,터닝메카드W: 반다인의 비밀 특별판,홍헌표,㈜희원엔터테인먼트,"(주)제이앤씨미디어그룹,(주)버킷스튜디오",2018.2.8,개봉영화,장편,한국,168,"164,797,700","21,947","32,933,500","4,326",애니메이션,전체관람가,일반영화
354,히야,김지연,"(주)메이저타운,(주)더재미팩토리,(주)알지엔터웍스",(주)라이크 콘텐츠,2016.3.10,개봉영화,장편,한국,124,"173,844,100","21,687","58,521,200","7,007",드라마,12세이상관람가,일반영화
355,내게 남은 사랑을,진광교,"(주)와호엔터테인먼트,(재)CBS",(주)비엠컬쳐스,2017.11.2,개봉영화,장편,한국,156,"135,610,600","21,599","25,564,000","3,190",드라마,12세이상관람가,독립/예술영화
356,무문관,박대원,TBC,영화사 마농(주),2018.4.19,개봉영화,장편,한국,43,"164,068,700","21,506","31,213,800","3,805",다큐멘터리,전체관람가,독립/예술영화
357,죄 많은 소녀,김의석,한국영화아카데미,CGV아트하우스,2018.9.13,개봉영화,장편,한국,70,"181,560,450","21,243","116,075,600","13,068",드라마,15세이상관람가,독립/예술영화
358,나쁜 나라,"김진열,이수정,정일건",4.16 세월호 참사 시민기록위원회,"<나쁜 나라> 배급위원회,(주)시네마달",2015.12.3,개봉영화,장편,한국,19,"139,403,400","20,803","60,590,000","8,452",다큐멘터리,12세이상관람가,독립/예술영화
359,물의 기억,진재운,(주)KNN,롯데컬처웍스(주)롯데엔터테인먼트,2019.5.15,개봉영화,장편,한국,108,"111,262,080","19,484","46,620,480","8,631",다큐멘터리,전체관람가,독립/예술영화
360,B급 며느리,선호빈,영화연구소,"(주)에스와이코마드,글뫼 주식회사",2018.1.17,개봉영화,장편,한국,56,"152,139,100","19,459","83,012,200","9,976",다큐멘터리,12세이상관람가,독립/예술영화
361,커터,정희성,(주)엘픽쳐스,(주)스톰픽쳐스코리아,2016.3.30,개봉영화,장편,한국,199,"151,165,500","19,405","40,502,500","5,076",범죄,청소년관람불가,독립/예술영화
362,섬. 사라진 사람들,이지승,시네마팩토리,(주)콘텐츠판다,2016.3.3,개봉영화,장편,한국,206,"148,749,900","18,485","27,016,600","3,274",스릴러,15세이상관람가,독립/예술영화
363,그 후,홍상수,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",2017.7.6,개봉영화,장편,한국,168,"140,655,508","18,440","88,142,308","11,110",드라마,청소년관람불가,독립/예술영화
364,트와이스랜드,,(주)제이와이피엔터테인먼트,씨제이 씨지브이(CJ CGV)(주),2018.12.7,개봉영화,장편,한국,53,"153,765,000","18,252","70,742,500","8,086",다큐멘터리,전체관람가,일반영화
365,당신자신과 당신의 것,홍상수,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다",2016.11.10,개봉영화,장편,한국,151,"145,902,200","17,924","102,254,900","12,015",드라마,청소년관람불가,독립/예술영화
366,뚜르: 내 생애 최고의 49일,"임정하,전일우,박형준,김양래","미디어길,(주)영화사 북극곰",(주)리틀빅픽쳐스,2017.2.1,개봉영화,장편,한국,227,"126,186,700","17,449","40,634,300","5,129",다큐멘터리,12세이상관람가,독립/예술영화
367,태양을 쏴라,김태식,필름라인,(유)조이앤시네마,2015.3.19,개봉영화,장편,한국,156,"126,046,400","17,444","33,115,500","4,535",멜로/로맨스,청소년관람불가,독립/예술영화
368,어떤살인,안용훈,"(주)전망좋은 영화사,TCO(주)더콘텐츠온","TCO(주)더콘텐츠온,(주)전망좋은 영화사",2015.10.28,개봉영화,장편,한국,179,"137,025,800","17,190","38,039,500","4,646",스릴러,청소년관람불가,독립/예술영화
369,길,정인봉,(주)블루블랙,(주)더블앤조이픽쳐스,2017.5.11,개봉영화,장편,한국,54,"75,398,600","17,014","10,665,400","2,010",드라마,12세이상관람가,독립/예술영화
370,여배우는 오늘도,문소리,(주)영화사 연두,(주)메타플레이,2017.9.14,개봉영화,장편,한국,46,"137,010,300","16,646","100,364,500","11,662",드라마,15세이상관람가,독립/예술영화
371,7년-그들이 없는 언론,김진혁,한국탐사저널리즘센터,(주)인디플러그,2017.1.12,개봉영화,장편,한국,105,"129,175,200","16,577","71,790,700","8,985",다큐멘터리,12세이상관람가,독립/예술영화
372,마돈나,신수원,준필름,(주)리틀빅픽쳐스,2015.7.2,개봉영화,장편,한국,65,"127,237,400","16,385","69,122,300","8,631",드라마,청소년관람불가,독립/예술영화
373,김군,강상우,"1011 필름,영화사 풀",영화사 풀,2019.5.23,개봉영화,장편,한국,73,"120,816,190","16,324","61,606,150","7,628",다큐멘터리,12세이상관람가,독립/예술영화
374,순교,김상철,파이오니아21,파이오니아21,2015.8.13,개봉영화,장편,한국,5,"116,019,000","16,202","22,727,500","3,240",다큐멘터리,전체관람가,독립/예술영화
375,극장판 샤이닝스타:새로운 루나퀸의 탄생!,"박일호,정지훈",(주)마로스튜디오,(주)리틀빅픽쳐스,2019.7.18,개봉영화,장편,한국,117,"129,098,700","15,785","43,398,300","5,221",애니메이션,전체관람가,일반영화
376,사랑이 이긴다,민병훈,민병훈필름,(주)리틀빅픽쳐스,2015.9.10,개봉영화,장편,한국,48,"114,003,900","14,916","39,686,100","4,988",가족,15세이상관람가,독립/예술영화
377,군산: 거위를 노래하다,장률,"(주)률필름,(주)백그림",(주)트리플픽쳐스,2018.11.8,개봉영화,장편,한국,92,"120,752,500","14,848","66,099,100","7,622",드라마,15세이상관람가,독립/예술영화
378,아픈 만큼 사랑한다,임준현,"KBS 미디어,(주)드림팩트엔터테인먼트",(주)드림팩트엔터테인먼트,2019.4.3,개봉영화,장편,한국,121,"99,333,600","14,682","36,978,500","5,025",다큐멘터리,전체관람가,독립/예술영화
379,시민 노무현,백재호,"엠앤씨에프,(주)영화사진",(주)삼백상회,2019.5.23,개봉영화,장편,한국,174,"116,930,250","14,500","54,033,380","6,336",다큐멘터리,12세이상관람가,독립/예술영화
380,춘몽,장률,(주)률필름,"(주)프레인글로벌,(주)스톰픽쳐스코리아",2016.10.13,개봉영화,장편,한국,96,"114,343,700","14,423","58,604,500","7,095",드라마,15세이상관람가,독립/예술영화
381,무수단,구모,골든타이드픽처스(주),오퍼스픽쳐스(유),2016.3.3,개봉영화,장편,한국,228,"112,188,400","14,386","27,050,200","3,369",미스터리,15세이상관람가,일반영화
382,브링 홈: 아버지의 땅,텐진 체탄 초클리,(주)버디필름,(주)드림팩트엔터테인먼트,2016.9.1,개봉영화,장편,한국,36,"111,180,200","14,289","68,202,000","8,502",다큐멘터리,전체관람가,독립/예술영화
383,위로공단,임흥순,반달,(주)엣나인필름,2015.8.13,개봉영화,장편,한국,34,"103,598,000","13,827","75,447,100","9,644",다큐멘터리,15세이상관람가,독립/예술영화
384,임을 위한 행진곡,박기복,"주식회사 무당벌레필름,(주)알앤오엔터테인먼트",(주)알앤오엔터테인먼트,2018.5.16,개봉영화,장편,한국,160,"101,338,200","13,424","20,317,200","2,329",드라마,15세이상관람가,독립/예술영화
385,"귀향, 끝나지 않은 이야기",조정래,주식회사 제이오엔터테인먼트코리아,커넥트픽쳐스(주),2017.9.14,개봉영화,장편,한국,207,"95,769,200","13,193","31,504,500","4,236",드라마,15세이상관람가,독립/예술영화
386,돌아온다,허철,(주)꿈길제작소,(주)더블앤조이픽쳐스,2017.12.7,개봉영화,장편,한국,58,"82,977,300","13,130","68,832,500","10,886",드라마,12세이상관람가,독립/예술영화
387,별의 정원,원종식,(주)아슈비아만화영화푸로덕션,예지림엔터테인먼트,2019.7.4,개봉영화,장편,한국,210,"85,603,300","12,953","19,514,180","2,358",애니메이션,전체관람가,독립/예술영화
388,"안녕, 전우치! 도술로봇대결전",김대창,"(주)얼리버드픽쳐스,(주)쏘울 크리에이티브",(주)리틀빅픽쳐스,2015.10.8,개봉영화,장편,한국,173,"91,427,600","12,943","20,323,600","2,672",애니메이션,전체관람가,독립/예술영화
389,용순,신준,(주)아토,롯데쇼핑㈜롯데엔터테인먼트,2017.6.8,개봉영화,장편,한국,126,"95,447,200","12,901","51,672,500","6,816",드라마,15세이상관람가,독립/예술영화
390,시인의 사랑,김양희,"(주)영화사진,(주)미인픽쳐스",CGV아트하우스,2017.9.14,개봉영화,장편,한국,119,"97,464,900","12,547","59,196,400","7,243",드라마,15세이상관람가,독립/예술영화
391,소나기,안재훈,"(주)연필로명상하기,한국교육방송공사 EBS",(주)리틀빅픽쳐스,2017.8.31,개봉영화,장편,한국,151,"79,482,808","12,425","21,701,600","3,182",애니메이션,전체관람가,독립/예술영화
392,어우동: 주인 없는 꽃,이수성,"(유)조이앤컨텐츠그룹,㈜리필름",(주)드림팩트엔터테인먼트,2015.1.29,개봉영화,장편,한국,18,"60,141,000","12,203","18,432,000","3,018",멜로/로맨스,청소년관람불가,일반영화
393,타투,이서,"(주)다세포클럽,(주)코리아스토리",와이드 릴리즈(주),2015.12.10,개봉영화,장편,한국,133,"99,263,100","12,103","31,315,000","3,727",스릴러,청소년관람불가,일반영화
394,오 마이 파파,박혁지,(주)하이하버픽쳐스,(주)모멘텀엔터테인먼트,2016.11.10,개봉영화,장편,한국,36,"85,137,600","11,999","31,087,300","4,190",다큐멘터리,전체관람가,독립/예술영화
395,내 친구 정일우,김동원,푸른영상,(주)시네마달,2017.10.26,개봉영화,장편,한국,80,"75,659,600","11,887","35,312,300","4,823",다큐멘터리,전체관람가,독립/예술영화
396,부릉! 부릉! 브루미즈: 스피더의 모험 일기,이영준,(주)삼지애니메이션,(주)삼지애니메이션,2016.12.15,개봉영화,장편,한국,194,"89,425,500","11,735","25,294,700","3,349",애니메이션,전체관람가,독립/예술영화
397,검은손,박재식,골든타이드픽처스(주),(주)스톰픽쳐스코리아,2015.4.16,개봉영화,장편,한국,178,"89,815,665","11,650","19,052,465","2,326",공포(호러),청소년관람불가,일반영화
398,멜리스,김용운,(주)라임오렌지팩토리,(주)드림팩트엔터테인먼트,2016.2.11,개봉영화,장편,한국,141,"90,914,800","11,484","19,830,000","2,343",공포(호러),15세이상관람가,독립/예술영화
399,공동정범,"김일란,이혁상",성소수문화환경을 위한 모임 '연분홍치마',"(주)엣나인필름,(주)시네마달",2018.1.25,개봉영화,장편,한국,73,"82,372,300","11,198","55,193,100","7,291",다큐멘터리,15세이상관람가,독립/예술영화
400,나의 살던 고향은,류종헌,후즈닷컴,(주)시네마달,2016.11.24,개봉영화,장편,한국,62,"82,362,100","10,887","50,619,800","6,510",다큐멘터리,전체관람가,독립/예술영화
401,이웃집 스타,김성욱,(주)컬처캡코리아,(주)스톰픽쳐스코리아,2017.9.21,개봉영화,장편,한국,256,"78,213,300","10,854","19,512,300","2,377",코미디,12세이상관람가,일반영화
402,제 7기사단,키리야 카즈아키,(주)루카프로덕션,메가박스중앙(주)플러스엠,2015.9.10,개봉영화,장편,한국,95,"80,160,964","10,710","25,940,364","3,415",액션,15세이상관람가,일반영화
403,살아남은 아이,신동석,(주)아토,"CGV아트하우스,(주)엣나인필름",2018.8.30,개봉영화,장편,한국,68,"89,138,900","10,652","55,553,600","6,382",드라마,12세이상관람가,독립/예술영화
404,직지코드,"우광훈,데이빗 레드먼",(주)아우라픽처스,(주)엣나인필름,2017.6.28,개봉영화,장편,한국,39,"71,169,700","10,639","38,042,300","4,798",다큐멘터리,전체관람가,독립/예술영화
405,슈퍼레이서 엔지,허선,(주)크레이지버드스튜디오,(주)에이원엔터테인먼트,2015.9.10,개봉영화,장편,한국,126,"73,587,800","10,612","14,157,900","1,875",애니메이션,전체관람가,일반영화
406,5.18 힌츠페터 스토리,장영주,KBS,(주)드림팩트엔터테인먼트,2018.5.17,개봉영화,장편,한국,119,"72,502,600","10,610","36,067,700","4,336",다큐멘터리,12세이상관람가,독립/예술영화
407,난폭한 기록,하원준,"유한회사 영화사 반딧불,서울액션스쿨",케이티하이텔(주),2019.7.11,개봉영화,장편,한국,152,"72,854,090","10,153","39,544,880","6,183",범죄,청소년관람불가,독립/예술영화
408,피의 연대기,김보람,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2018.1.18,개봉영화,장편,한국,38,"79,380,200","10,145","61,178,500","7,318",다큐멘터리,12세이상관람가,독립/예술영화
409,사랑의 선물,김규민,(주)한마음프로덕션,(주)한마음프로덕션,2019.8.15,개봉영화,장편,한국,8,"59,942,460","10,106","43,784,260","8,106",드라마,15세이상관람가,독립/예술영화
410,나비잠,정재은,(주)영화사조아,(주)트리플픽쳐스,2018.9.6,개봉영화,장편,한국,91,"85,180,950","10,101","55,018,450","6,247",멜로/로맨스,15세이상관람가,독립/예술영화
411,폴라로이드,주호성,(주)아우라씨엔씨,와이드 릴리즈(주),2015.7.16,개봉영화,장편,한국,27,"65,317,000","10,094","17,064,500","2,530",드라마,전체관람가,일반영화
412,눈발,조재민,명필름랩,(주)리틀빅픽쳐스,2017.3.1,개봉영화,장편,한국,69,"84,806,300","10,039","53,613,400","6,099",드라마,15세이상관람가,독립/예술영화
413,두 번째 스물,박흥식,민영화사,(주)리틀빅픽쳐스,2016.11.3,개봉영화,장편,한국,175,"72,370,700","9,579","23,673,600","2,825",멜로/로맨스,청소년관람불가,독립/예술영화
414,위선자들,김진홍,(주)영화사메이플러스,"THE 픽쳐스,주식회사 마운틴픽쳐스",2015.11.26,개봉영화,장편,한국,82,"65,152,600","9,566","31,093,500","4,086",드라마,청소년관람불가,독립/예술영화
415,"제자도 - 제자,옥한흠2",김상철,파이오니아21,파이오니아21,2016.11.10,개봉영화,장편,한국,79,"67,442,000","9,533","12,805,000","1,657",다큐멘터리,전체관람가,독립/예술영화
416,클레어의 카메라,홍상수,(주)영화제작전원사,"(주)영화제작전원사 ,(주)콘텐츠판다,무브먼트",2018.4.25,개봉영화,장편,한국,68,"75,289,300","9,430","50,194,600","6,107",드라마,15세이상관람가,독립/예술영화
417,극장판 프리즘스톤 올스타 셀렉션,김영범,동우에이앤이(주),(주)박수엔터테인먼트,2016.7.7,개봉영화,장편,한국,109,"78,990,700","9,381","24,537,500","2,792",애니메이션,전체관람가,독립/예술영화
418,중독노래방,김상찬,"영화사 아람(주),(주)레드힐엔터테인먼트",(주)리틀빅픽쳐스,2017.6.15,개봉영화,장편,한국,175,"69,566,300","8,916","23,513,600","2,897",미스터리,청소년관람불가,독립/예술영화
419,뷰티플 마인드,"류장하,손미",(주)엠엔에프씨,롯데컬처웍스(주)롯데엔터테인먼트,2019.4.18,개봉영화,장편,한국,190,"67,428,500","8,910","31,806,500","3,857",다큐멘터리,전체관람가,독립/예술영화
420,앨리스: 원더랜드에서 온 소년,허은희,"(주)유비콘텐츠,주식회사 유비컬쳐",(주)영화사 안다미로,2015.12.10,개봉영화,장편,한국,59,"65,914,100","8,873","28,058,300","3,421",판타지,15세이상관람가,독립/예술영화
421,마차 타고 고래고래,안재석,(주)광대무변,와이드 릴리즈(주),2017.5.18,개봉영화,장편,한국,83,"72,203,500","8,697","45,828,000","5,301",드라마,15세이상관람가,독립/예술영화
422,호랑이보다 무서운 겨울손님,이광국,영화사 벽돌,"그린나래미디어(주),무브먼트",2018.4.12,개봉영화,장편,한국,134,"70,058,900","8,680","44,562,500","5,323",멜로/로맨스,15세이상관람가,독립/예술영화
