영화명,개봉n주차,주차관객수
도리화가,3,43185
도리화가,4,9083
그들이 죽었다,1,312
그들이 죽었다,2,915
그들이 죽었다,3,476
그들이 죽었다,4,291
그들이 죽었다,5,94
그들이 죽었다,6,50
극적인 하룻밤,0,688
극적인 하룻밤,1,674
극적인 하룻밤,2,236360
극적인 하룻밤,3,80434
극적인 하룻밤,4,2282
극적인 하룻밤,5,412
극적인 하룻밤,6,782
어떤이의 꿈,1,152
어떤이의 꿈,2,1577
어떤이의 꿈,3,258
어떤이의 꿈,4,70
꾸루꾸루와 친구들: 무지개 나무의 비밀,1,0
꾸루꾸루와 친구들: 무지개 나무의 비밀,2,5949
