순위,영화명,영화코드,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,F-rated,감독,대표감독,감독코드,감독성별,감독_대표역할,감독필모,작가,대표작가,대표작가(필명),작가코드,작가성별,작가_대표역할,작가필모,배우,주연배우,배역명,배우코드,배우성별,배우_대표역할,배우필모
351.0,비치하트애솔,20143753,2015.1.29,"1,563,200",0.0%,"1,827,700",234,279,5,60,한국,한국,윤윤상회,골든타이드픽처스(주),청소년관람불가,"멜로/로맨스,드라마",0,이난,이난,10054989.0,남자,감독,"비치하트애솔|기억의 환|7AM,슬로울리;oppositepage|스윙 다이어리|인디포럼2014 필름2|서울연애|평범한 날들|AMONG |DISTANCE|BETWEEN ",이난,이난,이난,10054989.0,남자,감독,"비치하트애솔|기억의 환|7AM,슬로울리;oppositepage|스윙 다이어리|인디포럼2014 필름2|서울연애|평범한 날들|AMONG |DISTANCE|BETWEEN ","권현상,박란,백동현,최영미,최한솔,윤여진,이소정,이은우,이민지,진용욱,오대환,박명신,서준영",권현상,,20115762.0,남자,배우,타투|비치하트애솔|렛 미 아웃|타워|돈 크라이 마미|도시의 풍년|달빛 길어올리기|고死 두 번째 이야기: 교생실습|고死 : 피의 중간고사
86.0,어우동: 주인 없는 꽃,20149298,2015.1.29,"60,141,000",0.0%,"68,421,000","12,203","13,123",19,381,한국,한국,"(유)조이앤컨텐츠그룹,㈜리필름",(주)드림팩트엔터테인먼트,청소년관람불가,멜로/로맨스,0,이수성,이수성,10056145.0,남자,감독,로드킬|대가리|독고다이|일진 3|일진 2|메모리즈|일진|미스터 좀비(감독판)|휴가|외도|지렁이|위험한 중독|포장마차|젊은 처제|그리울 련|짓2: 붉은 낙타|어우동: 주인 없는 꽃 무삭제판|어우동: 주인 없는 꽃|연애의 기술|짓|연애의 기술 감독판|전망 좋은 집|전망좋은집:무삭제노출판|미스터좀비,이창규,이창규,이창규,20110319.0,남자,감독,어우동: 주인 없는 꽃|하쿠나 마타타 - 지라니 이야기,"백도빈,송은채,여욱환,남경읍,이종민,이탁건,임준혁,장현희,정서경,박종환,정지나,조경민,주창욱,서재호,최충열,송유진,양정민,이건우,이광기,김선웅,김아람,이상헌,이성근,황소라,황정훈,황주호,정태성,이봄",백도빈,,10030280.0,남자,배우,시간위의 집|어떻게 헤어질까|어우동: 주인 없는 꽃 무삭제판|살인캠프|어우동: 주인 없는 꽃|콩나물|나는 왕이로소이다|챔프|타짜
123.0,망원동 인공위성,20133803,2015.2.5,"19,509,200",0.0%,"20,876,700","2,560","2,972",21,410,한국,한국,플레인 픽처스,(주)시네마달,12세이상관람가,다큐멘터리,0,김형주,김형주,20179028.0,남자,감독,로드쇼|망원동 인공위성|요코하마에서의 춤 2008|[인디포럼2016] 신작03 외침과 속삭임|네마프2015 대안영화 단편,,,,,,,,"송호준,조성윤,송호준,유지선,홍성훈",송호준,,20220936.0,남자,배우,망원동 인공위성
54.0,최강전사 미니특공대 : 새로운 악당의 습격,20156441,2015.2.5,"1,171,479,200",0.1%,"1,171,479,200","155,348","155,348",318,"4,610",한국,한국,(주)삼지애니메이션,에이원엔터테인먼트,전체관람가,애니메이션,0,이영준,이영준,20186877.0,남자,감독,미니특공대X|파워배틀 와치카: 와치가면의 역습|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|뽀로로 극장판 슈퍼썰매 대모험,"신현덕, 박상글, 김수훈, 최가희, 최인희",신현덕,신현덕,20229771.0,남자,시나리오(각본),"미니특공대X|파워배틀 와치카: 와치가면의 역습|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|안녕, 전우치! 도술로봇대결전|최강전사 미니특공대 : 새로운 악당의 습격","엄상현,전태열,신용우",엄상현,,10047326.0,남자,배우,"극장판 헬로카봇 : 달나라를 구해줘!|프린스 코기|극장판 헬로카봇: 옴파로스 섬의 비밀|극장판 공룡메카드: 타이니소어의 섬|런닝맨 : 풀룰루의 역습|극장판 뽀잉: 슈퍼 변신의 비밀|극장판 헬로카봇 : 백악기 시대|해적왕 작스톰|미니특공대X|뽀로로 극장판 공룡섬 대모험|킹 오브 프리즘 - 프라이드 더 히어로|바다 탐험대 옥토넛 시즌4: 더 파이널|파워배틀 와치카: 와치가면의 역습|트롤|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|눈의 여왕 3: 눈과 불의 마법대결|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|극장판 유희왕 더 다크 사이드 오브 디멘션즈|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|최강전사 미니특공대: 영웅의 탄생|바다 탐험대 옥토넛 시즌4: 빙하탐험선S|타이밍|뽀로로 극장판 컴퓨터 왕국 대모험|고녀석 맛나겠다2 : 함께라서 행복해|빌리와 용감한 녀석들 3|최강전사 미니특공대 : 새로운 악당의 습격|생각보다 맑은|헬로 카봇|바다 탐험대 옥토넛 스페셜|꼬마영웅 경찰차 프로디2|피쉬와 칩스 극장판|꼬마마녀 요요와 네네|우주로봇 씨어|쿵후팬더: 영웅의 탄생|부도리의 꿈 |부도리의 꿈(감독판)|레전드 오브 래빗|프렌즈: 몬스터섬의비밀 |마루 밑 아리에티|꼬마영웅 경찰차 프로디|가필드 펫 포스 3D|엘라의 모험 2: 백설공주 길들이기|춤추는 꿈틀이 밴드|제불찰씨 이야기|신암행어사|메밀꽃, 운수 좋은 날, 그리고 봄봄"
17.0,쎄시봉,20148188,2015.2.5,"13,571,515,911",1.5%,"13,571,515,911","1,715,370","1,715,370",829,"51,744",한국,한국,"유한회사 제이필름,(주)무브픽쳐스",씨제이이앤엠(주),15세이상관람가,"멜로/로맨스,코미디,드라마",0,김현석,김현석,10006261.0,남자,감독,아이 캔 스피크|쎄시봉|열한시|잉투기|시라노; 연애조작단|스카우트|광식이 동생 광태|YMCA야구단|공동경비구역 JSA|섬|해가 서쪽에서 뜬다면|사랑하기 좋은 날,김현석,김현석,김현석,10006261.0,남자,감독,아이 캔 스피크|쎄시봉|열한시|잉투기|시라노; 연애조작단|스카우트|광식이 동생 광태|YMCA야구단|공동경비구역 JSA|섬|해가 서쪽에서 뜬다면|사랑하기 좋은 날,"김윤석,정우,한효주,김희애,진구,장현성,강하늘,조복래,김인권,장미진,강명찬,정수교,조성관,천준호,최남주,최성택,최성택,최충열,송민석,박소담,오하늬,윤준호,이미소,김승찬,이병훈,이상희,이승현,안재홍,이대연,이동훈,권해효,최유화",김윤석,,10005276.0,남자,배우,"바이러스(가제)|미성년|암수살인|1987|남한산성|당신, 거기 있어줄래요|검은 사제들|극비수사|쎄시봉|타짜-신의 손|해무(海霧)|화이: 괴물을 삼킨 아이|남쪽으로 튀어|도둑들|도둑들 영화를 만들다|완득이|황해|전우치|거북이 달린다|추격자|즐거운 인생|타짜|천하장사 마돈나|야수|파랑주의보|내 생애 가장 아름다운 일주일|시실리 2km|범죄의 재구성|울랄라씨스터즈|베사메무쵸|어린 연인"
9.0,조선명탐정 : 사라진 놉의 딸,20149570,2015.2.11,"30,456,879,428",3.5%,"30,456,879,428","3,872,015","3,872,015",825,"80,499",한국,한국,청년필름(주),(주)쇼박스,12세이상관람가,"사극,코미디,어드벤처",1,김석윤,김석윤,10004484.0,남자,감독,조선명탐정: 흡혈괴마의 비밀|조선명탐정 : 사라진 놉의 딸|조선명탐정 : 각시투구꽃의 비밀|올드미스다이어리,"김수진, 이남규",김수진,김수진,20160659.0,여자,시나리오(각본),출국|조선명탐정 : 사라진 놉의 딸|누구에게나 찬란한|모던보이|올드미스다이어리,"김명민,오달수,이연희,강다현,전건익,정명철,박지선,배영민,정혜은,조관우,조명행,최지명,송병철,김나현,이경용,이귀현,이낙준,한대룡,이선도,이성동,이용우,김태환,정원중,남윤나,류광일,류현상,최무성,김원해,우현,황정민,이정은,박수영",김명민,,10004060.0,남자,배우,장사리 : 잊혀진 영웅들|물괴|조선명탐정: 흡혈괴마의 비밀|브이아이피|하루|판도라|특별수사: 사형수의 편지|대배우|조선명탐정 : 사라진 놉의 딸|간첩|연가시|페이스메이커|조선명탐정 : 각시투구꽃의 비밀|파괴된 사나이|내 사랑 내 곁에|무방비도시|리턴|거울속으로|스턴트맨|소름
107.0,꿈보다 해몽,20141612,2015.2.12,"30,817,700",0.0%,"32,698,900","4,179","4,414",36,724,한국,한국,영화사 벽돌,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,"드라마,코미디",0,이광국,이광국,10054828.0,남자,감독,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,이광국,이광국,이광국,10054828.0,남자,감독,호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,"유준상,신동미,김강현,이채은,이주원,박수민,서영화,윤영민,백수장,이봉련",유준상,,10053981.0,남자,배우,"강변호텔|아직 안 끝났어|당신자신과 당신의 것|고산자, 대동여지도|내가 너에게 배우는 것들|지금은맞고그때는틀리다|성난 화가 - 무삭제판|성난 화가|꿈보다 해몽|표적|전설의 주먹|누구의 딸도 아닌 해원|잠베지아: 신비한 나무섬의 비밀|터치|R2B: 리턴투베이스|다른나라에서|북촌방향|이끼|하하하|로니를 찾아서|잘 알지도 못하면서|리턴|나의 결혼원정기|쇼쇼쇼(Show Show Show)|빨간 피터의 고백|가위|텔미썸딩|리스트"
198.0,기화,20149491,2015.2.26,"5,753,500",0.0%,"5,753,500",831,831,5,41,한국,한국,아방가르드 필름,아방가르드 필름,청소년관람불가,"드라마,코미디,가족",0,문정윤,문정윤,10026795.0,남자,감독,구르는 수레바퀴|기화|싯 앤 고|마흔아홉번째 면회,문정윤,문정윤,문정윤,10026795.0,남자,감독,구르는 수레바퀴|기화|싯 앤 고|마흔아홉번째 면회,"홍희용,백승철,김현준,손민지,이제현,박수빈,장민우,장선희,정광호,정동규,조성진,조연,조진철,심정희,오주환,김성우,이민주,이유진",홍희용,,10089943.0,남자,배우,기화|싯 앤 고
122.0,조류인간,20148685,2015.2.26,"20,120,700",0.0%,"20,685,500","2,640","2,738",21,412,한국,한국,(주) 루스이소니도스,(주) 루스이소니도스,15세이상관람가,드라마,0,신연식,신연식,10040499.0,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자",신연식,신연식,신연식,10040499.0,남자,감독,"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자","김정팔,소이,정한비,강신효,임동훈,배영민,신연식,신연식,이새별,김장호,이연진,최종률,이유미",김정팔,,20160378.0,남자,배우,세트플레이|뷰티풀 보이스|한강블루스|동주|조류인간|들개들|러시안 소설|모크샤... 나는 혹은 세상은 어떻게 작동하는가|해결사|여기는 어디냐?
151.0,개: dog eat dog,20143252,2015.3.5,"11,970,000",0.0%,"11,970,000","1,505","1,505",12,179,한국,한국,"어썸피플,어썸픽쳐스","어썸피플,어뮤즈",청소년관람불가,"범죄,드라마",0,"황욱,박민우",황욱,20183861.0,남자,감독,라이브 하드|개: dog eat dog|누구나 제 명에 죽고 싶다|라이브 클럽 그레이하운드,황욱,황욱,황욱,20183861.0,남자,감독,라이브 하드|개: dog eat dog|누구나 제 명에 죽고 싶다|라이브 클럽 그레이하운드,"김선빈,곽민호,정준교,이하민,박형준,정완희,강필선,공민정",김선빈,,10004518.0,남자,배우,개: dog eat dog|설인|물고기|그대는 쇼팬하우어의 트리플악셀처럼|두 개의 밤|코스모스 노래방
36.0,순수의 시대,20136063,2015.3.5,"3,740,948,828",0.4%,"3,740,948,828","469,891","469,891",546,"23,623",한국,한국,"(주)화인웍스,(주)키메이커",씨제이이앤엠(주),청소년관람불가,"사극,드라마",1,안상훈,안상훈,20111254.0,남자,감독,나는 증인이다|순수의 시대|순수의 시대 무삭제편|블라인드|레인보우|아랑|...ing|패스오버|다섯 개의 시선,김세희,김세희,김세희,20169280.0,여자,시나리오(각본),순수의 시대,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉,황금희,성유빈",신하균,,10040665.0,남자,배우,선물|앵커|나의 특별한 형제|바람 바람 바람|7호실|악녀|올레|순수의 시대|순수의 시대 무삭제편|빅매치|런닝맨|퍼스트 포지션|고지전|페스티발|카페 느와르|박쥐|더 게임|예의없는 것들|박수칠 때 떠나라|웰컴 투 동막골|우리 형|화성으로 간 사나이|지구를 지켜라|서프라이즈|복수는 나의 것|킬러들의 수다|공동경비구역 JSA|커밍 아웃|간첩 리철진|기막힌 사내들|나와 통하는 다음검색 : 털|묻지마 패밀리
34.0,헬머니,20148841,2015.3.5,"4,120,166,972",0.5%,"4,120,166,972","522,929","522,929",422,"24,846",한국,한국,"(주)전망좋은 영화사,TCO(주)더콘텐츠온",(주)넥스트엔터테인먼트월드(NEW),청소년관람불가,코미디,1,신한솔,신한솔,10040668.0,남자,감독,내안의 그놈|헬머니|위험한 상견례|가루지기|싸움의 기술|늦은여름|뼛살|혹성 탈출,"조사무엘, 신한솔",조사무엘,조사무엘,10065870.0,남자,시나리오(각본),보통사람|악인은 살아 있다|헬머니|음치 클리닉 |가루지기|마파도2|싸움의 기술,"김수미,정만식,김정태,이태란,홍성덕,박승찬,이형빈,강경탁,임재수,박은영,박지영,박혜진,정진혁,채승훈,선현철,손재영,김달선,유병선,유용욱,윤수진,이강철,이규섭,김홍파,한진원,이성민,이승준,이영은,이영은,이은미,김지훈,김원해,이승천,박준금,정혜선,김영옥,길해연,지대한,조영진,장원영,권병길,박충선,김정영,이정은,정이랑",김수미,,10004748.0,여자,배우,헬머니|전국노래자랑|가문의 영광4 - 가문의 수난|위험한 상견례|빨간모자의 진실 2|그대를 사랑합니다|육혈포 강도단|흑심모녀|만남의 광장|못말리는 결혼|마파도2|가문의 부활 - 가문의 영광3|다세포소녀|공필두|맨발의 기봉이|연리지|구세주|빨간모자의 진실|가문의 위기(가문의 영광2)|간 큰 가족|마파도|우뢰매 4탄 썬더브이출동|화순이
