,상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회
1039,2018-06-23,02관,"06:30,  독전(디지털),  8,000원","09:00,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","11:35,  독전(디지털),  12,000원","14:10,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","17:10,  독전(디지털),  12,000원","19:40,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원",,"27:40,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원",,,,
1040,2018-06-23,03관,"07:30,  오션스8(디지털),  8,000원","09:50,  오션스8(디지털),  9,000원","12:10,  오션스8(디지털),  12,000원","14:30,  오션스8(디지털),  12,000원","16:50,  오션스8(디지털),  12,000원","19:10,  오션스8(디지털),  12,000원","21:30,  마녀(디지털),  12,000원",,"27:30,  오션스8(디지털),  10,000원",,,
1041,2018-06-23,04관(SCREENX),"06:50,  여중생A(디지털)","09:15,  탐정: 리턴즈(디지털),  9,000원","12:00,  미드나잇 선(디지털),  12,000원","14:00,  탐정: 리턴즈(디지털),  12,000원","16:25,  여중생A(디지털),  12,000원","18:50,  탐정: 리턴즈(디지털),  12,000원","21:15,  탐정: 리턴즈(디지털),  12,000원",,"27:10,  데드풀 2(디지털),  10,000원",,,
1042,2018-06-23,05관,"07:20,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","10:00,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","12:35,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","15:10,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","17:45,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","21:30,  오션스8(디지털),  12,000원","24:00,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","26:40,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원",,,,
1043,2018-06-23,06관,"08:20,  미드나잇 선(디지털),  8,000원","10:20,  미드나잇 선(디지털),  12,000원","12:20,  어벤져스: 인피니티 워(디지털),  12,000원","15:20,  데드풀 2(디지털),  12,000원","18:00,  미드나잇 선(디지털),  12,000원","20:00,  오션스8(디지털),  12,000원","22:20,  독전(디지털),  12,000원","24:55,  오션스8(디지털),  10,000원","27:20,  독전(디지털),  10,000원",,,
1044,2018-06-24,01관,"08:00,  탐정: 리턴즈(디지털),  9,000원","10:25,  탐정: 리턴즈(디지털),  12,000원","12:50,  탐정: 리턴즈(디지털),  12,000원","15:15,  탐정: 리턴즈(디지털),  12,000원","17:45,  탐정: 리턴즈(디지털),  12,000원","20:20,  탐정: 리턴즈(디지털),  12,000원","22:50,  탐정: 리턴즈(디지털),  12,000원","25:15,  탐정: 리턴즈(디지털),  10,000원","27:45,  탐정: 리턴즈(디지털),  10,000원",,,
1045,2018-06-24,02관,"07:00,  독전(디지털)","09:35,  독전(디지털),  10,000원","12:10,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","14:50,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","17:30,  독전(디지털),  12,000원","20:10,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","23:00,  독전(디지털),  12,000원","25:30,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","28:10,  독전(디지털),  10,000원",,,
1046,2018-06-24,03관,"06:30,  오션스8(디지털),  8,000원","08:50,  오션스8(디지털),  8,000원","11:10,  오션스8(디지털),  12,000원","13:30,  오션스8(디지털),  12,000원","15:50,  오션스8(디지털),  12,000원","18:10,  오션스8(디지털),  12,000원","20:40,  오션스8(디지털),  12,000원","23:15,  오션스8(디지털),  12,000원","26:00,  오션스8(디지털),  10,000원","28:25,  여중생A(디지털),  10,000원",,
1047,2018-06-24,04관(SCREENX),"06:40,  여중생A(디지털),  8,000원","09:05,  탐정: 리턴즈(디지털),  8,000원","11:30,  여중생A(디지털),  12,000원","13:55,  탐정: 리턴즈(디지털),  12,000원","16:30,  탐정: 리턴즈(디지털),  12,000원","18:55,  독전(디지털),  6,000원","21:25,  탐정: 리턴즈(디지털),  12,000원","23:50,  탐정: 리턴즈(디지털),  12,000원","26:15,  탐정: 리턴즈(디지털),  10,000원",,,
1048,2018-06-24,05관,"08:10,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원","10:55,  쥬라기 월드: 폴른 킹덤(디지털),  11,000원","13:40,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","16:15,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","19:10,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","21:45,  쥬라기 월드: 폴른 킹덤(디지털),  12,000원","24:25,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원","27:00,  쥬라기 월드: 폴른 킹덤(디지털),  10,000원",,,,
