filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
극장판 뽀잉: 슈퍼 변신의 비밀|슈퍼레이서 엔지|다이노 타임,다이노 타임,20229507,박재우,시나리오(각본)
다이노 타임,다이노 타임,10063974,제임스 그레코,시나리오(각본)
다이노 타임,다이노 타임,20190088,재커리 로젠블라트,시나리오(각본)
극장판 뽀잉: 슈퍼 변신의 비밀|슈퍼레이서 엔지|다이노 타임,다이노 타임,20229507,박재우,시나리오(각본)
다이노 타임,다이노 타임,10045509,애덤 비첸,
미안해 사랑해 고마워|동창생|미쓰GO|홍길동 2084|우리 이웃의 범죄,미안해 사랑해 고마워,20139788,박희강,시나리오(각본)
석조저택 살인사건|괴물들|퇴마: 무녀굴|이웃사람|시체가 돌아왔다|댄싱퀸|7광구|심야의 F.M.|하모니|해운대|색즉시공 시즌2|무서운 이야기 2|무서운 이야기2 '사고',퇴마: 무녀굴,10003489,김휘,감독
퇴마: 무녀굴,퇴마: 무녀굴,20209288,강향숙,시나리오(각본)
공조|히말라야|쓰리 썸머 나잇|국제시장|스파이|댄싱퀸|퀵|뚝방전설|양아치어조|어떤 여행의 기록,쓰리 썸머 나잇,20110821,박수진,시나리오(각본)
비밀,비밀,20204806,이동하,감독
엽기적인 그녀 2|비밀|내 마음의 풍금|성우는 괜찮아,비밀,20066038,박은경,감독
"강변호텔|풀잎들|그 후|클레어의 카메라|밤의 해변에서 혼자|당신자신과 당신의 것|지금은맞고그때는틀리다|자유의 언덕|우리 선희|누구의 딸도 아닌 해원|토니 레인즈의 한국영화 25년|다른나라에서|북촌방향|옥희의 영화|하하하|잘 알지도 못하면서|밤과 낮|나의 사랑, 나의 영화|해변의 여인|극장전|한국 영화의 르네상스|여자는 남자의 미래다|생활의 발견|오! 수정|강원도의 힘|돼지가 우물에 빠진 날|리스트|첩첩산중|10월 단편 상상극장-홍상수 단편선|베니스 70 : 미래 재장전|어떤 방문 : 디지털 삼인삼색2009",지금은맞고그때는틀리다,10089497,홍상수,감독
조선마술사|후궁 : 제왕의 첩|연인|가을로|혈의 누|하류인생|번지점프를 하다|춘향뎐(春香傳)|창(노는계집 창)|서편제|백문백답,조선마술사,10003845,김대승,감독
조선마술사|슬기로운 해법|화성으로 간 사나이|해피버스데이|교회누나|묻지마 패밀리,조선마술사,10066948,조정화,시나리오(각본)
조선마술사|슬기로운 해법|화성으로 간 사나이|해피버스데이|교회누나|묻지마 패밀리,조선마술사,10066948,조정화,시나리오(각본)
"미니특공대X|파워배틀 와치카: 와치가면의 역습|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|안녕, 전우치! 도술로봇대결전|최강전사 미니특공대 : 새로운 악당의 습격",최강전사 미니특공대 : 새로운 악당의 습격,20229771,신현덕,시나리오(각본)
미니특공대X|파워배틀 와치카: 와치가면의 역습|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격,최강전사 미니특공대 : 새로운 악당의 습격,20229821,박상글,프로듀서
미니특공대X|파워배틀 와치카: 와치가면의 역습|레이디버그|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|부릉부릉 부르미즈,최강전사 미니특공대 : 새로운 악당의 습격,10004783,김수훈,프로듀서
최강전사 미니특공대 : 새로운 악당의 습격,최강전사 미니특공대 : 새로운 악당의 습격,20230210,최가희,시나리오(각본)
"최강전사 미니특공대: 영웅의 탄생|안녕, 전우치! 도술로봇대결전|최강전사 미니특공대 : 새로운 악당의 습격",최강전사 미니특공대 : 새로운 악당의 습격,20228888,최인희,시나리오(각본)
약장수|사랑에도 저작권이 있나요?|시선|가시|연애의 온도|맨발의 꿈,약장수,20138384,조치언,감독
파울볼,파울볼,20209246,정상선,시나리오(각본)
내 연적의 모든 것|성실한 나라의 앨리스|무게|시|작은 연못|더블 클러치|우리 집에 놀러 오세요|KAFA 단편 2,성실한 나라의 앨리스,20112403,안국진,감독
한여름의 판타지아|잠 못 드는 밤|나나나 : 여배우 민낯 프로젝트|회오리 바람|저수지에서 건진 치타|꿈속에서|영재를 기다리며|히치하이킹|싸움에 들게 하지 마소서|하드보일드 초콜릿 스타일|진혼곡|학교 다녀왔습니다.|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|이제 난 용감해질거야,한여름의 판타지아,10060025,장건재,감독
탐정: 리턴즈|미씽: 사라진 여자|타이밍|어깨 너머의 연인|해피 에로 크리스마스|...ing|고양이를 부탁해,타이밍,10056602,이언희,감독
도어락|타이밍|내 연애의 기억|어깨 너머의 연인|꽃미남 연쇄 테러 사건|서프라이즈|고양이를 부탁해|겁쟁이들이 더 흉폭하다,타이밍,10054870,이권,감독
"당신, 거기 있어줄래요|간신|검은손|무서운 이야기 '콩쥐 팥쥐'",검은손,20183910,변혜주,시나리오(각본)
로마의 휴일|어떤살인,어떤살인,20195674,안용훈,감독
어떤살인,어떤살인,20195675,신미희,시나리오(각본)
"안녕, 티라노: 영원히, 함께|고녀석 맛나겠다2 : 함께라서 행복해",고녀석 맛나겠다2 : 함께라서 행복해,20226723,미야니시 타츠야,시나리오(각본)
고녀석 맛나겠다2 : 함께라서 행복해,고녀석 맛나겠다2 : 함께라서 행복해,20226666,마스다 히사오,시나리오(각본)
고녀석 맛나겠다2 : 함께라서 행복해,고녀석 맛나겠다2 : 함께라서 행복해,10037973,스가 요시유키,시나리오(각본)
고녀석 맛나겠다2 : 함께라서 행복해,고녀석 맛나겠다2 : 함께라서 행복해,20218371,강민하,시나리오(각본)
물비늘|젊은이의 양지|유리정원|마돈나|명왕성|레인보우|순환선|면도를 하다|가족시네마|이제 난 용감해질거야,마돈나,10040434,신수원,감독
춘몽|그랜드파더|타투|사람을 찾습니다|말아톤|아카시아(Acacia)|클래식|일단뛰어|화이팅 패밀리 '해마 가족',타투,10055931,이서,감독
돼지 같은 여자|바람피기 좋은 날|파랑주의보|행복한 장의사,돼지 같은 여자,10060160,장문일,감독
"을식이는 재수 없어|안녕, 전우치! 도술로봇대결전|안녕, 전우치 스페셜","안녕, 전우치! 도술로봇대결전",20214346,김대창,감독
"최강전사 미니특공대: 영웅의 탄생|안녕, 전우치! 도술로봇대결전|최강전사 미니특공대 : 새로운 악당의 습격","안녕, 전우치! 도술로봇대결전",20228888,최인희,시나리오(각본)
"안녕, 전우치! 도술로봇대결전","안녕, 전우치! 도술로봇대결전",20229202,권오현,시나리오(각본)
"미니특공대X|파워배틀 와치카: 와치가면의 역습|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|안녕, 전우치! 도술로봇대결전|최강전사 미니특공대 : 새로운 악당의 습격","안녕, 전우치! 도술로봇대결전",20229771,신현덕,시나리오(각본)
세상끝의 사랑|초대|얼굴 없는 미녀|로드무비,세상끝의 사랑,10005426,김인식,감독
호랑이보다 무서운 겨울손님|꿈보다 해몽|로맨스 조|하하하|잘 알지도 못하면서|해변의 여인|극장전|A+삶|소주와 아이스크림|말로는 힘들어|주민증 갱신기간|시선 사이|인디스데이 6월 단편|6월 수요단편극장 <한여름의 판타지아> 개봉 기념 특별전|7월 단편 상상극장-김새벽의 판타지아|7월 단편 상상극장-이들이 우리의 배우다,꿈보다 해몽,10054828,이광국,감독
극장판 뽀잉: 슈퍼 변신의 비밀|슈퍼레이서 엔지,슈퍼레이서 엔지,20214806,허선,감독
극장판 뽀잉: 슈퍼 변신의 비밀|슈퍼레이서 엔지|다이노 타임,슈퍼레이서 엔지,20229507,박재우,시나리오(각본)
나쁜 나라,나쁜 나라,20229759,신범숙,시나리오(각본)
앨리스: 원더랜드에서 온 소년,앨리스: 원더랜드에서 온 소년,20230790,지재형,시나리오(각본)
앨리스: 원더랜드에서 온 소년|심장이 뛰네,앨리스: 원더랜드에서 온 소년,20111756,허은희,감독
황제|펑정지에는 펑정지에다|사랑이 이긴다|너를 부르마|26년|터치|아! 굴업도|포도나무를 베어라|괜찮아 울지마|벌이 날다|설계자|시화공존|감각의 경로 |부엉이의 눈 |가면과 거울|노스텔지아|한국 환경영화의 흐름 단편|네마프2015 글로컬 파노라마 단편1|서울독립영화제2015 특별장편 6|한국 환경영화의 흐름 단편 3,사랑이 이긴다,10027804,민병훈,감독
"그라운드의 이방인|두 번의 결혼식과 한 번의 장례식|슬픈 전설|불꽃처럼 나비처럼|우리 학교|하나를 위하여|와니와 준하|꽃섬|엄마, 아름다운 오월|기린 휴게소|환상극장|귀 鬼",그라운드의 이방인,20068433,김명준,촬영
파고|이 세상에 없는|춘몽|오늘영화|산다|일주일|무산일기|시|주리|두한에게|125 전승철|사경(寺景)을 헤매다|어떤 시선,산다,10029163,박정범,감독
거짓말|피로|이상한 나라의 바툼바|락커룸|전병 파는 여인,거짓말,10003943,김동명,감독
증거불충분|인천상륙작전|계춘할망|캠핑|고령화 가족|엘 꼰도르 빠사|세계일주|토끼와 리저드|역전에 산다,세계일주,20129697,김재환,시나리오(각본)
세계일주,세계일주,20129698,손소아,시나리오(각본)
잡식가족의 딜레마|어느날 그 길에서|침묵의 숲|작별|광장의 닭,잡식가족의 딜레마,10090225,황윤,감독
"로마서 8:37|동주|프랑스 영화처럼|조류인간|개를 훔치는 완벽한 방법|배우는 배우다|러시안 소설|페어러브|약탈자들|좋은 배우|과대망상자들|내 노래를 들어줘|수주 인 파리|플레이 노 모어|원스 인 어 라이프타임|신연식이 수주와 파리로 간 까닭은? - 신연식 단편선|3월 단편 상상극장-여자, 남자",조류인간,10040499,신연식,감독
메기|오늘영화|세 마리|걸스 온 탑|플라이 투 더 스카이|연애다큐|4학년 보경이|라즈 온 에어|엄마를 찾아주세요|제12회 대단한 단편영화제 감독 특별전|포커스 한국단편3|경쟁 2 - 2016 전북독립영화제|SESIFF2016 경쟁4 다른 곳으로부터|AISFF2016 국내경쟁 1|제14회 미쟝센 단편영화제 전년도 수상작2|단편 KAFA 3|어제영화-구교환&이옥섭 감독 단편 |제13회 미쟝센 단편영화제 사랑에 관한 짧은 필름3|제31회 인천시네마테크 - 빛나는 청춘|인디포럼2014 어른들 영화|섹션 3 - 2차실습작|제 7회 여성 인권영화제-그대마음과 만나 피움,오늘영화,10056728,이옥섭,감독
"내일부터 우리는|아이돌 권한대행 |게임회사 여직원들|대세는 백합|오늘영화|썸남썸녀|출중한 여자|도약선생|은하해방전선|중산층 가정의 대재앙|두근두근 외주용역|두근두근 왓플|백역사|주리|두근두근 꿈의 과학|두근두근 영춘권|신자유청년|두근두근 시국선언|청소년 드라마의 이해와 실제|두근두근 배창호|두근두근 시네마떼끄|두근두근 레드카펫|졸업영화|우익청년 윤성호|나는내가의천검을쥔것처럼|이렇게는 계속할 수 없어요.|산만한 제국 |11월 수요단편극장 ""달콤 쌉싸름한 멜로 영화""|할 수 있는 자가 구하라|황금시대|시선 1318|독립영화인 국가보안법 철폐 프로젝트",오늘영화,20111376,윤성호,감독
반도|메기|꿈의 제인|우리 손자 베스트|오늘영화|김씨표류기|세 마리|걸스 온 탑|방과 후 티타임 리턴즈|플라이 투 더 스카이|뎀프시롤: 참회록|4학년 보경이|연애다큐|서울생활|Welcome to my home |왜 독립영화 감독들은 DVD를 주지 않는가?|거북이들|구해줘! |남매의 집|죽기직전 그들|포커스 한국단편3|인디스데이 3월 단편|SESIFF2016 경쟁4 다른 곳으로부터|경쟁 2 - 2016 전북독립영화제|AISFF2016 국내경쟁 1|제14회 미쟝센 단편영화제 전년도 수상작3|제14회 미쟝센 단편영화제 사랑에 관한 짧은 필름3|1월 단편 상상극장-해피 뉴 스타|서울독립영화제 2015 특별단편 5|11월 단편 상상극장-제9회 대단한 단편영화제 수상작 모음|2015 GSFF 단편 경쟁 4|SESIFF 2015 경쟁9 - 21세기의 섹스|BiFan2015 판타스틱 단편 걸작선 5|제16회 대구단편영화제 경쟁1|어제영화-구교환&이옥섭 감독 단편 |인디포럼2015 꿈결의 연애담|제13회 미쟝센 단편영화제 희극지왕1|서울연애,오늘영화,20166705,구교환,감독
오늘영화|튜닝|화기애애|테크노 베이컨시|누가 만들었을까? |강성옥|아무것도|무덤가|11월|김추자: 무인도|매혈|어제영화-강경태 감독 단편,오늘영화,10000489,강경태,감독
고양이 장례식|심판의날,고양이 장례식,10057421,이종훈,감독
"영하의 바람|이,기적인 남자|영도|도다리 - 리덕스|이방인들|두 얼굴의 전쟁 |계단|미싱",영도,20112554,손승웅,감독
어우동: 주인 없는 꽃|하쿠나 마타타 - 지라니 이야기,어우동: 주인 없는 꽃,20110319,이창규,감독
"재혼의 기술|발광하는 현대사|늦여름|딥|각자의 미식|게스트하우스|실종2|어떻게 헤어질까|두 개의 연애|어떤이의 꿈|플랑크 상수|산타바바라|내가 고백을 하면|설마 그럴리가 없어|모피를 입은 비너스|돌이킬 수 없는|맛있는 인생|집 나온 남자들|채식주의자|여배우들|집행자|부산|이태원 살인사건|10억|거북이 달린다|키친|오이시맨|로맨틱 아일랜드|이리|비몽|멋진 하루|영화는 영화다|아름답다|중경|별빛 속으로|열세살 수아|아주 특별한 손님|온 더 로드, 투|거칠마루|라스트 씬|화장실, 어디에요?|도쿄!",어떤이의 꿈,10065915,조성규,감독
설해|그 남자의 책 198쪽|바보|화성으로 간 사나이|동감|귀소,설해,10005546,김정권,감독
설해,설해,20203886,김군영,시나리오(각본)
늙은 자전거|연평해전|아이 러브 유|학교전설,늙은 자전거,10026867,문희융,각색
후쿠오카|군산: 거위를 노래하다|춘몽|필름시대사랑|경주|풍경|두만강|이리|중경|궤도|경계|망종|당시|동행|디지털 삼인삼색 2013: 풍경|주리|사실|11세|AISFF2015 아시프 랑데부: 최고의 감독 & 동행|AISFF2015 시네마 올드 앤 뉴 |AISFF2015 특별상영 & 미스터쿠퍼 |이방인들 : 디지털 삼인삼색2013,필름시대사랑,10060143,장률,감독
