movieCd,movieNm,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별
20150976,신과함께-죄와 벌,김용화,10005151,남자,,,,,,,,,
20150977,좋아해줘,박현진,20110969,여자,,,,,,,,,
20150979,덕혜옹주,허진호,10088463,남자,,,,,,,,,
20151003,장산범,허정,20169260,남자,,,,,,,,,
20151021,순정,이은희,20140739,여자,,,,,,,,,
20151022,걷기왕,백승화,10030331,남자,,,,,,,,,
20151181,여교사,김태용,20191068,남자,,,,,,,,,
20151224,하프,김세연,10004672,여자,,,,,,,,,
20151227,아빠는 딸,김형협,20230906,남자,,,,,,,,,
20151228,공조,김성훈,20128773,남자,,,,,,,,,
20151229,더 킹,한재림,10087712,남자,,,,,,,,,
20151230,원라인,양경모,20182346,남자,,,,,,,,,
20151582,태양을 쏴라 무삭제판,김태식,10006101,남자,,,,,,,,,
20151782,지금은맞고그때는틀리다,홍상수,10089497,남자,,,,,,,,,
20152064,필름시대사랑,장률,10060143,남자,,,,,,,,,
20152105,"시발, 놈: 인류의 시작",백승기,20120681,남자,,,,,,,,,
20152182,무서운 집,양병간,10046918,남자,,,,,,,,,
20152265,성난 화가 - 무삭제판,전규환,10061231,남자,,,,,,,,,
20152368,인 허 플레이스,알버트 신,20212728,남자,,,,,,,,,
20152369,나홀로 휴가,조재현,10066929,남자,,,,,,,,,
20152370,잡아야 산다,오인천,20188088,남자,,,,,,,,,
20152371,"당신, 거기 있어줄래요",홍지영,10089855,여자,,,,,,,,,
20152402,업사이드 다운,김동빈,20212787,남자,,,,,,,,,
20152541,무수단,구모,10002140,남자,,,,,,,,,
20152746,커터,정희성,20213086,여자,,,,,,,,,
20152782,"날, 보러와요",이철하,10057717,남자,,,,,,,,,
20152870,에스엠타운 더 스테이지,배성상,20213186,남자,,,,,,,,,
20153307,어떤이의 꿈,조성규,10065915,남자,,,,,,,,,
20153311,기적의 피아노,김은주,20110270,여자,임성구,10058611,남자,,,,,,
20153313,이바라키의 여름,전성호,20213586,남자,,,,,,,,,
20153316,블랙가스펠2: 소울을 찾는 여정가운데 만난 사람들,김성권,20112797,남자,이임주,10057108,여자,,,,,,
20153422,제 7기사단,키리야 카즈아키,10078569,남자,,,,,,,,,
20153443,아수라,김성수,10004596,남자,,,,,,,,,
20153444,럭키,이계벽,10054784,남자,,,,,,,,,
20153446,너의 결혼식,이석근,10055945,남자,,,,,,,,,
20153447,바람 바람 바람,이병헌,20125862,남자,,,,,,,,,
20153450,우리들,윤가은,20113672,여자,,,,,,,,,
20153741,미씽: 사라진 여자,이언희,10056602,여자,,,,,,,,,
