영화명,1623공급좌석수
위켄즈,26807.0
"이,기적인 남자",6908.0
이바라키의 여름,4016.0
이월,22282.0
인 허 플레이스,14036.0
인어전설,11836.0
작은 형,13427.0
잡식가족의 딜레마,29189.0
장기왕 : 가락시장 레볼루션,14883.0
조류인간,29156.0
지렁이,8558.0
직지코드,37390.0
짐작보다 따뜻하게,12819.0
집의 시간들,27403.0
천화,14795.0
철원기행,28571.0
청춘 합창단 - 또 하나의 꿈,18920.0
초인,35979.0
"춘천, 춘천",18631.0
카이: 거울 호수의 전설,12491.0
캐리tv 러브콘서트 더 무비,19135.0
커튼콜,31946.0
"컴, 투게더",24943.0
코인라커,10664.0
타클라마칸,7142.0
탐욕의 별,8799.0
터닝메카드W: 반다인의 비밀 특별판,22611.0
파도치는 땅,13886.0
파란나비효과,34309.0
파란입이 달린 얼굴,15484.0
파리의 한국남자,24112.0
파밍 보이즈,16470.0
파스카,12753.0
파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,16491.0
파워배틀 와치카: 와치가면의 역습,24011.0
파일 : 4022일의 사육,374.0
파파 오랑후탄,9874.0
퍼즐,5045.0
포항,12862.0
폭력의 법칙: 나쁜 피 두 번째 이야기,3159.0
폭력의 씨앗,32605.0
푸른노을,15621.0
프랑스 영화처럼,36306.0
플랑크 상수,3529.0
필름시대사랑,20433.0
하나식당,12515.0
하프,5005.0
한강블루스,12859.0
한강에게,29567.0
할머니의 먼 집,27845.0
해에게서 소년에게,15030.0
해원,24151.0
해적왕 작스톰,7457.0
행복의 나라,20804.0
혼자,8863.0
홀리워킹데이,20343.0
후쿠시마의 미래,9790.0
흔들리는 물결,10835.0
히치하이크,17513.0
